Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
387417.61088371277,4274.2124,4244.8486,4170.1514,4425.152,4219.091,4549.818,4405.0605,4323.1514,4506.031,3778.6367,4455.5454,4280.394,4294.8184,4151.606
387425.21357536316,4265.4546,4232.485,4163.9697,4411.2427,4219.091,4542.6064,4396.3037,4313.879,4492.121,3762.667,4447.303,4267.0,4281.4243,4136.152
387433.1455230713,4267.0,4233.515,4157.273,4407.6367,4219.606,4546.2124,4393.727,4314.3936,4491.6064,3760.091,4445.2427,4264.9395,4280.394,4130.485
387441.2634372711,4269.5757,4238.152,4157.273,4412.788,4219.091,4549.303,4400.9395,4318.515,4495.7275,3764.2124,4441.1216,4268.546,4281.4243,4135.1216
387449.24426078796,4269.5757,4234.0303,4163.9697,4414.8486,4219.091,4544.152,4401.4546,4317.4854,4496.242,3766.788,4442.6665,4266.485,4281.9395,4137.6973
387458.1649303436,4274.7275,4237.636,4170.1514,4421.031,4220.121,4549.303,4394.758,4319.0303,4496.242,3769.879,4449.364,4269.5757,4284.515,4139.2427
387468.25313568115,4278.3335,4248.4546,4172.2124,4429.788,4219.606,4558.5757,4393.727,4318.515,4497.788,3770.9092,4449.364,4278.849,4286.0605,4140.273
387472.2878932953,4272.667,4243.303,4170.667,4426.182,4217.5454,4549.818,4393.727,4313.879,4497.273,3770.394,4447.303,4275.758,4283.485,4140.273
387480.24010658264,4265.4546,4233.0,4170.1514,4420.0,4218.0605,4543.636,4390.636,4310.2725,4494.1816,3768.8486,4447.819,4267.0,4281.4243,4137.6973
387488.17682266235,4267.0,4240.7275,4169.636,4426.6973,4221.6665,4554.4546,4393.212,4310.788,4496.242,3770.9092,4450.909,4274.7275,4287.606,4137.182
387496.21748924255,4276.788,4254.121,4175.303,4436.485,4224.2427,4562.182,4400.9395,4316.4546,4507.576,3780.6973,4458.6367,4287.0913,4297.909,4145.94
387504.1949748993,4284.515,4254.121,4188.1816,4438.5454,4222.6973,4556.0,4403.0,4323.667,4515.303,3789.4548,4466.364,4286.5757,4302.546,4153.6665
387512.50648498535,4284.0,4249.4854,4187.152,4436.485,4218.576,4547.7573,4398.879,4323.1514,4512.2124,3786.879,4463.788,4281.9395,4298.9395,4150.576
387524.19781684875,4281.9395,4250.0,4175.8184,4429.273,4213.9395,4550.8486,4400.425,4322.636,4509.6367,3778.6367,4455.0303,4284.0,4290.182,4143.364
387528.68247032166,4284.515,4247.4243,4172.2124,4423.6064,4212.3945,4556.515,4407.6367,4327.788,4507.576,3774.5151,4448.8486,4282.97,4285.031,4144.3945
387544.2681312561,4278.849,4239.182,4172.7275,4421.031,4216.0,4549.818,4406.091,4322.636,4499.3335,3768.8486,4438.031,4274.2124,4279.879,4139.758
387544.4555282593,4268.546,4234.5454,4168.606,4421.546,4221.1514,4539.515,4398.879,4312.8486,4492.6367,3760.091,4432.364,4264.9395,4274.7275,4129.4546
387556.33020401,4272.667,4242.273,4168.606,4427.2124,4221.6665,4544.152,4398.879,4314.3936,4493.667,3761.6362,4441.6367,4265.4546,4277.303,4133.576
387561.1352920532,4283.485,4249.4854,4173.758,4430.8184,4220.121,4549.818,4401.9697,4316.4546,4495.7275,3769.879,4449.8794,4276.273,4284.0,4143.879
387567.31510162354,4282.97,4249.4854,4176.3335,4432.364,4221.1514,4548.273,4399.394,4310.788,4493.667,3769.879,4451.94,4282.4546,4282.97,4140.7876
387583.6215019226,4278.849,4251.031,4179.9395,4438.031,4219.091,4553.9395,4398.879,4312.333,4496.242,3766.788,4459.1514,4281.9395,4287.0913,4141.8184
387583.7595462799,4287.0913,4253.0913,4186.6367,4439.061,4220.121,4560.636,4406.6064,4324.697,4509.121,3779.667,4467.909,4287.0913,4301.515,4155.212
387596.2505340576,4293.788,4256.1816,4190.758,4440.606,4232.485,4558.0605,4410.2124,4329.3335,4516.334,3790.485,4468.94,4293.273,4310.788,4161.394
387599.2407798767,4287.606,4262.364,4189.2124,4455.0303,4240.7275,4554.97,4404.546,4325.7275,4512.727,3780.182,4466.8794,4288.636,4305.6367,4156.2427
387606.25863075256,4281.4243,4267.515,4187.667,4465.8486,4235.5757,4557.031,4399.909,4326.2427,4510.6665,3772.9697,4464.303,4282.4546,4298.4243,4152.6367
387614.1245365143,4284.0,4269.0605,4190.242,4464.303,4233.515,4558.5757,4400.9395,4330.879,4513.758,3782.7578,4464.303,4285.5454,4297.909,4149.0303
387627.2087097168,4286.0605,4264.4243,4188.1816,4457.606,4235.0605,4558.5757,4402.4854,4332.9395,4515.303,3788.9397,4461.2124,4282.97,4293.273,4141.8184
387630.2258968353,4274.2124,4253.0913,4175.303,4443.6973,4224.758,4559.6064,4401.4546,4330.879,4513.758,3782.7578,4449.8794,4269.0605,4282.97,4137.182
387638.1492614746,4266.485,4248.4546,4167.5757,4434.4243,4216.5156,4557.031,4397.8486,4327.788,4511.6973,3779.1516,4447.303,4263.9097,4279.364,4137.182
387646.1572647095,4271.636,4253.0913,4176.3335,4441.6367,4218.576,4552.394,4395.273,4326.7573,4511.1816,3778.1213,4451.4243,4272.667,4284.515,4137.6973
387654.198884964,4276.273,4253.6064,4185.6064,4445.758,4219.091,4553.9395,4397.3335,4327.2725,4511.6973,3777.6064,4454.5156,4280.9097,4292.2427,4143.364
387662.1515750885,4279.364,4252.0605,4187.152,4441.6367,4218.576,4555.4854,4401.4546,4329.3335,4513.758,3783.2727,4461.7275,4284.0,4299.9697,4154.6973
387670.2091693878,4284.0,4252.0605,4184.0605,4438.5454,4219.606,4546.7275,4400.425,4328.8184,4515.303,3785.8486,4466.8794,4286.0605,4301.515,4159.8486
387679.22472953796,4284.0,4250.515,4180.9697,4436.485,4218.0605,4544.152,4396.8184,4323.1514,4513.758,3784.303,4464.303,4286.5757,4297.909,4155.727
387685.2295398712,4282.4546,4253.0913,4184.0605,4441.6367,4226.8184,4555.4854,4397.8486,4319.546,4511.1816,3785.8486,4465.8486,4284.0,4301.0,4156.758
387694.2343711853,4284.0,4257.2124,4182.515,4448.334,4236.6064,4563.2124,4402.4854,4319.546,4511.6973,3784.303,4464.819,4284.515,4303.061,4157.788
387701.1806964874,4281.4243,4253.6064,4173.2427,4440.0913,4226.8184,4557.546,4401.4546,4318.0005,4510.152,3772.4546,4451.4243,4282.97,4293.788,4146.455
387709.1841697693,4280.394,4250.0,4170.667,4430.303,4215.485,4550.8486,4398.3643,4320.5757,4507.576,3764.2124,4445.2427,4272.152,4282.4546,4139.2427
387717.2019481659,4285.5454,4252.5757,4174.788,4432.879,4220.121,4547.2427,4399.909,4330.3643,4508.606,3770.394,4448.8486,4266.485,4283.485,4143.879
387725.17704963684,4285.5454,4252.5757,4173.2427,4431.8486,4224.2427,4543.636,4396.3037,4332.425,4509.6367,3772.4546,4440.0913,4267.515,4285.031,4144.3945
387733.2034111023,4279.879,4249.4854,4168.606,4425.667,4217.5454,4541.061,4390.636,4327.2725,4507.576,3765.7578,4428.2427,4265.4546,4280.9097,4138.2124
387741.2495613098,4283.485,4251.546,4172.2124,4429.788,4216.5156,4541.5757,4395.273,4333.9697,4509.121,3765.7578,4436.485,4269.5757,4285.5454,4143.364
387749.19080734253,4293.788,4255.667,4179.9395,4438.031,4221.1514,4549.818,4403.515,4344.788,4514.2734,3776.5762,4449.364,4282.97,4296.364,4154.6973
387756.2458515167,4292.2427,4255.667,4179.9395,4433.394,4220.121,4551.879,4404.0303,4340.667,4514.2734,3784.8184,4449.8794,4286.5757,4300.485,4159.3335
387773.2322216034,4282.4546,4252.0605,4171.6973,4424.1216,4214.455,4547.2427,4398.879,4331.394,4512.727,3778.6367,4446.7876,4280.9097,4297.909,4155.212
387774.178981781,4282.97,4250.515,4171.182,4427.7275,4215.485,4548.788,4395.788,4328.303,4508.0913,3769.879,4442.152,4278.849,4291.2124,4149.0303
387781.2747955322,4286.0605,4251.031,4173.758,4431.8486,4221.6665,4550.3335,4392.697,4322.636,4498.8184,3766.273,4435.455,4273.697,4285.031,4143.879
387788.1908416748,4282.4546,4249.4854,4168.091,4424.1216,4223.2124,4550.3335,4389.606,4317.4854,4498.3027,3764.2124,4432.879,4267.0,4282.4546,4139.2427
387796.2634563446,4280.9097,4249.4854,4160.364,4421.546,4224.2427,4556.515,4395.273,4326.2427,4509.6367,3766.273,4433.9097,4264.9395,4280.9097,4134.606
387804.2001724243,4281.4243,4248.9697,4158.303,4426.6973,4226.303,4564.2427,4403.0,4333.4546,4514.2734,3770.9092,4431.3335,4263.9097,4279.364,4127.909
387812.3240470886,4278.3335,4241.2427,4155.212,4422.061,4222.1816,4559.0913,4404.0303,4331.394,4511.1816,3769.3638,4427.7275,4262.879,4278.3335,4122.2427
387820.2269077301,4276.788,4235.0605,4154.182,4415.879,4212.3945,4548.788,4398.879,4331.909,4513.2427,3767.8184,4431.8486,4264.9395,4279.879,4127.909
387827.24475860596,4274.2124,4237.1216,4155.727,4417.9395,4204.152,4543.636,4395.788,4331.909,4515.8184,3772.9697,4441.6367,4267.515,4287.0913,4138.2124
387835.2506160736,4269.5757,4237.636,4157.788,4419.485,4202.0913,4545.697,4393.212,4331.909,4515.8184,3776.5762,4448.334,4269.0605,4293.788,4142.848
387843.23024749756,4270.0913,4235.5757,4159.3335,4418.9697,4211.364,4547.7573,4393.727,4332.9395,4514.2734,3776.0608,4447.303,4270.0913,4290.6973,4137.6973
387853.3487319946,4267.515,4235.5757,4152.6367,4416.394,4221.6665,4543.636,4392.182,4326.2427,4508.606,3769.879,4441.1216,4261.8486,4283.485,4127.394
387860.2485656738,4261.8486,4234.0303,4145.94,4414.3335,4222.1816,4548.788,4384.4546,4314.909,4506.031,3764.7275,4440.0913,4250.0,4280.394,4120.6973
387874.23491477966,4263.394,4239.182,4151.606,4422.061,4227.8486,4558.5757,4385.485,4314.909,4508.606,3768.3335,4445.2427,4251.546,4281.4243,4122.758
387876.2001991272,4267.515,4250.0,4158.303,4431.8486,4233.0,4559.6064,4394.2427,4325.7275,4511.1816,3769.879,4448.334,4263.394,4283.485,4127.394
387883.3427429199,4271.636,4253.6064,4160.8794,4432.879,4224.2427,4556.515,4394.758,4330.879,4513.758,3773.4849,4450.3945,4269.5757,4286.0605,4125.8486
387891.22319221497,4274.7275,4250.515,4167.061,4430.8184,4216.5156,4554.4546,4391.1514,4328.8184,4514.2734,3782.2424,4453.485,4268.031,4292.2427,4126.879
387907.2062969208,4270.6064,4250.0,4171.6973,4433.9097,4218.576,4556.515,4393.727,4327.788,4513.758,3783.2727,4454.0005,4267.0,4297.394,4134.606
387908.1311225891,4268.546,4251.031,4169.1216,4433.394,4217.5454,4557.031,4395.788,4330.879,4517.879,3779.1516,4455.0303,4274.7275,4298.4243,4140.7876
