Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1644799.2775440216,4171.182,4221.1514,4066.6064,4434.94,4234.5454,4571.97,4391.6665,4281.9395,4494.6973,3754.4243,4477.182,4173.2427,4248.4546,4138.727
1644802.2348880768,4176.8486,4231.9697,4075.3638,4440.606,4236.091,4574.546,4395.788,4286.0605,4495.7275,3755.4546,4476.667,4179.9395,4253.0913,4140.273
1644811.099767685,4175.8184,4235.5757,4077.4243,4437.0005,4240.2124,4575.5757,4399.909,4285.5454,4494.6973,3749.7883,4478.2124,4187.152,4250.515,4140.7876
1644822.6339817047,4172.7275,4227.3335,4070.7275,4432.879,4237.636,4574.546,4399.909,4281.4243,4493.152,3741.0305,4474.0913,4177.364,4247.9395,4139.758
1644827.351808548,4176.3335,4220.6367,4069.1821,4435.455,4237.636,4575.0605,4399.909,4284.0,4491.6064,3739.485,4466.364,4171.6973,4244.8486,4135.6367
1644837.253332138,4180.4546,4220.6367,4071.2427,4434.94,4237.1216,4575.0605,4395.273,4282.4546,4484.909,3741.0305,4463.788,4173.2427,4236.091,4128.9395
1644842.4170017242,4179.9395,4221.1514,4065.576,4432.879,4235.5757,4574.546,4391.1514,4270.0913,4476.667,3735.3638,4463.273,4168.606,4230.4243,4123.273
1644854.2850017548,4182.515,4221.1514,4062.4849,4431.8486,4242.788,4574.546,4396.8184,4270.6064,4476.667,3728.6667,4462.2427,4167.5757,4235.0605,4125.8486
1644858.379125595,4184.576,4221.6665,4065.576,4428.758,4246.909,4574.546,4403.515,4281.9395,4479.2427,3732.7878,4462.2427,4170.667,4236.091,4129.9697
1644866.3382530212,4183.546,4218.0605,4063.515,4423.6064,4239.697,4574.546,4401.9697,4281.4243,4478.7275,3738.4548,4461.2124,4169.636,4233.0,4127.394
1644873.3296394348,4183.546,4217.5454,4062.4849,4424.1216,4233.515,4574.031,4401.4546,4278.3335,4481.8184,3740.5154,4460.6978,4171.182,4238.152,4131.0005
1644881.338596344,4188.6973,4221.1514,4070.7275,4428.2427,4236.091,4575.0605,4405.0605,4284.515,4492.121,3745.6667,4465.3335,4174.273,4242.273,4138.727
1644889.424085617,4186.6367,4217.0303,4070.2122,4426.6973,4235.0605,4575.0605,4404.546,4287.606,4497.273,3750.3032,4466.8794,4173.2427,4234.5454,4133.576
1644907.3581695557,4178.394,4210.334,4061.4543,4423.0913,4230.4243,4573.0,4401.9697,4285.031,4494.1816,3747.7273,4462.2427,4171.6973,4237.1216,4128.4243
1644909.2638492584,4177.879,4213.9395,4064.0305,4426.6973,4233.515,4578.667,4403.515,4286.0605,4495.7275,3746.697,4460.6978,4171.182,4250.515,4136.152
1644913.286447525,4180.9697,4221.6665,4068.667,4430.303,4238.152,4586.394,4401.4546,4286.0605,4499.3335,3750.8186,4464.303,4169.1216,4244.8486,4136.152
1644921.3292598724,4178.909,4220.121,4066.091,4427.7275,4239.182,4582.788,4394.758,4282.4546,4493.667,3749.273,4462.2427,4168.091,4231.4546,4123.788
1644929.871082306,4183.546,4218.0605,4067.6365,4430.303,4244.3335,4576.0913,4393.212,4280.394,4488.5156,3746.697,4460.6978,4170.667,4240.7275,4126.879
1644937.2437000275,4188.6973,4221.1514,4072.788,4435.97,4251.031,4578.152,4393.212,4283.485,4486.4546,3751.3335,4470.485,4173.2427,4250.515,4138.727
1644945.3339576721,4185.6064,4218.576,4071.7576,4433.394,4243.818,4578.152,4389.091,4283.485,4486.97,3754.4243,4480.273,4173.2427,4247.4243,4139.758
1644952.2631168365,4184.576,4215.485,4070.7275,4430.8184,4234.0303,4575.0605,4385.485,4284.515,4492.6367,3758.0305,4480.788,4180.4546,4250.515,4138.727
1644960.2708816528,4187.152,4218.0605,4072.2727,4432.364,4235.0605,4576.0913,4387.0303,4291.7275,4497.273,3762.667,4479.2427,4186.121,4256.697,4144.909
1644968.2512283325,4185.6064,4219.606,4071.2427,4430.303,4239.182,4577.121,4386.515,4290.6973,4495.2124,3760.091,4479.2427,4178.394,4252.0605,4144.3945
1644976.3622283936,4182.515,4217.5454,4069.1821,4425.152,4236.091,4575.0605,4382.909,4282.97,4493.667,3754.9397,4479.758,4171.6973,4248.9697,4139.758
1644984.3378067017,4180.9697,4218.576,4070.7275,4425.667,4235.0605,4575.0605,4382.909,4289.152,4497.788,3760.091,4478.7275,4175.8184,4259.788,4142.3335
1644992.3872947693,4179.4243,4220.121,4071.7576,4429.273,4246.909,4581.2427,4387.0303,4298.9395,4500.879,3768.3335,4478.2124,4177.879,4269.0605,4145.4243
1645008.4054470062,4180.9697,4218.576,4070.2122,4430.303,4253.6064,4584.849,4388.5757,4297.909,4498.3027,3770.394,4479.758,4172.7275,4257.2124,4143.364
1645009.2782974243,4182.0,4217.0303,4069.697,4426.6973,4242.788,4579.182,4386.0005,4295.8486,4496.242,3765.7578,4476.667,4170.1514,4245.879,4139.2427
1645015.334367752,4178.394,4216.0,4069.1821,4421.031,4232.485,4574.031,4386.515,4292.2427,4495.2124,3753.394,4464.819,4170.1514,4250.515,4136.152
1645023.2923030853,4174.273,4216.5156,4064.0305,4416.394,4234.0303,4577.636,4387.5454,4285.031,4489.031,3747.7273,4459.6665,4165.515,4246.394,4131.5156
1645031.2671661377,4175.303,4213.9395,4061.4543,4416.909,4233.515,4573.515,4381.364,4281.4243,4479.758,3752.8792,4463.788,4164.485,4234.0303,4127.909
1645047.173500061,4182.515,4206.727,4064.5454,4417.9395,4229.394,4566.303,4374.1514,4281.4243,4476.667,3753.394,4465.3335,4168.091,4239.182,4131.5156
1645048.3541488647,4188.1816,4207.758,4068.1516,4414.3335,4231.9697,4569.394,4378.2725,4282.97,4480.788,3749.7883,4467.394,4171.6973,4250.0,4139.758
1645062.439918518,4187.667,4219.606,4074.3333,4421.546,4238.152,4576.0913,4385.485,4286.5757,4491.0913,3752.3638,4476.152,4179.9395,4254.121,4142.848
1645063.3153915405,4188.6973,4223.2124,4081.0303,4434.4243,4240.2124,4584.849,4388.5757,4287.0913,4497.273,3759.0608,4483.364,4190.242,4254.636,4144.3945
1645075.5624771118,4189.2124,4212.3945,4075.8787,4422.576,4236.091,4589.485,4391.1514,4285.5454,4497.273,3763.1821,4481.8184,4184.0605,4253.6064,4148.5156
1645079.3280601501,4182.515,4210.334,4065.576,4405.5757,4233.515,4583.303,4391.1514,4287.606,4496.242,3762.1519,4472.5454,4172.2124,4252.5757,4142.848
1645086.4131450653,4172.7275,4219.091,4064.5454,4417.4243,4235.5757,4577.121,4388.5757,4281.9395,4489.546,3753.394,4466.8794,4169.636,4245.879,4129.4546
1645098.3881950378,4172.2124,4219.091,4066.091,4427.7275,4236.091,4578.152,4383.94,4269.5757,4478.7275,3744.1213,4464.303,4163.4546,4233.515,4123.273
