Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
108541.86058044434,3850.2427,4250.515,4170.1514,4411.2427,4302.0303,4548.273,4401.4546,4280.9097,4477.182,3732.7878,4418.4546,4171.6973,4217.0303,4112.4546
108548.8383769989,3853.3335,4251.031,4171.6973,4409.6973,4299.4546,4555.4854,4406.091,4280.394,4476.152,3733.3032,4420.0,4176.8486,4220.121,4115.0303
108556.85424804688,3863.6365,4252.0605,4176.3335,4416.394,4295.3335,4556.0,4406.6064,4280.394,4476.152,3738.97,4417.9395,4186.121,4223.2124,4115.0303
108564.95809555054,3865.697,4253.6064,4175.303,4417.4243,4304.091,4556.515,4407.121,4281.9395,4478.7275,3738.4548,4420.515,4186.6367,4220.121,4119.152
108573.1086730957,3860.5457,4252.5757,4172.2124,4410.7275,4316.4546,4556.515,4409.182,4281.4243,4480.273,3735.8792,4425.152,4184.0605,4225.273,4125.8486
108580.87348937988,3862.091,4248.9697,4171.182,4406.6064,4315.425,4557.031,4409.182,4283.485,4480.788,3741.5457,4424.6367,4185.6064,4232.485,4122.2427
108592.91338920593,3866.2122,4248.9697,4172.2124,4411.758,4305.1216,4556.515,4409.182,4285.5454,4482.3335,3747.7273,4426.6973,4186.6367,4225.788,4118.1216
108596.87566757202,3865.697,4252.5757,4173.758,4419.485,4302.0303,4548.788,4408.667,4284.515,4481.8184,3746.182,4432.364,4185.6064,4226.303,4122.2427
108605.1115989685,3865.697,4252.5757,4175.303,4420.0,4303.576,4542.6064,4408.667,4282.97,4479.2427,3742.0608,4430.303,4184.0605,4232.485,4124.303
108612.84399032593,3867.758,4251.546,4176.3335,4415.879,4298.9395,4546.2124,4409.6973,4281.9395,4479.758,3740.5154,4428.2427,4187.152,4225.273,4120.6973
108619.93622779846,3866.7273,4253.0913,4175.8184,4418.9697,4294.303,4547.2427,4408.667,4280.9097,4480.273,3741.0305,4431.3335,4190.242,4222.6973,4121.7275
108627.92706489563,3863.6365,4252.0605,4175.303,4422.061,4306.667,4543.636,4408.667,4282.4546,4478.2124,3741.5457,4431.8486,4182.515,4230.4243,4122.758
108635.94579696655,3862.6062,4253.0913,4174.788,4422.061,4321.091,4549.818,4410.2124,4280.9097,4479.758,3740.5154,4430.303,4174.273,4226.303,4116.5757
108644.9511051178,3863.1213,4252.5757,4172.2124,4417.9395,4310.2725,4554.97,4410.2124,4271.636,4475.6367,3734.8484,4428.2427,4172.7275,4217.0303,4109.364
108656.9254398346,3861.576,4242.273,4169.1216,4409.182,4295.3335,4548.273,4408.152,4264.9395,4468.4243,3729.1821,4425.667,4171.6973,4221.1514,4108.3335
108659.91544723511,3862.6062,4239.697,4169.636,4408.667,4299.9697,4545.182,4408.667,4270.0913,4472.5454,3731.7576,4429.273,4177.879,4222.6973,4114.0
108668.77126693726,3865.182,4251.031,4170.667,4413.303,4297.909,4547.7573,4410.7275,4278.3335,4481.8184,3733.818,4428.758,4184.576,4221.1514,4118.6367
108678.23243141174,3865.697,4254.121,4168.091,4412.273,4286.5757,4545.697,4408.667,4278.849,4478.2124,3729.1821,4421.031,4182.0,4225.788,4118.6367
108684.05842781067,3865.697,4248.9697,4168.606,4414.3335,4295.3335,4548.788,4410.7275,4280.9097,4476.152,3732.273,4423.0913,4181.485,4233.0,4121.7275
108690.8483505249,3867.758,4251.546,4173.758,4420.0,4311.8184,4558.5757,4416.909,4289.152,4491.0913,3745.1516,4434.4243,4190.758,4236.6064,4126.364
108701.00045204163,3866.7273,4251.031,4167.5757,4418.9697,4305.6367,4558.0605,4416.394,4292.2427,4497.273,3746.182,4436.485,4188.1816,4234.0303,4125.3335
108713.42873573303,3864.1516,4239.697,4155.212,4413.303,4298.4243,4557.031,4415.879,4283.485,4485.4243,3735.3638,4427.2124,4175.8184,4226.8184,4117.091
108716.91513061523,3862.6062,4233.515,4153.1514,4406.6064,4301.515,4563.2124,4418.9697,4273.697,4476.667,3730.2124,4418.4546,4170.1514,4220.121,4107.8184
