Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
311109.05504226685,4266.485,4249.4854,4169.1216,4428.758,4194.3633,4541.061,4377.2427,4299.4546,4455.5454,3756.4849,4431.8486,4203.6367,4220.6367,4109.364
311119.89998817444,4269.5757,4252.0605,4171.182,4433.9097,4199.5156,4544.152,4379.303,4301.0,4457.606,3760.091,4430.8184,4208.7876,4223.2124,4111.4243
311120.85604667664,4268.031,4253.0913,4170.667,4428.758,4187.667,4532.303,4376.727,4305.6367,4462.7583,3760.091,4426.6973,4211.364,4220.6367,4108.8486
311127.9191970825,4264.4243,4248.4546,4166.0303,4422.061,4176.3335,4525.091,4376.212,4310.2725,4464.819,3761.6362,4422.576,4207.242,4220.121,4107.8184
311135.84566116333,4262.364,4244.3335,4160.364,4423.0913,4183.0303,4531.273,4381.8794,4314.909,4465.3335,3769.3638,4427.7275,4203.6367,4222.6973,4107.8184
311143.9046859741,4260.303,4247.9395,4158.303,4425.152,4194.3633,4540.031,4388.061,4318.515,4467.909,3774.0,4433.394,4206.2124,4223.2124,4108.3335
311155.9467315674,4259.273,4252.0605,4162.4243,4426.182,4194.3633,4542.0913,4388.5757,4317.4854,4466.8794,3771.9395,4431.8486,4206.2124,4226.303,4109.364
311158.8876247406,4260.818,4249.4854,4169.1216,4429.273,4187.152,4539.515,4389.606,4314.3936,4463.273,3768.8486,4429.788,4203.6367,4233.515,4109.879
311167.4385070801,4266.485,4250.515,4174.273,4431.8486,4189.2124,4540.031,4393.727,4316.4546,4464.303,3768.8486,4434.94,4210.8486,4234.5454,4114.515
311175.87399482727,4266.485,4253.0913,4171.182,4428.758,4195.909,4544.667,4394.2427,4313.879,4460.6978,3764.7275,4435.455,4216.5156,4226.303,4116.5757
311183.158159256,4256.1816,4243.303,4158.819,4420.0,4189.7275,4539.0,4388.061,4300.485,4450.909,3756.4849,4427.2124,4205.6973,4219.091,4107.303
311190.8493041992,4248.9697,4234.0303,4155.212,4421.031,4181.485,4528.182,4379.8184,4293.788,4443.6973,3750.3032,4424.6367,4196.9395,4217.5454,4098.0303
311198.88186454773,4256.697,4241.2427,4168.091,4430.303,4192.8184,4532.8184,4379.303,4298.4243,4449.364,3755.4546,4431.3335,4207.242,4223.2124,4107.303
311210.88433265686,4267.515,4252.5757,4176.8486,4434.4243,4208.7876,4545.182,4386.515,4309.758,4465.8486,3768.8486,4441.6367,4219.091,4236.091,4120.6973
311226.90296173096,4268.546,4253.0913,4174.273,4437.0005,4201.0605,4543.636,4392.182,4323.1514,4478.2124,3778.6367,4448.334,4224.758,4244.3335,4126.879
311227.86355018616,4271.636,4252.0605,4181.485,4447.303,4193.8486,4539.515,4394.2427,4330.879,4481.303,3784.303,4451.4243,4232.485,4250.0,4136.6665
311230.80134391785,4275.242,4255.152,4189.7275,4450.909,4204.152,4543.636,4396.8184,4333.9697,4483.879,3787.3938,4452.455,4231.4546,4253.6064,4140.7876
311237.8134727478,4267.515,4253.0913,4179.4243,4440.606,4197.455,4543.636,4395.788,4332.425,4479.758,3779.667,4449.364,4221.6665,4245.879,4128.4243
311245.78070640564,4264.4243,4250.515,4167.5757,4431.3335,4182.515,4538.485,4391.6665,4322.1216,4466.364,3768.8486,4442.152,4217.0303,4235.5757,4120.6973
311253.9253234863,4271.636,4253.0913,4174.273,4438.5454,4193.8486,4539.515,4394.758,4313.364,4461.2124,3769.3638,4441.1216,4221.6665,4237.1216,4125.8486
311261.8262767792,4274.2124,4256.1816,4187.152,4446.273,4210.334,4543.636,4400.425,4314.909,4464.819,3772.9697,4448.334,4223.7275,4240.7275,4129.9697
311269.9155807495,4272.667,4255.152,4184.576,4439.576,4202.606,4541.5757,4396.8184,4316.4546,4464.303,3771.4243,4448.8486,4221.6665,4238.667,4126.879
311277.86016464233,4272.152,4252.5757,4174.788,4430.8184,4191.273,4531.273,4388.5757,4311.8184,4462.2427,3769.879,4442.6665,4220.121,4236.091,4124.8184
311285.8736515045,4267.515,4250.515,4170.667,4431.3335,4188.1816,4523.5454,4386.0005,4304.091,4460.6978,3768.8486,4437.5156,4218.0605,4236.6064,4122.758
311293.89238357544,4263.394,4247.4243,4170.667,4431.8486,4185.0913,4525.091,4385.485,4302.546,4462.2427,3768.3335,4441.6367,4219.091,4236.6064,4122.758
311301.89847946167,4264.9395,4247.9395,4172.2124,4430.8184,4187.667,4526.1216,4381.364,4312.333,4474.0913,3771.9395,4447.819,4220.6367,4237.636,4126.879
311313.8897418976,4265.97,4247.4243,4168.606,4430.8184,4189.2124,4522.5156,4380.848,4322.1216,4480.273,3774.0,4443.6973,4220.6367,4238.152,4125.8486
311317.83151626587,4264.9395,4244.8486,4165.0005,4430.8184,4188.6973,4522.5156,4384.9697,4323.1514,4476.152,3774.5151,4440.0913,4220.121,4236.6064,4122.758
311324.89943504333,4264.9395,4248.9697,4166.5454,4431.8486,4199.0,4528.182,4387.5454,4323.667,4478.7275,3777.091,4443.6973,4217.5454,4238.152,4123.788
311332.81207084656,4263.9097,4252.5757,4166.0303,4430.8184,4203.121,4529.2124,4386.0005,4322.636,4478.2124,3776.5762,4440.606,4210.8486,4237.1216,4119.152
311340.82436561584,4259.273,4242.788,4157.788,4429.273,4190.242,4528.6973,4385.485,4309.2427,4461.7275,3764.7275,4431.3335,4202.606,4225.788,4106.273
311348.78063201904,4254.636,4234.5454,4151.091,4421.546,4190.758,4539.515,4390.1216,4301.515,4454.5156,3755.4546,4424.6367,4195.394,4216.5156,4099.0605
311356.7705154419,4250.515,4232.485,4145.94,4405.0605,4204.152,4544.667,4392.697,4306.1514,4461.7275,3754.9397,4417.4243,4189.2124,4216.5156,4098.0303
311364.7553920746,4255.152,4233.515,4145.94,4408.152,4202.606,4531.788,4388.5757,4306.1514,4460.6978,3753.394,4414.3335,4192.3027,4216.0,4098.0303
