Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1163759.6826553345,4464.819,4236.091,4042.9094,4448.334,4274.7275,4574.546,4416.394,4294.303,4496.242,3767.8184,4466.364,4204.152,4282.4546,4152.1216
1163760.172843933,4460.182,4230.4243,4038.7883,4445.758,4262.879,4572.4854,4416.394,4277.303,4479.758,3753.394,4454.5156,4190.758,4265.97,4140.7876
1163768.4094905853,4457.091,4219.606,4033.1213,4441.6367,4262.879,4570.9395,4414.3335,4270.0913,4473.061,3737.9397,4437.5156,4183.0303,4250.515,4135.1216
1163776.1752605438,4457.606,4218.576,4032.0913,4435.455,4274.7275,4571.4546,4412.788,4279.364,4479.2427,3744.1213,4439.061,4186.6367,4252.5757,4136.6665
1163783.194065094,4462.7583,4227.3335,4038.7883,4441.6367,4277.303,4573.515,4420.515,4285.031,4481.8184,3756.4849,4450.909,4193.3335,4265.97,4145.4243
1163796.220779419,4463.788,4232.485,4044.97,4448.334,4270.0913,4574.546,4427.7275,4281.9395,4485.4243,3754.9397,4449.8794,4199.5156,4268.546,4153.6665
1163800.1964092255,4462.2427,4231.9697,4046.5151,4445.2427,4268.546,4573.0,4420.0,4288.636,4494.6973,3758.0305,4452.455,4203.6367,4268.031,4154.182
1163807.2881698608,4465.3335,4234.5454,4050.6362,4450.909,4271.636,4573.0,4418.9697,4299.4546,4503.97,3777.6064,4464.303,4205.6973,4279.364,4162.4243
1163815.263748169,4467.909,4238.667,4056.8184,4462.7583,4270.6064,4575.5757,4429.788,4304.6064,4512.2124,3787.3938,4468.94,4207.242,4290.182,4172.7275
1163823.1546878815,4467.394,4239.697,4055.7883,4463.273,4271.121,4577.121,4428.758,4305.6367,4510.152,3774.0,4464.819,4207.242,4285.031,4163.4546
1163831.2029838562,4463.273,4236.091,4045.485,4453.485,4270.0913,4574.546,4423.0913,4296.364,4495.7275,3755.4546,4457.091,4199.5156,4271.121,4154.182
1163839.4367694855,4454.0005,4231.9697,4036.2124,4447.303,4265.97,4573.515,4425.667,4284.0,4490.576,3752.8792,4448.334,4190.758,4263.9097,4153.6665
1163847.193479538,4450.3945,4225.788,4035.6968,4447.303,4266.485,4573.0,4421.546,4284.0,4497.273,3755.97,4445.758,4188.6973,4265.4546,4149.0303
1163854.400396347,4448.8486,4221.6665,4037.7573,4445.758,4266.485,4566.303,4412.788,4286.0605,4490.576,3747.7273,4446.7876,4187.667,4266.485,4145.94
1163862.1928691864,4449.8794,4227.3335,4037.2424,4446.7876,4266.485,4559.6064,4414.8486,4281.9395,4477.182,3746.697,4447.303,4189.7275,4264.4243,4148.0005
1163875.227689743,4458.6367,4235.5757,4042.394,4451.94,4268.031,4565.273,4417.4243,4281.4243,4482.8486,3758.0305,4449.364,4193.3335,4264.9395,4148.0005
1163878.1661987305,4461.7275,4235.5757,4047.0305,4452.455,4268.546,4575.0605,4415.879,4284.0,4495.7275,3759.5757,4450.3945,4194.3633,4267.515,4151.091
1163891.2253379822,4454.0005,4232.485,4042.9094,4449.8794,4269.0605,4574.546,4417.9395,4284.515,4495.7275,3757.0002,4451.94,4194.3633,4269.5757,4154.6973
1163895.1706886292,4452.9697,4233.0,4038.273,4447.819,4269.5757,4572.4854,4424.6367,4291.2124,4493.667,3765.7578,4456.576,4196.424,4271.636,4154.6973
1163902.1954536438,4461.2124,4233.0,4042.394,4447.819,4270.6064,4577.121,4427.7275,4297.394,4497.788,3769.3638,4455.0303,4197.97,4271.121,4155.727
1163910.2704524994,4464.303,4233.515,4047.5457,4447.819,4268.031,4574.546,4422.576,4290.6973,4496.758,3762.1519,4450.3945,4199.0,4270.6064,4155.212
1163918.1652069092,4464.303,4237.636,4049.091,4449.364,4265.4546,4561.667,4415.879,4282.97,4494.1816,3761.6362,4456.061,4204.6665,4272.152,4157.273
1163927.2511005402,4459.6665,4232.485,4046.5151,4448.334,4270.6064,4560.121,4415.879,4283.485,4489.031,3757.5151,4459.1514,4201.0605,4269.5757,4156.2427
1163937.1602535248,4456.576,4221.1514,4039.3035,4442.152,4273.697,4573.515,4417.9395,4284.0,4482.8486,3751.3335,4449.8794,4188.6973,4264.9395,4145.94
1163955.5368423462,4461.7275,4219.091,4035.6968,4434.94,4269.5757,4576.0913,4419.485,4286.0605,4487.4854,3756.4849,4445.2427,4185.6064,4264.9395,4141.303
1163956.1340808868,4460.6978,4220.6367,4034.6667,4431.8486,4265.97,4562.697,4415.879,4289.152,4496.758,3759.5757,4449.8794,4186.121,4265.97,4143.364
1163964.2052650452,4454.5156,4218.0605,4033.1213,4432.364,4264.4243,4557.031,4409.182,4285.5454,4494.6973,3755.97,4448.334,4185.0913,4259.273,4140.7876
1163966.1700725555,4456.061,4218.0605,4033.6362,4431.3335,4262.364,4565.273,4410.2124,4280.9097,4482.8486,3752.8792,4442.152,4184.576,4251.031,4137.6973
1163973.1485843658,4460.6978,4219.091,4034.1519,4430.303,4264.4243,4571.4546,4416.394,4282.4546,4479.758,3746.697,4439.576,4184.576,4253.6064,4138.2124
1163981.1897277832,4460.6978,4223.7275,4036.7273,4435.97,4267.0,4570.4243,4415.364,4287.606,4490.576,3751.3335,4447.303,4191.273,4264.4243,4143.879
