Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1357929.5930862427,4254.121,4219.091,4141.8184,4386.0005,4206.727,4527.152,4402.4854,4319.546,4492.121,3766.273,4393.727,4201.0605,4284.0,4115.0303
1357937.567472458,4255.152,4217.5454,4135.6367,4382.394,4194.879,4526.1216,4401.4546,4321.6064,4491.6064,3760.091,4392.182,4206.727,4284.0,4117.091
1357945.545911789,4264.9395,4220.6367,4138.2124,4383.94,4195.394,4526.1216,4403.515,4327.2725,4489.546,3762.667,4396.3037,4219.606,4291.2124,4123.788
1357953.5546302795,4268.031,4220.6367,4145.94,4386.515,4203.6367,4525.606,4401.9697,4324.182,4485.4243,3762.1519,4399.394,4221.6665,4296.364,4129.9697
1357961.5156650543,4270.0913,4226.303,4154.182,4392.182,4202.606,4525.606,4396.3037,4317.4854,4482.8486,3759.5757,4405.0605,4223.7275,4299.9697,4136.152
1357968.498468399,4283.485,4239.182,4167.061,4406.091,4202.606,4526.1216,4393.212,4323.667,4491.0913,3768.8486,4417.4243,4237.636,4311.303,4145.4243
1357976.5615463257,4289.667,4244.3335,4173.2427,4412.273,4212.909,4524.576,4391.6665,4326.2427,4498.8184,3778.6367,4424.6367,4242.273,4319.0303,4148.5156
1357984.477519989,4275.758,4238.667,4163.4546,4401.9697,4216.5156,4524.0605,4389.091,4315.94,4489.546,3772.4546,4415.364,4228.879,4307.182,4136.6665
1357992.5527572632,4263.394,4231.9697,4152.1216,4392.182,4205.6973,4526.6367,4392.697,4310.788,4481.8184,3761.1213,4402.4854,4215.485,4293.273,4119.667
1358000.5295276642,4264.9395,4227.3335,4154.6973,4393.727,4206.2124,4531.273,4399.394,4314.909,4490.576,3761.6362,4404.546,4208.273,4294.8184,4116.0605
1358008.465051651,4265.97,4221.6665,4155.212,4392.697,4210.8486,4530.758,4399.909,4317.4854,4496.242,3764.2124,4409.6973,4205.1816,4299.4546,4116.5757
1358016.5212154388,4256.697,4218.576,4146.9697,4385.485,4204.152,4528.6973,4398.879,4319.0303,4491.0913,3760.606,4404.546,4206.727,4296.879,4110.909
1358024.6169567108,4252.5757,4218.576,4148.5156,4385.485,4211.879,4533.3335,4401.9697,4320.061,4492.121,3764.7275,4403.0,4206.2124,4295.3335,4110.394
1358032.4878692627,4253.6064,4218.576,4150.061,4384.4546,4220.6367,4535.394,4401.4546,4316.9697,4494.6973,3769.879,4405.0605,4201.576,4295.3335,4112.4546
1358039.5560264587,4250.515,4216.5156,4148.0005,4381.364,4211.364,4529.7275,4395.273,4315.94,4492.6367,3762.1519,4400.425,4205.6973,4293.788,4113.485
1358047.8973388672,4254.636,4219.091,4157.788,4391.1514,4212.909,4527.667,4391.6665,4314.3936,4494.1816,3759.0608,4404.0303,4217.5454,4295.3335,4121.2124
1358055.585861206,4266.485,4228.364,4173.2427,4404.0303,4226.8184,4534.879,4392.182,4314.3936,4497.273,3768.3335,4417.9395,4222.1816,4302.0303,4127.909
1358063.5578632355,4270.6064,4236.6064,4176.8486,4405.5757,4224.758,4542.0913,4393.727,4318.515,4497.273,3772.9697,4421.031,4220.121,4309.758,4127.909
1358071.588754654,4267.0,4235.0605,4171.6973,4401.9697,4218.0605,4540.546,4393.212,4316.9697,4495.7275,3769.879,4416.394,4221.1514,4307.182,4127.909
1358079.5731544495,4267.0,4233.0,4170.1514,4404.0303,4222.6973,4533.3335,4388.5757,4313.879,4496.758,3771.4243,4416.909,4219.606,4300.485,4123.788
