Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
171597.20754623413,4297.394,4255.152,4190.242,4439.061,4275.758,4557.546,4390.636,4340.667,4513.2427,3744.1213,4482.3335,4251.031,4305.1216,4167.5757
171610.2476119995,4298.9395,4252.0605,4190.758,4436.485,4280.9097,4560.636,4395.788,4338.091,4511.6973,3745.6667,4484.394,4251.031,4309.758,4167.061
171613.20543289185,4287.606,4251.546,4189.2124,4432.879,4272.667,4548.788,4384.9697,4329.8486,4501.3945,3735.3638,4476.667,4239.182,4301.0,4157.788
171621.35648727417,4286.5757,4252.0605,4189.7275,4430.8184,4263.394,4542.6064,4376.212,4322.1216,4492.6367,3727.6365,4471.0005,4233.515,4294.303,4152.6367
171629.21023368835,4296.364,4251.546,4190.242,4434.94,4275.242,4546.7275,4383.4243,4315.94,4494.6973,3731.2427,4474.6064,4238.667,4298.4243,4156.2427
171638.3605003357,4296.879,4252.0605,4188.1816,4440.0913,4285.5454,4547.2427,4387.5454,4314.3936,4497.788,3733.818,4477.182,4239.697,4301.0,4159.3335
171644.25468444824,4291.7275,4251.031,4187.667,4439.576,4276.788,4549.303,4382.909,4319.0303,4496.242,3730.2124,4475.1216,4234.0303,4301.0,4157.273
171652.51541137695,4295.3335,4252.0605,4189.7275,4442.152,4274.7275,4554.4546,4386.515,4325.212,4497.788,3732.273,4477.6973,4239.182,4303.061,4158.303
171660.2292060852,4294.303,4259.273,4188.1816,4446.273,4276.273,4547.7573,4387.0303,4323.667,4496.242,3731.7576,4477.182,4248.4546,4298.9395,4164.485
171669.40546035767,4295.8486,4265.97,4193.3335,4449.364,4269.5757,4544.152,4382.909,4323.667,4495.2124,3731.7576,4475.1216,4250.0,4299.9697,4170.667
171676.3346195221,4306.1514,4270.0913,4205.6973,4452.455,4277.303,4557.546,4389.091,4331.909,4503.455,3740.0002,4482.8486,4253.0913,4313.879,4175.303
171684.2176914215,4306.1514,4270.6064,4202.0913,4454.0005,4289.152,4559.6064,4392.182,4333.4546,4504.485,3744.1213,4484.909,4252.5757,4314.3936,4173.758
171693.20845603943,4297.909,4266.485,4189.2124,4446.273,4279.364,4545.182,4386.515,4327.788,4495.7275,3731.7576,4473.061,4241.7573,4299.9697,4171.182
171700.20723342896,4297.909,4269.0605,4188.6973,4433.9097,4268.546,4541.5757,4385.485,4325.7275,4493.667,3715.788,4466.8794,4240.7275,4297.909,4169.636
171708.2371711731,4298.9395,4272.152,4191.273,4434.4243,4265.4546,4545.697,4387.5454,4323.667,4496.242,3718.879,4469.4546,4248.4546,4303.061,4162.94
171716.1943912506,4290.182,4261.3335,4186.6367,4444.2124,4263.394,4544.152,4384.9697,4320.5757,4494.1816,3731.2427,4470.485,4241.2427,4299.4546,4155.727
171724.17402267456,4283.485,4251.031,4184.576,4447.303,4274.2124,4544.152,4382.909,4323.667,4493.667,3733.818,4466.8794,4232.485,4295.3335,4154.182
171736.8061542511,4283.485,4252.5757,4186.6367,4444.2124,4288.121,4553.9395,4387.5454,4325.212,4496.758,3734.3335,4467.394,4235.5757,4296.879,4153.6665
171739.20679092407,4282.97,4255.152,4187.152,4444.2124,4286.5757,4558.0605,4389.606,4323.667,4496.758,3738.97,4473.061,4236.6064,4298.4243,4151.606
171748.22735786438,4284.0,4252.5757,4187.667,4447.303,4277.8184,4548.273,4381.8794,4326.2427,4495.7275,3740.5154,4476.667,4235.0605,4298.9395,4153.1514
171756.28185272217,4285.5454,4252.5757,4190.242,4448.334,4277.303,4543.1216,4376.727,4331.394,4499.849,3737.4246,4477.6973,4239.182,4300.485,4156.2427
171763.2246017456,4284.515,4258.7573,4191.273,4447.819,4279.879,4547.7573,4383.94,4332.9395,4506.5454,3735.3638,4479.758,4240.2124,4301.515,4157.788
171781.23950958252,4285.031,4266.485,4189.7275,4447.819,4274.7275,4548.273,4387.5454,4330.3643,4502.4243,3731.2427,4476.152,4237.636,4302.546,4157.788
171782.17792510986,4285.5454,4266.485,4187.667,4447.303,4273.1816,4544.667,4383.94,4327.2725,4495.2124,3727.6365,4467.909,4235.5757,4298.4243,4151.606
171788.6300086975,4281.4243,4257.2124,4186.121,4441.1216,4280.394,4547.7573,4384.4546,4325.7275,4495.2124,3724.0308,4463.273,4228.879,4287.0913,4142.3335
171795.5777645111,4278.3335,4251.031,4183.546,4436.485,4284.0,4553.9395,4387.0303,4326.2427,4495.7275,3721.9697,4461.7275,4220.121,4282.97,4139.2427
171803.66158485413,4281.9395,4252.0605,4184.0605,4439.061,4280.9097,4555.4854,4387.5454,4327.788,4494.6973,3726.0913,4462.7583,4223.7275,4292.2427,4141.303
171810.24479866028,4284.515,4254.636,4187.667,4439.061,4277.8184,4557.546,4388.061,4328.8184,4495.2124,3726.0913,4465.8486,4233.515,4295.8486,4142.848
171823.4040737152,4281.4243,4253.6064,4188.1816,4435.455,4272.667,4554.97,4387.5454,4327.2725,4494.6973,3719.394,4463.788,4234.0303,4290.6973,4142.848
171827.16035842896,4279.364,4250.515,4186.121,4432.879,4266.485,4547.2427,4384.9697,4328.303,4494.1816,3718.879,4459.6665,4232.485,4293.788,4141.303
171838.04965019226,4281.4243,4250.515,4185.0913,4429.788,4267.0,4548.273,4383.94,4329.3335,4494.1816,3726.0913,4463.788,4235.0605,4297.394,4144.909
171842.2417640686,4281.9395,4252.0605,4187.152,4428.758,4275.242,4558.0605,4389.606,4329.8486,4498.8184,3731.2427,4474.0913,4237.1216,4298.4243,4153.6665
171850.21781921387,4282.97,4254.636,4189.7275,4437.0005,4284.0,4560.636,4393.727,4335.0,4510.152,3735.8792,4480.273,4239.182,4307.6973,4158.303
171858.24275016785,4283.485,4253.6064,4187.667,4445.2427,4286.0605,4558.0605,4389.606,4337.5757,4515.303,3738.97,4481.8184,4240.2124,4312.333,4155.212
171866.21046066284,4282.97,4252.0605,4184.0605,4442.152,4281.4243,4554.97,4384.9697,4333.9697,4506.5454,3735.3638,4476.667,4236.6064,4304.091,4150.061
171878.17978858948,4281.4243,4251.031,4186.121,4435.455,4272.152,4546.7275,4381.364,4326.7573,4496.758,3725.061,4464.819,4226.8184,4292.2427,4142.3335
171881.2005519867,4274.2124,4250.515,4185.0913,4432.879,4266.485,4547.7573,4378.2725,4321.6064,4495.2124,3721.4546,4459.1514,4218.0605,4284.515,4133.576
