Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
693076.0984420776,4301.515,4253.0913,4182.515,4480.273,4267.0,4508.0913,4441.6367,4316.9697,4527.152,3756.4849,4478.7275,4263.394,4299.9697,4154.182
693083.9674472809,4302.546,4253.0913,4182.515,4477.182,4269.5757,4512.2124,4441.1216,4316.4546,4522.5156,3757.0002,4471.0005,4259.788,4299.4546,4156.2427
693096.6923236847,4293.273,4248.9697,4176.3335,4463.788,4268.546,4508.606,4436.485,4309.2427,4509.6367,3746.697,4463.788,4251.031,4289.667,4150.576
693099.5371341705,4291.2124,4249.4854,4175.8184,4462.2427,4263.394,4499.3335,4434.4243,4299.4546,4508.0913,3739.485,4461.7275,4250.0,4281.4243,4139.758
693126.894235611,4291.2124,4252.0605,4180.9697,4466.8794,4269.5757,4505.0,4433.394,4301.0,4512.2124,3746.697,4462.7583,4252.5757,4282.4546,4140.273
693128.466129303,4285.5454,4250.515,4179.9395,4462.7583,4275.242,4513.2427,4432.364,4308.212,4511.1816,3752.8792,4463.273,4251.031,4286.0605,4145.4243
693131.4249038696,4287.606,4250.515,4175.8184,4468.94,4270.6064,4512.2124,4438.5454,4312.333,4511.1816,3749.273,4465.3335,4250.515,4285.5454,4144.909
693131.502866745,4293.273,4255.667,4177.879,4478.7275,4269.0605,4511.6973,4441.6367,4311.303,4512.727,3745.1516,4462.7583,4252.0605,4285.031,4141.303
693139.4889354706,4288.121,4252.0605,4178.394,4470.485,4268.546,4510.6665,4435.97,4304.091,4510.6665,3743.091,4455.5454,4247.9395,4282.97,4138.2124
693147.6004123688,4281.9395,4240.7275,4175.303,4460.182,4261.8486,4508.0913,4430.303,4302.0303,4507.576,3741.0305,4454.5156,4241.7573,4281.9395,4137.182
693154.5557975769,4284.515,4241.2427,4175.303,4463.273,4264.4243,4507.576,4430.8184,4309.2427,4511.1816,3745.1516,4461.7275,4244.3335,4286.0605,4141.8184
693162.6393795013,4289.152,4249.4854,4176.3335,4465.3335,4268.546,4503.97,4432.364,4306.667,4512.727,3746.697,4466.364,4251.031,4286.5757,4144.3945
693170.4561710358,4293.273,4251.546,4175.303,4463.273,4264.4243,4502.9395,4429.788,4299.9697,4509.121,3743.091,4458.6367,4249.4854,4285.031,4143.879
693183.5656166077,4291.7275,4250.515,4177.364,4463.788,4272.152,4509.121,4430.303,4302.546,4504.485,3742.0608,4451.94,4242.788,4285.5454,4142.3335
693187.531709671,4285.5454,4252.5757,4175.8184,4463.788,4279.364,4510.152,4428.758,4299.4546,4498.8184,3733.818,4449.364,4236.091,4279.879,4135.6367
693194.5230960846,4279.364,4245.364,4172.7275,4462.2427,4270.0913,4506.031,4424.1216,4289.667,4491.6064,3721.9697,4443.6973,4231.4546,4267.515,4126.364
693202.5532722473,4271.121,4236.091,4170.667,4460.6978,4265.97,4506.031,4424.6367,4293.788,4491.0913,3729.1821,4440.606,4230.4243,4265.4546,4121.7275
693221.568107605,4270.0913,4244.3335,4172.7275,4460.182,4269.5757,4507.576,4426.182,4301.0,4500.879,3743.6062,4443.6973,4231.9697,4275.758,4125.3335
693233.482837677,4275.758,4248.9697,4169.636,4462.7583,4269.0605,4511.1816,4426.182,4299.9697,4508.0913,3747.2122,4452.455,4236.6064,4282.4546,4128.9395
693241.5618896484,4272.152,4239.182,4169.1216,4457.606,4267.515,4507.576,4425.667,4299.9697,4502.4243,3746.182,4455.0303,4238.152,4279.879,4127.394
693243.4687614441,4270.6064,4240.2124,4173.2427,4449.8794,4264.9395,4497.273,4427.7275,4301.0,4493.152,3742.576,4451.4243,4235.5757,4276.788,4128.4243
693245.5122470856,4280.9097,4252.5757,4175.8184,4454.0005,4262.364,4499.849,4425.667,4300.485,4499.3335,3741.5457,4454.0005,4241.2427,4277.8184,4134.606
693250.9126663208,4288.636,4252.5757,4175.8184,4466.8794,4269.0605,4509.121,4426.182,4308.212,4511.6973,3749.7883,4461.2124,4251.031,4286.5757,4143.364
693257.5504779816,4293.788,4251.031,4179.4243,4476.152,4272.152,4512.727,4434.4243,4320.061,4515.8184,3758.0305,4472.0303,4255.152,4296.879,4152.6367
693265.5644416809,4298.4243,4258.2427,4185.0913,4479.758,4268.031,4509.121,4433.9097,4316.4546,4513.2427,3757.0002,4478.7275,4254.636,4301.515,4158.303
693273.5741138458,4298.4243,4257.7275,4182.515,4474.6064,4264.9395,4500.879,4422.576,4302.546,4503.97,3749.7883,4475.1216,4254.121,4297.909,4155.212
693281.5701961517,4293.788,4253.6064,4177.364,4466.364,4265.4546,4500.364,4418.4546,4297.909,4499.849,3745.1516,4464.303,4254.636,4288.121,4147.485
693289.4632816315,4287.0913,4254.636,4174.788,4464.819,4270.0913,4509.121,4427.2124,4299.9697,4507.0605,3747.2122,4462.7583,4250.0,4284.0,4141.8184
693297.601222992,4285.5454,4255.152,4176.8486,4464.819,4269.5757,4512.727,4432.364,4301.515,4510.6665,3750.8186,4464.303,4243.818,4290.182,4142.848
693305.597782135,4293.273,4255.667,4177.879,4470.485,4268.031,4511.1816,4432.879,4310.2725,4511.1816,3754.9397,4463.273,4246.909,4298.4243,4151.091
693331.5894603729,4299.9697,4261.3335,4179.9395,4474.0913,4276.788,4513.2427,4435.455,4319.0303,4518.909,3758.5454,4472.0303,4254.121,4301.515,4157.788
