Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
282534.28530693054,4257.7275,4203.6367,4131.5156,4391.6665,4199.5156,4527.152,4383.4243,4299.4546,4480.273,3754.9397,4418.9697,4249.4854,4259.273,4111.9395
282537.24241256714,4251.546,4207.758,4128.9395,4393.727,4205.6973,4526.6367,4376.727,4298.4243,4476.667,3749.7883,4415.364,4249.4854,4252.0605,4108.3335
282545.2070236206,4256.1816,4213.9395,4132.031,4399.394,4217.5454,4526.1216,4374.1514,4295.8486,4476.152,3750.8186,4419.485,4250.0,4255.152,4115.0303
282553.6606311798,4266.485,4216.0,4137.182,4399.909,4218.0605,4526.6367,4375.182,4298.4243,4483.364,3760.606,4430.303,4257.2124,4273.1816,4122.758
282561.26618385315,4270.0913,4219.091,4141.8184,4403.0,4211.364,4529.2124,4375.182,4304.6064,4494.1816,3771.9395,4442.6665,4269.5757,4286.0605,4133.061
282569.367647171,4266.485,4220.6367,4143.364,4408.667,4216.5156,4530.2427,4374.6665,4304.091,4496.758,3774.5151,4444.2124,4271.636,4285.031,4137.182
282577.2523880005,4264.9395,4219.606,4142.3335,4405.0605,4221.6665,4527.152,4375.6973,4300.485,4493.667,3771.9395,4434.94,4261.8486,4279.364,4128.4243
282585.1962566376,4264.9395,4220.6367,4141.303,4400.425,4211.879,4526.6367,4375.6973,4301.0,4494.1816,3770.394,4432.879,4256.697,4278.3335,4124.303
282597.2981452942,4262.364,4218.0605,4134.0913,4401.9697,4203.6367,4527.667,4374.1514,4303.576,4491.0913,3767.8184,4441.1216,4263.9097,4284.0,4129.4546
282600.3577709198,4258.7573,4210.8486,4127.909,4400.9395,4203.6367,4527.152,4375.6973,4296.879,4482.3335,3762.667,4441.6367,4264.9395,4282.4546,4128.4243
282613.2233142853,4257.2124,4206.2124,4128.9395,4396.3037,4200.5454,4528.182,4376.727,4286.0605,4476.152,3758.0305,4433.394,4255.667,4273.1816,4123.273
282616.1165237427,4253.6064,4204.6665,4124.8184,4391.6665,4200.031,4521.485,4366.4243,4281.9395,4467.909,3750.8186,4428.758,4248.9697,4265.4546,4118.1216
282624.2277622223,4248.9697,4202.606,4120.182,4389.606,4199.5156,4512.2124,4360.2427,4282.4546,4465.3335,3743.6062,4424.6367,4247.9395,4262.364,4113.485
282637.12763786316,4250.515,4202.606,4122.758,4390.1216,4191.788,4514.2734,4368.485,4285.5454,4474.6064,3747.2122,4423.6064,4247.4243,4262.364,4113.485
282640.18654823303,4252.0605,4204.6665,4122.758,4390.1216,4187.152,4523.0303,4372.606,4291.2124,4480.788,3754.4243,4427.7275,4247.9395,4265.97,4111.4243
282648.202419281,4250.515,4202.606,4123.273,4393.727,4187.152,4525.091,4367.9697,4297.909,4479.2427,3756.4849,4431.3335,4250.0,4269.0605,4109.879
282656.201839447,4255.152,4204.6665,4132.5454,4400.425,4190.758,4524.576,4369.0005,4299.4546,4482.3335,3757.5151,4434.94,4252.5757,4269.5757,4120.6973
282668.27750205994,4266.485,4211.879,4138.727,4403.515,4200.5454,4525.606,4374.6665,4298.4243,4483.364,3758.0305,4434.94,4254.636,4271.636,4130.485
282672.40500450134,4266.485,4211.364,4135.6367,4399.394,4205.6973,4526.1216,4374.6665,4296.364,4478.2124,3749.7883,4425.152,4253.0913,4269.0605,4123.788
