Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
170122.34139442444,4251.546,4216.5156,4043.9395,4417.9395,4250.0,4487.4854,4322.1216,4283.485,4450.3945,3630.273,4418.4546,4234.0303,4257.2124,4124.8184
170131.4151287079,4251.546,4217.5454,4041.879,4415.879,4249.4854,4488.0,4322.636,4284.0,4448.334,3621.0,4416.394,4235.0605,4261.8486,4125.3335
170137.348651886,4252.0605,4224.2427,4045.485,4417.9395,4246.394,4492.6367,4324.182,4278.849,4446.7876,3618.9395,4415.879,4236.091,4256.697,4125.3335
170145.40910720825,4260.818,4223.7275,4051.6672,4428.2427,4247.9395,4494.1816,4326.2427,4281.4243,4450.3945,3625.121,4422.061,4237.636,4253.6064,4127.909
170153.36084365845,4263.394,4220.121,4055.2727,4433.9097,4257.2124,4493.667,4328.8184,4284.515,4452.455,3626.1514,4425.667,4238.152,4254.636,4127.909
170162.42957115173,4252.5757,4219.606,4053.2122,4432.364,4251.031,4493.667,4326.2427,4273.697,4443.6973,3618.4246,4420.0,4235.0605,4250.515,4122.758
170169.75688934326,4253.0913,4219.606,4053.2122,4432.364,4254.121,4494.1816,4322.1216,4269.5757,4439.061,3619.4548,4423.6064,4236.091,4256.1816,4125.3335
170177.47688293457,4265.4546,4222.6973,4055.7883,4437.5156,4272.152,4495.2124,4323.667,4284.515,4450.909,3631.8184,4435.455,4240.2124,4268.546,4134.606
170185.37425994873,4262.364,4223.7275,4054.7578,4436.485,4267.0,4495.7275,4325.212,4290.182,4457.091,3632.3335,4433.394,4239.697,4267.0,4134.606
170193.46117973328,4251.546,4219.091,4050.121,4427.7275,4251.031,4495.7275,4323.1514,4279.364,4448.334,3621.0,4421.546,4236.091,4261.3335,4127.909
170201.29442214966,4252.5757,4216.0,4050.6362,4425.152,4252.0605,4496.242,4323.667,4279.879,4450.3945,3626.1514,4422.061,4236.091,4263.394,4126.364
170208.313703537,4255.667,4217.5454,4052.1821,4431.8486,4260.303,4496.242,4328.8184,4294.303,4462.7583,3639.0303,4429.273,4237.636,4266.485,4126.879
170216.37296676636,4253.0913,4219.091,4050.6362,4431.8486,4267.0,4502.9395,4331.909,4302.546,4469.9697,3638.0,4431.3335,4238.667,4268.031,4129.4546
170224.33400154114,4251.031,4219.091,4047.5457,4424.1216,4264.9395,4511.1816,4334.4854,4302.0303,4471.515,3635.4243,4430.8184,4237.636,4268.031,4132.5454
170232.36346244812,4253.6064,4219.091,4048.5757,4426.182,4258.2427,4510.152,4337.0605,4298.4243,4466.8794,3634.394,4430.8184,4235.5757,4265.97,4131.0005
170240.31901359558,4255.152,4217.0303,4050.6362,4433.394,4264.4243,4510.152,4338.091,4300.485,4463.273,3633.3638,4430.8184,4237.1216,4265.4546,4127.394
170248.3787536621,4253.0913,4213.9395,4047.5457,4429.273,4274.2124,4509.6367,4336.0303,4302.0303,4466.364,3634.394,4429.788,4236.091,4265.97,4128.4243
170260.67519187927,4258.2427,4216.0,4047.5457,4421.031,4264.9395,4499.849,4330.3643,4289.667,4461.7275,3624.0908,4429.788,4233.515,4264.9395,4129.4546
170264.3642425537,4269.5757,4222.6973,4053.7278,4425.667,4261.8486,4498.8184,4327.788,4283.485,4453.485,3616.879,4431.8486,4240.7275,4265.97,4133.061
170272.32813835144,4270.6064,4222.6973,4055.7883,4434.4243,4269.0605,4510.152,4331.394,4298.4243,4465.3335,3630.788,4432.364,4250.515,4267.0,4139.2427
170284.30008888245,4263.9097,4217.5454,4052.1821,4433.394,4269.0605,4512.2124,4336.0303,4306.667,4478.7275,3643.1514,4434.94,4250.0,4268.031,4139.758
170287.28985786438,4269.0605,4223.7275,4054.7578,4433.9097,4274.7275,4508.606,4337.5757,4298.9395,4478.2124,3639.0303,4444.2124,4250.515,4273.1816,4139.758
170296.5133190155,4279.364,4236.091,4058.879,4440.606,4282.4546,4512.727,4339.121,4297.394,4476.667,3637.4849,4447.303,4254.636,4273.697,4142.3335
170303.34854125977,4275.758,4234.0303,4055.2727,4439.061,4271.636,4514.788,4336.546,4298.9395,4468.94,3638.5151,4434.94,4251.031,4268.031,4140.273
170311.29097938538,4270.6064,4226.303,4052.6973,4432.879,4267.0,4511.1816,4330.879,4294.8184,4460.182,3636.4546,4429.788,4247.4243,4264.9395,4137.182
170319.94891166687,4277.8184,4226.8184,4054.7578,4435.97,4282.97,4509.6367,4329.8486,4296.879,4468.4243,3641.606,4441.1216,4252.5757,4268.546,4139.758
170327.53586769104,4281.4243,4229.394,4054.7578,4443.182,4287.0913,4510.6665,4330.879,4306.1514,4481.303,3651.394,4448.334,4254.121,4273.697,4143.364
170335.28876304626,4273.697,4229.909,4053.7278,4445.758,4276.788,4512.727,4332.425,4307.182,4481.303,3656.0303,4448.334,4252.5757,4281.4243,4143.364
170342.58198738098,4270.6064,4226.303,4054.7578,4442.152,4277.303,4512.2124,4332.425,4300.485,4478.7275,3649.8486,4448.334,4254.121,4282.97,4140.7876
170351.35912895203,4267.0,4219.606,4051.6672,4434.4243,4273.1816,4509.6367,4328.303,4297.394,4478.2124,3640.5757,4439.576,4248.4546,4271.121,4132.5454
170358.27946662903,4263.394,4218.0605,4047.0305,4431.8486,4260.303,4511.1816,4330.3643,4301.515,4477.182,3638.0,4431.8486,4238.667,4263.9097,4124.8184
170367.31696128845,4265.4546,4220.6367,4047.0305,4426.6973,4261.3335,4513.2427,4337.0605,4303.576,4478.2124,3637.4849,4430.8184,4235.0605,4265.4546,4123.273
170375.43296813965,4259.273,4217.0303,4044.97,4414.3335,4266.485,4511.1816,4332.9395,4297.394,4474.0913,3632.8486,4427.2124,4235.5757,4263.394,4122.758
170382.3516368866,4251.031,4215.485,4046.5151,4418.4546,4267.515,4509.6367,4327.2725,4297.394,4466.8794,3634.394,4428.2427,4236.091,4263.394,4123.273
170390.33818244934,4252.0605,4219.091,4052.6973,4433.394,4270.6064,4512.2124,4332.425,4298.4243,4466.364,3640.5757,4435.455,4237.636,4268.546,4127.394
170398.3838558197,4258.2427,4217.5454,4053.7278,4431.8486,4269.0605,4513.2427,4331.909,4288.121,4465.8486,3638.0,4438.5454,4242.788,4268.546,4126.879
170406.32843971252,4263.9097,4223.2124,4052.1821,4429.788,4270.0913,4513.2427,4326.2427,4280.9097,4463.273,3636.4546,4440.606,4250.0,4268.546,4129.9697
170414.37602043152,4269.0605,4234.0303,4056.3032,4439.576,4280.394,4513.2427,4330.3643,4285.5454,4465.8486,3639.5454,4442.152,4255.152,4271.121,4139.2427
170422.33419418335,4269.0605,4228.879,4057.8489,4439.061,4278.849,4512.727,4332.425,4286.5757,4469.4546,3638.5151,4439.576,4253.6064,4268.546,4139.2427
170430.21965026855,4268.031,4219.091,4052.1821,4431.3335,4267.515,4513.2427,4328.303,4285.5454,4467.394,3635.9395,4444.2124,4252.0605,4269.5757,4137.182
170437.340259552,4268.546,4220.6367,4051.1516,4431.3335,4268.031,4514.2734,4328.8184,4288.121,4465.3335,3635.4243,4444.2124,4252.0605,4271.636,4139.2427
