Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
637661.4663600922,4286.0605,4265.4546,4174.788,4463.273,4265.97,4545.182,4435.455,4333.9697,4493.667,3815.7275,4462.7583,4240.7275,4290.182,4141.8184
637666.0413742065,4285.031,4264.9395,4175.303,4465.3335,4268.546,4557.546,4436.485,4340.1514,4501.9097,3816.7578,4464.819,4242.273,4291.7275,4143.364
637678.1222820282,4283.485,4261.8486,4176.8486,4465.8486,4278.3335,4559.6064,4439.576,4342.7275,4502.9395,3817.273,4466.8794,4238.152,4292.2427,4142.3335
637681.6005706787,4279.879,4255.152,4176.8486,4462.7583,4271.121,4546.7275,4438.031,4337.5757,4497.273,3818.3035,4465.8486,4235.5757,4286.5757,4136.152
637690.7036304474,4275.242,4248.9697,4172.7275,4456.576,4264.4243,4544.152,4435.455,4329.8486,4495.7275,3817.788,4461.7275,4234.5454,4282.97,4131.5156
637706.8266868591,4277.303,4249.4854,4172.2124,4452.9697,4276.788,4551.879,4435.455,4326.7573,4495.7275,3815.2124,4459.6665,4234.0303,4282.4546,4135.1216
637706.9661617279,4282.4546,4253.0913,4176.3335,4455.5454,4284.0,4555.4854,4436.485,4329.8486,4492.6367,3815.2124,4461.7275,4235.5757,4282.97,4138.727
637719.4881439209,4285.031,4253.0913,4177.879,4464.303,4282.4546,4557.546,4438.5454,4332.9395,4494.1816,3818.3035,4464.303,4237.1216,4286.5757,4138.727
637721.8017578125,4287.0913,4255.152,4175.8184,4461.2124,4282.4546,4554.4546,4439.576,4330.3643,4494.1816,3815.7275,4464.819,4235.5757,4290.182,4139.758
637728.7681102753,4287.606,4256.1816,4173.758,4448.334,4277.303,4546.2124,4437.0005,4325.212,4488.5156,3809.5457,4462.7583,4236.091,4284.515,4141.303
637736.6580963135,4285.5454,4254.121,4175.8184,4452.455,4275.242,4544.152,4434.94,4325.212,4488.0,3813.1516,4461.7275,4237.1216,4281.4243,4140.7876
637744.6174621582,4285.031,4252.5757,4175.8184,4466.364,4283.485,4546.7275,4437.5156,4331.909,4495.7275,3821.3943,4464.819,4237.636,4286.0605,4141.8184
637753.5669803619,4285.031,4253.0913,4173.758,4466.8794,4283.485,4544.152,4437.0005,4336.546,4500.879,3821.9092,4465.8486,4237.636,4285.031,4142.3335
637761.396408081,4284.0,4259.273,4173.758,4464.303,4279.879,4540.546,4432.879,4332.9395,4498.3027,3817.788,4465.3335,4236.091,4282.4546,4140.7876
637768.6538696289,4284.515,4263.394,4178.394,4465.8486,4279.879,4539.515,4431.3335,4328.8184,4495.7275,3817.788,4469.4546,4239.182,4289.152,4141.8184
637776.7827510834,4285.031,4257.7275,4175.303,4462.2427,4273.697,4541.061,4432.364,4331.909,4498.3027,3817.788,4469.9697,4243.818,4293.788,4143.364
637783.6096286774,4285.031,4252.5757,4173.758,4460.6978,4265.97,4542.0913,4432.879,4332.9395,4498.8184,3817.273,4464.819,4240.7275,4286.5757,4140.7876
637791.9485569,4284.515,4255.667,4176.3335,4462.7583,4269.5757,4539.515,4433.394,4329.3335,4496.242,3816.7578,4462.7583,4235.5757,4281.9395,4139.2427
637799.6160984039,4284.0,4255.152,4177.364,4464.303,4278.3335,4540.546,4436.485,4330.3643,4503.455,3817.273,4465.3335,4236.6064,4286.0605,4142.848
637812.6838207245,4284.0,4249.4854,4173.758,4464.303,4281.9395,4543.636,4437.5156,4332.9395,4506.031,3816.7578,4465.8486,4239.182,4286.5757,4142.848
637827.7156352997,4284.515,4259.788,4175.303,4463.788,4277.303,4542.6064,4437.0005,4330.879,4498.3027,3815.7275,4464.819,4239.182,4284.515,4140.7876
637828.5872936249,4286.0605,4271.121,4178.394,4469.9697,4276.273,4543.1216,4440.606,4331.394,4499.849,3816.2427,4469.4546,4240.7275,4287.606,4145.4243
637832.5819969177,4286.5757,4260.303,4174.273,4469.4546,4279.879,4544.667,4442.6665,4329.8486,4502.4243,3810.0608,4466.8794,4236.6064,4285.5454,4143.364
637839.5791053772,4277.8184,4246.394,4169.636,4457.091,4274.7275,4540.546,4440.606,4323.1514,4496.758,3802.8486,4456.576,4231.4546,4281.4243,4134.0913
