Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3851232.8934669495,4218.0605,4235.0605,4162.4243,4404.0303,4287.606,4557.031,4393.727,4307.182,4478.7275,3753.9094,4367.9697,4252.5757,4266.485,4135.1216
3851240.932703018,4219.606,4236.6064,4171.6973,4404.0303,4303.061,4556.515,4390.636,4312.8486,4480.788,3758.5454,4374.6665,4252.5757,4271.121,4140.7876
3851248.8362789154,4218.0605,4237.1216,4167.5757,4402.4854,4293.273,4553.9395,4386.515,4308.7275,4477.6973,3753.9094,4363.848,4251.031,4262.364,4137.182
3851256.9828033447,4217.5454,4236.091,4166.5454,4403.515,4283.485,4554.4546,4387.0303,4307.182,4480.273,3753.394,4363.3335,4250.0,4263.394,4139.2427
3851265.8133506775,4219.091,4237.636,4174.273,4403.515,4295.3335,4558.0605,4391.1514,4314.3936,4485.9395,3757.0002,4371.061,4252.0605,4270.0913,4148.0005
3851272.848844528,4220.121,4238.152,4171.6973,4400.425,4292.2427,4556.515,4391.6665,4315.94,4485.9395,3755.4546,4364.879,4250.0,4267.0,4146.9697
3851280.946493149,4219.606,4235.0605,4163.4546,4396.8184,4276.273,4554.97,4395.273,4313.879,4489.546,3754.9397,4357.6665,4246.909,4263.394,4144.909
3851288.854598999,4215.485,4234.5454,4162.94,4392.182,4283.485,4559.0913,4399.909,4320.061,4497.788,3757.0002,4361.273,4246.909,4264.9395,4149.5454
3851296.933412552,4215.485,4236.091,4165.0005,4393.212,4295.3335,4558.5757,4398.3643,4325.212,4495.2124,3758.0305,4363.848,4248.9697,4268.031,4154.182
3851304.1944503784,4217.0303,4234.5454,4164.485,4397.3335,4288.121,4547.7573,4393.212,4319.546,4481.8184,3757.5151,4362.8184,4247.4243,4269.0605,4148.5156
3851312.5908374786,4209.8184,4229.909,4159.8486,4395.273,4278.3335,4542.0913,4388.5757,4314.3936,4475.6367,3749.273,4362.303,4246.394,4262.879,4139.2427
3851320.039510727,4203.6367,4232.485,4157.788,4392.697,4282.4546,4546.7275,4387.0303,4313.879,4478.2124,3740.0002,4362.303,4243.303,4255.152,4133.061
3851328.9144039154,4206.2124,4233.515,4159.3335,4395.273,4286.0605,4546.2124,4387.0303,4305.6367,4478.2124,3742.0608,4359.727,4241.7573,4252.5757,4131.5156
3851336.2073898315,4206.2124,4226.8184,4157.273,4395.273,4278.3335,4541.5757,4385.485,4298.4243,4477.182,3748.758,4360.2427,4244.8486,4255.152,4133.061
3851343.93286705,4202.0913,4227.3335,4156.2427,4395.788,4276.788,4548.273,4383.4243,4299.9697,4477.182,3751.8489,4367.4546,4246.909,4258.7573,4129.4546
3851351.91988945,4206.727,4235.0605,4161.909,4399.394,4291.7275,4559.6064,4388.5757,4301.515,4485.4243,3755.4546,4370.5454,4246.909,4263.9097,4127.394
