Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
645.0267,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146054.55,-179917.83,-187500.03,-141565.42,-187500.03,-187500.03,-187500.03
645.049,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146741.9,-179883.1,-187500.03,-143189.95,-187500.03,-187500.03,-187500.03
645.0714,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138001.94,-172861.7,-187500.03,-136505.97,-187500.03,-187500.03,-183092.33
645.09375,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136511.66,-172127.64,-187500.03,-134370.89,-187500.03,-187500.03,-180090.88
645.1161,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144658.28,-178862.39,-187500.03,-140405.33,-187500.03,-187500.03,-187500.03
645.1384,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147872.5,-180876.27,-187500.03,-143915.31,-187500.03,-187500.03,-187500.03
645.16077,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139352.8,-173906.2,-187500.03,-137692.23,-187500.03,-187500.03,-184637.84
645.18317,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136131.6,-171740.89,-187500.03,-134267.53,-187500.03,-187500.03,-179975.94
645.2055,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143174.8,-177713.77,-187500.03,-139239.83,-187500.03,-187500.03,-186241.67
645.22784,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148601.78,-181570.08,-187500.03,-144322.9,-187500.03,-187500.03,-187500.03
645.2502,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140924.31,-175152.44,-187500.03,-139014.84,-187500.03,-187500.03,-186312.5
645.2725,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136085.56,-171637.86,-187500.03,-134444.89,-187500.03,-187500.03,-180226.78
645.2949,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141673.16,-176537.31,-187500.03,-138112.84,-187500.03,-187500.03,-184802.22
645.31726,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148878.66,-181926.12,-187500.03,-144379.9,-187500.03,-187500.03,-187500.03
645.3396,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142688.5,-176580.02,-187500.03,-140447.53,-187500.03,-187500.03,-187500.03
645.36194,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136380.45,-171817.73,-187500.03,-134904.1,-187500.03,-187500.03,-180839.34
645.38434,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140281.02,-175424.33,-187500.03,-137118.81,-187500.03,-187500.03,-183523.3
645.4067,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148679.48,-181913.3,-187500.03,-144077.36,-187500.03,-187500.03,-187500.03
645.429,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144524.66,-178103.94,-187500.03,-141882.81,-187500.03,-187500.03,-187500.03
645.45135,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137007.61,-172289.06,-187500.03,-135625.55,-187500.03,-187500.03,-181798.33
645.4737,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139118.86,-174484.92,-187500.03,-136355.23,-187500.03,-187500.03,-182532.19
645.4961,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148047.7,-181556.2,-187500.03,-143480.11,-187500.03,-187500.03,-187500.03
645.51843,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146262.72,-179580.2,-187500.03,-143201.25,-187500.03,-187500.03,-187500.03
645.5408,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137889.52,-172978.02,-187500.03,-136535.44,-187500.03,-187500.03,-182980.95
645.5631,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138150.14,-173687.83,-187500.03,-135767.25,-187500.03,-187500.03,-181759.2
645.58545,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146963.64,-180825.14,-187500.03,-142548.02,-187500.03,-187500.03,-187500.03
645.60785,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147708.47,-180854.38,-187500.03,-144222.77,-187500.03,-187500.03,-187500.03
645.6302,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138978.45,-173852.06,-187500.03,-137555.48,-187500.03,-187500.03,-184283.45
645.6525,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137444.14,-173094.92,-187500.03,-135388.56,-187500.03,-187500.03,-181256.78
645.67487,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145593.22,-179841.4,-187500.03,-141420.22,-187500.03,-187500.03,-187500.03
645.6972,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148808.58,-181865.73,-187500.03,-144929.58,-187500.03,-187500.03,-187500.03
645.7196,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140289.64,-174902.61,-187500.03,-138703.22,-187500.03,-187500.03,-185712.03
645.74194,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137019.7,-172707.73,-187500.03,-135237.25,-187500.03,-187500.03,-181059.17
645.7643,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144030.1,-178663.84,-187500.03,-140174.83,-187500.03,-187500.03,-187138.42
645.7866,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-149479.69,-182545.16,-187500.03,-145268.53,-187500.03,-187500.03,-187500.03
645.809,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141821.52,-176143.89,-187500.03,-139975.9,-187500.03,-187500.03,-187247.72
645.83136,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136906.88,-172568.94,-187500.03,-135344.14,-187500.03,-187500.03,-181205.84
645.8537,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142426.27,-177416.4,-187500.03,-138943.92,-187500.03,-187500.03,-185622.5
645.87604,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-149643.73,-182820.27,-187500.03,-145205.53,-187500.03,-187500.03,-187500.03
645.8984,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143477.97,-177492.77,-187500.03,-141286.86,-187500.03,-187500.03,-187500.03
645.9208,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137094.95,-172668.06,-187500.03,-135683.62,-187500.03,-187500.03,-181672.39
645.9431,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140913.83,-176206.92,-187500.03,-137821.47,-187500.03,-187500.03,-184223.72
645.96545,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-149299.27,-182683.33,-187500.03,-144754.17,-187500.03,-187500.03,-187500.03
645.9878,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145153.95,-178873.84,-187500.03,-142557.47,-187500.03,-187500.03,-187500.03
646.01013,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137573.81,-172999.42,-187500.03,-136242.98,-187500.03,-187500.03,-182424.58
646.03253,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139600.19,-175123.33,-187500.03,-136890.27,-187500.03,-187500.03,-183046.5
646.0549,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148504.8,-182171.17,-187500.03,-143976.58,-187500.03,-187500.03,-187500.03
646.0772,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146742.81,-180208.05,-187500.03,-143705.3,-187500.03,-187500.03,-187500.03
646.09955,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138335.88,-173570.31,-187500.03,-137009.73,-187500.03,-187500.03,-183440.7
646.1219,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138530.2,-174217.16,-187500.03,-136184.39,-187500.03,-187500.03,-182149.7
646.1443,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147310.1,-181321.06,-187500.03,-142927.75,-187500.03,-187500.03,-187500.03
646.1666,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-148128.73,-181397.8,-187500.03,-144651.92,-187500.03,-187500.03,-187500.03
646.18896,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139378.27,-174363.86,-187500.03,-137971.14,-187500.03,-187500.03,-184673.73
646.2113,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137756.61,-173526.45,-187500.03,-135731.69,-187500.03,-187500.03,-181573.33
646.2337,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145836.75,-180217.47,-187500.03,-141696.12,-187500.03,-187500.03,-187500.03
646.25604,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-149172.44,-182334.23,-187500.03,-145289.4,-187500.03,-187500.03,-187500.03
646.2784,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140671.61,-175371.66,-187500.03,-139091.81,-187500.03,-187500.03,-186066.97
