Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
6685.787,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129086.805,-169304.11,-187500.03,-129995.27,-187500.03,-187500.03,-178870.64
6685.809,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127516.82,-168514.44,-187500.03,-127878.875,-187500.03,-187500.03,-176492.03
6685.8315,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135669.33,-175229.66,-187500.03,-133664.22,-187500.03,-187500.03,-184109.94
6685.854,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138909.92,-177242.02,-187500.03,-137043.22,-187500.03,-187500.03,-187500.03
6685.8765,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130327.03,-170245.78,-187500.03,-131016.61,-187500.03,-187500.03,-180154.64
6685.8984,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127014.17,-168020.67,-187500.03,-127653.125,-187500.03,-187500.03,-176145.58
6685.921,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134032.67,-173953.22,-187500.03,-132395.1,-187500.03,-187500.03,-182482.7
6685.9434,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139496.92,-177809.8,-187500.03,-137291.16,-187500.03,-187500.03,-187500.03
6685.966,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131777.97,-171373.31,-187500.03,-132159.86,-187500.03,-187500.03,-181611.92
6685.9883,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-126827.64,-167782.6,-187500.03,-127681.64,-187500.03,-187500.03,-176120.55
6686.0103,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132376.23,-172629.73,-187500.03,-131157.05,-187500.03,-187500.03,-180877.8
6686.0327,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139600.1,-177998.22,-187500.03,-137171.52,-187500.03,-187500.03,-187500.03
6686.055,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133363.11,-172622.53,-187500.03,-133349.69,-187500.03,-187500.03,-183156.28
6686.0776,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-126948.34,-167794.08,-187500.03,-127938.914,-187500.03,-187500.03,-176396.14
6686.0996,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130815.266,-171357.11,-187500.03,-130026.984,-187500.03,-187500.03,-179401.95
6686.122,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139211.0,-177802.83,-187500.03,-136692.88,-187500.03,-187500.03,-187500.03
6686.1445,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134983.83,-173929.34,-187500.03,-134516.84,-187500.03,-187500.03,-184686.17
6686.167,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127367.836,-168052.86,-187500.03,-128419.695,-187500.03,-187500.03,-176953.33
6686.1895,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129439.22,-170202.69,-187500.03,-129072.234,-187500.03,-187500.03,-178139.05
6686.2114,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138372.53,-177236.22,-187500.03,-135900.83,-187500.03,-187500.03,-186942.98
6686.234,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136536.23,-175203.9,-187500.03,-135579.47,-187500.03,-187500.03,-186109.9
6686.2563,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128080.414,-168556.27,-187500.03,-129104.78,-187500.03,-187500.03,-177784.33
6686.279,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128323.914,-169240.84,-187500.03,-128346.74,-187500.03,-187500.03,-177158.64
6686.301,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137149.61,-176347.0,-187500.03,-134859.5,-187500.03,-187500.03,-185636.7
6686.323,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137880.83,-176336.62,-187500.03,-136446.72,-187500.03,-187500.03,-187285.02
6686.3457,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129071.984,-169288.52,-187500.03,-129977.21,-187500.03,-187500.03,-178856.22
6686.368,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127512.09,-168505.92,-187500.03,-127869.14,-187500.03,-187500.03,-176488.45
6686.39,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135665.39,-175221.16,-187500.03,-133655.81,-187500.03,-187500.03,-184107.34
6686.4126,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138904.67,-177234.34,-187500.03,-137036.12,-187500.03,-187500.03,-187500.03
6686.435,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130316.195,-170234.27,-187500.03,-131005.63,-187500.03,-187500.03,-180144.47
6686.4575,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127008.02,-168013.02,-187500.03,-127646.33,-187500.03,-187500.03,-176139.05
6686.48,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134029.23,-173949.17,-187500.03,-132390.0,-187500.03,-187500.03,-182477.45
6686.502,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139496.5,-177807.66,-187500.03,-137286.45,-187500.03,-187500.03,-187500.03
6686.5244,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131767.0,-171361.8,-187500.03,-132145.22,-187500.03,-187500.03,-181599.3
6686.547,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-126820.53,-167774.86,-187500.03,-127668.42,-187500.03,-187500.03,-176111.61
6686.5693,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132373.88,-172626.56,-187500.03,-131148.58,-187500.03,-187500.03,-180874.22
6686.5913,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139593.17,-177992.19,-187500.03,-137163.34,-187500.03,-187500.03,-187500.03
6686.614,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133338.75,-172603.22,-187500.03,-133329.05,-187500.03,-187500.03,-183131.27
6686.636,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-126937.57,-167784.42,-187500.03,-127925.37,-187500.03,-187500.03,-176381.33
6686.6587,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130842.28,-171375.4,-187500.03,-130041.586,-187500.03,-187500.03,-179425.52
6686.681,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139224.45,-177805.61,-187500.03,-136701.47,-187500.03,-187500.03,-187500.03
6686.703,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134937.08,-173886.7,-187500.03,-134477.78,-187500.03,-187500.03,-184642.22
6686.7256,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127344.4,-168034.48,-187500.03,-128391.76,-187500.03,-187500.03,-176926.53
6686.748,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129471.63,-170230.9,-187500.03,-129090.516,-187500.03,-187500.03,-178167.02
6686.7705,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138394.88,-177251.33,-187500.03,-135918.67,-187500.03,-187500.03,-186965.47
6686.7925,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136489.05,-175164.73,-187500.03,-135544.2,-187500.03,-187500.03,-186063.31
6686.815,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128051.18,-168532.39,-187500.03,-129075.23,-187500.03,-187500.03,-177748.55
6686.8374,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128350.41,-169261.69,-187500.03,-128358.01,-187500.03,-187500.03,-177177.92
6686.86,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137182.34,-176368.6,-187500.03,-134881.02,-187500.03,-187500.03,-185669.33
6686.8823,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137837.48,-176299.08,-187500.03,-136413.7,-187500.03,-187500.03,-187247.02
6686.9043,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129030.32,-169257.44,-187500.03,-129939.305,-187500.03,-187500.03,-178813.0
6686.927,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127525.24,-168519.53,-187500.03,-127872.32,-187500.03,-187500.03,-176497.72
6686.949,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135703.6,-175250.34,-187500.03,-133686.12,-187500.03,-187500.03,-184147.62
6686.9717,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138860.78,-177195.36,-187500.03,-137007.08,-187500.03,-187500.03,-187500.03
6686.9937,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130254.836,-170185.34,-187500.03,-130952.24,-187500.03,-187500.03,-180084.34
6687.016,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127017.08,-168022.56,-187500.03,-127640.02,-187500.03,-187500.03,-176145.48
6687.0386,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134099.06,-174001.33,-187500.03,-132437.38,-187500.03,-187500.03,-182551.77
6687.061,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139457.88,-177770.14,-187500.03,-137262.84,-187500.03,-187500.03,-187500.03
6687.0835,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131682.89,-171294.14,-187500.03,-132077.62,-187500.03,-187500.03,-181520.17
6687.1055,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-126812.35,-167768.4,-187500.03,-127651.93,-187500.03,-187500.03,-176099.5
6687.128,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132436.55,-172673.42,-187500.03,-131192.14,-187500.03,-187500.03,-180936.08
6687.1504,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139590.38,-177982.22,-187500.03,-137165.14,-187500.03,-187500.03,-187500.03
6687.173,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133279.97,-172553.28,-187500.03,-133281.38,-187500.03,-187500.03,-183077.47
