Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1378.9686,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135368.05,-173181.92,-187500.03,-134987.58,-187500.03,-187500.03,-182128.3
1378.991,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139151.36,-176676.89,-187500.03,-137063.48,-187500.03,-187500.03,-184678.92
1379.0133,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147591.4,-183137.06,-187500.03,-143886.83,-187500.03,-187500.03,-187500.03
1379.0356,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143479.81,-179365.31,-187500.03,-141737.44,-187500.03,-187500.03,-187500.03
1379.058,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135802.8,-173449.52,-187500.03,-135483.48,-187500.03,-187500.03,-182807.02
1379.0803,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137766.1,-175515.11,-187500.03,-136081.75,-187500.03,-187500.03,-183461.06
1379.1027,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146710.3,-182561.81,-187500.03,-143047.95,-187500.03,-187500.03,-187500.03
1379.125,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145042.22,-180659.23,-187500.03,-142827.66,-187500.03,-187500.03,-187500.03
1379.1475,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136545.14,-173965.66,-187500.03,-136202.98,-187500.03,-187500.03,-183759.56
1379.1698,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136655.8,-174545.05,-187500.03,-135341.47,-187500.03,-187500.03,-182532.38
1379.1921,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145446.0,-181625.16,-187500.03,-141950.27,-187500.03,-187500.03,-187500.03
1379.2145,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146380.53,-181774.05,-187500.03,-143703.9,-187500.03,-187500.03,-187500.03
1379.2368,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137566.81,-174722.98,-187500.03,-137114.23,-187500.03,-187500.03,-184926.86
1379.2592,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135850.36,-173813.67,-187500.03,-134860.53,-187500.03,-187500.03,-181923.67
1379.2815,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143922.02,-180472.83,-187500.03,-140698.3,-187500.03,-187500.03,-187500.03
1379.3038,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147367.0,-182654.9,-187500.03,-144279.78,-187500.03,-187500.03,-187500.03
1379.3262,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138833.16,-175681.66,-187500.03,-138175.61,-187500.03,-187500.03,-186241.42
1379.3485,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135379.53,-173340.8,-187500.03,-134654.45,-187500.03,-187500.03,-181666.45
1379.371,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142294.84,-179198.33,-187500.03,-139412.2,-187500.03,-187500.03,-187500.03
1379.3933,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147915.36,-183189.9,-187500.03,-144503.64,-187500.03,-187500.03,-187500.03
1379.4156,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140288.06,-176813.12,-187500.03,-139336.44,-187500.03,-187500.03,-187500.03
1379.438,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135210.75,-173115.84,-187500.03,-134691.11,-187500.03,-187500.03,-181730.3
1379.4603,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140617.42,-177856.3,-187500.03,-138130.97,-187500.03,-187500.03,-185993.22
1379.4827,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147973.1,-183344.39,-187500.03,-144344.23,-187500.03,-187500.03,-187500.03
1379.505,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141919.17,-178102.55,-187500.03,-140580.45,-187500.03,-187500.03,-187500.03
1379.5273,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135362.12,-173148.75,-187500.03,-134975.75,-187500.03,-187500.03,-182134.19
1379.5497,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139025.92,-176552.61,-187500.03,-136954.48,-187500.03,-187500.03,-184561.36
1379.5721,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147518.55,-183093.08,-187500.03,-143803.6,-187500.03,-187500.03,-187500.03
1379.5945,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143573.45,-179434.72,-187500.03,-141789.52,-187500.03,-187500.03,-187500.03
1379.6168,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135830.25,-173441.14,-187500.03,-135501.8,-187500.03,-187500.03,-182842.23
1379.6392,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137671.48,-175410.8,-187500.03,-136002.36,-187500.03,-187500.03,-183371.6
1379.6615,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146611.67,-182468.48,-187500.03,-142948.89,-187500.03,-187500.03,-187500.03
1379.6838,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145115.0,-180703.77,-187500.03,-142861.4,-187500.03,-187500.03,-187500.03
1379.7062,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136584.17,-173975.34,-187500.03,-136229.89,-187500.03,-187500.03,-183803.92
1379.7285,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136570.89,-174454.12,-187500.03,-135273.03,-187500.03,-187500.03,-182452.02
1379.7509,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145326.73,-181526.14,-187500.03,-141842.36,-187500.03,-187500.03,-187500.03
1379.7732,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-146436.27,-181821.34,-187500.03,-143723.98,-187500.03,-187500.03,-187500.03
1379.7957,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137626.08,-174747.64,-187500.03,-137152.39,-187500.03,-187500.03,-184980.33
1379.818,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135789.73,-173740.83,-187500.03,-134810.23,-187500.03,-187500.03,-181864.55
1379.8403,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143788.25,-180354.23,-187500.03,-140578.52,-187500.03,-187500.03,-187500.03
1379.8627,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147398.61,-182675.02,-187500.03,-144276.83,-187500.03,-187500.03,-187500.03
1379.885,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138919.27,-175735.97,-187500.03,-138231.86,-187500.03,-187500.03,-186318.7
1379.9073,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135333.1,-173285.34,-187500.03,-134616.47,-187500.03,-187500.03,-181624.05
1379.9297,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142130.78,-179059.4,-187500.03,-139272.19,-187500.03,-187500.03,-187362.14
1379.952,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147916.22,-183190.86,-187500.03,-144474.89,-187500.03,-187500.03,-187500.03
1379.9744,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140415.7,-176901.9,-187500.03,-139424.77,-187500.03,-187500.03,-187500.03
1379.9968,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135191.67,-173080.42,-187500.03,-134679.92,-187500.03,-187500.03,-181719.78
1380.0192,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140455.0,-177715.12,-187500.03,-137997.9,-187500.03,-187500.03,-185835.55
1380.0415,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147929.81,-183311.45,-187500.03,-144283.3,-187500.03,-187500.03,-187500.03
1380.0638,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142038.17,-178189.83,-187500.03,-140657.84,-187500.03,-187500.03,-187500.03
1380.0862,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135371.22,-173140.11,-187500.03,-134987.64,-187500.03,-187500.03,-182152.95
1380.1085,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138905.97,-176445.8,-187500.03,-136862.02,-187500.03,-187500.03,-184446.84
1380.1309,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-147453.44,-183042.39,-187500.03,-143736.19,-187500.03,-187500.03,-187500.03
