Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
2059.244,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144322.42,-180890.4,-187500.03,-140930.27,-187500.03,-187500.03,-187500.03
2059.266,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142335.48,-178748.34,-187500.03,-140462.6,-187500.03,-187500.03,-187500.03
2059.2886,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133889.61,-172124.28,-187500.03,-133848.72,-187500.03,-187500.03,-181665.42
2059.3108,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134248.72,-172904.97,-187500.03,-133179.73,-187500.03,-187500.03,-180772.7
2059.3333,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143109.48,-180018.66,-187500.03,-139871.44,-187500.03,-187500.03,-187500.03
2059.3557,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143714.44,-179913.6,-187500.03,-141380.0,-187500.03,-187500.03,-187500.03
2059.378,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134881.25,-172860.55,-187500.03,-134745.47,-187500.03,-187500.03,-182827.08
2059.4004,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133395.39,-172144.0,-187500.03,-132666.9,-187500.03,-187500.03,-180108.9
2059.4226,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141609.53,-178890.9,-187500.03,-138637.94,-187500.03,-187500.03,-187500.03
2059.445,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144765.11,-180837.88,-187500.03,-142009.1,-187500.03,-187500.03,-187500.03
2059.4673,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136152.39,-173832.72,-187500.03,-135819.06,-187500.03,-187500.03,-184212.78
2059.4897,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132867.31,-171635.1,-187500.03,-132419.62,-187500.03,-187500.03,-179792.08
2059.512,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139941.45,-177597.62,-187500.03,-137317.8,-187500.03,-187500.03,-186050.27
2059.5344,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145381.84,-181431.77,-187500.03,-142285.55,-187500.03,-187500.03,-187500.03
2059.557,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137649.11,-174994.06,-187500.03,-137019.86,-187500.03,-187500.03,-185746.89
2059.579,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132678.84,-171394.77,-187500.03,-132446.19,-187500.03,-187500.03,-179826.77
2059.6016,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138252.94,-176255.72,-187500.03,-136026.19,-187500.03,-187500.03,-184415.84
2059.6238,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145492.66,-181633.88,-187500.03,-142168.33,-187500.03,-187500.03,-187500.03
2059.6462,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139280.69,-176285.22,-187500.03,-138271.16,-187500.03,-187500.03,-187330.33
