Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
6141.008,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139961.03,-178462.16,-187500.03,-138139.77,-187500.03,-187500.03,-187500.03
6141.0303,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133349.78,-172813.56,-187500.03,-134025.56,-187500.03,-187500.03,-183611.52
6141.0527,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127227.07,-168252.69,-187500.03,-128885.88,-187500.03,-187500.03,-177146.98
6141.0747,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131496.42,-172130.1,-187500.03,-131294.33,-187500.03,-187500.03,-180554.42
6141.097,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139687.94,-178359.97,-187500.03,-137758.08,-187500.03,-187500.03,-187500.03
6141.1196,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134960.05,-174103.2,-187500.03,-135182.94,-187500.03,-187500.03,-185139.64
6141.142,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-127580.09,-168455.47,-187500.03,-129306.8,-187500.03,-187500.03,-177638.12
6141.1646,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130095.41,-170967.4,-187500.03,-130327.34,-187500.03,-187500.03,-179268.22
6141.1865,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138965.53,-177892.94,-187500.03,-137067.14,-187500.03,-187500.03,-187500.03
6141.209,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136530.47,-175384.02,-187500.03,-136262.03,-187500.03,-187500.03,-186581.6
6141.2314,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128226.1,-168899.4,-187500.03,-129932.28,-187500.03,-187500.03,-178397.02
6141.254,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128925.336,-169965.6,-187500.03,-129559.83,-187500.03,-187500.03,-178229.75
6141.276,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137844.53,-177094.9,-187500.03,-136112.16,-187500.03,-187500.03,-186797.97
6141.2983,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137947.1,-176570.2,-187500.03,-137187.89,-187500.03,-187500.03,-187500.03
6141.321,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129159.27,-169581.44,-187500.03,-130754.56,-187500.03,-187500.03,-179407.77
6141.3433,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-128036.99,-169171.22,-187500.03,-129025.38,-187500.03,-187500.03,-177481.6
