Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
5099.305,-115912.125,-82613.53,-111419.02,-96405.89,-76537.3,-58487.25,-93710.945,-68381.18,-17692.213,66474.18,25599.32,-3679.4104,67782.07,2728.2095,-1278.6316,18355.701
5099.327,-121815.48,-109860.55,-118014.914,-115220.02,-86343.85,-71609.45,-99430.4,-75519.33,-25849.771,59306.426,20337.049,-24604.78,61947.953,-2107.7024,-16150.633,10905.506
5099.3496,-114790.336,-102460.13,-109086.15,-98383.195,-78843.125,-65938.9,-95639.27,-68598.84,-21620.441,65735.164,25858.756,-11420.199,65883.71,2389.804,-3450.3494,16331.19
5099.372,-109429.54,-77651.734,-103325.44,-81690.2,-70036.06,-54062.566,-90508.945,-62197.62,-14253.7295,72141.31,30630.273,7786.186,71163.31,6703.1543,9917.336,23014.453
5099.3945,-114284.83,-78699.78,-109493.11,-92171.69,-74460.91,-56297.72,-92545.73,-66653.44,-16223.8125,68126.95,26945.096,291.42206,68973.234,3879.2349,1981.728,19895.535
5099.4165,-121647.19,-106528.17,-117958.766,-114222.195,-85640.914,-70206.49,-98928.04,-75153.03,-25029.082,59730.37,20562.512,-22843.64,62448.23,-1824.6624,-15263.471,11466.065
5099.439,-116293.11,-106298.06,-110897.42,-102562.93,-80824.27,-68028.79,-96677.69,-70213.195,-23001.78,64168.484,24612.938,-15460.971,64790.4,1330.51,-6718.912,14859.307
5099.4614,-109544.43,-80669.28,-103350.06,-82678.99,-70633.375,-55288.246,-90883.96,-62482.113,-14928.44,71803.17,30452.555,6184.37,70775.22,6504.5366,9101.095,22531.14
5099.484,-112781.79,-75762.96,-107699.0,-88447.625,-72660.66,-54546.996,-91549.266,-65104.305,-15023.927,69585.09,28168.07,3637.1877,69988.5,4903.615,4837.343,21220.412
5099.5063,-121029.83,-102253.35,-117346.805,-112040.36,-84379.0,-68253.664,-98122.086,-74315.17,-23836.594,60605.285,21161.203,-20040.084,63257.67,-1227.1555,-13476.918,12447.061
5099.5283,-117779.82,-109342.68,-112732.3,-106547.21,-82661.47,-69802.69,-97619.55,-71770.92,-24202.312,62682.85,23411.062,-19069.816,63804.484,321.3287,-9790.378,13514.334
5099.551,-109958.38,-84295.12,-103717.664,-84409.11,-71587.1,-56866.527,-91448.52,-63073.965,-15841.53,71178.42,30041.26,3858.783,70191.92,6110.565,7698.3657,21795.723
5099.573,-111481.61,-73884.28,-106121.77,-85384.336,-71212.64,-53297.355,-90770.1,-63806.34,-14130.035,70787.555,29211.293,6242.485,70789.79,5757.005,7179.7603,22281.338
5099.5957,-120017.45,-97304.34,-116232.18,-108841.086,-82647.055,-65877.05,-97071.51,-73066.16,-22354.83,61856.133,22076.104,-16405.107,64312.586,-365.20517,-10936.128,13770.91
5099.6177,-119149.984,-111368.89,-114462.7,-110066.85,-84224.89,-71127.64,-98396.07,-73154.83,-25140.506,61366.137,22318.195,-22018.928,62980.375,-573.6352,-12474.644,12376.697
5099.64,-110657.86,-88423.64,-104424.24,-86854.44,-72876.84,-58751.79,-92187.516,-63952.387,-16973.602,70267.29,29393.797,848.33813,69413.81,5522.5576,5715.14,20812.023
5099.6626,-110427.32,-73139.61,-104819.42,-83104.484,-70170.195,-52594.684,-90232.766,-62802.39,-13575.891,71686.9,30025.414,8007.9595,71341.25,6404.9595,8909.942,23030.434
5099.685,-118691.98,-92114.984,-114719.26,-104917.484,-80600.58,-63287.49,-95865.164,-71516.266,-20713.697,63375.242,23227.062,-12246.409,65526.17,684.4328,-7871.0327,15321.697
5099.7075,-120245.4,-112083.18,-115896.43,-112710.375,-85325.305,-71829.414,-98905.16,-74206.234,-25692.816,60386.438,21467.422,-23936.775,62435.758,-1246.0204,-14446.67,11594.61
5099.7295,-111609.234,-92765.555,-105456.516,-89901.05,-74428.14,-60821.27,-93050.49,-65079.227,-18256.84,69123.17,28546.621,-2659.4553,68500.74,4769.7954,3258.661,19640.031
5099.752,-109654.46,-73438.61,-103836.4,-81651.87,-69542.49,-52412.562,-89928.85,-62119.434,-13351.524,72273.14,30594.668,8911.642,71648.99,6837.9126,10001.244,23464.014
5099.7744,-117185.97,-87104.125,-112967.17,-100659.01,-78423.72,-60698.336,-94599.875,-69814.65,-19046.639,65024.688,24510.99,-7940.614,66794.055,1827.2328,-4569.01,16956.57
5099.797,-120990.31,-111503.445,-116926.02,-114314.336,-85893.16,-71877.766,-99107.26,-74852.0,-25825.967,59806.21,20915.78,-24742.443,62196.215,-1648.4635,-15589.516,11207.098
5099.819,-112799.734,-97222.36,-106801.94,-93489.125,-76215.32,-63031.34,-94026.1,-66436.2,-19653.242,67770.4,27515.02,-6558.471,67466.195,3868.7295,393.5919,18299.666
5099.8413,-109155.664,-74700.32,-103164.61,-80978.48,-69314.55,-52717.527,-89851.85,-61745.223,-13428.459,72566.914,30929.877,9008.357,71730.195,7072.0024,10494.212,23601.744
5099.864,-115545.49,-82382.1,-111044.3,-96198.805,-76189.08,-58177.5,-93318.18,-68015.04,-17402.486,66752.01,25886.45,-3602.5872,68084.93,3029.265,-1128.2715,18625.441
5099.886,-121324.945,-109507.28,-117480.914,-114714.25,-85863.2,-71204.17,-98972.01,-75033.18,-25493.953,59692.418,20721.254,-24310.988,62314.297,-1730.405,-15782.611,11271.314
5099.9087,-114194.77,-101584.79,-108437.63,-97536.18,-78181.02,-65284.574,-95075.12,-67981.51,-21110.375,66252.6,26337.709,-10721.261,66360.79,2855.6143,-2806.5745,16835.58
5099.9307,-108948.69,-76893.67,-102822.34,-81120.12,-69495.59,-53499.484,-90003.305,-61692.203,-13811.144,72555.805,31021.764,8259.886,71579.79,7100.2554,10347.696,23432.094
5099.953,-113910.95,-78390.28,-109111.14,-91933.4,-74090.25,-55955.426,-92137.23,-66276.34,-15919.784,68416.03,27243.625,402.48788,69289.445,4193.187,2153.6128,20186.666
5099.9756,-121187.19,-106252.484,-117467.12,-113813.3,-85204.19,-69847.836,-98490.64,-74703.94,-24705.541,60083.01,20925.012,-22640.24,62794.746,-1466.4309,-14968.249,11806.46
5099.998,-115702.484,-105511.45,-110257.625,-101752.695,-80187.72,-67418.05,-96128.35,-69607.375,-22512.254,64680.76,25096.494,-14814.826,65262.266,1797.1473,-6097.556,15359.092
5100.02,-109044.484,-79896.12,-102830.52,-82067.79,-70081.81,-54718.277,-90372.89,-61952.69,-14473.336,72242.48,30871.963,6699.064,71210.5,6922.201,9574.169,22972.61
5100.0425,-112387.75,-75364.3,-107300.36,-88143.016,-72265.61,-54166.39,-91126.63,-64695.113,-14690.193,69906.84,28497.334,3825.1885,70333.1,5241.6855,5069.7114,21544.467
5100.065,-120593.86,-101987.414,-116893.92,-111686.234,-83973.586,-67912.625,-97701.0,-73884.57,-23520.406,60944.74,21514.941,-19867.215,63600.12,-877.1719,-13213.659,12775.989
5100.0874,-117212.625,-108672.75,-112128.89,-105824.266,-82076.305,-69251.38,-97096.72,-71196.305,-23746.203,63166.656,23876.895,-18521.26,64253.754,771.0682,-9234.4,13982.715
5100.1094,-109439.375,-83543.96,-103187.28,-83777.49,-71036.82,-56303.242,-90937.65,-62536.582,-15382.203,71632.38,30479.533,4385.2334,70633.33,6540.1875,8196.675,22244.926
5100.132,-111055.25,-73416.34,-105700.84,-85015.4,-70792.92,-52881.48,-90329.04,-63372.27,-13765.166,71144.96,29575.518,6504.2236,71160.05,6122.568,7475.0723,22634.451
5100.1543,-119584.92,-97035.81,-115802.65,-108519.4,-82261.6,-65540.39,-96653.17,-72647.96,-22033.95,62198.45,22438.426,-16233.849,64662.188,-9.454788,-10678.346,14098.653
5100.177,-118585.67,-110749.14,-113878.14,-109384.32,-83666.43,-70601.43,-97882.56,-72597.734,-24691.28,61852.938,22795.605,-21496.658,63435.992,-118.93364,-11929.261,12841.457
5100.199,-110115.36,-87639.79,-103881.86,-86187.35,-72314.625,-58169.41,-91664.87,-63405.55,-16494.225,70754.164,29866.246,1424.1862,69885.836,5977.192,6264.278,21288.271
5100.221,-109985.02,-72605.24,-104393.36,-82699.47,-69737.6,-52148.297,-89779.01,-62362.668,-13183.551,72078.08,30421.598,8327.098,71745.15,6795.8916,9258.987,23414.816
5100.2437,-118276.79,-91857.02,-114322.13,-104646.555,-80242.37,-62962.9,-95456.26,-71123.95,-20394.203,63717.29,23592.244,-12094.328,65882.28,1042.396,-7626.237,15647.741
5100.266,-119707.81,-111582.86,-115352.305,-112127.055,-84822.39,-71362.016,-98416.99,-73689.59,-25276.738,60846.438,21927.756,-23508.203,62870.965,-807.0321,-13962.442,12030.29
5100.2886,-111062.35,-92039.81,-104915.07,-89242.56,-73884.73,-60263.57,-92537.48,-64541.867,-17786.021,69612.72,29024.188,-2097.5994,68968.3,5228.2075,3813.4536,20115.252
5100.3105,-109183.83,-72857.484,-103389.45,-81188.336,-69093.734,-51942.484,-89465.12,-61663.64,-12939.693,72688.98,31013.584,9291.353,72068.76,7247.531,10404.335,23873.184
5100.333,-116744.93,-86733.18,-112556.7,-100320.84,-78041.88,-60325.934,-94174.695,-69405.63,-18698.621,65390.094,24893.764,-7711.5757,67172.375,2201.0435,-4267.8643,17311.291
5100.3555,-120462.74,-111007.055,-116421.12,-113792.195,-85423.586,-71427.84,-98636.11,-74366.74,-25424.238,60242.023,21358.121,-24356.898,62622.816,-1225.6803,-15146.705,11626.327
5100.378,-112212.33,-96493.625,-106256.87,-92846.734,-75674.12,-62476.75,-93510.02,-65900.43,-19190.293,68251.01,27991.648,-6021.359,67934.016,4324.2803,934.41473,18771.152
5100.4004,-108618.73,-74058.24,-102695.586,-80493.69,-68844.76,-52223.758,-89371.484,-61272.977,-13016.517,72977.67,31347.695,9399.781,72148.89,7477.888,10902.444,24012.19
