Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
2676.1074,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144245.1,-180881.36,-187500.03,-141972.53,-187500.03,-187500.03,-187500.03
2676.13,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135527.61,-173849.08,-187500.03,-135760.16,-187500.03,-187500.03,-184302.89
2676.152,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132433.75,-171830.44,-187500.03,-132538.28,-187500.03,-187500.03,-180185.58
2676.1746,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139680.55,-177888.39,-187500.03,-137514.55,-187500.03,-187500.03,-186566.4
2676.1968,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144926.98,-181526.17,-187500.03,-142290.28,-187500.03,-187500.03,-187500.03
2676.2192,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137006.83,-174988.92,-187500.03,-136933.8,-187500.03,-187500.03,-185800.53
2676.2415,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132205.73,-171560.25,-187500.03,-132534.08,-187500.03,-187500.03,-180176.17
2676.264,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137975.84,-176546.78,-187500.03,-136226.72,-187500.03,-187500.03,-184952.52
2676.2864,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145101.28,-181781.27,-187500.03,-142224.52,-187500.03,-187500.03,-187500.03
2676.3086,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138646.56,-176278.58,-187500.03,-138183.89,-187500.03,-187500.03,-187371.6
2676.331,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132311.67,-171561.19,-187500.03,-132787.47,-187500.03,-187500.03,-180494.6
2676.3533,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136355.3,-175238.95,-187500.03,-135042.17,-187500.03,-187500.03,-183446.86
2676.3757,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144752.73,-181621.14,-187500.03,-141770.7,-187500.03,-187500.03,-187500.03
2676.398,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140333.1,-177623.88,-187500.03,-139412.86,-187500.03,-187500.03,-187500.03
2676.4204,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132731.23,-171813.48,-187500.03,-133274.2,-187500.03,-187500.03,-181119.52
2676.4426,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134925.66,-174052.83,-187500.03,-134040.5,-187500.03,-187500.03,-182158.98
2676.465,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143916.33,-181066.6,-187500.03,-140972.17,-187500.03,-187500.03,-187500.03
2676.4875,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141951.2,-178941.34,-187500.03,-140538.1,-187500.03,-187500.03,-187500.03
2676.5098,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133454.22,-172315.02,-187500.03,-133979.92,-187500.03,-187500.03,-182022.08
2676.5322,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133762.67,-173055.58,-187500.03,-133274.95,-187500.03,-187500.03,-181157.73
2676.5544,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142668.98,-180167.81,-187500.03,-139899.5,-187500.03,-187500.03,-187500.03
2676.577,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143349.48,-180109.39,-187500.03,-141446.86,-187500.03,-187500.03,-187500.03
2676.599,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134473.6,-173062.42,-187500.03,-134878.78,-187500.03,-187500.03,-183180.9
2676.6216,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132917.6,-172298.36,-187500.03,-132772.08,-187500.03,-187500.03,-180500.55
2676.6438,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141130.1,-179011.02,-187500.03,-138649.47,-187500.03,-187500.03,-187500.03
2676.6663,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144400.19,-181026.05,-187500.03,-142063.6,-187500.03,-187500.03,-187500.03
2676.6887,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135756.17,-174029.89,-187500.03,-135944.83,-187500.03,-187500.03,-184538.53
2676.711,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132401.05,-171795.27,-187500.03,-132537.73,-187500.03,-187500.03,-180183.98
2676.7334,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139441.58,-177706.61,-187500.03,-137331.39,-187500.03,-187500.03,-186334.62
2676.7556,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145003.58,-181607.95,-187500.03,-142319.25,-187500.03,-187500.03,-187500.03
2676.778,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137260.81,-175191.33,-187500.03,-137132.52,-187500.03,-187500.03,-186045.27
2676.8003,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132219.42,-171561.52,-187500.03,-132570.56,-187500.03,-187500.03,-180214.22
2676.8228,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137745.44,-176365.02,-187500.03,-136056.22,-187500.03,-187500.03,-184728.2
2676.845,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145097.03,-181795.69,-187500.03,-142191.17,-187500.03,-187500.03,-187500.03
2676.8674,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138910.86,-176486.67,-187500.03,-138380.28,-187500.03,-187500.03,-187500.03
2676.8896,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132362.06,-171586.14,-187500.03,-132851.33,-187500.03,-187500.03,-180567.56
2676.912,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136139.77,-175059.78,-187500.03,-134888.52,-187500.03,-187500.03,-183243.11
2676.9346,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144668.08,-181570.16,-187500.03,-141680.03,-187500.03,-187500.03,-187500.03
2676.9568,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140595.42,-177835.2,-187500.03,-139600.33,-187500.03,-187500.03,-187500.03
2676.9792,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132823.97,-171874.3,-187500.03,-133370.27,-187500.03,-187500.03,-181235.92
2677.0015,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134743.27,-173896.22,-187500.03,-133917.56,-187500.03,-187500.03,-181992.8
2677.024,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143763.0,-180956.17,-187500.03,-140832.88,-187500.03,-187500.03,-187500.03
2677.0461,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142188.75,-179131.19,-187500.03,-140693.48,-187500.03,-187500.03,-187500.03
2677.0686,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133601.05,-172416.52,-187500.03,-134107.3,-187500.03,-187500.03,-182189.36
2677.0908,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133635.84,-172939.25,-187500.03,-133193.69,-187500.03,-187500.03,-181055.8
