Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
4664.9434,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130042.7,-170578.12,-187500.03,-130025.23,-187500.03,-187500.03,-178588.45
4664.966,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137059.28,-176451.7,-187500.03,-134714.14,-187500.03,-187500.03,-184777.05
4664.9883,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142784.45,-180455.88,-187500.03,-139723.2,-187500.03,-187500.03,-187500.03
4665.0107,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135051.66,-174067.8,-187500.03,-134636.72,-187500.03,-187500.03,-184363.78
4665.033,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129884.29,-170361.47,-187500.03,-130071.71,-187500.03,-187500.03,-178608.23
4665.055,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135385.84,-175129.08,-187500.03,-133480.45,-187500.03,-187500.03,-183172.55
4665.0776,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142846.58,-180615.06,-187500.03,-139581.94,-187500.03,-187500.03,-187500.03
4665.1,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136670.39,-175331.62,-187500.03,-135837.4,-187500.03,-187500.03,-185933.98
4665.1226,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130033.805,-170393.44,-187500.03,-130346.69,-187500.03,-187500.03,-178927.64
4665.1445,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133822.89,-173866.4,-187500.03,-132365.67,-187500.03,-187500.03,-181721.92
4665.167,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142418.22,-180390.25,-187500.03,-139089.97,-187500.03,-187500.03,-187500.03
4665.1895,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138300.11,-176629.45,-187500.03,-136999.11,-187500.03,-187500.03,-187464.55
4665.212,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130482.23,-170672.53,-187500.03,-130840.41,-187500.03,-187500.03,-179523.06
4665.234,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132472.34,-172747.56,-187500.03,-131440.45,-187500.03,-187500.03,-180503.1
4665.2563,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141550.4,-179809.2,-187500.03,-138292.3,-187500.03,-187500.03,-187500.03
4665.279,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139835.05,-177876.22,-187500.03,-138039.77,-187500.03,-187500.03,-187500.03
4665.3013,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131209.23,-171179.47,-187500.03,-131522.34,-187500.03,-187500.03,-180373.05
4665.3237,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131367.36,-171806.38,-187500.03,-130727.58,-187500.03,-187500.03,-179555.12
4665.3457,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140312.89,-178924.8,-187500.03,-137256.92,-187500.03,-187500.03,-187500.03
4665.368,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141179.08,-179001.64,-187500.03,-138903.22,-187500.03,-187500.03,-187500.03
4665.3906,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132218.44,-171919.58,-187500.03,-132396.7,-187500.03,-187500.03,-181478.11
4665.413,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130563.23,-171089.62,-187500.03,-130260.72,-187500.03,-187500.03,-178925.06
4665.435,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138814.55,-177806.5,-187500.03,-136064.22,-187500.03,-187500.03,-186517.6
4665.4575,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142176.95,-179873.98,-187500.03,-139477.02,-187500.03,-187500.03,-187500.03
4665.48,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133466.6,-172860.31,-187500.03,-133413.56,-187500.03,-187500.03,-182783.42
4665.5024,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130058.68,-170605.48,-187500.03,-130034.805,-187500.03,-187500.03,-178600.78
4665.525,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137159.86,-176537.45,-187500.03,-134797.47,-187500.03,-187500.03,-184880.98
4665.547,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142769.25,-180443.62,-187500.03,-139730.3,-187500.03,-187500.03,-187500.03
4665.5693,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134950.61,-173997.66,-187500.03,-134565.14,-187500.03,-187500.03,-184272.4
4665.592,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-129879.22,-170374.34,-187500.03,-130060.94,-187500.03,-187500.03,-178600.95
4665.6143,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135483.11,-175218.33,-187500.03,-133553.89,-187500.03,-187500.03,-183274.17
4665.636,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142857.97,-180628.22,-187500.03,-139605.9,-187500.03,-187500.03,-187500.03
4665.6587,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136557.84,-175254.38,-187500.03,-135761.17,-187500.03,-187500.03,-185836.92
4665.681,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130006.734,-170390.02,-187500.03,-130322.6,-187500.03,-187500.03,-178898.42
4665.7036,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133919.53,-173954.88,-187500.03,-132438.36,-187500.03,-187500.03,-181815.1
4665.726,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142463.56,-180425.94,-187500.03,-139138.16,-187500.03,-187500.03,-187500.03
4665.748,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138196.81,-176553.1,-187500.03,-136929.98,-187500.03,-187500.03,-187372.77
4665.7705,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130438.33,-170650.58,-187500.03,-130799.99,-187500.03,-187500.03,-179476.17
4665.793,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132525.44,-172802.64,-187500.03,-131476.34,-187500.03,-187500.03,-180554.06
4665.8154,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141600.3,-179853.95,-187500.03,-138339.48,-187500.03,-187500.03,-187500.03
4665.8374,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139760.81,-177823.88,-187500.03,-137994.73,-187500.03,-187500.03,-187500.03
4665.86,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131160.2,-171151.61,-187500.03,-131483.45,-187500.03,-187500.03,-180322.7
4665.8823,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131419.97,-171857.92,-187500.03,-130763.45,-187500.03,-187500.03,-179603.3
4665.905,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140389.39,-178985.45,-187500.03,-137323.17,-187500.03,-187500.03,-187500.03
4665.9272,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141107.22,-178944.77,-187500.03,-138861.0,-187500.03,-187500.03,-187500.03
4665.949,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132143.64,-171867.84,-187500.03,-132337.11,-187500.03,-187500.03,-181403.06
4665.9717,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-130589.8,-171120.23,-187500.03,-130276.55,-187500.03,-187500.03,-178946.42
