Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
3555.9614,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136686.53,-176038.83,-187500.03,-135306.9,-187500.03,-187500.03,-183907.22
3555.984,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144536.72,-181886.94,-187500.03,-141734.48,-187500.03,-187500.03,-187500.03
3556.006,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139001.73,-177079.3,-187500.03,-138475.25,-187500.03,-187500.03,-187500.03
3556.0286,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131981.06,-171798.92,-187500.03,-132670.86,-187500.03,-187500.03,-180413.92
3556.0508,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135116.5,-174755.27,-187500.03,-134185.28,-187500.03,-187500.03,-182468.58
3556.0732,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143919.06,-181504.84,-187500.03,-141088.52,-187500.03,-187500.03,-187500.03
3556.0955,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140686.56,-178419.83,-187500.03,-139673.69,-187500.03,-187500.03,-187500.03
3556.118,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132551.66,-172163.47,-187500.03,-133265.7,-187500.03,-187500.03,-181165.64
3556.1401,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133797.66,-173641.45,-187500.03,-133286.47,-187500.03,-187500.03,-181311.08
3556.1626,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142849.72,-180754.67,-187500.03,-140132.83,-187500.03,-187500.03,-187500.03
3556.1848,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142220.33,-179672.52,-187500.03,-140710.03,-187500.03,-187500.03,-187500.03
3556.2073,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133431.2,-172787.67,-187500.03,-134080.33,-187500.03,-187500.03,-182194.72
3556.2297,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132771.06,-172745.61,-187500.03,-132640.83,-187500.03,-187500.03,-180465.67
3556.252,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141407.84,-179690.83,-187500.03,-138935.3,-187500.03,-187500.03,-187500.03
3556.2744,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143471.97,-180729.52,-187500.03,-141487.52,-187500.03,-187500.03,-187500.03
3556.2966,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134606.53,-173655.4,-187500.03,-135080.44,-187500.03,-187500.03,-183461.48
3556.319,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132087.23,-172111.55,-187500.03,-132273.0,-187500.03,-187500.03,-179968.92
3556.3413,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139763.83,-178441.62,-187500.03,-137631.22,-187500.03,-187500.03,-186833.6
3556.3638,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144310.44,-181488.36,-187500.03,-141929.7,-187500.03,-187500.03,-187500.03
3556.386,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136036.05,-174746.94,-187500.03,-136233.39,-187500.03,-187500.03,-184916.48
3556.4084,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131749.48,-171757.94,-187500.03,-132181.42,-187500.03,-187500.03,-179824.31
3556.431,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138028.19,-177095.03,-187500.03,-136301.73,-187500.03,-187500.03,-185160.08
3556.4531,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144644.88,-181866.56,-187500.03,-141974.73,-187500.03,-187500.03,-187500.03
3556.4756,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137649.06,-176001.42,-187500.03,-137473.53,-187500.03,-187500.03,-186485.89
3556.4978,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131740.16,-171664.95,-187500.03,-132348.56,-187500.03,-187500.03,-180013.95
3556.5203,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136336.03,-175745.44,-187500.03,-135051.42,-187500.03,-187500.03,-183574.4
3556.5425,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144440.61,-181823.62,-187500.03,-141622.28,-187500.03,-187500.03,-187500.03
3556.565,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139343.45,-177338.66,-187500.03,-138720.02,-187500.03,-187500.03,-187500.03
3556.5872,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132062.1,-171833.89,-187500.03,-132760.77,-187500.03,-187500.03,-180528.8
3556.6096,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134842.27,-174518.0,-187500.03,-133989.94,-187500.03,-187500.03,-182224.08
3556.632,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143740.5,-181377.44,-187500.03,-140919.62,-187500.03,-187500.03,-187500.03
3556.6543,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-140977.31,-178653.56,-187500.03,-139871.2,-187500.03,-187500.03,-187500.03
3556.6768,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132681.28,-172251.36,-187500.03,-133390.95,-187500.03,-187500.03,-181333.77
3556.699,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133561.22,-173436.77,-187500.03,-133126.53,-187500.03,-187500.03,-181117.89
3556.7214,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142579.12,-180551.11,-187500.03,-139899.16,-187500.03,-187500.03,-187500.03
3556.7437,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142478.44,-179881.36,-187500.03,-140869.94,-187500.03,-187500.03,-187500.03
3556.766,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133629.9,-172925.33,-187500.03,-134248.95,-187500.03,-187500.03,-182429.11
3556.7883,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132588.4,-172578.31,-187500.03,-132525.42,-187500.03,-187500.03,-180332.11
3556.8108,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141068.05,-179431.95,-187500.03,-138657.12,-187500.03,-187500.03,-187500.03
3556.8333,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143668.62,-180899.36,-187500.03,-141594.97,-187500.03,-187500.03,-187500.03
3556.8555,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134875.03,-173854.98,-187500.03,-135300.14,-187500.03,-187500.03,-183754.3
3556.878,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131967.67,-171997.19,-187500.03,-132214.36,-187500.03,-187500.03,-179900.17
3556.9001,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139375.02,-178143.1,-187500.03,-137327.53,-187500.03,-187500.03,-186461.52
3556.9226,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144406.56,-181588.19,-187500.03,-141956.14,-187500.03,-187500.03,-187500.03
3556.9448,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136353.05,-174991.73,-187500.03,-136480.62,-187500.03,-187500.03,-185233.31
3556.9673,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-131698.12,-171698.3,-187500.03,-132177.84,-187500.03,-187500.03,-179814.97
3556.9895,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137634.27,-176785.02,-187500.03,-136004.42,-187500.03,-187500.03,-184781.8
3557.012,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144628.4,-181882.28,-187500.03,-141917.2,-187500.03,-187500.03,-187500.03
3557.0344,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138001.4,-176281.39,-187500.03,-137735.69,-187500.03,-187500.03,-186811.06
