Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
2890.863,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144839.0,-181641.92,-187500.03,-141874.48,-187500.03,-187500.03,-187500.03
2890.8853,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139598.89,-177044.69,-187500.03,-138841.48,-187500.03,-187500.03,-187500.03
2890.9077,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132422.22,-171600.66,-187500.03,-132891.97,-187500.03,-187500.03,-180621.78
2890.93,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135304.39,-174366.61,-187500.03,-134206.52,-187500.03,-187500.03,-182379.56
2890.9524,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144163.75,-181220.0,-187500.03,-141180.94,-187500.03,-187500.03,-187500.03
2890.9749,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141278.33,-178401.98,-187500.03,-140039.44,-187500.03,-187500.03,-187500.03
2890.997,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133045.0,-172021.45,-187500.03,-133533.83,-187500.03,-187500.03,-181438.44
2891.0195,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134030.67,-173289.11,-187500.03,-133340.36,-187500.03,-187500.03,-181262.92
2891.0417,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143040.67,-180424.02,-187500.03,-140178.16,-187500.03,-187500.03,-187500.03
2891.0642,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142766.16,-179630.05,-187500.03,-141037.86,-187500.03,-187500.03,-187500.03
2891.0864,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133957.83,-172684.27,-187500.03,-134374.88,-187500.03,-187500.03,-182509.6
2891.109,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133064.1,-172443.45,-187500.03,-132738.34,-187500.03,-187500.03,-180474.53
2891.131,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141592.55,-179350.58,-187500.03,-138972.14,-187500.03,-187500.03,-187500.03
2891.1536,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143966.27,-180654.9,-187500.03,-141780.89,-187500.03,-187500.03,-187500.03
2891.176,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135158.48,-173582.11,-187500.03,-135401.64,-187500.03,-187500.03,-183809.62
2891.1982,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132427.92,-171847.56,-187500.03,-132407.08,-187500.03,-187500.03,-180031.61
2891.2207,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139935.86,-178080.97,-187500.03,-137652.58,-187500.03,-187500.03,-186729.39
2891.243,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144745.7,-181368.06,-187500.03,-142175.34,-187500.03,-187500.03,-187500.03
2891.2654,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136606.92,-174692.39,-187500.03,-136573.05,-187500.03,-187500.03,-185296.44
2891.2876,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132122.39,-171513.94,-187500.03,-132344.77,-187500.03,-187500.03,-179937.1
2891.31,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138195.5,-176713.45,-187500.03,-136316.8,-187500.03,-187500.03,-185055.25
2891.3323,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145010.36,-181686.44,-187500.03,-142169.38,-187500.03,-187500.03,-187500.03
2891.3547,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138226.56,-175956.27,-187500.03,-137824.42,-187500.03,-187500.03,-186872.28
2891.3772,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132157.1,-171454.62,-187500.03,-132548.38,-187500.03,-187500.03,-180183.86
2891.3994,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136546.45,-175385.4,-187500.03,-135094.92,-187500.03,-187500.03,-183511.31
2891.4219,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144757.83,-181596.38,-187500.03,-141779.55,-187500.03,-187500.03,-187500.03
2891.444,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139922.28,-177300.86,-187500.03,-139080.77,-187500.03,-187500.03,-187500.03
2891.4666,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132514.36,-171656.69,-187500.03,-132998.88,-187500.03,-187500.03,-180751.77
2891.4888,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135049.4,-174152.3,-187500.03,-134033.05,-187500.03,-187500.03,-182152.88
2891.5112,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143982.5,-181094.75,-187500.03,-141014.36,-187500.03,-187500.03,-187500.03
2891.5334,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141578.69,-178646.88,-187500.03,-140246.14,-187500.03,-187500.03,-187500.03
2891.556,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133201.47,-172132.69,-187500.03,-133684.2,-187500.03,-187500.03,-181630.33
2891.5781,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-133823.77,-173109.72,-187500.03,-133206.95,-187500.03,-187500.03,-181090.12
2891.6006,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-142785.61,-180238.27,-187500.03,-139960.72,-187500.03,-187500.03,-187500.03
2891.623,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-143048.33,-179866.64,-187500.03,-141223.3,-187500.03,-187500.03,-187500.03
2891.6453,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-134196.5,-172861.92,-187500.03,-134584.86,-187500.03,-187500.03,-182774.53
2891.6677,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132928.11,-172318.08,-187500.03,-132664.88,-187500.03,-187500.03,-180376.0
2891.69,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-141294.38,-179126.58,-187500.03,-138731.64,-187500.03,-187500.03,-187500.03
2891.7124,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144172.08,-180838.2,-187500.03,-141902.89,-187500.03,-187500.03,-187500.03
2891.7346,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-135443.16,-173802.55,-187500.03,-135640.06,-187500.03,-187500.03,-184112.38
2891.757,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132362.83,-171783.47,-187500.03,-132394.66,-187500.03,-187500.03,-180011.22
2891.7793,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-139632.83,-177852.84,-187500.03,-137421.77,-187500.03,-187500.03,-186436.23
2891.8018,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-144864.36,-181489.7,-187500.03,-142234.62,-187500.03,-187500.03,-187500.03
2891.8242,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-136931.55,-174950.7,-187500.03,-136837.95,-187500.03,-187500.03,-185617.84
2891.8464,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132130.64,-171509.33,-187500.03,-132393.92,-187500.03,-187500.03,-179983.77
2891.869,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-137914.73,-176496.11,-187500.03,-136115.36,-187500.03,-187500.03,-184788.94
2891.891,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-145045.84,-181743.92,-187500.03,-142169.6,-187500.03,-187500.03,-187500.03
2891.9136,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-138590.25,-176252.86,-187500.03,-138111.16,-187500.03,-187500.03,-187219.03
2891.9358,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-187500.03,-132238.98,-171515.05,-187500.03,-132658.81,-187500.03,-187500.03,-180310.3
