Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
4265.741,77895.66,-17453.494,8248.263,13665.901,171673.22,147965.98,45175.582,86418.71,-50750.957,45802.594,-2560.303,-56131.4,14100.821,15360.143,11216.062,6675.483
4265.763,91463.03,-3995.9106,22133.102,27389.537,185954.19,162043.81,59669.46,100666.914,-38322.18,60091.125,11273.997,-42131.61,-747.64355,16405.756,-2756.5513,19444.656
4265.7856,104977.81,10438.064,33555.867,38039.566,187500.0,176701.03,73063.5,115407.96,-29021.996,72609.65,23942.475,-30897.758,5118.5273,21252.396,1697.5927,29716.736
4265.808,91403.62,-2964.4673,19418.705,24003.293,184146.64,162687.62,58480.324,101220.52,-41566.535,58226.16,10055.581,-45077.12,21881.42,20540.494,17444.664,16908.29
4265.8306,77850.98,-17355.078,7889.339,13231.965,171410.14,148007.83,44995.496,86441.29,-51186.12,45549.93,-2715.424,-56523.07,16683.074,15810.819,13541.246,6340.3184
4265.8525,88104.77,-7422.1655,18944.736,24309.848,182602.4,158494.86,56188.71,97075.15,-41071.668,56748.8,8000.941,-45310.543,887.1854,15782.969,-1114.3463,16560.787
4265.875,104433.7,9749.675,33385.727,37978.77,187500.0,176036.55,72647.336,114739.87,-29057.805,72315.836,23587.775,-31034.818,2363.183,20589.578,-717.02167,29582.893
4265.8975,94809.78,519.2757,22681.613,27174.09,187500.0,166279.48,62018.99,104835.36,-38734.594,61662.117,13448.24,-41815.066,20246.412,21204.453,15775.66,19896.316
4265.92,78566.08,-16487.742,8255.014,13498.018,171915.83,148850.58,45604.78,87268.03,-50971.88,46065.582,-2121.784,-56180.082,18920.396,16409.22,15504.646,6683.373
4265.9424,85034.445,-10520.273,15951.233,21395.158,179473.1,155272.72,52971.668,93802.79,-43683.83,53636.453,4972.1235,-48304.09,3030.36,15330.638,950.5974,13845.341
4265.9644,103062.35,8225.263,32400.709,37120.035,187500.0,174508.0,71364.21,113192.72,-29789.424,71176.21,22406.262,-31978.73,188.157,19803.514,-2569.7131,28719.332
4265.987,98063.55,3822.685,25871.451,30299.826,187500.0,169694.25,65434.465,108271.09,-35942.75,64995.43,16722.055,-38614.63,17918.143,21694.648,13502.197,22810.158
4266.0093,79970.45,-14912.549,9270.699,14409.454,173126.97,150425.47,46938.062,88835.94,-50167.508,47282.055,-844.583,-55164.867,20784.865,17136.031,17113.725,7636.429
4266.0317,82321.03,-13215.85,13212.966,18726.383,176657.89,152452.06,50101.348,90936.71,-46093.547,50833.566,2260.7227,-51034.758,5580.2695,15051.755,3372.409,11356.587
4266.0537,100872.06,5879.4927,30588.162,35472.242,187500.0,172128.92,69223.04,110788.79,-31215.486,69206.99,20408.887,-33726.86,-1247.3839,18932.354,-3719.5317,27125.139
4266.076,100827.25,6593.72,28678.809,33093.547,187500.0,172573.11,68383.1,111171.32,-33449.117,67905.65,19552.213,-35781.1,15041.16,21948.318,10767.417,25378.373
4266.0986,82015.26,-12703.145,10941.648,15964.376,175015.08,152665.47,48951.195,91077.75,-48774.19,49174.35,1077.9352,-53492.17,22071.545,17944.719,18151.428,9195.531
4266.121,80216.33,-15266.6,11008.57,16542.324,174408.34,150290.2,47834.992,88735.984,-48077.105,48603.715,114.910324,-53250.64,8283.735,14971.177,5891.8306,9339.297
4266.1436,98169.85,3032.1484,28243.174,33271.242,187500.0,169224.1,66523.195,107855.016,-33133.53,66683.37,17869.17,-36028.223,-1882.2853,18070.404,-4129.798,25035.586
4266.1655,102967.875,8701.042,30966.89,35384.023,187500.0,174778.06,70711.13,113394.36,-31405.787,70226.12,21779.652,-33482.688,11890.458,21968.033,7835.069,27456.75
4266.188,84585.734,-9977.797,13171.839,18062.96,177468.98,155446.0,51529.332,93869.125,-46889.023,51624.46,3534.8838,-51270.566,22769.701,18797.797,18633.533,11258.484
4266.2104,78670.91,-16729.744,9296.561,14815.452,172689.11,148727.42,46129.555,87140.85,-49668.664,46891.08,-1511.2462,-54995.82,11097.44,15055.9795,8483.962,7753.8877
4266.233,94997.16,-275.2394,25396.746,30568.582,187500.0,165830.42,63310.266,104425.836,-35512.207,63644.133,14837.201,-38840.113,-1749.3369,17216.922,-3842.7346,22484.984
