Clasificador,Feature_Set,AUC_mean,AUC_std,Acc_mean,Acc_std,F1_mean,F1_std,N_pos,N_neg,Categoria
LDA,Frecuencias_Abs,0.3368,0.0218,0.8322,0.0022,0.0,0.0,300,1500,Letters
SVM,Frecuencias_Abs,0.3195,0.0323,0.4317,0.0709,0.1367,0.0353,300,1500,Letters
GBM,Frecuencias_Abs,0.1024,0.0211,0.8311,0.0044,0.0,0.0,300,1500,Letters
LDA,Frecuencias_Rel,0.3759,0.0254,0.8261,0.0048,0.0,0.0,300,1500,Letters
SVM,Frecuencias_Rel,0.344,0.0125,0.4011,0.1682,0.1589,0.0773,300,1500,Letters
GBM,Frecuencias_Rel,0.1066,0.0123,0.8289,0.0057,0.0,0.0,300,1500,Letters
LDA,Wavelets,0.2869,0.0275,0.8294,0.0078,0.0,0.0,300,1500,Letters
SVM,Wavelets,0.3079,0.0271,0.3856,0.0485,0.1681,0.0192,300,1500,Letters
GBM,Wavelets,0.093,0.0094,0.8256,0.0069,0.0,0.0,300,1500,Letters
LDA,Frecuencias_Abs,0.3471,0.0349,0.8333,0.0,0.0,0.0,300,1500,GENERAL
SVM,Frecuencias_Abs,0.3303,0.0417,0.3539,0.0421,0.1817,0.0368,300,1500,GENERAL
GBM,Frecuencias_Abs,0.1016,0.0191,0.8222,0.0128,0.0,0.0,300,1500,GENERAL
LDA,Frecuencias_Rel,0.3763,0.0374,0.8267,0.0048,0.0,0.0,300,1500,GENERAL
SVM,Frecuencias_Rel,0.3596,0.0374,0.5322,0.1466,0.129,0.0551,300,1500,GENERAL
GBM,Frecuencias_Rel,0.1022,0.0126,0.8278,0.0053,0.0,0.0,300,1500,GENERAL
LDA,Wavelets,0.2983,0.038,0.8272,0.0079,0.0,0.0,300,1500,GENERAL
SVM,Wavelets,0.3056,0.0293,0.3839,0.0759,0.1474,0.0293,300,1500,GENERAL
GBM,Wavelets,0.096,0.0085,0.8233,0.0108,0.0,0.0,300,1500,GENERAL
