Clasificador,Feature_Set,AUC_mean,AUC_std,Acc_mean,Acc_std,N_pos,N_neg,Categoria
LDA,Frecuencias_Abs,0.4026,0.0172,0.8328,0.0011,300,1500,Letters
SVM,Frecuencias_Abs,0.3821,0.0255,0.4472,0.0485,300,1500,Letters
GBM,Frecuencias_Abs,0.1052,0.0128,0.8322,0.0014,300,1500,Letters
LDA,Frecuencias_Rel,0.3749,0.0156,0.8322,0.0022,300,1500,Letters
SVM,Frecuencias_Rel,0.3428,0.0161,0.4506,0.1171,300,1500,Letters
GBM,Frecuencias_Rel,0.106,0.0126,0.8311,0.0044,300,1500,Letters
LDA,Wavelets,0.3099,0.0316,0.8328,0.0011,300,1500,Letters
SVM,Wavelets,0.3231,0.0312,0.3844,0.0332,300,1500,Letters
GBM,Wavelets,0.0952,0.0082,0.8244,0.0059,300,1500,Letters
LDA,Frecuencias_Abs,0.4159,0.0313,0.8333,0.0,300,1500,GENERAL
SVM,Frecuencias_Abs,0.3899,0.0253,0.4022,0.0866,300,1500,GENERAL
GBM,Frecuencias_Abs,0.1144,0.0092,0.8289,0.0052,300,1500,GENERAL
LDA,Frecuencias_Rel,0.4012,0.023,0.83,0.0041,300,1500,GENERAL
SVM,Frecuencias_Rel,0.3699,0.0228,0.48,0.1437,300,1500,GENERAL
GBM,Frecuencias_Rel,0.114,0.0197,0.8294,0.0028,300,1500,GENERAL
LDA,Wavelets,0.2922,0.0177,0.8333,0.0,300,1500,GENERAL
SVM,Wavelets,0.3031,0.0197,0.4106,0.0635,300,1500,GENERAL
GBM,Wavelets,0.0998,0.0108,0.8289,0.0038,300,1500,GENERAL
