Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
108730.9103012085,4280.394,4206.2124,4147.485,4384.9697,4252.0605,4557.031,4421.031,4363.3335,4465.3335,3799.7576,4415.364,4229.394,4255.152,4135.6367
108739.45116996765,4280.394,4211.364,4153.6665,4394.2427,4253.6064,4562.697,4419.485,4363.3335,4467.909,3805.4246,4422.576,4228.364,4256.697,4128.4243
108750.06127357483,4279.364,4217.0303,4154.6973,4403.515,4253.6064,4561.152,4416.394,4355.606,4469.9697,3805.4246,4433.9097,4230.4243,4259.273,4122.758
108759.84835624695,4277.8184,4218.576,4156.758,4409.182,4261.8486,4566.8184,4409.6973,4344.273,4468.94,3813.6667,4443.6973,4234.5454,4262.879,4124.303
108763.22388648987,4276.788,4217.5454,4163.4546,4415.364,4268.546,4576.0913,4401.4546,4332.425,4467.394,3822.4246,4453.485,4239.697,4267.0,4126.879
108777.95124053955,4277.303,4221.6665,4173.2427,4425.152,4270.0913,4569.394,4391.1514,4320.061,4468.4243,3821.9092,4460.182,4248.4546,4270.0913,4125.3335
108778.93018722534,4282.4546,4224.2427,4183.546,4432.879,4269.5757,4559.0913,4382.909,4310.2725,4460.6978,3818.3035,4461.2124,4254.636,4271.121,4128.4243
108787.01686859131,4295.3335,4223.7275,4191.788,4431.3335,4267.0,4554.97,4383.94,4310.788,4450.3945,3814.6973,4462.2427,4261.8486,4271.121,4144.3945
108795.47762870789,4305.1216,4224.2427,4192.3027,4424.6367,4263.9097,4548.273,4391.6665,4322.636,4449.364,3805.4246,4460.6978,4271.121,4271.636,4156.758
108808.87365341187,4296.364,4222.6973,4180.4546,4414.3335,4259.273,4544.152,4399.909,4330.3643,4443.6973,3788.4246,4449.364,4262.364,4271.636,4150.061
108810.6427192688,4284.0,4218.576,4159.8486,4400.425,4246.394,4545.697,4410.2124,4334.4854,4432.364,3774.0,4430.303,4240.7275,4261.3335,4137.6973
108818.1037902832,4281.9395,4210.8486,4143.879,4383.94,4234.5454,4544.667,4418.4546,4341.1816,4433.9097,3768.3335,4410.7275,4227.3335,4248.9697,4130.485
108825.90913772583,4276.788,4203.6367,4137.182,4378.2725,4239.182,4547.2427,4420.0,4343.758,4444.2124,3771.9395,4404.0303,4220.121,4247.9395,4123.788
108834.11765098572,4269.5757,4204.6665,4140.7876,4383.4243,4251.546,4557.031,4417.4243,4339.636,4449.8794,3780.6973,4411.758,4218.576,4249.4854,4119.667
108841.90702438354,4265.97,4208.273,4140.273,4386.515,4254.121,4558.5757,4410.7275,4331.909,4449.364,3783.2727,4411.2427,4220.6367,4239.697,4116.0605
108850.10838508606,4257.7275,4204.6665,4131.0005,4383.94,4251.031,4556.0,4405.0605,4325.212,4449.8794,3782.7578,4407.121,4218.576,4231.9697,4106.273
108857.91230201721,4248.4546,4202.606,4126.879,4386.0005,4252.5757,4553.9395,4401.9697,4326.7573,4460.6978,3786.3635,4413.303,4214.455,4242.273,4100.091
108866.40119552612,4255.152,4210.8486,4134.0913,4393.212,4250.515,4547.7573,4399.394,4326.2427,4464.303,3787.3938,4417.4243,4214.9697,4251.031,4102.667
108872.93148040771,4266.485,4221.1514,4146.9697,4400.9395,4252.0605,4543.1216,4396.3037,4322.1216,4458.1216,3791.5154,4421.546,4225.788,4252.5757,4114.0
108880.95355033875,4269.0605,4223.7275,4157.273,4409.182,4262.364,4548.273,4400.425,4326.2427,4457.606,3796.6667,4430.303,4238.152,4257.2124,4124.8184
108888.95630836487,4272.667,4221.1514,4158.819,4409.6973,4260.303,4555.4854,4411.758,4340.667,4457.091,3791.5154,4433.9097,4237.1216,4262.879,4128.4243
108905.92861175537,4282.4546,4221.1514,4160.364,4404.0303,4252.5757,4558.0605,4420.0,4354.5757,4450.909,3783.788,4430.8184,4236.6064,4261.3335,4138.2124
108906.90660476685,4285.031,4220.6367,4163.9697,4401.4546,4251.546,4553.9395,4422.576,4363.3335,4450.3945,3783.788,4426.6973,4246.394,4254.121,4149.0303
