Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1652889.2805576324,4263.394,4251.031,4150.061,4382.909,4261.8486,4546.7275,4409.6973,4295.8486,4466.8794,3752.8792,4381.8794,4184.576,4229.909,4119.152
1652897.1605300903,4267.515,4250.515,4160.364,4387.0303,4261.8486,4544.152,4416.909,4297.909,4474.0913,3755.4546,4392.182,4205.1816,4236.091,4127.909
1652906.5988063812,4272.152,4250.515,4169.1216,4393.727,4264.9395,4554.4546,4420.515,4304.6064,4478.7275,3760.606,4400.9395,4210.334,4233.0,4141.303
1652916.2802696228,4271.636,4250.0,4163.4546,4393.212,4265.97,4558.5757,4424.6367,4311.303,4476.152,3764.7275,4405.0605,4205.1816,4233.515,4152.1216
1652924.3874549866,4269.5757,4250.515,4155.727,4392.697,4266.485,4556.0,4432.879,4319.546,4484.909,3772.4546,4414.3335,4213.9395,4245.879,4158.303
1652929.4304847717,4269.0605,4250.515,4158.303,4394.758,4267.515,4559.6064,4434.4243,4328.303,4499.3335,3778.6367,4423.6064,4226.303,4255.152,4159.8486
1652936.3372325897,4267.515,4248.9697,4159.3335,4392.697,4266.485,4560.121,4427.2124,4326.7573,4495.7275,3782.2424,4426.182,4225.273,4254.121,4157.273
1652944.275379181,4265.97,4251.031,4155.727,4391.6665,4265.97,4554.97,4420.0,4315.425,4490.576,3785.8486,4425.152,4218.576,4253.6064,4155.212
1652952.647447586,4267.0,4255.667,4156.758,4393.727,4267.515,4556.0,4421.031,4314.909,4496.242,3793.0608,4425.152,4217.5454,4256.1816,4154.6973
1652960.969209671,4267.0,4253.6064,4160.8794,4395.273,4267.515,4561.152,4429.273,4325.212,4497.788,3797.697,4430.8184,4220.121,4255.667,4154.6973
1652972.0141887665,4264.9395,4253.6064,4167.5757,4399.394,4274.2124,4562.697,4433.9097,4325.7275,4497.273,3794.6062,4438.031,4223.2124,4254.636,4155.212
1652976.1049747467,4270.6064,4263.394,4174.273,4403.515,4282.4546,4560.636,4430.303,4318.515,4495.7275,3791.0002,4431.3335,4223.2124,4254.121,4155.212
1652984.2686653137,4277.8184,4264.4243,4172.7275,4403.0,4276.788,4559.0913,4425.152,4314.909,4485.4243,3784.303,4416.394,4220.121,4246.394,4152.1216
1652992.2318458557,4274.2124,4252.0605,4171.182,4401.4546,4269.0605,4558.5757,4423.6064,4313.364,4477.6973,3768.3335,4407.121,4220.121,4236.091,4143.364
1653000.1230239868,4268.031,4250.515,4173.2427,4403.0,4272.152,4559.6064,4426.6973,4308.7275,4479.758,3764.7275,4411.758,4219.606,4235.5757,4138.727
1653007.1687698364,4269.0605,4258.2427,4173.758,4403.0,4273.697,4560.121,4423.0913,4306.667,4481.303,3780.182,4416.909,4213.9395,4238.152,4140.273
1653015.2034759521,4271.121,4254.636,4170.1514,4402.4854,4268.546,4558.0605,4417.4243,4310.2725,4478.2124,3781.2122,4411.2427,4211.364,4235.0605,4142.3335
1653023.2474803925,4269.0605,4247.4243,4169.636,4400.9395,4267.0,4557.546,4423.6064,4313.364,4479.758,3768.8486,4410.7275,4216.5156,4240.2124,4142.3335
1653031.2008857727,4267.515,4251.031,4170.1514,4393.727,4269.0605,4560.636,4432.364,4315.425,4484.909,3771.9395,4418.9697,4223.7275,4251.546,4143.364
1653039.1564369202,4264.9395,4250.0,4159.8486,4386.0005,4269.0605,4567.3335,4432.364,4320.5757,4491.0913,3780.6973,4419.485,4221.6665,4252.0605,4142.3335
1653047.1909046173,4262.879,4239.182,4148.5156,4386.515,4268.031,4574.031,4431.3335,4334.4854,4507.576,3788.4246,4419.485,4211.879,4254.636,4142.848
1653055.1550388336,4265.4546,4240.2124,4156.2427,4391.6665,4267.515,4574.546,4433.9097,4346.3335,4524.0605,3806.97,4434.4243,4213.4243,4267.0,4149.5454
1653063.2116794586,4269.0605,4251.546,4174.273,4397.3335,4268.546,4573.0,4433.394,4343.758,4522.5156,3824.485,4450.909,4231.9697,4275.242,4159.8486
1653071.2201595306,4269.0605,4254.121,4176.3335,4399.909,4270.6064,4572.4854,4432.879,4338.091,4514.2734,3821.3943,4452.9697,4239.182,4272.667,4163.9697
1653078.1886577606,4267.0,4248.9697,4163.4546,4396.8184,4271.636,4566.8184,4432.364,4332.9395,4507.576,3804.3943,4439.576,4224.2427,4262.364,4155.212
1653088.2654190063,4266.485,4248.4546,4160.8794,4391.6665,4269.0605,4560.121,4426.6973,4314.909,4490.0605,3783.2727,4424.1216,4217.0303,4252.0605,4142.3335
1653094.215631485,4268.031,4249.4854,4169.1216,4389.606,4267.0,4558.5757,4423.0913,4296.364,4473.576,3767.8184,4417.4243,4218.576,4247.4243,4138.2124
1653102.3983955383,4267.515,4250.0,4163.9697,4391.6665,4268.546,4557.546,4422.061,4299.9697,4473.576,3763.1821,4412.788,4209.8184,4240.2124,4140.273
1653110.261440277,4265.4546,4249.4854,4152.1216,4394.758,4269.5757,4557.031,4422.061,4308.212,4477.6973,3767.8184,4408.152,4200.5454,4234.0303,4135.1216
1653118.4735298157,4265.4546,4248.4546,4154.6973,4394.2427,4268.546,4558.5757,4420.0,4300.485,4475.6367,3771.4243,4402.4854,4201.0605,4236.091,4127.909
1653126.267194748,4266.485,4247.9395,4164.485,4393.212,4268.546,4558.0605,4420.0,4297.394,4474.6064,3767.8184,4398.3643,4202.606,4236.091,4126.364
1653134.2914104462,4267.0,4248.9697,4170.1514,4399.394,4268.031,4557.546,4425.667,4312.8486,4484.394,3770.9092,4410.7275,4206.727,4239.182,4134.0913
1653141.2773132324,4268.546,4251.546,4173.2427,4401.4546,4268.546,4559.0913,4432.879,4328.303,4502.4243,3790.485,4433.394,4218.576,4260.818,4150.576
1653149.3306159973,4267.515,4250.515,4167.061,4394.2427,4269.5757,4559.6064,4432.364,4332.9395,4513.2427,3799.2424,4436.485,4224.758,4271.121,4154.6973
1653157.3402881622,4264.4243,4250.0,4156.758,4391.1514,4268.546,4559.0913,4423.0913,4331.394,4508.606,3789.4548,4424.6367,4219.606,4256.697,4142.848
1653165.7078266144,4263.394,4254.121,4161.394,4394.758,4265.97,4558.0605,4415.364,4325.7275,4498.8184,3784.303,4421.546,4209.8184,4249.4854,4137.6973
1653173.2385158539,4264.9395,4256.1816,4168.606,4394.2427,4264.4243,4556.0,4413.8184,4316.4546,4493.152,3783.2727,4420.0,4205.1816,4252.5757,4143.364
1653181.2059879303,4265.97,4254.636,4164.485,4393.212,4265.97,4557.031,4413.8184,4304.6064,4490.576,3772.4546,4414.8486,4204.152,4247.9395,4141.8184
1653189.2082691193,4268.031,4253.0913,4159.8486,4394.2427,4266.485,4560.121,4415.364,4302.546,4490.0605,3765.7578,4413.8184,4206.727,4244.3335,4136.6665
1653197.2432136536,4268.031,4250.515,4162.4243,4388.061,4266.485,4561.667,4417.4243,4309.758,4497.788,3767.8184,4409.182,4205.6973,4244.8486,4137.6973
1653205.6307792664,4265.4546,4247.4243,4158.819,4382.909,4267.515,4561.667,4417.4243,4310.788,4507.0605,3767.3032,4398.3643,4193.8486,4238.667,4139.2427
1653212.22448349,4265.4546,4247.9395,4153.6665,4388.061,4267.0,4560.121,4417.9395,4310.2725,4510.152,3768.8486,4401.9697,4190.242,4238.667,4136.6665
1653220.2134132385,4268.546,4250.515,4162.4243,4393.727,4265.4546,4558.5757,4418.4546,4313.364,4509.6367,3778.1213,4414.3335,4208.273,4251.546,4139.758
1653228.2238006592,4270.0913,4252.0605,4171.6973,4395.788,4265.97,4560.121,4412.788,4315.425,4514.2734,3786.3635,4417.4243,4222.6973,4260.303,4152.1216
1653237.1537685394,4270.0913,4251.546,4172.2124,4395.788,4267.515,4560.121,4410.2124,4322.636,4524.0605,3789.97,4416.909,4222.1816,4262.364,4158.819
1653244.2562580109,4269.5757,4249.4854,4170.1514,4393.727,4268.031,4558.0605,4415.879,4334.4854,4528.182,3794.091,4419.485,4218.576,4260.303,4149.0303
1653252.4874210358,4268.546,4250.0,4171.6973,4395.273,4266.485,4558.0605,4417.4243,4335.0,4530.758,3797.182,4420.0,4207.758,4253.6064,4140.273
1653260.1609230042,4268.546,4253.6064,4171.6973,4399.394,4264.4243,4559.0913,4416.394,4328.8184,4529.2124,3791.5154,4417.9395,4203.121,4251.546,4141.8184
1653268.5160636902,4269.0605,4255.667,4169.636,4399.909,4264.4243,4557.546,4416.394,4322.1216,4518.909,3780.182,4416.394,4217.5454,4252.5757,4147.485
1653275.4130363464,4270.0913,4253.0913,4172.2124,4399.394,4267.0,4556.515,4413.303,4315.94,4510.152,3772.4546,4415.879,4223.7275,4250.0,4149.5454
1653283.2231521606,4268.546,4251.546,4171.6973,4394.2427,4267.515,4558.0605,4408.667,4309.758,4512.2124,3769.879,4420.0,4209.8184,4252.0605,4144.3945
1653291.1694049835,4266.485,4250.515,4161.394,4386.515,4265.97,4558.0605,4407.6367,4299.4546,4510.152,3770.9092,4419.485,4202.606,4250.515,4140.273
1653299.2017269135,4264.4243,4243.303,4153.1514,4389.091,4265.4546,4556.515,4408.152,4297.909,4507.0605,3768.3335,4405.5757,4203.121,4239.697,4141.303
1653307.1839809418,4260.818,4234.5454,4154.6973,4395.788,4265.4546,4557.546,4405.0605,4303.576,4512.727,3763.6973,4393.212,4195.394,4231.4546,4136.152
1653315.5415058136,4254.121,4234.0303,4157.273,4394.2427,4267.0,4559.6064,4399.909,4301.515,4511.6973,3764.2124,4394.758,4185.0913,4231.9697,4124.8184
1653323.240995407,4248.4546,4240.7275,4152.6367,4391.1514,4268.031,4558.5757,4403.515,4306.667,4515.303,3770.9092,4406.091,4183.0303,4240.2124,4125.8486
1653331.2029838562,4253.6064,4246.909,4153.6665,4393.212,4265.97,4559.0913,4416.394,4328.303,4530.2427,3778.1213,4411.2427,4192.3027,4250.515,4137.6973
1653339.197397232,4265.4546,4248.9697,4161.909,4398.879,4267.0,4562.697,4422.576,4336.0303,4532.8184,3784.303,4412.788,4203.121,4254.636,4143.364
1653346.2493419647,4262.879,4250.0,4162.4243,4402.4854,4270.6064,4562.182,4418.4546,4327.2725,4524.576,3787.9092,4422.576,4203.6367,4255.152,4142.848
1653355.3113937378,4251.546,4251.031,4154.182,4398.879,4267.515,4558.0605,4416.394,4328.303,4525.606,3786.3635,4431.3335,4197.97,4254.121,4138.2124
1653362.2252941132,4256.1816,4252.5757,4157.788,4397.3335,4262.364,4557.546,4417.4243,4330.3643,4531.788,3786.879,4430.8184,4201.0605,4256.697,4139.2427
1653370.2232837677,4269.0605,4253.6064,4170.667,4398.879,4263.9097,4555.4854,4409.6973,4316.9697,4523.5454,3787.9092,4430.303,4210.8486,4262.364,4149.5454
1653378.2160282135,4270.0913,4253.0913,4175.303,4399.909,4267.0,4552.9097,4398.879,4305.1216,4512.2124,3786.879,4435.455,4216.0,4267.0,4155.727
1653387.1166706085,4269.0605,4252.5757,4173.758,4398.879,4265.4546,4554.97,4405.0605,4308.7275,4519.4243,3785.8486,4439.061,4218.576,4268.031,4153.6665
1653394.2155838013,4270.6064,4252.0605,4170.667,4395.273,4262.879,4559.6064,4421.031,4314.3936,4526.1216,3780.6973,4435.97,4218.0605,4267.0,4154.182
1653401.5922546387,4270.0913,4250.515,4171.6973,4392.697,4263.394,4560.121,4423.6064,4311.8184,4514.788,3779.1516,4437.5156,4217.5454,4267.0,4157.788
1653409.2144966125,4271.636,4251.031,4185.0913,4403.0,4265.4546,4559.0913,4420.515,4312.8486,4515.8184,3787.9092,4443.6973,4220.6367,4268.546,4158.819
1653420.9990501404,4272.152,4252.5757,4194.3633,4413.8184,4265.4546,4560.121,4422.576,4318.0005,4525.606,3788.9397,4442.152,4224.758,4268.546,4159.8486
1653426.188468933,4269.0605,4251.546,4189.2124,4411.758,4264.4243,4559.0913,4421.031,4319.0303,4516.8486,3774.0,4427.7275,4222.1816,4256.697,4156.758
1653440.824508667,4268.546,4252.0605,4191.788,4409.6973,4263.9097,4559.0913,4418.9697,4316.9697,4509.121,3761.6362,4416.394,4214.455,4245.879,4147.485
1653441.128730774,4268.546,4257.7275,4206.2124,4418.9697,4263.394,4556.515,4418.4546,4318.515,4513.758,3762.667,4417.9395,4219.606,4247.4243,4145.4243
