Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
231380.92160224915,4260.303,4233.515,4139.2427,4375.6973,4227.3335,4467.394,4383.94,4306.667,4423.6064,3789.4548,4436.485,4219.091,4237.636,4115.546
231397.40204811096,4250.515,4234.0303,4136.6665,4375.6973,4234.5454,4479.2427,4386.515,4308.7275,4427.7275,3791.5154,4445.758,4218.0605,4243.303,4112.9697
231397.47953414917,4250.515,4235.0605,4138.727,4375.6973,4236.091,4481.303,4383.94,4305.1216,4423.0913,3787.3938,4441.1216,4221.6665,4245.879,4116.0605
231406.16750717163,4252.5757,4235.0605,4140.7876,4379.8184,4229.909,4475.6367,4376.727,4292.758,4416.394,3784.303,4441.1216,4231.4546,4242.273,4122.2427
231412.93144226074,4251.031,4236.6064,4140.273,4385.485,4224.2427,4475.6367,4374.1514,4282.4546,4414.3335,3785.8486,4449.364,4237.1216,4238.152,4120.182
231420.92323303223,4256.697,4236.6064,4145.4243,4388.5757,4225.788,4478.7275,4375.182,4284.0,4411.758,3782.2424,4449.364,4231.9697,4238.667,4116.0605
231428.8878440857,4265.97,4234.5454,4154.182,4393.727,4231.9697,4479.2427,4374.6665,4282.97,4406.091,3772.4546,4445.758,4230.9395,4237.636,4117.091
231442.97695159912,4274.7275,4242.273,4166.5454,4402.4854,4236.6064,4481.303,4375.182,4280.9097,4407.121,3768.8486,4448.8486,4240.2124,4235.0605,4120.6973
231450.89626312256,4280.394,4249.4854,4174.273,4404.546,4235.5757,4484.909,4379.303,4288.636,4413.8184,3774.5151,4447.819,4243.303,4237.636,4125.3335
231451.94697380066,4276.788,4241.7573,4163.9697,4393.727,4228.364,4484.909,4385.485,4296.879,4409.182,3770.9092,4437.0005,4235.5757,4233.0,4121.2124
231459.91373062134,4264.9395,4233.515,4144.909,4379.8184,4221.1514,4479.758,4387.5454,4294.303,4399.394,3752.8792,4424.6367,4220.121,4217.5454,4104.7275
231469.0272808075,4253.6064,4233.515,4134.0913,4376.727,4220.6367,4476.152,4383.94,4292.758,4403.515,3748.758,4416.394,4205.6973,4209.3027,4093.394
231475.85487365723,4250.0,4230.9395,4128.9395,4378.7876,4221.6665,4475.6367,4382.394,4298.9395,4412.788,3764.2124,4417.9395,4196.9395,4214.455,4090.303
231484.07101631165,4251.546,4229.394,4128.9395,4375.182,4219.091,4475.6367,4380.333,4301.515,4413.303,3770.394,4425.152,4195.394,4217.5454,4089.788
231491.94025993347,4252.5757,4236.091,4137.182,4375.182,4225.788,4478.2124,4376.727,4298.9395,4412.273,3770.394,4433.9097,4207.758,4219.091,4098.0303
231500.0400543213,4251.031,4236.091,4139.2427,4383.4243,4235.0605,4480.273,4380.848,4301.515,4418.4546,3782.7578,4442.6665,4221.1514,4226.8184,4108.3335
231507.92384147644,4256.697,4229.394,4139.758,4390.636,4235.0605,4485.4243,4385.485,4302.546,4420.515,3791.0002,4450.3945,4222.1816,4230.9395,4114.0
231514.8606300354,4268.031,4236.6064,4155.727,4399.394,4235.0605,4492.6367,4383.4243,4297.909,4415.879,3786.879,4460.182,4225.273,4229.909,4119.152
231522.9570865631,4268.546,4251.546,4173.2427,4409.182,4239.697,4496.242,4382.909,4297.909,4419.485,3787.3938,4475.6367,4244.3335,4237.1216,4129.4546
231530.86066246033,4268.031,4253.6064,4177.364,4412.273,4239.697,4495.7275,4384.4546,4301.515,4429.788,3797.182,4484.909,4263.9097,4247.9395,4140.273
231538.87462615967,4276.273,4247.4243,4174.273,4410.7275,4236.6064,4495.7275,4378.7876,4302.0303,4429.788,3804.3943,4483.364,4269.5757,4245.364,4145.94
231546.91314697266,4277.8184,4250.0,4176.3335,4412.273,4237.1216,4497.788,4376.212,4304.6064,4422.061,3798.7273,4482.3335,4266.485,4238.152,4144.3945
231555.17578125,4270.0913,4252.0605,4172.7275,4407.6367,4237.636,4497.273,4380.333,4309.758,4421.546,3788.4246,4477.182,4254.121,4235.5757,4134.606
231562.92057037354,4265.4546,4242.273,4161.909,4394.758,4235.5757,4495.2124,4384.9697,4314.909,4426.182,3784.8184,4461.2124,4237.1216,4229.909,4125.8486
231570.9457397461,4266.485,4235.0605,4154.182,4385.485,4232.485,4495.2124,4388.5757,4316.4546,4422.061,3785.3333,4448.8486,4233.0,4222.1816,4123.273
231577.91900634766,4267.0,4236.6064,4149.5454,4383.94,4226.8184,4491.0913,4385.485,4309.2427,4415.364,3780.182,4449.364,4236.091,4219.091,4121.7275
231585.92700958252,4262.364,4230.4243,4141.8184,4377.758,4217.5454,4478.2124,4375.6973,4299.4546,4414.8486,3768.3335,4447.303,4226.303,4218.0605,4111.4243
231593.9075946808,4257.7275,4222.6973,4138.2124,4374.6665,4216.5156,4477.182,4375.6973,4299.4546,4415.879,3767.3032,4442.152,4218.576,4218.0605,4105.758
231601.9082069397,4264.4243,4230.9395,4150.061,4384.4546,4227.3335,4489.546,4383.4243,4301.515,4415.879,3782.2424,4447.819,4228.879,4223.2124,4119.152
231609.9147796631,4270.6064,4238.152,4156.2427,4392.697,4233.0,4488.5156,4382.909,4299.9697,4413.303,3785.8486,4449.364,4231.9697,4223.7275,4123.788
231617.91467666626,4264.4243,4226.8184,4144.909,4390.636,4229.394,4479.2427,4375.182,4296.879,4411.2427,3772.9697,4435.455,4218.576,4219.091,4105.758
231625.89836120605,4262.364,4224.2427,4144.3945,4392.182,4230.9395,4479.758,4370.5454,4289.152,4407.6367,3768.8486,4431.8486,4212.909,4218.576,4096.4854
231634.07492637634,4268.031,4235.5757,4157.788,4401.9697,4236.091,4481.303,4369.5156,4279.879,4402.4854,3772.4546,4445.758,4224.2427,4221.1514,4107.8184
231641.87455177307,4270.0913,4236.6064,4162.4243,4405.5757,4233.515,4480.273,4370.5454,4282.4546,4402.4854,3769.879,4449.364,4234.5454,4221.1514,4113.485
231648.94604682922,4269.0605,4229.909,4155.212,4402.4854,4231.4546,4483.364,4374.1514,4295.3335,4411.2427,3768.3335,4446.273,4235.5757,4219.091,4110.909
231656.8682193756,4270.6064,4230.9395,4156.758,4400.425,4232.485,4482.8486,4378.7876,4305.6367,4419.485,3772.9697,4448.334,4235.0605,4224.758,4115.0303
231664.8714542389,4269.0605,4234.0303,4159.3335,4398.879,4229.909,4478.2124,4382.909,4309.758,4416.394,3781.2122,4449.8794,4234.0303,4232.485,4121.2124
231673.894405365,4269.0605,4233.515,4154.6973,4398.3643,4231.4546,4483.879,4388.061,4317.4854,4418.9697,3789.4548,4456.061,4234.0303,4234.5454,4122.758
231680.89413642883,4275.242,4235.5757,4160.364,4399.909,4235.0605,4493.667,4392.697,4322.636,4429.273,3790.485,4465.3335,4242.788,4240.7275,4129.4546
231688.93718719482,4275.242,4236.091,4169.636,4398.3643,4232.485,4495.2124,4394.758,4319.546,4430.8184,3790.485,4469.9697,4252.5757,4249.4854,4139.2427
231696.9540119171,4269.5757,4233.515,4167.061,4395.788,4229.394,4494.1816,4393.727,4318.515,4424.1216,3794.091,4475.1216,4253.0913,4252.0605,4142.3335
231712.952375412,4269.5757,4234.5454,4160.8794,4398.879,4230.4243,4496.242,4388.061,4315.425,4421.031,3789.97,4474.0913,4255.152,4248.9697,4139.2427
231713.91415596008,4270.6064,4235.5757,4158.819,4400.425,4228.364,4494.6973,4379.303,4303.061,4416.394,3778.1213,4464.819,4251.546,4241.2427,4131.5156
231720.05224227905,4266.485,4233.0,4157.273,4398.3643,4227.3335,4491.0913,4376.727,4295.3335,4406.6064,3770.9092,4460.6978,4234.0303,4232.485,4120.6973
231733.51097106934,4265.4546,4232.485,4155.727,4401.9697,4231.4546,4492.6367,4376.727,4298.4243,4407.121,3771.4243,4461.7275,4229.909,4231.4546,4115.546
231736.9704246521,4268.031,4234.0303,4156.758,4405.0605,4230.4243,4493.152,4375.182,4298.4243,4414.8486,3775.0305,4461.2124,4239.697,4233.0,4118.1216
231743.9513206482,4268.546,4233.0,4155.727,4402.4854,4224.2427,4490.576,4378.7876,4298.9395,4416.394,3778.6367,4462.2427,4237.1216,4231.4546,4120.182
231751.95455551147,4269.5757,4233.0,4157.788,4399.909,4222.6973,4488.0,4385.485,4310.788,4416.909,3780.182,4459.1514,4233.0,4234.5454,4121.7275
231759.93084907532,4268.546,4235.0605,4157.788,4399.909,4222.6973,4482.3335,4386.515,4316.9697,4418.4546,3777.091,4454.0005,4236.091,4235.0605,4122.2427
231772.90177345276,4266.485,4235.0605,4154.6973,4398.879,4219.091,4477.6973,4385.485,4315.425,4422.576,3778.6367,4457.091,4236.091,4233.0,4120.182
231775.89917182922,4273.1816,4235.0605,4161.394,4399.909,4220.121,4485.9395,4386.515,4322.1216,4431.8486,3791.0002,4468.4243,4239.697,4241.2427,4127.909
231784.06524658203,4282.97,4234.5454,4173.758,4404.0303,4227.3335,4496.758,4388.061,4326.2427,4432.879,3800.2727,4479.2427,4248.4546,4252.0605,4139.2427
231791.9466495514,4285.031,4234.5454,4176.3335,4406.6064,4228.879,4494.6973,4387.0303,4318.515,4421.546,3797.697,4482.3335,4251.031,4253.6064,4142.3335
231798.96092414856,4284.0,4236.6064,4174.273,4403.0,4226.303,4490.576,4381.364,4307.182,4415.364,3789.97,4476.667,4252.0605,4248.4546,4141.303
231806.93173408508,4281.4243,4233.0,4171.6973,4400.425,4230.9395,4494.1816,4376.212,4293.273,4409.6973,3776.5762,4468.4243,4254.121,4243.303,4136.6665
231815.2050971985,4272.667,4228.364,4162.94,4401.9697,4233.515,4490.576,4375.182,4278.849,4398.879,3763.6973,4464.303,4244.3335,4237.1216,4125.3335
231822.9694366455,4267.0,4228.364,4154.6973,4398.879,4224.758,4480.788,4376.212,4277.8184,4395.788,3766.273,4455.0303,4234.5454,4229.909,4116.5757
