Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
271416.1276817322,4267.515,4220.121,4157.273,4403.0,4205.1816,4529.7275,4362.303,4291.7275,4398.879,3764.7275,4431.8486,4230.9395,4313.879,4118.1216
271423.9706993103,4263.394,4218.0605,4152.6367,4401.4546,4207.242,4529.2124,4363.848,4296.364,4400.9395,3761.1213,4431.8486,4231.4546,4316.4546,4121.2124
271431.9748878479,4274.7275,4221.1514,4165.515,4405.0605,4207.242,4528.6973,4367.9697,4312.8486,4412.273,3770.9092,4439.576,4244.8486,4327.788,4135.1216
271438.89331817627,4288.636,4225.273,4173.2427,4405.0605,4205.1816,4526.1216,4373.1216,4332.9395,4423.0913,3789.4548,4449.8794,4256.1816,4339.121,4149.0303
271446.9623565674,4283.485,4222.6973,4164.485,4395.788,4204.152,4525.606,4381.364,4348.909,4432.364,3798.2122,4445.758,4245.879,4337.5757,4147.485
271455.1417827606,4267.0,4211.364,4151.606,4384.4546,4199.0,4524.0605,4389.091,4356.1216,4434.94,3792.0305,4429.788,4223.2124,4326.2427,4132.5454
271462.93091773987,4255.152,4203.121,4141.8184,4376.727,4194.879,4528.6973,4391.6665,4356.6367,4433.9097,3785.8486,4421.546,4213.9395,4316.9697,4124.8184
271471.89259529114,4253.0913,4202.0913,4136.6665,4374.1514,4201.0605,4539.515,4392.697,4355.606,4433.9097,3788.9397,4418.9697,4216.5156,4315.94,4122.758
271478.96552085876,4255.152,4196.9395,4138.2124,4379.303,4207.242,4544.667,4393.727,4345.8184,4427.7275,3784.8184,4418.9697,4218.0605,4314.3936,4113.485
271486.90938949585,4259.788,4193.8486,4142.848,4387.0303,4205.1816,4542.6064,4388.5757,4325.7275,4415.879,3769.879,4415.364,4214.9697,4305.6367,4102.667
271494.8811531067,4262.364,4202.0913,4148.0005,4392.697,4205.6973,4543.636,4380.848,4305.6367,4406.6064,3758.5454,4413.8184,4212.909,4302.0303,4103.697
271502.9296875,4268.031,4207.242,4162.4243,4399.909,4208.7876,4545.697,4375.6973,4294.303,4400.425,3758.5454,4426.182,4226.303,4312.8486,4115.546
271509.957075119,4276.788,4204.152,4174.788,4407.6367,4206.727,4540.031,4371.576,4293.788,4404.0303,3764.7275,4437.0005,4243.303,4324.697,4130.485
271518.16844940186,4276.273,4203.6367,4173.758,4403.515,4204.6665,4531.273,4371.576,4307.6973,4415.364,3774.5151,4438.031,4246.909,4329.3335,4140.273
271525.95686912537,4276.788,4202.606,4172.2124,4394.758,4200.031,4524.0605,4373.6367,4327.2725,4419.485,3785.8486,4443.6973,4245.364,4336.0303,4142.848
271534.17468070984,4282.4546,4195.909,4170.667,4393.727,4191.273,4516.8486,4372.091,4339.121,4415.879,3787.3938,4450.909,4245.364,4341.1816,4146.455
271541.95833206177,4278.849,4189.7275,4163.9697,4392.697,4189.2124,4509.6367,4372.091,4341.6973,4415.879,3780.182,4445.758,4242.273,4338.091,4149.0303
271550.252199173,4267.515,4187.152,4154.6973,4383.4243,4191.788,4512.2124,4374.6665,4340.1514,4418.4546,3778.1213,4437.0005,4230.4243,4331.909,4140.273
271557.9676628113,4258.2427,4184.0605,4143.364,4372.091,4190.758,4520.455,4375.6973,4332.425,4416.394,3775.0305,4429.273,4219.091,4324.697,4128.4243
