Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3605429.5711517334,4251.031,4204.152,4139.758,4376.727,4319.546,4545.697,4387.5454,4302.0303,4452.455,3734.8484,4390.1216,4184.0605,4235.5757,4103.1816
3605437.091588974,4251.031,4201.0605,4140.7876,4378.7876,4325.212,4544.667,4387.0303,4305.1216,4445.2427,3741.5457,4400.425,4193.8486,4248.9697,4115.546
3605444.6165561676,4253.6064,4199.5156,4140.273,4377.758,4322.636,4544.667,4387.0303,4308.212,4448.8486,3750.3032,4406.091,4204.152,4258.7573,4128.4243
3605452.6903629303,4253.0913,4203.6367,4140.273,4378.2725,4313.879,4543.1216,4387.5454,4313.364,4460.182,3753.9094,4408.152,4207.242,4264.4243,4129.9697
3605460.66904068,4249.4854,4205.1816,4136.6665,4378.7876,4313.879,4543.636,4387.0303,4310.2725,4466.364,3753.394,4412.273,4202.0913,4264.4243,4123.273
3605468.5893058777,4252.0605,4203.6367,4142.848,4377.2427,4309.758,4545.697,4386.0005,4302.0303,4458.1216,3754.4243,4420.0,4208.273,4265.97,4128.4243
3605476.5956401825,4263.9097,4201.0605,4155.727,4381.364,4298.9395,4543.1216,4385.485,4306.667,4463.273,3766.273,4429.273,4223.7275,4275.758,4143.364
3605484.937429428,4266.485,4202.606,4160.8794,4387.5454,4298.4243,4541.5757,4386.515,4318.515,4481.8184,3776.0608,4430.8184,4229.394,4281.4243,4145.94
3605493.1168556213,4255.667,4203.6367,4151.091,4382.394,4298.4243,4545.182,4385.485,4315.425,4479.2427,3763.1821,4422.061,4223.2124,4271.121,4137.182
3605508.5434913635,4246.394,4194.3633,4138.2124,4374.6665,4296.879,4545.697,4380.333,4301.515,4456.576,3744.6365,4407.6367,4214.455,4255.667,4125.8486
3605509.6271038055,4242.273,4187.667,4134.0913,4378.7876,4298.9395,4542.0913,4375.6973,4294.8184,4444.2124,3742.0608,4399.394,4203.121,4248.9697,4116.0605
3605515.872001648,4235.5757,4186.6367,4129.4546,4375.6973,4292.758,4541.5757,4378.2725,4297.909,4448.334,3742.0608,4399.394,4189.2124,4242.788,4107.303
3605523.8320827484,4234.5454,4175.303,4120.182,4360.758,4280.394,4543.636,4384.4546,4300.485,4450.3945,3737.4246,4393.727,4182.0,4233.0,4100.6064
3605532.441139221,4238.152,4170.1514,4119.152,4359.727,4280.394,4543.1216,4387.5454,4298.9395,4445.758,3735.8792,4387.5454,4181.485,4234.5454,4100.6064
3605546.041727066,4237.1216,4184.0605,4124.303,4369.5156,4284.515,4542.0913,4390.1216,4306.1514,4450.3945,3740.0002,4394.2427,4187.152,4248.4546,4108.8486
3605552.4344444275,4237.1216,4191.273,4126.364,4372.606,4282.4546,4542.6064,4393.727,4316.4546,4464.303,3751.3335,4406.6064,4200.031,4256.697,4120.182
3605557.0888519287,4238.667,4185.6064,4130.485,4372.091,4286.0605,4543.1216,4395.273,4315.94,4470.485,3760.091,4407.121,4206.727,4253.6064,4126.364
3605563.5035037994,4236.091,4184.0605,4127.909,4370.0303,4292.2427,4542.6064,4393.727,4312.8486,4465.8486,3756.4849,4404.546,4201.576,4253.6064,4123.788
3605571.000099182,4239.182,4186.6367,4124.303,4370.5454,4294.303,4543.1216,4390.636,4314.909,4469.4546,3757.5151,4414.3335,4204.6665,4264.4243,4127.394
3605578.6106586456,4249.4854,4187.152,4140.273,4380.333,4297.909,4543.1216,4387.5454,4318.0005,4479.758,3770.9092,4429.273,4217.0303,4273.697,4141.303
3605587.0163440704,4254.121,4189.2124,4156.2427,4387.0303,4301.515,4543.1216,4386.0005,4316.4546,4477.182,3776.0608,4435.455,4226.303,4271.121,4145.4243
3605595.1251983643,4251.546,4191.788,4156.758,4386.0005,4302.0303,4543.1216,4386.515,4309.2427,4468.4243,3771.4243,4435.455,4235.0605,4270.6064,4140.7876
3605611.5942001343,4253.0913,4190.242,4154.6973,4389.091,4302.0303,4543.1216,4387.5454,4302.546,4466.364,3763.1821,4429.273,4234.5454,4272.667,4136.6665
3605612.549304962,4255.152,4186.6367,4152.1216,4389.606,4299.4546,4542.6064,4387.0303,4298.9395,4456.576,3748.758,4414.8486,4221.1514,4259.273,4127.909
3605618.532180786,4254.121,4187.152,4145.94,4386.0005,4296.364,4543.1216,4386.0005,4297.909,4448.8486,3740.5154,4408.667,4215.485,4247.9395,4119.152
3605627.745628357,4253.0913,4186.6367,4143.879,4383.4243,4297.909,4542.6064,4388.061,4299.4546,4456.061,3744.6365,4414.8486,4215.485,4252.5757,4121.2124
3605635.799407959,4249.4854,4176.3335,4141.303,4377.2427,4298.9395,4539.515,4389.091,4300.485,4457.606,3748.2424,4413.303,4212.3945,4251.031,4121.7275
3605642.671585083,4247.9395,4171.6973,4135.1216,4374.1514,4297.394,4540.546,4386.515,4299.9697,4452.9697,3748.758,4411.758,4212.3945,4247.9395,4119.152
3605649.6040821075,4251.031,4182.515,4142.848,4383.4243,4299.9697,4545.697,4388.5757,4307.182,4464.303,3759.0608,4426.182,4220.6367,4262.879,4129.4546
3605657.639980316,4253.0913,4193.3335,4154.6973,4389.606,4302.546,4545.182,4394.758,4316.9697,4475.6367,3770.394,4437.5156,4228.364,4275.242,4142.3335
3605666.421175003,4250.515,4193.3335,4148.0005,4386.515,4302.546,4544.667,4392.697,4315.94,4466.364,3767.8184,4433.9097,4233.515,4269.0605,4142.3335
3605673.826932907,4247.4243,4189.2124,4138.727,4384.9697,4301.0,4547.7573,4387.5454,4312.333,4461.2124,3763.1821,4430.303,4234.5454,4268.546,4141.303
3605681.702375412,4248.4546,4186.6367,4143.879,4386.0005,4299.4546,4544.667,4385.485,4314.3936,4472.0303,3769.3638,4435.97,4235.5757,4279.364,4143.879
3605689.591407776,4252.5757,4188.1816,4152.1216,4387.5454,4302.546,4539.515,4383.94,4312.8486,4470.485,3771.9395,4441.6367,4238.152,4278.849,4142.848
3605697.5700855255,4253.0913,4189.7275,4154.182,4390.1216,4310.788,4542.6064,4385.485,4306.1514,4460.6978,3761.6362,4436.485,4234.5454,4268.031,4139.2427
3605710.572719574,4257.7275,4189.7275,4156.758,4392.697,4312.333,4544.152,4386.0005,4301.0,4462.7583,3755.97,4429.788,4233.515,4264.9395,4137.6973
3605712.6319408417,4267.0,4195.394,4159.3335,4394.758,4307.6973,4541.061,4382.909,4298.4243,4467.909,3755.97,4430.8184,4236.091,4267.515,4133.061
3605725.5601882935,4266.485,4195.394,4157.273,4396.8184,4307.182,4542.6064,4383.4243,4298.4243,4461.7275,3756.4849,4430.8184,4233.515,4265.4546,4128.9395
3605728.4932136536,4258.2427,4186.121,4158.303,4397.3335,4313.364,4544.667,4384.9697,4296.879,4459.6665,3763.1821,4434.4243,4233.515,4269.5757,4133.576
3605736.9079589844,4255.667,4190.242,4160.364,4394.758,4314.3936,4543.636,4379.8184,4290.182,4462.7583,3769.3638,4446.7876,4238.152,4278.3335,4140.7876
3605745.714664459,4254.636,4205.1816,4157.788,4392.182,4308.7275,4542.6064,4375.6973,4289.667,4460.182,3769.879,4449.364,4237.1216,4275.242,4140.273
3605752.594232559,4252.0605,4209.3027,4154.182,4393.212,4308.212,4544.667,4383.4243,4305.1216,4465.8486,3770.9092,4439.576,4231.9697,4268.546,4138.727
3605760.546207428,4251.031,4205.1816,4150.576,4392.697,4310.788,4545.182,4391.1514,4319.0303,4482.3335,3776.0608,4436.485,4232.485,4272.152,4140.273
3605768.620967865,4247.9395,4205.6973,4145.4243,4387.0303,4309.758,4544.152,4392.182,4318.0005,4478.2124,3770.9092,4433.394,4234.0303,4273.1816,4140.273
3605776.5452861786,4254.636,4207.242,4149.0303,4387.0303,4310.2725,4545.182,4394.758,4319.0303,4463.788,3761.6362,4424.6367,4232.485,4267.515,4140.7876
3605783.568382263,4268.031,4204.6665,4157.788,4393.212,4314.3936,4546.2124,4402.4854,4331.394,4475.6367,3766.788,4418.4546,4231.9697,4268.031,4144.3945
3605791.626930237,4263.9097,4202.0913,4156.2427,4388.5757,4312.333,4542.6064,4402.4854,4329.8486,4484.394,3765.2427,4412.788,4227.3335,4267.515,4138.2124
3605799.610376358,4251.031,4201.0605,4151.606,4381.364,4307.6973,4540.546,4392.182,4306.667,4455.5454,3746.697,4404.546,4216.5156,4253.0913,4124.303
3605816.6286945343,4256.697,4204.152,4152.6367,4387.5454,4309.758,4542.6064,4386.0005,4293.273,4437.0005,3740.5154,4405.0605,4213.4243,4243.818,4118.6367
3605817.561864853,4270.0913,4210.8486,4158.303,4399.394,4315.94,4544.152,4385.485,4299.9697,4455.5454,3754.9397,4417.9395,4225.273,4255.667,4127.394
3605823.5585689545,4269.5757,4212.909,4168.091,4404.546,4321.6064,4544.152,4380.848,4296.879,4465.3335,3761.1213,4431.8486,4239.182,4269.5757,4137.182
3605831.598043442,4264.4243,4206.727,4173.758,4403.0,4324.182,4544.152,4375.182,4282.97,4459.1514,3761.1213,4434.4243,4246.394,4273.697,4140.7876
3605839.6484851837,4265.97,4202.606,4171.182,4402.4854,4323.667,4543.636,4374.1514,4284.515,4463.273,3769.3638,4439.576,4251.546,4279.879,4150.061
3605847.5840091705,4265.97,4204.152,4166.5454,4405.5757,4320.5757,4543.636,4377.758,4297.394,4476.667,3775.546,4451.4243,4253.0913,4288.121,4160.364
3605856.474876404,4257.2124,4202.606,4160.364,4403.0,4317.4854,4543.1216,4384.4546,4306.1514,4484.394,3774.0,4446.7876,4244.3335,4285.031,4153.1514
3605862.5745773315,4251.546,4201.576,4156.758,4391.6665,4316.9697,4542.0913,4389.606,4311.303,4477.182,3771.9395,4432.364,4230.4243,4273.697,4139.2427
3605870.997905731,4254.121,4203.6367,4152.6367,4384.4546,4316.9697,4541.061,4392.697,4319.0303,4464.819,3769.3638,4430.8184,4222.6973,4269.5757,4138.727
3605878.5820007324,4254.121,4203.6367,4142.848,4384.4546,4316.4546,4541.5757,4398.879,4326.2427,4470.485,3763.1821,4425.152,4221.6665,4270.0913,4142.848
3605887.2509002686,4250.0,4201.576,4136.152,4383.4243,4313.879,4542.0913,4403.0,4324.697,4480.273,3752.8792,4407.121,4219.091,4260.818,4136.152
3605895.527601242,4250.0,4199.0,4139.758,4381.364,4309.758,4539.0,4395.788,4312.333,4462.2427,3743.6062,4400.9395,4215.485,4247.4243,4125.8486
3605902.640581131,4253.0913,4201.576,4148.0005,4385.485,4314.3936,4537.9697,4386.515,4299.9697,4443.182,3743.6062,4410.7275,4214.9697,4245.364,4122.2427
3605914.605855942,4256.697,4208.7876,4154.6973,4391.6665,4322.636,4541.5757,4381.364,4291.7275,4450.909,3747.2122,4418.9697,4220.121,4249.4854,4123.788
3605926.58495903,4257.7275,4209.3027,4162.4243,4395.273,4320.5757,4541.5757,4374.1514,4282.4546,4456.576,3745.6667,4417.9395,4228.364,4249.4854,4124.8184
3605927.5403022766,4254.636,4208.7876,4168.606,4396.8184,4317.4854,4539.0,4367.4546,4275.758,4454.5156,3747.2122,4417.9395,4234.5454,4254.121,4125.8486
3605940.582036972,4258.2427,4218.576,4172.7275,4399.909,4321.6064,4541.5757,4366.4243,4282.97,4467.394,3759.5757,4436.485,4245.364,4270.0913,4137.6973
3605941.520214081,4265.4546,4221.1514,4173.2427,4404.0303,4328.303,4544.667,4371.576,4296.364,4483.364,3774.5151,4459.6665,4257.7275,4288.121,4154.182
3605949.5351314545,4259.788,4209.3027,4163.4546,4403.0,4330.879,4543.636,4379.8184,4302.0303,4481.303,3776.5762,4455.5454,4254.121,4287.0913,4153.6665
3605957.9753875732,4242.273,4200.5454,4144.3945,4389.606,4326.7573,4544.152,4388.061,4306.1514,4471.0005,3760.606,4428.2427,4228.879,4265.97,4134.0913
3605965.538740158,4232.485,4196.9395,4129.9697,4374.6665,4316.9697,4545.697,4397.3335,4314.909,4464.819,3743.6062,4406.6064,4203.6367,4247.4243,4116.0605
3605973.601102829,4236.091,4187.667,4129.9697,4372.091,4314.3936,4541.5757,4399.909,4316.4546,4464.303,3739.485,4399.909,4198.485,4245.879,4115.0303
3605981.5816879272,4247.4243,4186.121,4138.2124,4378.2725,4316.4546,4539.0,4394.2427,4314.909,4464.303,3742.0608,4404.546,4207.242,4251.546,4122.2427
3605989.586353302,4259.273,4197.455,4147.485,4382.394,4315.94,4542.6064,4392.697,4318.0005,4461.7275,3741.0305,4412.273,4216.5156,4251.546,4123.788
3605997.5452423096,4264.9395,4204.152,4156.758,4386.0005,4315.425,4543.636,4393.212,4309.2427,4457.606,3741.0305,4413.8184,4224.758,4248.9697,4127.394
3606006.8576335907,4272.667,4202.606,4171.6973,4395.273,4314.909,4539.515,4384.9697,4297.909,4460.6978,3745.6667,4422.576,4239.697,4256.697,4139.2427
3606024.86205101,4281.9395,4209.8184,4192.3027,4407.121,4315.94,4537.4546,4377.758,4295.8486,4464.819,3746.182,4434.4243,4253.0913,4265.97,4143.879
3606025.1502990723,4285.5454,4223.2124,4203.6367,4409.6973,4315.425,4540.031,4375.182,4288.121,4455.0303,3741.5457,4432.879,4256.1816,4267.515,4142.848
3606028.621673584,4285.031,4220.121,4206.2124,4408.667,4310.2725,4541.5757,4371.061,4286.0605,4449.364,3750.3032,4439.061,4264.9395,4275.242,4153.6665
3606041.5546894073,4282.97,4209.8184,4205.1816,4414.3335,4311.303,4541.5757,4372.091,4300.485,4469.9697,3762.667,4454.0005,4271.636,4288.121,4161.394
3606044.499874115,4280.9097,4211.879,4205.6973,4417.4243,4313.879,4541.5757,4380.848,4312.8486,4479.758,3759.5757,4449.8794,4267.0,4285.5454,4157.788
3606052.5739192963,4280.9097,4212.3945,4212.909,4414.3335,4305.6367,4539.0,4384.9697,4312.333,4463.273,3753.9094,4439.576,4263.394,4273.1816,4153.1514
3606064.1231536865,4279.879,4203.6367,4218.576,4414.8486,4297.909,4542.0913,4386.515,4316.4546,4462.7583,3753.9094,4433.394,4265.97,4262.364,4148.0005
3606074.295759201,4278.849,4199.5156,4223.2124,4415.879,4299.9697,4542.0913,4388.5757,4317.4854,4467.394,3745.6667,4416.394,4266.485,4259.788,4148.5156
3606076.5097141266,4288.636,4207.242,4231.4546,4416.394,4304.6064,4528.6973,4383.4243,4305.1216,4449.364,3732.7878,4407.6367,4265.4546,4264.4243,4152.1216
3606083.574771881,4303.061,4214.9697,4242.273,4423.0913,4309.2427,4523.5454,4375.6973,4296.879,4440.606,3728.1519,4417.9395,4269.0605,4258.2427,4148.5156
3606092.5436019897,4312.333,4221.1514,4252.0605,4431.3335,4313.364,4537.4546,4379.8184,4295.3335,4449.8794,3727.1216,4426.182,4275.758,4246.394,4142.848
