Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3443134.462118149,4267.515,4221.1514,4155.727,4410.2124,4359.2124,4543.636,4391.1514,4331.909,4496.242,3765.7578,4432.364,4232.485,4280.394,4156.2427
3443142.560482025,4268.031,4221.6665,4156.2427,4411.2427,4361.273,4547.7573,4394.2427,4333.4546,4500.364,3772.4546,4432.879,4233.515,4284.0,4156.2427
3443150.501728058,4263.9097,4221.1514,4151.606,4408.667,4361.7876,4545.182,4382.909,4322.1216,4486.97,3762.667,4424.6367,4217.0303,4271.121,4144.3945
3443158.7002277374,4261.8486,4218.576,4149.0303,4410.7275,4359.2124,4541.5757,4379.303,4312.333,4488.5156,3752.8792,4416.909,4216.5156,4262.364,4136.6665
3443166.6481494904,4271.121,4222.1816,4159.3335,4419.485,4361.273,4549.818,4387.5454,4316.9697,4498.8184,3757.5151,4424.1216,4236.6064,4269.5757,4147.485
3443176.8033504486,4280.9097,4223.7275,4169.1216,4421.031,4365.394,4559.0913,4388.061,4316.9697,4486.4546,3758.0305,4430.303,4237.636,4270.0913,4150.061
3443182.577610016,4275.758,4218.576,4165.515,4417.9395,4362.8184,4557.031,4382.394,4309.758,4474.0913,3748.2424,4417.4243,4221.1514,4255.152,4135.6367
3443190.761566162,4267.0,4219.091,4157.273,4418.4546,4358.6973,4553.9395,4383.94,4310.788,4482.8486,3742.0608,4404.546,4214.9697,4247.4243,4127.394
3443197.6416110992,4265.97,4219.091,4154.182,4415.364,4355.606,4557.031,4386.0005,4313.364,4484.394,3739.485,4401.9697,4214.455,4251.031,4124.8184
3443207.7221870422,4267.0,4211.364,4152.6367,4410.7275,4349.9395,4558.5757,4389.091,4312.8486,4479.758,3744.1213,4402.4854,4209.3027,4253.6064,4124.8184
3443213.775396347,4265.97,4207.758,4152.6367,4411.758,4343.2427,4557.031,4396.8184,4325.212,4499.3335,3766.788,4414.8486,4215.485,4264.4243,4140.273
3443221.952676773,4268.546,4215.485,4155.727,4414.8486,4338.6064,4556.0,4403.0,4343.758,4527.152,3794.091,4439.576,4233.0,4287.0913,4158.303
3443229.5665740967,4272.667,4220.6367,4160.364,4416.394,4336.546,4556.515,4405.0605,4352.0,4539.515,3808.0002,4451.94,4245.364,4303.061,4165.0005
3443237.9834651947,4272.152,4218.0605,4161.909,4419.485,4337.0605,4558.5757,4401.9697,4346.3335,4532.303,3806.97,4455.0303,4246.909,4304.091,4168.091
3443245.6135749817,4269.0605,4219.091,4158.819,4420.515,4337.5757,4554.97,4394.758,4331.394,4512.727,3792.0305,4450.909,4242.273,4295.3335,4165.515
3443253.8907527924,4268.546,4219.606,4158.303,4418.4546,4336.546,4545.182,4386.0005,4319.546,4497.788,3774.0,4435.97,4233.0,4282.97,4153.1514
3443260.593652725,4268.031,4211.364,4160.364,4418.9697,4335.0,4542.0913,4379.8184,4312.333,4488.5156,3761.6362,4423.0913,4224.758,4271.636,4142.3335
3443268.5606479645,4261.3335,4201.576,4157.273,4417.9395,4332.425,4546.2124,4376.212,4303.061,4477.182,3749.7883,4415.879,4220.121,4257.7275,4135.6367
3443276.5123844147,4261.8486,4207.242,4154.182,4414.8486,4329.8486,4546.2124,4377.2427,4299.4546,4470.485,3744.1213,4414.8486,4218.0605,4252.0605,4130.485
3443284.746646881,4269.0605,4219.606,4158.303,4416.394,4329.3335,4544.667,4383.4243,4310.2725,4477.182,3750.8186,4416.909,4222.6973,4262.364,4135.1216
3443292.6499843597,4269.5757,4222.1816,4161.394,4418.9697,4329.3335,4545.182,4388.061,4324.697,4488.5156,3759.5757,4418.9697,4223.7275,4269.0605,4141.8184
3443300.523519516,4268.031,4221.1514,4161.909,4418.4546,4330.3643,4544.667,4387.5454,4329.8486,4494.1816,3767.3032,4422.576,4219.606,4268.546,4140.273
3443308.584213257,4270.6064,4221.6665,4162.4243,4418.4546,4333.9697,4545.697,4388.5757,4332.425,4501.3945,3773.4849,4429.788,4223.7275,4276.788,4143.364
3443316.49851799,4271.121,4218.576,4159.8486,4418.9697,4338.091,4546.2124,4389.091,4331.909,4506.031,3773.4849,4434.4243,4235.5757,4284.0,4152.1216
3443323.5051631927,4266.485,4217.5454,4156.758,4416.394,4339.121,4545.182,4382.394,4324.697,4500.879,3768.8486,4430.8184,4234.0303,4276.273,4148.5156
3443331.5439224243,4262.879,4218.0605,4155.727,4414.8486,4341.1816,4550.8486,4377.758,4311.8184,4493.667,3764.2124,4424.6367,4220.121,4269.0605,4133.061
3443339.5466804504,4262.364,4210.334,4155.212,4416.909,4345.8184,4554.97,4378.2725,4302.0303,4490.576,3756.4849,4420.0,4214.9697,4261.8486,4124.303
3443347.5403785706,4263.394,4205.1816,4155.727,4418.9697,4341.1816,4547.2427,4373.1216,4296.879,4478.7275,3745.6667,4417.4243,4217.0303,4251.546,4121.2124
3443355.621099472,4266.485,4212.3945,4157.788,4417.9395,4332.425,4540.031,4370.5454,4294.303,4472.5454,3743.6062,4417.4243,4219.606,4254.121,4120.6973
3443364.761352539,4266.485,4222.6973,4159.3335,4417.4243,4335.0,4544.667,4377.2427,4302.0303,4492.121,3753.9094,4425.667,4222.6973,4265.97,4127.909
3443374.0396499634,4267.0,4219.606,4160.364,4419.485,4335.0,4547.2427,4379.8184,4311.8184,4495.7275,3759.5757,4432.879,4222.1816,4269.0605,4133.061
3443380.7475566864,4266.485,4207.242,4156.2427,4416.909,4329.3335,4543.1216,4375.182,4313.364,4481.303,3757.0002,4424.1216,4218.0605,4264.9395,4127.394
3443388.1204128265,4257.2124,4206.2124,4147.485,4410.2124,4335.515,4543.636,4381.364,4320.5757,4488.5156,3761.1213,4420.515,4218.576,4268.546,4128.4243
3443394.6495056152,4251.546,4214.455,4145.94,4411.2427,4347.364,4545.182,4387.0303,4332.425,4500.879,3765.2427,4431.8486,4221.6665,4272.152,4137.182
3443407.7322483063,4260.303,4217.0303,4153.1514,4415.364,4352.0,4544.667,4379.303,4328.8184,4493.152,3761.1213,4434.4243,4220.121,4271.636,4139.758
3443410.7887744904,4268.546,4218.0605,4156.758,4414.8486,4355.0913,4543.636,4379.8184,4316.4546,4485.4243,3758.5454,4428.758,4222.1816,4270.6064,4139.2427
3443421.683549881,4265.97,4222.6973,4158.303,4417.9395,4356.1216,4544.152,4386.515,4315.425,4486.4546,3757.5151,4433.394,4235.0605,4270.6064,4143.879
3443429.5699596405,4268.031,4222.1816,4160.8794,4422.576,4349.4243,4550.3335,4382.394,4313.879,4483.879,3754.9397,4436.485,4240.7275,4272.667,4144.3945
