Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
472178.9321899414,4268.031,4220.121,4165.515,4400.425,4251.546,4503.455,4394.758,4328.8184,4476.152,3777.6064,4440.606,4257.2124,4239.182,4136.152
472194.6759223938,4265.4546,4218.576,4156.2427,4395.788,4251.546,4494.1816,4389.091,4326.2427,4465.8486,3771.9395,4431.8486,4239.182,4233.0,4127.394
472206.10213279724,4265.4546,4213.9395,4154.182,4390.1216,4251.546,4495.2124,4384.9697,4323.667,4462.7583,3769.3638,4430.303,4235.0605,4234.5454,4123.788
472206.9444656372,4264.9395,4214.9697,4154.6973,4393.727,4251.546,4495.7275,4383.94,4319.546,4462.7583,3768.8486,4435.455,4246.909,4237.1216,4131.0005
472210.9136581421,4256.697,4216.0,4147.485,4392.182,4251.546,4493.152,4386.515,4314.909,4460.6978,3767.8184,4430.303,4244.8486,4234.5454,4128.9395
472219.11215782166,4257.7275,4216.0,4149.0303,4390.636,4251.546,4501.3945,4396.3037,4316.4546,4462.7583,3770.9092,4427.2124,4237.1216,4239.697,4125.8486
472236.86265945435,4268.546,4218.576,4165.515,4400.425,4251.546,4511.1816,4404.0303,4325.212,4468.94,3780.182,4441.1216,4248.4546,4250.515,4137.182
472237.0262145996,4270.6064,4219.606,4174.788,4409.6973,4251.546,4511.6973,4400.425,4329.3335,4471.515,3786.879,4450.909,4264.9395,4253.6064,4145.4243
472249.3178844452,4268.546,4218.576,4171.182,4409.6973,4251.546,4506.5454,4393.212,4329.8486,4474.6064,3787.9092,4450.3945,4270.0913,4252.5757,4144.3945
472260.93435287476,4269.0605,4219.091,4170.1514,4404.546,4251.546,4501.9097,4393.212,4331.909,4478.7275,3786.3635,4449.364,4271.121,4253.6064,4142.848
472261.89136505127,4267.0,4217.5454,4173.758,4401.9697,4251.546,4501.3945,4396.3037,4332.9395,4480.788,3786.879,4451.94,4271.121,4253.6064,4141.303
472273.97871017456,4264.9395,4215.485,4172.7275,4402.4854,4251.546,4500.364,4393.212,4333.9697,4483.364,3786.3635,4451.4243,4267.0,4250.515,4137.6973
472275.2192020416,4266.485,4217.0303,4171.182,4403.0,4251.546,4497.788,4387.5454,4332.425,4478.7275,3781.2122,4448.334,4258.7573,4249.4854,4138.727
472281.89277648926,4267.515,4219.091,4170.667,4405.5757,4251.546,4497.788,4385.485,4324.182,4468.94,3774.5151,4446.7876,4252.0605,4250.0,4141.303
472291.04137420654,4266.485,4219.091,4166.5454,4405.0605,4251.546,4497.788,4381.8794,4315.425,4463.788,3769.879,4445.758,4252.5757,4249.4854,4136.152
472303.24721336365,4261.8486,4218.576,4157.273,4399.909,4251.546,4493.667,4373.6367,4311.8184,4463.788,3768.3335,4445.758,4251.031,4248.4546,4127.394
472307.07836151123,4259.273,4218.576,4152.6367,4401.4546,4251.546,4492.121,4374.1514,4311.8184,4462.2427,3771.9395,4445.2427,4247.4243,4248.4546,4127.394
472313.9765262604,4264.4243,4217.0303,4162.94,4409.6973,4251.546,4501.3945,4383.4243,4312.333,4464.303,3776.5762,4445.2427,4250.515,4251.031,4133.061
472322.06296920776,4268.031,4218.576,4172.2124,4407.6367,4251.546,4510.152,4387.5454,4312.333,4465.8486,3775.0305,4446.273,4254.121,4252.5757,4131.0005
472340.07143974304,4260.303,4220.6367,4165.515,4400.425,4251.546,4508.0913,4386.0005,4315.425,4464.303,3772.9697,4443.6973,4249.4854,4248.9697,4121.2124
472340.9354686737,4250.515,4212.3945,4153.1514,4397.8486,4251.546,4497.788,4385.485,4321.6064,4472.5454,3777.6064,4441.1216,4246.394,4245.879,4116.5757
472345.1223373413,4248.9697,4203.121,4149.5454,4398.3643,4251.546,4494.1816,4387.5454,4331.909,4481.8184,3785.8486,4445.758,4250.0,4248.9697,4122.2427
472368.2975769043,4258.2427,4209.8184,4161.394,4403.515,4251.546,4503.455,4388.061,4337.0605,4480.273,3791.5154,4454.0005,4253.0913,4254.121,4128.4243
472368.94178390503,4267.0,4219.091,4171.6973,4406.6064,4251.546,4512.2124,4387.0303,4335.515,4479.758,3788.4246,4455.0303,4253.6064,4254.636,4127.394
472371.97041511536,4262.879,4218.0605,4163.9697,4401.9697,4251.546,4507.576,4387.0303,4333.9697,4478.7275,3781.7275,4447.819,4248.9697,4251.546,4125.3335
472377.94947624207,4253.0913,4216.5156,4150.061,4400.9395,4251.546,4498.3027,4382.909,4327.788,4468.94,3778.1213,4442.152,4242.273,4251.546,4125.3335
472412.99962997437,4258.7573,4217.0303,4154.6973,4404.0303,4251.546,4496.242,4376.212,4318.0005,4461.7275,3774.0,4440.0913,4243.818,4249.4854,4125.3335
472413.89417648315,4269.0605,4216.5156,4165.515,4399.394,4251.546,4495.7275,4374.6665,4312.8486,4458.1216,3764.2124,4436.485,4244.3335,4240.7275,4126.364
472414.9785041809,4260.303,4214.455,4158.819,4390.636,4251.546,4492.121,4373.6367,4303.576,4449.364,3754.4243,4429.788,4235.5757,4233.515,4120.6973
