Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1326935.4202747345,4290.182,4273.1816,4197.455,4432.879,4247.9395,4478.7275,4395.788,4326.2427,4491.6064,3776.5762,4448.8486,4267.515,4285.5454,4176.3335
1326942.114830017,4295.3335,4272.667,4206.2124,4434.4243,4249.4854,4467.394,4384.9697,4321.6064,4496.242,3782.2424,4455.5454,4278.3335,4288.121,4177.364
1326954.1549682617,4295.8486,4270.6064,4205.6973,4429.788,4249.4854,4465.3335,4381.8794,4309.758,4496.242,3781.7275,4461.7275,4278.849,4287.0913,4175.303
1326958.0600261688,4281.4243,4269.0605,4190.758,4415.364,4246.909,4475.6367,4384.9697,4297.909,4491.0913,3770.9092,4447.819,4263.9097,4277.303,4163.4546
1326965.793132782,4269.0605,4263.9097,4175.303,4407.121,4239.697,4479.758,4385.485,4294.8184,4490.0605,3761.1213,4430.8184,4247.9395,4267.0,4144.909
1326973.1676578522,4265.97,4256.697,4169.1216,4407.6367,4235.5757,4476.152,4389.606,4300.485,4493.667,3755.4546,4426.182,4240.2124,4259.788,4138.2124
1326990.1447296143,4265.4546,4251.546,4168.606,4402.4854,4236.6064,4482.8486,4401.4546,4313.879,4496.758,3753.9094,4416.394,4233.515,4251.546,4138.2124
1326991.085767746,4268.546,4253.6064,4169.1216,4395.788,4237.636,4494.6973,4413.303,4325.7275,4497.788,3758.0305,4414.3335,4236.091,4250.515,4141.8184
1326997.193813324,4275.758,4261.8486,4173.2427,4403.0,4237.636,4497.273,4418.9697,4336.0303,4507.576,3771.4243,4429.273,4254.636,4264.4243,4151.606
1327006.0329437256,4284.0,4267.515,4187.152,4413.303,4236.6064,4493.667,4419.485,4345.8184,4518.909,3785.8486,4441.1216,4267.0,4278.3335,4163.4546
1327013.1516456604,4289.667,4268.031,4200.5454,4418.9697,4243.303,4492.6367,4416.394,4345.8184,4516.334,3789.97,4449.364,4268.546,4283.485,4172.2124
1327021.214723587,4290.6973,4269.0605,4206.727,4424.1216,4253.0913,4493.667,4407.121,4334.4854,4510.152,3789.97,4461.2124,4274.7275,4285.5454,4175.303
1327029.192686081,4292.2427,4270.6064,4212.3945,4429.788,4253.6064,4493.667,4394.2427,4319.546,4511.6973,3787.3938,4465.3335,4285.5454,4284.0,4172.2124
1327041.1715507507,4296.879,4270.0913,4220.6367,4435.455,4251.031,4492.121,4387.0303,4306.667,4511.1816,3785.3333,4465.3335,4294.8184,4288.636,4174.788
1327045.1424121857,4300.485,4271.121,4224.758,4438.031,4254.636,4492.6367,4383.94,4299.4546,4509.121,3793.576,4477.182,4296.879,4302.0303,4188.1816
1327057.147026062,4293.273,4271.121,4214.9697,4434.4243,4256.1816,4493.667,4378.7876,4298.4243,4513.2427,3800.7878,4481.303,4290.182,4302.546,4189.2124
1327060.0867271423,4277.8184,4266.485,4193.3335,4422.576,4251.546,4490.576,4376.727,4299.4546,4510.6665,3790.485,4462.2427,4274.2124,4288.636,4169.636
1327068.3977603912,4274.2124,4263.394,4181.485,4410.7275,4249.4854,4488.5156,4380.848,4304.6064,4499.849,3777.6064,4445.758,4262.879,4280.9097,4157.788
