Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3305528.552532196,4274.7275,4246.394,4162.94,4402.4854,4348.394,4543.1216,4384.9697,4310.2725,4448.8486,3758.0305,4454.0005,4243.303,4274.2124,4123.788
3305537.057876587,4280.9097,4242.788,4164.485,4403.515,4338.6064,4541.061,4387.5454,4319.0303,4462.7583,3761.1213,4457.606,4251.546,4277.8184,4129.4546
3305544.4769859314,4277.303,4237.636,4160.8794,4401.4546,4323.1514,4544.667,4396.8184,4325.7275,4465.3335,3758.5454,4453.485,4248.4546,4275.758,4125.8486
3305552.778482437,4273.697,4236.6064,4155.212,4393.212,4312.333,4546.2124,4401.9697,4336.546,4470.485,3763.1821,4455.0303,4245.879,4277.303,4123.788
3305560.5335235596,4277.303,4237.1216,4156.2427,4393.212,4311.303,4545.182,4401.9697,4342.7275,4479.758,3771.9395,4461.7275,4252.5757,4285.031,4133.061
3305568.5198307037,4280.9097,4237.1216,4159.8486,4403.0,4312.8486,4552.394,4405.0605,4341.1816,4473.576,3769.879,4456.061,4250.515,4282.97,4137.182
3305576.5357017517,4279.879,4243.303,4159.3335,4403.515,4315.425,4560.121,4407.6367,4339.636,4460.6978,3760.091,4444.727,4239.182,4273.1816,4128.4243
3305592.5183296204,4280.394,4250.0,4157.273,4399.909,4313.364,4558.5757,4404.546,4333.4546,4455.0303,3752.8792,4443.182,4235.0605,4266.485,4124.303
3305593.440055847,4281.9395,4252.0605,4159.3335,4408.152,4303.576,4554.4546,4397.8486,4322.1216,4449.8794,3752.3638,4443.182,4235.5757,4267.0,4126.364
3305599.51376915,4282.97,4252.0605,4167.5757,4417.9395,4298.9395,4555.4854,4389.606,4314.909,4454.5156,3756.4849,4444.2124,4237.636,4273.697,4127.909
3305607.5479984283,4284.0,4251.546,4175.303,4417.9395,4301.515,4555.4854,4383.4243,4312.8486,4462.7583,3763.6973,4455.0303,4245.879,4279.879,4134.0913
3305615.468263626,4288.121,4252.5757,4175.303,4417.9395,4302.546,4554.97,4384.4546,4313.364,4462.2427,3771.4243,4466.8794,4256.697,4289.667,4143.879
3305623.5253810883,4285.031,4248.9697,4169.1216,4417.9395,4296.879,4555.4854,4387.5454,4320.061,4472.0303,3774.5151,4468.94,4254.636,4293.788,4141.303
3305631.4990520477,4269.5757,4239.697,4156.758,4405.5757,4287.0913,4558.0605,4391.6665,4328.303,4480.788,3767.8184,4460.182,4240.7275,4285.5454,4128.4243
3305639.5015716553,4261.3335,4234.0303,4141.8184,4393.727,4283.485,4566.303,4397.8486,4328.8184,4467.909,3761.6362,4450.3945,4233.515,4280.394,4123.788
3305647.472143173,4265.97,4239.182,4143.879,4392.697,4285.031,4574.031,4403.515,4329.8486,4460.182,3764.7275,4451.4243,4240.2124,4281.4243,4133.576
3305657.0932865143,4269.5757,4240.2124,4153.1514,4392.697,4284.0,4573.0,4403.515,4332.425,4465.3335,3762.1519,4451.94,4249.4854,4280.9097,4141.303
3305668.745994568,4271.636,4236.6064,4154.6973,4393.212,4280.9097,4573.0,4401.9697,4327.788,4465.3335,3755.4546,4446.7876,4248.4546,4276.788,4136.152
3305677.55484581,4280.394,4243.818,4158.303,4401.4546,4285.031,4578.152,4407.121,4327.2725,4471.0005,3768.3335,4452.9697,4247.9395,4281.9395,4137.6973
3305678.6420345306,4293.788,4251.546,4171.182,4414.3335,4287.0913,4578.667,4411.758,4337.0605,4489.031,3785.8486,4468.4243,4259.273,4296.364,4154.182
3305686.8488788605,4303.576,4248.4546,4183.546,4421.031,4284.0,4576.0913,4408.667,4341.1816,4494.1816,3778.1213,4468.4243,4269.5757,4299.9697,4162.4243
3305702.981233597,4304.6064,4246.394,4187.152,4418.9697,4280.9097,4577.121,4406.6064,4340.1514,4492.6367,3766.788,4460.182,4268.031,4292.2427,4156.2427
3305704.6711444855,4300.485,4254.121,4189.2124,4420.0,4277.303,4576.0913,4404.546,4339.121,4496.242,3774.5151,4462.7583,4264.9395,4293.273,4156.758
3305716.3031101227,4302.0303,4255.152,4187.667,4425.667,4272.152,4575.0605,4397.3335,4336.0303,4495.2124,3777.6064,4465.3335,4264.9395,4296.879,4159.8486
3305727.1864414215,4298.4243,4244.3335,4179.9395,4422.061,4268.031,4575.0605,4393.212,4330.3643,4485.4243,3765.2427,4453.485,4255.152,4285.5454,4145.4243
3305727.345943451,4279.879,4231.4546,4161.394,4405.0605,4262.364,4573.515,4391.1514,4320.061,4472.5454,3751.8489,4435.455,4235.0605,4268.546,4124.303
3305733.510017395,4259.788,4223.2124,4140.7876,4392.182,4253.6064,4574.031,4389.606,4313.364,4472.0303,3744.6365,4428.2427,4221.1514,4261.8486,4114.0
3305741.5750026703,4255.667,4220.121,4134.0913,4390.1216,4249.4854,4576.0913,4392.182,4315.94,4480.788,3743.6062,4430.8184,4217.0303,4262.364,4109.364
3305749.517917633,4262.879,4222.1816,4137.6973,4390.636,4254.636,4576.6064,4393.212,4315.425,4479.2427,3746.182,4434.4243,4221.6665,4262.879,4109.879
3305757.5392723083,4266.485,4230.9395,4145.94,4394.2427,4262.364,4581.2427,4391.6665,4310.2725,4475.6367,3749.273,4439.576,4229.909,4263.394,4117.6064
3305765.4581069946,4266.485,4237.636,4154.182,4400.9395,4265.4546,4589.485,4393.212,4310.788,4488.5156,3756.4849,4449.364,4240.7275,4273.697,4129.4546
3305773.5233306885,4268.031,4234.0303,4155.727,4402.4854,4262.879,4591.031,4393.727,4314.909,4499.3335,3767.8184,4460.182,4252.5757,4287.606,4139.2427
3305781.5084457397,4272.152,4231.9697,4153.6665,4400.9395,4262.364,4588.97,4391.1514,4316.9697,4500.879,3775.0305,4464.819,4256.1816,4289.667,4142.848
3305793.5013771057,4278.849,4236.6064,4165.0005,4407.121,4266.485,4590.515,4391.6665,4320.5757,4509.121,3775.546,4463.788,4254.636,4286.5757,4141.303
3305796.441555023,4282.97,4237.636,4175.8184,4411.2427,4263.9097,4590.515,4390.636,4322.636,4516.334,3774.5151,4464.303,4254.636,4288.121,4143.364
3305804.500579834,4279.879,4234.0303,4164.485,4406.6064,4260.303,4590.0,4391.6665,4324.182,4513.758,3777.091,4463.788,4255.152,4289.152,4145.4243
3305817.565202713,4276.788,4234.0303,4152.6367,4404.546,4261.8486,4595.667,4398.879,4327.2725,4508.606,3772.4546,4453.485,4255.152,4286.0605,4143.879
3305820.957183838,4282.4546,4238.667,4163.4546,4412.273,4259.788,4599.273,4404.546,4331.909,4503.97,3760.606,4445.758,4249.4854,4283.485,4142.848
3305828.5405635834,4286.5757,4241.7573,4172.2124,4417.4243,4254.121,4595.667,4402.4854,4334.4854,4501.3945,3754.4243,4444.2124,4237.636,4278.849,4137.182
3305837.0106220245,4282.4546,4239.182,4160.364,4409.6973,4253.0913,4592.061,4398.879,4325.212,4496.758,3747.7273,4435.455,4232.485,4267.0,4125.3335
3305845.25680542,4277.8184,4235.5757,4152.1216,4403.0,4253.6064,4592.061,4398.879,4316.9697,4491.6064,3745.1516,4435.455,4235.5757,4268.031,4124.8184
3305852.5805473328,4279.879,4236.6064,4157.273,4408.152,4254.121,4596.182,4400.9395,4321.6064,4493.667,3753.394,4447.819,4236.6064,4280.9097,4132.031
3305860.4850769043,4283.485,4235.5757,4159.8486,4411.2427,4256.1816,4604.4243,4402.4854,4321.6064,4497.273,3758.5454,4451.4243,4241.7573,4283.485,4134.0913
3305868.525981903,4278.3335,4226.8184,4156.758,4404.546,4254.121,4607.5156,4398.879,4314.3936,4498.8184,3755.97,4451.4243,4247.9395,4279.879,4133.576
3305875.48661232,4270.0913,4219.091,4155.727,4400.425,4251.546,4602.879,4391.1514,4312.8486,4497.273,3756.4849,4453.485,4247.4243,4282.97,4134.0913
3305888.5486125946,4267.0,4220.121,4154.182,4399.394,4253.0913,4603.394,4386.515,4310.2725,4495.7275,3756.4849,4450.909,4248.4546,4286.0605,4135.1216
3305904.0439128876,4267.0,4222.6973,4153.1514,4398.879,4254.636,4605.9697,4385.485,4308.212,4506.031,3759.5757,4454.5156,4252.0605,4285.031,4137.182
3305905.854701996,4269.5757,4223.7275,4156.758,4401.4546,4254.121,4602.364,4382.909,4312.8486,4515.303,3766.273,4466.364,4252.5757,4285.031,4140.7876
3305907.4890613556,4275.242,4222.1816,4158.303,4400.9395,4251.031,4601.8486,4386.515,4315.425,4509.6367,3764.2124,4464.819,4254.121,4285.5454,4143.879
3305915.692806244,4278.3335,4221.6665,4154.6973,4398.879,4250.0,4608.0303,4397.8486,4318.0005,4508.606,3757.5151,4452.455,4249.4854,4282.97,4141.303
