Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2869611.4041805267,4294.8184,4186.121,4049.6062,4428.758,4243.303,4575.5757,4400.425,4315.94,4517.364,3768.8486,4421.031,4268.546,4289.152,4158.303
2869641.3304805756,4284.0,4178.394,4048.0605,4422.576,4251.031,4579.6973,4400.425,4309.758,4503.97,3758.0305,4414.8486,4262.879,4280.394,4152.6367
2869641.695022583,4279.879,4170.667,4025.394,4418.9697,4252.5757,4578.667,4398.3643,4307.182,4507.0605,3757.0002,4417.4243,4255.152,4278.3335,4144.3945
2869641.9711112976,4283.485,4163.9697,4019.7275,4416.909,4252.0605,4575.0605,4400.9395,4310.788,4510.6665,3752.8792,4412.788,4252.0605,4269.0605,4141.303
2869644.047498703,4284.515,4169.1216,4043.9395,4417.4243,4255.152,4577.636,4405.5757,4316.4546,4509.6367,3745.1516,4402.4854,4251.031,4265.4546,4142.848
2869651.3442993164,4284.0,4170.667,4043.4246,4417.4243,4256.1816,4578.152,4402.4854,4309.758,4506.5454,3743.091,4394.2427,4243.303,4265.4546,4137.182
2869658.4525108337,4281.4243,4160.364,4020.7576,4415.364,4255.667,4577.121,4398.3643,4300.485,4492.121,3739.485,4384.9697,4231.4546,4254.636,4126.879
2869666.349172592,4271.636,4152.6367,4017.667,4412.788,4247.4243,4577.636,4398.879,4295.8486,4479.758,3731.7576,4379.8184,4224.2427,4247.4243,4120.6973
2869674.4146347046,4267.515,4159.3335,4029.0002,4414.8486,4231.9697,4575.5757,4396.3037,4290.182,4481.8184,3732.273,4386.0005,4219.091,4252.5757,4120.6973
2869682.357788086,4275.242,4169.1216,4035.182,4421.031,4235.5757,4573.515,4391.1514,4290.182,4490.0605,3747.7273,4396.3037,4224.2427,4261.8486,4127.394
2869690.4051303864,4279.879,4169.636,4037.2424,4420.515,4254.636,4578.152,4393.212,4298.4243,4502.9395,3765.7578,4407.6367,4239.697,4275.242,4138.2124
2869698.438644409,4279.364,4167.5757,4037.7573,4420.0,4257.2124,4580.2124,4395.273,4301.515,4513.758,3776.5762,4423.6064,4250.515,4288.636,4149.5454
2869706.422328949,4280.9097,4169.1216,4041.879,4428.758,4247.9395,4577.121,4392.182,4296.364,4511.1816,3776.5762,4434.4243,4260.303,4289.667,4154.6973
2869714.7657871246,4284.515,4172.7275,4050.6362,4434.4243,4253.6064,4580.2124,4393.727,4298.9395,4514.788,3774.0,4433.9097,4268.031,4285.5454,4156.2427
2869721.426963806,4290.6973,4173.2427,4053.2122,4430.303,4266.485,4587.9395,4398.879,4308.212,4528.182,3778.6367,4434.4243,4268.031,4290.182,4157.788
2869729.4375896454,4293.273,4173.2427,4056.3032,4431.3335,4273.697,4587.9395,4400.425,4313.879,4524.0605,3780.182,4437.0005,4267.515,4292.758,4160.364
2869737.646818161,4286.0605,4174.273,4056.8184,4436.485,4272.152,4580.7275,4401.9697,4314.3936,4508.0913,3769.3638,4426.182,4263.394,4282.97,4154.182
2869745.7025051117,4283.485,4171.182,4043.9395,4427.2124,4259.788,4576.0913,4404.0303,4313.879,4508.0913,3761.6362,4411.758,4254.636,4276.788,4143.364
2869753.6656856537,4283.485,4162.94,4034.1519,4411.2427,4250.0,4574.546,4404.546,4316.4546,4511.1816,3763.1821,4409.6973,4247.9395,4278.3335,4142.848
