Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4249992.077350616,4245.364,4025.9097,4105.2427,4355.0913,4241.7573,4526.1216,4344.273,4285.5454,4460.182,3729.1821,4418.9697,4198.485,4231.4546,4101.636
4249999.962091446,4244.8486,4028.485,4105.2427,4359.2124,4242.788,4531.273,4347.879,4291.7275,4465.8486,3733.818,4427.7275,4201.576,4236.091,4103.1816
4250018.159866333,4242.273,4028.485,4105.758,4361.7876,4245.364,4535.909,4352.515,4296.879,4468.4243,3733.3032,4431.8486,4203.6367,4239.697,4105.758
4250018.981695175,4243.303,4030.0308,4107.8184,4358.6973,4245.879,4540.031,4360.758,4306.667,4474.6064,3740.0002,4438.5454,4212.3945,4243.303,4114.515
4250024.071216583,4245.364,4029.0002,4107.303,4352.515,4243.303,4540.031,4365.394,4315.425,4479.758,3747.7273,4448.334,4220.121,4248.4546,4121.2124
4250036.09919548,4248.4546,4025.9097,4108.3335,4348.909,4241.2427,4540.031,4368.485,4319.0303,4478.2124,3748.758,4454.5156,4223.2124,4255.152,4123.788
4250041.543722153,4247.9395,4021.788,4107.8184,4338.6064,4238.152,4539.0,4368.485,4317.4854,4475.6367,3744.6365,4447.819,4220.6367,4254.121,4122.758
4250052.006483078,4246.394,4018.697,4102.667,4332.9395,4235.5757,4533.8486,4363.3335,4313.879,4475.6367,3740.0002,4435.97,4212.3945,4245.364,4117.091
4250055.307388306,4245.879,4020.7576,4094.4246,4344.273,4235.5757,4531.788,4360.2427,4309.2427,4472.5454,3739.485,4431.8486,4203.6367,4241.2427,4109.879
4250063.344478607,4246.909,4025.394,4091.3335,4349.4243,4238.152,4533.8486,4359.2124,4305.1216,4471.0005,3742.0608,4432.879,4199.0,4242.273,4107.8184
4250072.96204567,4248.9697,4026.4246,4097.0,4341.6973,4239.697,4533.3335,4354.0605,4301.0,4472.0303,3743.091,4430.8184,4200.031,4242.273,4108.3335
4250079.644441605,4250.515,4027.9702,4103.1816,4348.909,4240.7275,4530.758,4346.8486,4295.8486,4471.0005,3742.576,4430.8184,4200.5454,4242.273,4107.8184
4250091.042518616,4248.9697,4030.0308,4103.1816,4362.8184,4239.182,4525.091,4343.2427,4288.636,4463.273,3734.3335,4426.182,4192.3027,4237.636,4099.5757
4250094.955444336,4247.4243,4030.0308,4104.212,4361.7876,4241.7573,4524.576,4347.364,4284.0,4457.091,3722.485,4418.9697,4187.667,4228.364,4089.2725
4250103.041410446,4247.4243,4026.9397,4107.8184,4355.0913,4240.7275,4528.182,4355.0913,4285.5454,4459.6665,3721.4546,4417.9395,4188.6973,4225.273,4088.7576
4250121.056556702,4249.4854,4023.3335,4109.879,4354.0605,4231.9697,4526.1216,4350.4546,4281.9395,4456.061,3720.4243,4415.879,4187.152,4226.303,4091.3335
4250121.995687485,4250.515,4027.9702,4110.394,4357.6665,4231.4546,4520.455,4338.091,4273.1816,4440.606,3704.4548,4410.2124,4187.667,4222.1816,4086.182
