Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1528980.5073738098,4282.4546,4229.394,4133.576,4418.4546,4221.6665,4532.303,4372.606,4286.5757,4511.1816,3746.182,4480.788,4220.6367,4262.364,4155.727
1528992.5236701965,4281.4243,4221.1514,4128.4243,4415.364,4218.576,4525.606,4371.061,4281.9395,4511.6973,3747.2122,4479.758,4215.485,4255.152,4157.273
1528996.4916706085,4282.97,4220.121,4127.909,4412.788,4220.121,4528.6973,4365.9087,4289.667,4519.9395,3747.7273,4480.273,4209.3027,4253.6064,4157.788
1529008.540391922,4279.879,4222.6973,4126.879,4409.182,4220.6367,4528.6973,4363.848,4289.667,4525.091,3747.2122,4479.758,4205.1816,4253.6064,4154.182
1529012.5274658203,4271.121,4223.2124,4124.303,4405.5757,4221.1514,4526.6367,4367.9697,4285.031,4521.485,3752.8792,4479.758,4206.2124,4253.0913,4150.576
1529020.439863205,4268.031,4221.6665,4122.2427,4401.9697,4223.2124,4529.2124,4372.091,4290.6973,4522.5156,3755.97,4480.273,4205.1816,4253.0913,4148.0005
1529027.5115966797,4268.031,4219.606,4119.152,4400.9395,4227.8486,4530.2427,4370.0303,4295.8486,4526.1216,3750.3032,4476.667,4194.879,4251.546,4141.8184
1529036.5443229675,4264.9395,4219.606,4112.4546,4400.9395,4235.5757,4529.7275,4372.091,4296.364,4525.606,3746.697,4466.8794,4187.152,4248.4546,4133.061
1529043.530702591,4264.9395,4221.6665,4108.8486,4399.909,4235.5757,4530.758,4376.212,4297.909,4522.0,3748.2424,4463.273,4187.667,4247.4243,4132.031
1529051.5942573547,4266.485,4221.1514,4108.3335,4400.9395,4229.909,4531.273,4370.5454,4291.2124,4515.8184,3747.7273,4471.515,4187.152,4247.9395,4137.6973
1529061.0947608948,4264.4243,4220.6367,4109.364,4403.0,4228.879,4530.758,4360.758,4281.4243,4510.152,3744.6365,4477.182,4188.6973,4248.4546,4138.2124
1529067.5957202911,4265.4546,4225.788,4116.5757,4403.515,4233.0,4532.303,4358.182,4282.97,4511.6973,3741.5457,4476.667,4197.455,4249.4854,4135.6367
1529075.5515098572,4274.7275,4232.485,4124.303,4406.6064,4232.485,4533.3335,4362.303,4286.5757,4512.2124,3741.0305,4477.182,4204.6665,4251.546,4141.8184
1529083.616733551,4282.4546,4234.5454,4124.8184,4412.788,4226.8184,4529.7275,4366.9395,4285.5454,4509.121,3738.97,4479.2427,4208.273,4254.636,4151.091
1529095.6780910492,4285.5454,4236.6064,4127.394,4417.4243,4227.3335,4533.8486,4373.1216,4292.2427,4510.6665,3738.97,4485.9395,4216.5156,4261.3335,4159.8486
1529098.6142158508,4289.667,4241.2427,4138.727,4421.031,4234.0303,4543.1216,4379.303,4302.0303,4513.2427,3747.2122,4496.758,4228.364,4272.152,4171.6973
1529111.6695404053,4299.9697,4246.909,4145.4243,4425.667,4234.5454,4536.9395,4380.333,4299.9697,4512.727,3754.4243,4500.879,4240.2124,4282.97,4177.879
1529115.6194210052,4301.0,4247.4243,4141.8184,4426.6973,4231.9697,4526.6367,4378.2725,4297.394,4513.758,3756.4849,4499.3335,4239.697,4284.0,4176.8486
1529122.5624084473,4291.2124,4241.7573,4135.1216,4420.0,4232.485,4528.182,4372.091,4295.8486,4513.2427,3754.4243,4499.849,4227.3335,4274.2124,4172.2124
1529130.803823471,4281.9395,4236.6064,4128.4243,4415.364,4233.515,4531.273,4363.3335,4287.0913,4510.6665,3748.758,4493.667,4217.5454,4265.97,4162.4243
1529138.682603836,4274.2124,4235.5757,4122.2427,4413.8184,4234.5454,4527.667,4359.2124,4283.485,4517.364,3748.758,4483.879,4208.7876,4264.4243,4154.182
1529146.4636325836,4269.0605,4235.0605,4122.2427,4413.303,4237.1216,4530.2427,4361.273,4295.3335,4527.152,3755.97,4480.273,4201.0605,4265.97,4155.212
1529154.5417308807,4269.5757,4233.515,4124.303,4413.303,4238.667,4539.0,4366.4243,4300.485,4528.182,3756.4849,4480.788,4202.0913,4263.394,4151.606
1529162.4615192413,4270.0913,4237.1216,4121.2124,4411.758,4237.636,4542.6064,4370.5454,4289.667,4523.5454,3750.3032,4480.273,4198.485,4257.2124,4143.364
1529169.4648265839,4265.97,4234.5454,4113.485,4405.0605,4236.091,4535.909,4365.394,4285.031,4517.364,3740.5154,4473.061,4187.152,4250.515,4138.2124
1529177.5312423706,4264.9395,4223.7275,4108.8486,4398.3643,4234.5454,4528.182,4355.606,4280.394,4506.031,3729.1821,4463.273,4183.0303,4241.2427,4135.1216
1529185.531616211,4267.515,4223.7275,4108.8486,4398.3643,4234.0303,4528.182,4353.0303,4270.6064,4498.3027,3728.1519,4463.273,4187.152,4238.667,4135.6367
1529198.5347270966,4267.515,4233.515,4111.4243,4400.425,4233.515,4529.7275,4356.1216,4270.0913,4501.3945,3731.2427,4466.364,4191.273,4244.8486,4139.758
1529201.483488083,4271.121,4234.5454,4117.091,4399.909,4232.485,4527.667,4360.758,4279.364,4506.031,3732.273,4464.819,4196.424,4248.9697,4143.879
1529214.557170868,4281.4243,4233.0,4123.788,4399.394,4234.0303,4530.758,4366.9395,4291.2124,4513.2427,3741.0305,4471.515,4207.242,4256.1816,4155.212
1529221.5094566345,4288.636,4237.1216,4128.9395,4406.6064,4235.5757,4540.031,4376.212,4301.0,4523.0303,3754.9397,4490.0605,4220.121,4268.546,4170.1514
1529229.6376228333,4285.031,4237.636,4132.031,4413.8184,4236.6064,4542.6064,4383.4243,4304.091,4527.667,3760.606,4496.758,4224.2427,4273.1816,4172.7275
1529237.2159957886,4285.5454,4243.818,4132.5454,4415.364,4242.273,4539.515,4387.0303,4305.6367,4527.152,3762.667,4495.2124,4221.6665,4273.697,4169.1216
