Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4148964.5047187805,4284.515,4228.364,4132.5454,4381.8794,4247.4243,4561.667,4407.121,4333.9697,4498.8184,3760.091,4456.061,4237.636,4270.0913,4141.8184
4148972.0225334167,4280.9097,4225.788,4128.4243,4366.9395,4244.3335,4560.636,4395.788,4325.212,4491.0913,3754.9397,4450.3945,4233.515,4265.97,4138.2124
4148980.089664459,4280.9097,4222.6973,4129.4546,4361.7876,4243.818,4560.636,4390.636,4318.0005,4488.0,3752.8792,4451.94,4233.515,4264.4243,4136.6665
4148988.0890846252,4282.4546,4222.6973,4130.485,4369.0005,4246.394,4558.5757,4387.5454,4310.2725,4488.0,3749.7883,4451.94,4231.9697,4263.9097,4133.576
4148995.9750175476,4279.364,4223.2124,4129.4546,4370.5454,4244.8486,4553.9395,4380.333,4303.576,4485.4243,3745.6667,4447.303,4224.2427,4260.818,4128.4243
4149003.9498806,4274.2124,4221.1514,4125.3335,4365.9087,4238.152,4549.818,4373.1216,4297.394,4477.6973,3742.0608,4442.152,4216.0,4253.6064,4122.2427
4149010.9465122223,4276.788,4220.121,4125.8486,4366.4243,4240.2124,4552.9097,4379.303,4298.9395,4478.7275,3742.0608,4443.182,4216.0,4253.0913,4122.2427
4149018.9599990845,4277.303,4219.091,4128.4243,4367.4546,4243.303,4554.97,4386.0005,4303.061,4483.364,3741.0305,4446.273,4219.606,4256.1816,4123.273
4149027.045726776,4277.8184,4220.6367,4126.879,4365.9087,4239.182,4552.9097,4384.4546,4306.667,4480.273,3739.485,4446.7876,4222.6973,4258.2427,4122.2427
4149034.991502762,4282.97,4221.6665,4127.394,4370.0303,4237.636,4552.9097,4384.9697,4308.7275,4480.273,3740.5154,4446.7876,4228.364,4260.303,4126.364
4149043.071746826,4285.5454,4222.1816,4134.0913,4375.182,4243.303,4558.5757,4392.697,4310.2725,4486.97,3742.576,4449.8794,4236.6064,4264.9395,4136.152
4149051.9783496857,4289.152,4222.1816,4138.2124,4367.4546,4243.303,4559.6064,4392.697,4310.788,4488.5156,3744.6365,4450.909,4238.667,4263.9097,4139.758
4149059.1542720795,4295.8486,4224.2427,4141.8184,4366.4243,4242.273,4557.546,4390.1216,4310.2725,4490.576,3748.758,4456.061,4241.7573,4263.394,4140.7876
4149067.1594142914,4298.4243,4224.758,4144.909,4377.758,4245.879,4559.6064,4390.636,4310.788,4496.758,3757.0002,4464.819,4250.515,4269.5757,4149.5454
4149075.1416683197,4294.303,4222.6973,4141.303,4381.364,4244.3335,4560.121,4389.606,4306.667,4496.758,3759.5757,4462.7583,4254.121,4272.152,4153.6665
4149082.2110176086,4295.8486,4223.7275,4141.8184,4375.6973,4241.7573,4558.0605,4388.5757,4302.0303,4494.6973,3752.3638,4457.606,4250.515,4268.031,4149.5454
4149090.094089508,4292.758,4225.788,4140.7876,4371.061,4242.273,4557.031,4384.9697,4300.485,4493.152,3743.6062,4456.061,4245.879,4260.303,4143.879
4149098.074913025,4276.273,4223.2124,4124.8184,4358.6973,4237.636,4554.4546,4381.364,4297.909,4485.9395,3739.485,4448.334,4238.667,4251.546,4135.6367
4149106.078863144,4265.97,4219.606,4114.0,4340.1514,4232.485,4552.9097,4385.485,4298.4243,4478.2124,3734.8484,4438.031,4226.8184,4246.909,4125.8486
4149114.0401363373,4271.121,4222.6973,4118.6367,4343.758,4236.091,4558.5757,4393.727,4306.667,4481.303,3735.3638,4438.031,4221.6665,4248.4546,4124.8184
4149122.045278549,4274.2124,4228.364,4117.6064,4361.7876,4242.788,4562.697,4396.3037,4309.758,4483.879,3742.0608,4441.1216,4223.7275,4250.0,4125.3335
4149130.120277405,4272.667,4234.5454,4117.6064,4372.091,4247.9395,4564.2427,4400.9395,4310.2725,4485.9395,3751.3335,4447.819,4232.485,4256.1816,4129.4546
4149138.0639076233,4274.7275,4236.091,4126.879,4370.0303,4248.4546,4561.667,4401.4546,4310.788,4489.546,3753.394,4457.606,4240.7275,4263.394,4137.6973
4149146.048784256,4284.0,4235.0605,4133.061,4367.4546,4247.9395,4561.152,4396.8184,4308.7275,4495.2124,3752.8792,4464.819,4245.879,4267.515,4142.848
4149153.0537605286,4288.636,4234.0303,4129.9697,4370.0303,4247.9395,4560.636,4393.727,4306.1514,4494.1816,3753.9094,4463.788,4245.879,4267.0,4142.3335
4149161.00525856,4289.152,4236.6064,4132.5454,4375.182,4250.0,4560.121,4394.758,4310.2725,4493.152,3755.4546,4464.819,4243.818,4267.515,4143.879
4149169.0645217896,4286.5757,4234.0303,4134.606,4372.606,4247.9395,4558.5757,4393.212,4309.758,4491.0913,3751.8489,4465.3335,4242.788,4267.0,4142.848
4149176.985502243,4286.0605,4229.394,4135.1216,4364.364,4244.3335,4558.5757,4390.636,4306.667,4486.97,3750.3032,4462.2427,4244.3335,4264.9395,4140.7876
4149184.955596924,4286.0605,4227.8486,4137.182,4359.727,4240.2124,4556.0,4386.515,4307.182,4481.8184,3743.091,4455.5454,4243.303,4259.788,4140.273
