Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
376766,-12269.348009229256,-12276.546175485993,-12267.74595529422,-12277.428390642548,-12275.327114076386,-12280.687641942615,-12274.581440804955,-174838.40316839464,8133.126208136739,8134.530941168558,79617.58504552356,8112.991545255881,8116.7621484593155,84810.86937188472,324267.89460860885,8166.47398700049
376767,-13437.742240799342,-13442.787646563884,-13431.203430980664,-13447.744389182853,-13444.58164657288,-13450.399720528774,-13433.750676190579,-182714.8880181485,38023.29467763951,38019.59112926794,139649.9671999455,37974.451386943874,37934.44116434826,411248.05686692114,338579.56317428424,38033.175470787755
376768,-19590.741513981495,-19596.812056600276,-19580.497742928063,-19604.752489753693,-19600.5605933056,-19607.94131257863,-19580.918618441683,-253273.60255992544,51148.13541223515,51142.68130795635,195641.15005024255,51080.227576000296,51027.94722596246,554751.8346058851,491539.2967912794,51163.66906308834
376769,-23498.785483601023,-23505.722509736792,-23487.0816803872,-23514.723461111353,-23511.165051920794,-23518.377642919288,-23486.772353924378,-299771.1973949818,47558.74548111261,47554.187001858605,209748.32544803096,47489.01115053521,47447.343930380186,515785.0436471274,595142.7617850411,47586.71097362276
376770,-19016.223768689204,-19020.82530279304,-19005.22758751717,-19029.200651370542,-19028.493399702,-19031.85476263499,-19004.44253819262,-246011.10932027275,41994.173152155694,41990.34185987647,176208.46961056953,41933.70575125353,41895.54071317845,455132.9484761699,481294.9839522403,42011.4310904157
376771,-13988.552367012055,-13991.378239646228,-13979.32620373026,-13998.947813237726,-14000.908063185712,-14000.10704375742,-13978.51284615451,-184624.64279692748,43322.64545727333,43318.976658330444,152158.01399403124,43266.43202526792,43220.44312917644,469689.6337465297,349151.2493819484,43323.56675399341
376772,-16944.543856533113,-16949.934069527473,-16937.26639670251,-16957.42559437165,-16959.831492630783,-16958.39204731645,-16937.04819958957,-218981.3476704734,45008.844673827836,45006.57083276581,170688.35489443727,44947.98457392075,44903.37273858112,488251.2970388953,424670.1876669052,45018.10516844441
376773,-21734.426407005034,-21743.280457776913,-21729.094635258072,-21750.315934331044,-21752.24878471176,-21752.378664393742,-21729.343404830797,-276301.3975947508,40993.438626291085,40993.59135665049,188616.17771532066,40930.97919861447,40898.79033379957,444598.30599304213,551416.4944552684,41020.82275696841
376774,-19054.875540215366,-19063.51722007364,-19051.219568140372,-19068.604278465515,-19071.19854802011,-19071.943702636323,-19051.01617092531,-243915.39686508334,37798.103241395336,37799.017030277726,168746.5607519378,37742.275904763315,37711.72467461618,409750.0985769557,483340.4116921353,37820.44220217268
376775,-13655.611678671716,-13662.645469230256,-13652.66054242421,-13665.47509288314,-13668.96501245727,-13670.047520031354,-13651.380459230377,-177815.34626499197,41350.348791311226,41349.52850612122,146701.1760876064,41299.30449836906,41256.034174139764,448440.5451804674,340731.9996393887,41354.70393318454
376776,-15305.076527006695,-15313.620281436275,-15301.67590567988,-15315.72034384707,-15318.150564856658,-15321.480409083213,-15299.599446859102,-196313.4744205813,44611.97428851125,44609.52896158572,161177.89548196876,44558.30041748163,44511.4491553009,484015.06211144384,382005.55464260234,44619.62753442596
376777,-20533.656547992206,-20545.060616786148,-20529.61655010834,-20547.90872665564,-20547.880877986077,-20553.787682082697,-20527.22804790261,-258953.04209277048,40394.90938931334,40392.8963166414,180950.13770059127,40340.12910379769,40306.809293690865,438040.15865756257,520480.53170099854,40421.519971619105
376778,-19233.591919815517,-19244.321038132937,-19229.697143309884,-19248.297895076397,-19246.926241467674,-19252.740881353293,-19227.091164092923,-243370.61162831206,35444.722430617185,35443.7977268767,165007.91189697845,35395.64513618848,35370.233946858614,384040.17260692385,488861.4849335435,35471.02083757597
376779,-13594.04254119654,-13601.596225389425,-13590.586984709844,-13606.696996994004,-13605.65619399354,-13609.847552685595,-13588.108224009473,-174407.91495382882,38411.21530844712,38410.50590268526,140555.77001514466,38365.7859099146,38330.335686579216,416434.4343549885,339867.3777771768,38419.06941661485
376780,-13897.23116925794,-13904.288437765366,-13893.290391415529,-13910.293505796615,-13909.79135954686,-13914.163933527096,-13891.890720488755,-176380.13280665426,43442.04126932015,43441.835154450746,151196.47580049775,43392.749574212285,43349.24737911787,471448.57336233626,345005.42108956934,43448.71582746156
376781,-19195.946960840083,-19205.134077937524,-19190.74761605379,-19210.959875059856,-19210.881654769208,-19216.839612249132,-19190.775586317424,-239590.28851788605,40494.727920808175,40496.24886913656,173779.5182303919,40443.293912478126,40408.41814588048,439437.9352074183,484705.10441944795,40521.06393861972
376782,-19164.276731258164,-19173.36636569907,-19158.27150374677,-19177.567095383143,-19178.826885551654,-19184.60150610865,-19158.64299467123,-239462.84827125957,33976.01072676464,33978.66827886793,161877.31893524813,33930.6517111984,33903.556202139924,368365.4816660328,487178.3050341374,34007.729204158706
376783,-13554.686851445807,-13561.069974103157,-13548.42162240492,-13563.52422334478,-13566.584831084012,-13570.37906712993,-13547.983214292344,-171230.73132814374,35000.67515009736,35002.48744644759,134243.87030558445,34960.20828469918,34923.904383190966,379568.6447877114,340212.0217674917,35015.13234543565
376784,-12648.65779360984,-12654.308087117848,-12641.743366378585,-12656.533987057448,-12660.031005685612,-12663.058951302983,-12640.825059670038,-158674.08324838613,41038.75119989128,41039.52838120503,140373.90512981053,40993.48343181259,40947.3331316113,445580.3738319107,313156.1355148736,41046.72866631071
376785,-17874.11597106157,-17881.613315935087,-17866.23706844738,-17884.7441856637,-17887.29697883769,-17891.09229427486,-17865.78544656362,-220808.73419709274,40448.00274682749,40449.38766077563,166755.30936968373,40396.63382064499,40358.91090821559,439310.45967343985,449274.3072267614,40472.26274734653
376786,-19074.162372147926,-19081.643883249973,-19066.10162893778,-19085.13575689745,-19087.160563783527,-19090.431950157417,-19065.851564284487,-235647.41753459975,33708.71665479448,33710.65925555972,160917.05528363943,33660.27501229984,33635.32982398854,365822.2176432127,483968.2842414812,33740.170326732026
376787,-13612.448866806299,-13617.28671642332,-13605.27970919568,-13620.445838579644,-13622.655837960936,-13623.828680968945,-13604.28763864082,-169665.87913602596,32371.753822677092,32371.446123813646,129874.89871968761,32328.665485485028,32299.221909017728,351149.94360348675,342734.3989368753,32385.69115242491
376788,-11399.78426797993,-11404.212415088428,-11393.945469260281,-11407.490162914866,-11409.12628207864,-11409.827904629186,-11392.460255663847,-141577.8576579666,37887.11073849685,37882.5583291887,128238.4356283838,37840.53845342054,37799.14379417396,411278.92896857846,282514.1663530939,37889.12447333489
376789,-16307.15423642884,-16315.215977915188,-16302.957342322272,-16318.867402899969,-16319.13409853681,-16321.772714909142,-16301.672810960175,-199604.82520128295,39327.663009387645,39320.37772545696,156582.9684241146,39274.094795746394,39235.66289828547,427044.168112956,409480.64546642156,39343.48381750265
376790,-18833.846209843505,-18844.692188129084,-18831.79152796581,-18847.585432831707,-18847.64528546349,-18851.336565276426,-18829.531444000488,-230180.4898553215,33674.487810994106,33667.191942150064,159634.54124818067,33623.15309002347,33596.34189470424,365425.47490202903,478151.4840773725,33702.78333702071
376791,-13886.674762122435,-13896.047229460244,-13886.577147679633,-13897.154502663492,-13898.803222603423,-13901.317435365147,-13881.335498999353,-170550.1356088584,30922.621008022878,30916.210055829673,128714.75892177183,30879.677899878752,30851.09432165746,335461.3960724571,350816.65629815497,30938.883607087773
376792,-10381.432310480357,-10388.741836406964,-10382.057427671205,-10388.887545815931,-10391.974558490903,-10393.994417815413,-10374.56162718297,-127097.53320863734,35193.13381420495,35187.70807972624,118041.16437426487,35151.094029456624,35111.39329757125,382197.7501949258,257062.42906097483,35196.67027221271
376793,-14590.353846515754,-14598.73717990813,-14590.347259853397,-14599.55153397397,-14602.555065183678,-14606.091514872154,-14583.865123381205,-176617.0065119728,37448.11784279928,37444.69309375362,144260.21028297645,37399.34465673978,37361.52421580651,407005.64222651866,365009.23015119444,37463.18144834743
376794,-18369.898760981145,-18379.589750470717,-18368.646872051304,-18381.479779900557,-18383.88520719898,-18388.018120446697,-18364.773852012873,-222147.7899274504,32848.59699547133,32847.40507136508,155888.50973894703,32798.15171894683,32773.39718217895,356945.82806778,465651.9177774289,32877.60800483381
376795,-14357.099227268276,-14364.665210922998,-14354.625193469452,-14367.276005512807,-14369.539102637253,-14371.670852854792,-14352.169808395265,-173937.85969161778,29654.55698467573,29653.62169360579,129065.68723275576,29609.899198410785,29586.587488381076,322105.82937574974,362762.6888602993,29672.0717201336
376796,-9739.461464616561,-9744.039241539736,-9735.821409425022,-9748.073355428445,-9750.00431523687,-9750.205737194074,-9734.211693030196,-117368.47591849456,33237.548196948985,33235.19207624887,111192.34547277584,33195.22970729476,33160.55733950653,361238.58024941524,240243.44624213522,33237.13763803015
