Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
683213.0193710327,4288.121,4240.2124,4158.819,4448.334,4281.4243,4544.667,4385.485,4297.394,4490.576,3761.6362,4438.5454,4265.4546,4290.182,4160.364
683224.5404720306,4285.031,4238.667,4160.364,4447.819,4280.9097,4537.4546,4386.515,4293.788,4486.4546,3758.0305,4441.1216,4267.0,4289.152,4159.8486
683224.8513698578,4283.485,4237.636,4159.3335,4446.273,4283.485,4535.909,4384.4546,4289.667,4483.364,3755.4546,4439.061,4264.9395,4285.5454,4158.303
683232.6900959015,4285.031,4237.636,4157.273,4446.273,4284.0,4539.0,4385.485,4288.636,4482.8486,3754.4243,4435.97,4259.273,4279.879,4156.2427
683240.7035827637,4284.0,4237.636,4156.758,4445.758,4281.4243,4535.909,4389.091,4291.7275,4486.4546,3755.4546,4435.455,4249.4854,4278.849,4151.606
683254.899263382,4281.9395,4237.636,4155.727,4440.606,4280.394,4536.9395,4388.5757,4301.515,4492.6367,3762.667,4435.455,4247.4243,4280.9097,4150.576
683257.4274539948,4284.0,4239.182,4154.6973,4438.031,4282.4546,4543.1216,4391.1514,4311.8184,4501.3945,3768.3335,4438.5454,4252.5757,4281.4243,4157.273
683264.1332149506,4287.0913,4237.1216,4155.212,4439.061,4283.485,4545.697,4396.8184,4311.8184,4503.97,3767.8184,4444.727,4252.0605,4282.97,4167.061
683276.9885063171,4285.031,4235.0605,4154.6973,4439.061,4284.515,4545.182,4396.3037,4311.8184,4503.455,3771.4243,4446.273,4253.6064,4286.0605,4172.7275
683279.7462940216,4290.6973,4242.273,4156.758,4442.6665,4285.5454,4549.303,4393.212,4314.3936,4504.485,3774.0,4444.727,4264.4243,4289.667,4173.2427
683288.633108139,4301.515,4253.6064,4160.8794,4450.3945,4291.2124,4550.8486,4394.758,4310.2725,4505.0,3771.9395,4449.8794,4266.485,4289.667,4175.8184
683295.6545352936,4295.8486,4251.546,4157.788,4449.364,4294.303,4546.2124,4390.1216,4298.9395,4498.8184,3766.273,4447.819,4255.152,4284.0,4174.273
683304.6832084656,4280.9097,4238.152,4150.061,4441.6367,4287.0913,4542.6064,4379.303,4290.182,4488.0,3757.5151,4437.0005,4246.909,4278.849,4160.364
683311.6497993469,4279.879,4235.0605,4151.091,4442.152,4284.0,4542.0913,4378.7876,4288.636,4481.8184,3751.8489,4438.031,4250.0,4278.3335,4151.606
683323.6691951752,4284.0,4240.7275,4157.788,4446.273,4288.121,4546.2124,4388.061,4291.2124,4484.909,3755.4546,4444.2124,4254.636,4284.515,4157.788
683327.6336193085,4282.97,4238.667,4156.2427,4443.6973,4286.5757,4548.788,4389.606,4291.2124,4487.4854,3756.4849,4442.152,4253.0913,4283.485,4158.303
683334.9649906158,4281.9395,4234.5454,4154.182,4442.6665,4281.9395,4547.7573,4387.5454,4291.2124,4486.97,3754.4243,4438.5454,4252.5757,4278.3335,4153.6665
683342.6864147186,4280.394,4236.6064,4156.2427,4441.6367,4280.9097,4547.7573,4388.061,4291.2124,4485.9395,3753.9094,4436.485,4251.546,4277.303,4155.212
683355.7441234589,4278.3335,4237.636,4157.273,4441.6367,4282.4546,4548.788,4386.515,4290.182,4485.4243,3751.8489,4434.4243,4248.9697,4277.8184,4154.182
683358.7865829468,4279.364,4235.5757,4155.727,4441.6367,4284.0,4545.697,4382.909,4290.182,4483.364,3746.697,4433.9097,4248.9697,4272.667,4146.455
683366.6248321533,4279.879,4234.5454,4154.6973,4438.5454,4280.394,4540.031,4382.394,4288.121,4480.788,3742.0608,4432.364,4250.515,4267.515,4140.7876
683374.582529068,4282.97,4235.5757,4157.788,4437.0005,4276.788,4544.667,4385.485,4288.121,4482.8486,3742.0608,4435.455,4250.0,4270.0913,4146.455
683382.6017379761,4287.0913,4238.667,4161.394,4439.576,4283.485,4552.394,4389.606,4295.3335,4486.4546,3751.8489,4442.152,4251.031,4276.788,4157.273
683394.6633338928,4285.5454,4237.636,4159.3335,4437.0005,4286.5757,4553.9395,4393.727,4298.4243,4487.4854,3758.0305,4441.6367,4251.031,4279.879,4159.8486
683398.6027240753,4283.485,4234.5454,4154.6973,4432.879,4283.485,4553.9395,4393.212,4297.909,4493.667,3758.5454,4443.182,4250.515,4280.394,4155.727
683406.6536426544,4285.5454,4238.152,4161.909,4439.061,4287.0913,4556.0,4393.727,4301.0,4499.849,3761.1213,4449.8794,4259.788,4285.5454,4161.394
683414.5801067352,4291.7275,4240.2124,4169.636,4441.6367,4288.121,4557.546,4397.3335,4299.9697,4499.849,3760.606,4448.334,4267.515,4288.121,4172.2124
683422.709941864,4294.8184,4237.1216,4162.94,4436.485,4288.636,4556.515,4397.8486,4296.364,4496.242,3758.0305,4446.273,4265.4546,4286.5757,4175.8184
683430.7026863098,4292.2427,4236.091,4156.758,4436.485,4292.2427,4557.031,4396.3037,4294.8184,4495.7275,3757.5151,4449.364,4261.8486,4286.0605,4169.1216
