Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
217266.6003704071,4311.8184,4218.576,4200.031,4415.879,4346.8486,4516.334,4345.303,4234.5454,4460.182,3702.3943,4527.152,4241.2427,4240.7275,4143.879
217274.5816707611,4314.3936,4217.5454,4200.5454,4417.4243,4348.909,4514.788,4345.303,4235.5757,4463.788,3708.0605,4528.182,4250.515,4244.8486,4151.606
217282.53078460693,4315.425,4218.0605,4202.606,4416.394,4349.9395,4511.6973,4338.6064,4235.5757,4464.819,3711.1519,4528.6973,4251.031,4245.879,4156.758
217290.67635536194,4317.4854,4219.606,4203.6367,4417.9395,4350.4546,4511.1816,4337.5757,4236.6064,4464.819,3710.6367,4528.182,4249.4854,4248.9697,4154.182
217298.48289489746,4319.0303,4219.606,4204.6665,4418.4546,4352.515,4511.1816,4339.636,4234.5454,4464.819,3711.667,4527.667,4259.788,4251.546,4153.6665
217306.5106868744,4315.425,4217.0303,4200.031,4413.8184,4356.1216,4511.6973,4341.6973,4236.091,4466.364,3713.7275,4528.182,4260.818,4249.4854,4156.2427
217314.5558834076,4314.909,4216.5156,4194.3633,4413.8184,4355.606,4511.6973,4343.758,4235.0605,4465.8486,3711.1519,4525.606,4256.1816,4245.879,4151.091
217323.20713996887,4316.9697,4218.576,4199.5156,4416.909,4355.606,4514.2734,4346.3335,4235.0605,4464.303,3710.1216,4524.576,4260.818,4246.909,4146.9697
217330.54661750793,4316.9697,4219.606,4204.152,4415.364,4359.727,4514.788,4346.8486,4238.667,4464.303,3709.6064,4527.152,4261.3335,4250.515,4149.5454
217338.53030204773,4314.909,4218.576,4195.394,4410.2124,4359.2124,4514.2734,4348.394,4237.636,4462.7583,3704.4548,4523.0303,4252.5757,4244.8486,4146.455
217345.5593585968,4311.8184,4217.5454,4187.152,4409.6973,4357.6665,4513.758,4349.4243,4239.182,4461.2124,3700.3337,4517.879,4251.546,4237.636,4141.303
217353.93404960632,4311.8184,4217.0303,4192.8184,4411.2427,4361.273,4512.2124,4347.364,4242.788,4462.7583,3702.3943,4518.3945,4257.2124,4242.273,4146.455
217361.56916618347,4315.94,4218.576,4201.576,4413.8184,4365.394,4515.303,4348.394,4245.364,4465.8486,3709.0913,4525.091,4264.4243,4250.0,4156.2427
217369.66037750244,4321.091,4220.6367,4204.6665,4415.879,4364.879,4516.334,4349.9395,4245.364,4462.7583,3709.6064,4525.091,4268.546,4246.909,4156.2427
217377.5396347046,4314.3936,4217.5454,4200.031,4414.3335,4359.727,4514.788,4345.8184,4246.394,4457.606,3702.3943,4521.485,4262.879,4243.303,4154.6973
217385.93673706055,4306.1514,4210.334,4191.273,4412.273,4360.758,4513.2427,4342.2124,4246.394,4460.182,3700.8486,4522.5156,4259.273,4245.364,4154.6973
217394.0589427948,4305.6367,4206.727,4188.1816,4414.8486,4365.9087,4518.3945,4349.9395,4251.031,4466.364,3708.0605,4526.6367,4259.788,4245.879,4150.576
217400.65002441406,4307.182,4205.6973,4188.6973,4414.8486,4362.303,4520.455,4355.0913,4252.5757,4465.3335,3707.0303,4527.667,4251.546,4244.8486,4142.3335
217408.60223770142,4303.576,4206.2124,4189.7275,4409.6973,4355.0913,4518.909,4352.515,4244.3335,4460.6978,3702.9092,4526.1216,4247.9395,4243.818,4139.2427
217416.62216186523,4302.546,4205.1816,4187.667,4407.121,4354.5757,4517.879,4349.9395,4242.788,4459.6665,3703.4246,4525.091,4248.4546,4239.182,4140.273
217424.50213432312,4305.1216,4205.1816,4188.6973,4408.667,4354.5757,4517.364,4350.9697,4249.4854,4462.2427,3703.9395,4527.152,4243.818,4239.697,4138.727
217437.5729560852,4308.7275,4210.8486,4193.3335,4411.2427,4355.0913,4519.4243,4349.9395,4252.0605,4465.3335,3706.5154,4529.7275,4242.788,4245.364,4140.7876
217446.48504257202,4309.758,4216.5156,4194.3633,4414.3335,4358.6973,4516.334,4346.3335,4251.031,4465.8486,3714.2427,4530.758,4245.879,4245.364,4143.879
217455.19018173218,4308.212,4215.485,4193.3335,4415.364,4361.7876,4513.2427,4344.788,4250.515,4464.819,3715.273,4527.667,4245.364,4242.788,4140.7876
217456.51602745056,4309.758,4217.0303,4201.0605,4415.879,4364.364,4517.364,4347.364,4252.0605,4465.8486,3712.6973,4529.2124,4246.394,4244.8486,4134.606
217472.7222919464,4310.788,4220.121,4205.1816,4415.364,4364.879,4517.364,4346.3335,4250.515,4464.303,3712.1821,4529.7275,4244.8486,4241.7573,4128.9395
217473.534822464,4307.182,4211.364,4194.3633,4412.788,4362.8184,4512.2124,4342.7275,4251.546,4462.7583,3711.667,4520.9697,4237.636,4238.152,4126.879
217479.5138835907,4305.1216,4203.121,4188.1816,4412.273,4363.848,4511.1816,4343.758,4253.6064,4465.8486,3709.0913,4513.2427,4237.1216,4238.152,4123.788
217489.7906780243,4304.091,4205.6973,4189.7275,4408.667,4363.3335,4508.0913,4340.1514,4245.879,4460.6978,3703.4246,4511.6973,4240.7275,4232.485,4113.485
217503.315448761,4302.0303,4205.1816,4187.667,4404.546,4361.273,4501.9097,4332.425,4236.091,4455.0303,3699.8184,4512.727,4238.152,4227.8486,4105.2427
217503.54170799255,4304.091,4203.121,4186.6367,4407.121,4364.364,4508.0913,4336.546,4241.2427,4457.606,3703.4246,4516.334,4236.6064,4233.0,4108.3335
217511.56187057495,4306.1514,4206.2124,4188.1816,4410.2124,4371.061,4513.758,4346.8486,4251.031,4462.7583,3708.576,4517.364,4237.636,4234.5454,4107.8184
217519.90127563477,4304.6064,4207.242,4185.0913,4405.5757,4371.576,4511.1816,4347.364,4249.4854,4458.1216,3704.9697,4511.1816,4238.667,4231.4546,4101.636
217527.55665779114,4303.576,4204.152,4183.0303,4406.091,4372.606,4512.727,4345.8184,4248.9697,4454.5156,3702.9092,4510.6665,4237.636,4233.515,4103.697
217535.7449054718,4305.1216,4206.2124,4187.152,4412.788,4379.8184,4520.9697,4345.303,4250.515,4455.5454,3707.0303,4517.879,4237.636,4236.6064,4110.394
217542.93298721313,4306.1514,4206.727,4184.576,4413.303,4382.394,4529.2124,4344.273,4242.788,4455.5454,3709.0913,4516.334,4239.697,4236.6064,4106.273
217550.5154132843,4306.1514,4204.152,4179.4243,4410.2124,4375.6973,4527.152,4343.2427,4237.1216,4455.5454,3704.4548,4508.606,4235.0605,4233.515,4099.0605
217558.58612060547,4310.2725,4211.364,4184.0605,4412.273,4372.606,4520.455,4340.667,4243.303,4458.1216,3708.576,4512.2124,4234.0303,4233.515,4102.667
217566.54715538025,4316.9697,4220.121,4192.3027,4417.9395,4377.758,4521.485,4343.2427,4249.4854,4459.6665,3719.394,4524.576,4245.364,4241.2427,4111.4243
217579.5669555664,4318.515,4221.1514,4191.273,4419.485,4380.333,4525.091,4351.485,4251.031,4455.0303,3717.8486,4526.1216,4251.546,4243.818,4111.4243
217582.79967308044,4316.9697,4216.0,4186.121,4412.788,4378.2725,4521.485,4347.879,4252.0605,4446.273,3707.5457,4516.334,4244.3335,4235.0605,4102.1514
217594.575881958,4313.364,4209.8184,4187.152,4410.7275,4378.7876,4522.5156,4342.2124,4247.9395,4444.2124,3703.4246,4511.6973,4238.152,4233.0,4095.4546
217598.51717948914,4311.303,4206.2124,4185.6064,4410.7275,4380.848,4527.667,4348.394,4243.818,4445.2427,3707.5457,4512.727,4237.636,4237.1216,4094.9397
217606.56023025513,4310.2725,4206.727,4178.909,4409.182,4379.303,4529.2124,4354.5757,4247.4243,4447.819,3712.6973,4511.6973,4236.6064,4237.1216,4096.4854
217614.55059051514,4306.667,4205.1816,4172.7275,4404.546,4379.8184,4526.6367,4352.515,4250.0,4448.8486,3712.6973,4510.152,4232.485,4236.091,4089.2725
217621.5386390686,4300.485,4202.606,4170.667,4400.425,4383.94,4526.1216,4350.9697,4246.909,4448.334,3709.0913,4508.606,4230.9395,4234.0303,4083.0908
217629.55570220947,4302.546,4204.6665,4174.788,4404.0303,4383.4243,4530.758,4352.0,4252.0605,4451.4243,3712.6973,4513.2427,4233.515,4236.091,4089.788
217637.51339912415,4310.2725,4205.1816,4184.576,4410.7275,4383.4243,4536.9395,4353.0303,4263.394,4463.273,3724.0308,4520.455,4237.1216,4246.909,4099.0605
217650.5537033081,4313.879,4208.7876,4189.7275,4413.8184,4387.0303,4538.485,4351.485,4268.031,4467.394,3728.6667,4519.9395,4240.7275,4251.031,4098.0303
217661.51905059814,4314.3936,4217.0303,4187.152,4414.8486,4389.091,4536.4243,4349.9395,4264.9395,4462.7583,3730.7273,4516.8486,4247.4243,4248.4546,4097.515
217663.09762001038,4318.515,4221.6665,4195.394,4421.031,4390.636,4540.031,4353.0303,4265.4546,4464.819,3734.8484,4521.485,4252.5757,4251.546,4106.273
217672.5947856903,4319.546,4220.6367,4202.606,4423.6064,4391.1514,4539.515,4352.0,4262.364,4466.364,3732.273,4522.0,4252.5757,4253.6064,4108.8486
217677.56819725037,4317.4854,4219.091,4198.485,4420.0,4388.5757,4537.4546,4347.879,4258.2427,4459.1514,3727.6365,4518.3945,4255.152,4250.515,4102.667
217685.7361793518,4317.4854,4220.121,4197.455,4418.9697,4387.5454,4537.4546,4351.485,4260.818,4457.606,3729.1821,4518.909,4254.636,4250.0,4099.5757
217692.50655174255,4315.94,4218.576,4196.9395,4419.485,4390.636,4539.515,4354.0605,4265.97,4463.788,3732.7878,4518.3945,4255.667,4252.5757,4103.1816
217700.51407814026,4315.94,4211.364,4190.242,4411.758,4389.606,4538.485,4350.9697,4264.9395,4466.364,3732.273,4514.788,4258.7573,4251.546,4107.303
217708.57572555542,4315.94,4204.6665,4186.6367,4405.5757,4388.061,4533.8486,4345.8184,4260.303,4463.788,3733.818,4516.334,4259.273,4252.0605,4107.303
217716.5424823761,4311.8184,4205.1816,4188.1816,4407.121,4390.1216,4533.3335,4343.2427,4258.2427,4460.6978,3732.273,4517.364,4256.697,4250.515,4102.667
217724.58148002625,4306.667,4205.6973,4187.667,4407.6367,4393.727,4539.515,4350.4546,4264.9395,4462.7583,3730.2124,4516.334,4254.636,4248.9697,4102.1514
