Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
669111,2639.1723176483742,2641.108615600958,2644.613429416394,2643.145972416734,2642.5555933144565,2644.3384502400336,2670.604960020729,10294.407531019846,-317.83264851897695,-318.83520058497214,-10029.935928905214,-317.85812446266414,-319.2013001318053,-324.62361513707697,-50708.97416024116,-325.9122691584878
669112,3554.165059332859,3556.126524910774,3558.01849839914,3558.1672467086405,3554.558358639037,3557.703154174315,3588.57555542225,10197.980289103907,-4607.981808259714,-4610.223946317412,-16564.095910468168,-4607.452499862342,-4615.814860551152,-4638.239551053777,-66499.54852810604,-4616.682420551137
669113,4860.090615900635,4863.328180507979,4863.674123477351,4864.898111110727,4859.169692587547,4863.244101586988,4911.51346126464,15226.50609014105,-6350.7492375860365,-6353.367306166879,-23432.22299651095,-6348.320600594487,-6361.462827669165,-6390.49848191283,-96448.24227979094,-6362.270596226342
669114,5415.6837179178365,5420.6215617470225,5419.633397582904,5420.284771484199,5414.886290462856,5419.085069477283,5477.461286127269,18362.734063126725,-5718.818239600782,-5721.504367853143,-25504.737892189634,-5714.825832072936,-5729.153679227472,-5755.270068319702,-111148.51328448736,-5732.5623198264
669115,4590.778479550647,4596.497629737194,4594.618143362701,4593.399146261416,4590.611596086066,4594.251930685646,4639.083681988435,13855.441231022356,-4991.75262340302,-4995.134772602982,-21229.94096524651,-4988.20983025646,-5001.454293354547,-5024.663285414164,-90844.94616873383,-5004.607109599736
669116,3828.9745625358946,3834.7804094802937,3832.8322138059943,3830.4764726831513,3829.928072345874,3833.081253021762,3862.748561596466,9341.388812012086,-5281.625074242529,-5285.965778752905,-17910.02684672705,-5279.041179197659,-5291.370764450203,-5316.506402526742,-70649.6259807399,-5293.123047940414
669117,4334.771590904567,4340.567755932074,4339.526089317064,4337.556472614482,4337.096481959889,4340.403290592899,4377.222132905295,12485.634309250101,-5449.6074434309385,-5453.955746263613,-20407.761727428464,-5446.472909969075,-5458.149703928728,-5485.442424342044,-83143.78864521315,-5461.887066893543
669118,5006.3788461377335,5011.422113284092,5011.593469940213,5010.051675650337,5008.799251704106,5012.615273437802,5062.999029150072,16954.890161654614,-4752.632060089651,-4755.952412368004,-23164.641933080296,-4748.756128706533,-4758.654469344098,-4784.373214294543,-101278.45875347024,-4765.553440719277
669119,4520.496175780569,4523.414480869931,4524.379444532228,4522.038033721647,4520.807373672085,4524.936036376595,4570.126849922803,14200.930078696765,-4343.304006596078,-4345.851794566781,-20705.69177723582,-4341.081453741706,-4348.59513651093,-4372.407247011273,-89309.14918433176,-4354.578593430883
669120,3752.3230899957807,3752.7625321307014,3754.516308203514,3750.6124600087646,3749.6887168544577,3754.1994740594737,3787.0516385705,9242.196559209064,-4977.459243366265,-4980.228322376248,-17503.6739961501,-4978.629972834882,-4985.027591337013,-5009.8690781958685,-68455.62946685267,-4987.797507377635
669121,4080.9789193527654,4080.2612598480405,4083.4797009003005,4078.1375503310555,4076.903988217522,4082.3626410547568,4120.6217030219705,11109.140793843575,-5419.2802893407625,-5422.617434934041,-19236.106317263075,-5422.640332309014,-5429.276773046673,-5454.682306463541,-76115.07816389544,-5432.585493519645
669122,4800.967911626152,4800.757726575121,4805.609235707332,4798.990364821229,4797.952344081117,4804.318673253232,4855.8422216996205,15960.626427506651,-4703.662413448064,-4707.356029012179,-22110.958124185167,-4707.357423349166,-4713.872919711121,-4736.428956070868,-95815.08615253617,-4721.005161581297
669123,4473.600680904932,4474.612677947465,4480.424568945469,4472.458126531723,4473.231578494212,4479.611826653918,4525.594070172674,14399.629589003194,-4031.228738016658,-4035.549168482232,-20181.782159850147,-4035.3332282055494,-4040.724677752646,-4061.532905388871,-88689.68594270645,-4049.029652159956
669124,3637.4996326651067,3639.632906260518,3646.1252971114873,3637.219744515592,3639.852644040225,3645.7608663263263,3674.490495722881,9101.727607782595,-4603.37630150679,-4608.850439420015,-16623.52037085614,-4608.639923438506,-4613.0792480377095,-4637.582080276951,-66553.91487352192,-4619.240369838106
669125,3780.694964988587,3783.3746971760406,3791.1476369189886,3782.4056383993875,3784.7428367577486,3790.502440201178,3818.993378275863,9719.219184300076,-5340.338028419317,-5346.476539711008,-17686.370502199243,-5346.111418326813,-5350.2227190427075,-5379.196896204743,-69356.02565627213,-5356.036420560671
669126,4528.960291643916,4530.975647533656,4540.051456039004,4532.259531393453,4532.839580241654,4538.5964248220935,4581.38317961234,14755.528224573514,-4809.580709845126,-4815.127558366091,-20832.10315270578,-4814.749527480826,-4818.0904165874035,-4845.940633904984,-89892.5384987344,-4826.107867773864
669127,4350.298811692239,4350.22606302995,4359.017625414275,4351.983171668604,4352.022643097795,4357.367484901779,4400.304405542174,14429.932756221704,-3886.001186424766,-3890.7349580375057,-19512.353634825475,-3890.6400332239286,-3892.939962117177,-3917.136389941671,-87487.24920592995,-3900.8347623967343
669128,3448.370283603031,3445.8833226755582,3452.788138902984,3446.092795918825,3447.420843771793,3452.022407692233,3479.789277016803,9061.400728430748,-4193.946296940872,-4198.929476120312,-15613.61562330655,-4198.203443145442,-4201.2939584953265,-4226.204646566801,-64757.308380867216,-4205.941181449674
669129,3390.174481673965,3386.705863437693,3392.0828303020426,3385.7651413416156,3388.1954028675264,3392.1235478475505,3417.778188495099,8442.81078141928,-5139.860540673561,-5145.712616966066,-16021.748340486754,-5142.305860206674,-5148.5776986442415,-5176.763138048815,-62876.220838500056,-5152.020597709989
669130,4151.832541194368,4149.314686991179,4154.495795378347,4148.706661021015,4151.137306325567,4154.478176234125,4195.465098552291,13421.328646556376,-4993.031993537469,-4999.267478016367,-19627.959316320368,-4992.4980230553465,-5001.561082387732,-5028.681402475739,-84012.86081618966,-5007.464658829094
