Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
113611,-8770.929258212844,-8776.668718944235,-8770.894655376913,-8775.132207480103,-8775.50278782615,-8777.756467609106,-8762.584046512296,-111875.6601995783,-78775.12096653067,-8765.149380404237,-39632.81324687897,-8774.432546269523,-9605.789735523782,-103579.17164712705,-64553.050780555786,-8781.863112432082
113612,-31132.92183539956,-31148.65451910769,-31126.577668465285,-31149.92612743535,-31148.029238369396,-31155.25365759708,-31106.433858970217,-379327.4005747859,-304957.0997922181,-31101.285009856158,-157587.64958330372,-31129.695907528523,182541.64360513698,-352272.61227203585,143287.36980177942,-31156.221681525614
113613,-42502.83766265913,-42523.00992362722,-42492.0383297244,-42525.62558173582,-42523.12702015371,-42533.160139819374,-42466.27476958919,-515748.03924991924,-413297.5769580231,-42465.30535726682,-213124.9130793106,-42503.03004204958,237893.08852975204,-478558.6580190427,178648.31202945745,-42540.48306549308
113614,-40953.9845833939,-40972.968663288746,-40941.39536661937,-40974.97224478813,-40973.375701386016,-40983.30967460559,-40917.72202970054,-497477.2026423566,-392870.0594972066,-40927.43313969279,-201841.6065987006,-40963.83524234193,194151.5729089636,-461122.682309596,113818.59161883291,-40999.30993486671
113615,-35653.11197439458,-35670.28920316146,-35640.29566692634,-35670.80743649895,-35669.55530794052,-35678.31780253181,-35621.12865728859,-433609.3529445301,-344340.419816038,-35633.21032190509,-177497.10319437305,-35666.82694957409,180519.2988561384,-402088.6658368878,117810.75017280002,-35692.690474123854
113616,-35262.10449887011,-35280.35271937916,-35249.10922514263,-35280.14595349594,-35277.28254820527,-35285.7939252067,-35231.341820035625,-428354.8270033654,-346386.41748073464,-35233.027813991626,-179857.59857097716,-35268.81012351891,215130.31646375975,-397670.94282824267,177521.4654703692,-35288.69118052232
113617,-37323.63261809375,-37343.70684336686,-37310.660711753444,-37343.96778300936,-37338.87396505542,-37347.26965080318,-37292.2727018765,-453001.17238661577,-363683.69286202756,-37280.82749035953,-188865.15400659502,-37318.57001755391,210963.14907948894,-420306.91864394175,160509.43744703007,-37339.671234158726
113618,-35714.687731752034,-35734.417701158294,-35702.864892780795,-35735.37052979303,-35729.44212125361,-35736.696207036264,-35685.37807853847,-433832.562093446,-341340.65613519854,-35668.48085621705,-176799.966743391,-35701.925894385364,159852.15154700843,-402002.7789457432,83726.20819116457,-35725.3622052814
113619,-32663.39189795178,-32682.54760775124,-32653.381658726605,-32683.491190081593,-32677.71019492402,-32684.39359572129,-32637.040849712095,-396809.48135379533,-313337.18215274625,-32622.335346149313,-163025.0263053481,-32649.875843915772,152679.1557872111,-367851.77359203843,87110.04277304586,-32673.457045861105
113620,-33801.692712151154,-33823.169453448674,-33792.91193387832,-33823.568829781696,-33817.243066237876,-33825.40296100192,-33774.64360594413,-409742.6656644377,-331332.5811711654,-33764.486348830906,-173649.41201302357,-33791.590640605646,203870.1937952352,-380490.95417906373,166504.77914693434,-33816.79993957745
113621,-36641.78285580367,-36666.376504055894,-36633.797760941714,-36666.48482508544,-36659.18688257101,-36668.878602115874,-36612.24902829013,-443666.63899491914,-358201.6104323708,-36606.927773749216,-187428.69277789962,-36636.2137305537,216739.94727574423,-411961.2750214195,173629.50696847154,-36664.98802832316
113622,-34973.1502970586,-34997.55123091264,-34966.49823917405,-34997.8447068873,-34990.733500053684,-34999.75908640526,-34944.63227340553,-423967.13134185475,-334866.9701783444,-34942.84232767631,-174079.54382897587,-34970.40930128198,161981.94941797378,-393135.6112352413,90855.25688315462,-34998.901260885046
113623,-30980.20479867488,-31002.212821393827,-30974.916658018177,-31002.47210560836,-30996.70716617238,-31004.44446048873,-30954.65347024894,-375921.1852127838,-295767.7939619566,-30950.84631646833,-153532.80721939902,-30975.20870161428,136165.87107100143,-348570.7441276873,67816.13035662106,-30998.44312812966
113624,-31608.930232441737,-31630.489577975153,-31603.76159882874,-31629.88648845377,-31625.358618968217,-31633.84449620305,-31582.42016199178,-382795.7126315912,-309009.81352658523,-31571.802305875462,-161119.58841015078,-31598.1246153614,184984.9055162644,-355606.3016708087,145702.15999953146,-31617.738887015552
113625,-35388.10740189467,-35410.96459429087,-35382.23558956564,-35409.11117466019,-35405.502512422776,-35415.666242657884,-35357.891370979676,-427835.2092485818,-347181.90638941096,-35344.18349625318,-180686.95090778536,-35375.240212894874,216860.1618092542,-397630.4473447472,179634.25569095262,-35395.75206142053
113626,-34681.25951745052,-34703.40849417158,-34675.38488487581,-34701.01267931205,-34698.45817515305,-34708.12021444249,-34651.12735511554,-419608.29757509835,-333602.5656099244,-34642.647932149135,-172310.02990333227,-34673.19100196198,170199.64057521994,-389581.1685570029,105492.71278480206,-34693.714897205515
113627,-29868.789906798385,-29888.04423302128,-29863.61719822414,-29886.48542102064,-29884.275146744247,-29891.5192071862,-29842.216700776517,-361825.6783495363,-284607.3304873645,-29840.345930951084,-146396.78522347455,-29866.242839067723,127066.49051910124,-335899.6350368689,57822.90826040684,-29882.906777506632
113628,-29046.819885005956,-29064.732215568063,-29041.52787858382,-29065.06927161684,-29061.234500514056,-29067.395623625198,-29020.398018544503,-351337.02911625843,-283020.970103226,-29018.21389461767,-146224.7648232337,-29044.13419535549,162553.44811052692,-326757.7743860495,120905.43032632605,-29058.436101818057
113629,-33219.64948624368,-33238.24181342677,-33212.95171575392,-33240.4957952034,-33234.15705269665,-33241.515006911606,-33189.11420146773,-401019.44213600166,-326676.6563225301,-33182.917192015295,-168598.98864603415,-33214.042307351425,207548.3030459705,-373114.03127447906,174791.370616586,-33231.150226194426
113630,-34237.26090659684,-34254.68057641089,-34229.267676568095,-34257.99850548445,-34251.00503602637,-34259.41820435551,-34205.470003443144,-413512.1967200353,-330757.8502060694,-34200.47346850615,-168787.68436796765,-34233.006616554696,177309.30740394263,-384181.34180047107,119364.21528657892,-34252.62570156921
113631,-29611.672062048765,-29625.601007152596,-29603.507434502888,-29628.93444065963,-29623.5559614164,-29631.61403954094,-29584.232819528283,-358235.32467528566,-282157.15940275206,-29585.082577393423,-142026.3759692676,-29612.885510694236,126465.46972829232,-332507.36832383915,57847.69661016892,-29629.8134689645
113632,-27077.799100214816,-27090.900293584,-27069.9948035622,-27093.28548788322,-27089.403432422918,-27097.366214163998,-27054.01789311739,-327500.14067844296,-262946.8406361252,-27057.56588659084,-132231.7776735876,-27082.840552713973,145276.1974215917,-304313.74711645,101617.81128948338,-27096.724548859296
113633,-30476.16941041488,-30493.237091851253,-30468.75659784656,-30493.916580968656,-30490.093962083152,-30498.97326869388,-30451.15163698129,-368030.4937914667,-300343.05059836956,-30453.362866106225,-152165.5467136075,-30482.19711639302,193263.98844234514,-342137.4179158101,164271.06753429025,-30498.420529013216
113634,-32889.50965123385,-32910.530437392845,-32883.022601448596,-32909.47255839519,-32905.35217833851,-32914.33847734236,-32862.97226059879,-397349.1972692264,-319110.61079559603,-32865.22418916013,-161688.47192235163,-32896.627372397415,178074.81056780697,-368832.76128530974,126897.8291999524,-32916.387048759694
113635,-29452.010152575727,-29472.638576696918,-29446.740262262407,-29470.81041484943,-29466.538784370612,-29474.362149777244,-29427.679897209,-356433.8521533805,-281063.8335459284,-29431.3414617501,-142302.64960071928,-29459.650848114063,127704.62460221961,-330427.8034752255,60310.85696417835,-29477.388800119275
113636,-26055.299798159755,-26073.482931487215,-26049.866502661767,-26072.13533759,-26066.852106434726,-26074.46724011923,-26032.794848929367,-315335.6415243943,-252447.36664172207,-26034.979516586645,-129418.65692179963,-26060.36548509466,134523.36407035898,-292679.0031934541,88638.47964296764,-26073.447638057976
113637,-28209.85736298343,-28227.563400255516,-28202.322234420684,-28227.0155596576,-28220.101887642057,-28228.998352502425,-28184.865808690578,-340727.27136978786,-278723.9028872559,-28185.10865652445,-145075.1104167053,-28212.473749423134,180762.59682843488,-316767.4849582099,154925.4147288752,-28225.909749270573
113638,-31065.007478216256,-31083.670570174847,-31055.565443496853,-31082.993181553426,-31075.893661390717,-31084.980487261648,-31037.620248623833,-375148.9292714349,-302827.7444948963,-31041.91025091149,-158171.37126463174,-31070.791936386333,174321.54471667242,-348513.2068602445,130362.15030016436,-31088.85983575815
113639,-28805.705739660316,-28824.570782288996,-28796.720246105677,-28822.706623681283,-28817.55566743612,-28824.65826519305,-28781.159721726865,-348423.2228833179,-275245.2929267076,-28793.48407603037,-144259.36921180665,-28818.06958901632,124186.38179825395,-323325.4309812734,58879.79325395111,-28838.3491760724
113640,-25399.541651704807,-25418.898667813293,-25392.686634769456,-25416.044236630285,-25412.765138727482,-25418.38025557594,-25379.73093345211,-307408.91471804876,-245348.80239477448,-25395.030834106074,-130489.20622244429,-25414.16951282697,122828.68138365741,-285564.66925247235,74267.14155321637,-25434.159661121783
113641,-26772.68272933633,-26794.19609996787,-26767.479035858098,-26791.839792571354,-26788.23045402788,-26794.958245344795,-26753.81266633073,-323518.8815836443,-264930.55104686273,-26764.33488921384,-142517.4978824281,-26783.173339019606,169815.01321635925,-301060.2045859323,146069.451585153,-26805.685711832433
113642,-29604.60366949608,-29627.459228220552,-29600.168308095963,-29626.906602488005,-29621.756347651604,-29630.121408811705,-29584.656952786598,-357644.83308223385,-290059.3696945421,-29588.871341575777,-155666.96521020867,-29609.695627460547,171633.79164190864,-332610.2089933362,135335.22686557204,-29636.34359494659
113643,-27849.52660851787,-27870.234600557735,-27846.21058169252,-27871.511161019287,-27865.962206100176,-27873.52122908392,-27831.291338875755,-336965.4874216656,-266384.64121861383,-27830.96040966546,-142550.13419573673,-27850.784429013835,119403.35105765659,-313001.4758610354,57544.04416489082,-27876.250369818612
113644,-24331.398843565625,-24348.669671290525,-24329.66616017453,-24351.018630460076,-24346.389148078066,-24351.57767312164,-24315.878167157207,-294563.3265172675,-233722.74235916112,-24308.787603045974,-125769.45708986017,-24327.560701781917,107984.43190185915,-273908.5536704153,56380.88401030873,-24346.3837252086
113645,-25320.67975220086,-25337.103058243047,-25319.709332205122,-25339.712121332923,-25335.82073526975,-25340.087661880374,-25304.206140952152,-305889.9486268875,-250226.7999965869,-25288.349692784956,-135059.45697942015,-25310.972260167604,157418.58189789313,-285090.098308267,133830.50748176323,-25325.355838082636
113646,-28449.267322454023,-28467.045022422935,-28448.148294595874,-28469.017664295872,-28465.39858902402,-28470.458067936437,-28430.400421863033,-343436.23760975257,-280097.05683351634,-28412.684143725342,-150107.41145552188,-28440.2911128466,172581.3152067176,-319972.69006534806,143538.67191706307,-28455.215885421167
