Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
338633.2983970642,4224.2427,4203.6367,4124.8184,4399.394,4199.0,4545.697,4422.061,4286.5757,4465.8486,3791.0002,4418.9697,4202.606,4239.182,4168.091
338641.24369621277,4234.0303,4203.6367,4127.394,4405.0605,4193.8486,4546.7275,4416.909,4284.0,4463.788,3792.0305,4429.788,4206.2124,4251.546,4171.6973
338654.34193611145,4236.091,4202.0913,4136.152,4405.0605,4190.242,4545.182,4417.4243,4285.031,4467.394,3794.091,4437.0005,4217.0303,4255.152,4186.121
338657.30142593384,4235.0605,4209.3027,4142.3335,4401.4546,4192.8184,4546.2124,4424.1216,4286.0605,4469.4546,3792.5457,4434.94,4228.879,4255.152,4193.8486
338669.33584213257,4235.0605,4216.5156,4136.6665,4401.9697,4197.97,4549.303,4420.0,4281.9395,4469.9697,3791.0002,4433.394,4235.5757,4259.788,4190.758
338673.2976436615,4234.5454,4208.273,4131.0005,4405.5757,4200.5454,4551.364,4418.9697,4289.152,4477.6973,3799.2424,4433.9097,4234.5454,4265.4546,4194.879
338681.7874908447,4234.0303,4202.0913,4132.031,4404.0303,4201.576,4551.879,4429.273,4301.515,4483.879,3806.4548,4434.94,4236.091,4270.6064,4203.121
338693.61996650696,4232.485,4208.273,4131.0005,4401.4546,4200.031,4553.425,4428.2427,4294.8184,4475.1216,3798.2122,4434.94,4238.667,4269.5757,4197.455
338696.60782814026,4230.4243,4207.758,4125.8486,4403.0,4201.0605,4554.97,4423.6064,4285.5454,4467.909,3787.3938,4433.394,4225.788,4253.6064,4185.6064
338704.4372558594,4231.4546,4204.6665,4123.788,4408.152,4202.0913,4557.031,4429.788,4292.2427,4476.667,3794.091,4435.455,4217.0303,4249.4854,4184.576
338712.2461795807,4234.5454,4214.9697,4127.394,4411.758,4201.576,4558.5757,4433.394,4293.788,4480.788,3804.3943,4437.0005,4226.303,4261.8486,4188.1816
338720.3621864319,4234.0303,4227.3335,4127.394,4409.6973,4202.0913,4557.546,4429.788,4282.97,4470.485,3798.2122,4431.3335,4227.8486,4259.273,4187.152
338728.2118797302,4233.0,4220.121,4124.8184,4407.121,4202.606,4559.6064,4431.3335,4281.9395,4464.819,3787.3938,4429.273,4219.606,4246.909,4183.0303
338736.3123893738,4234.5454,4204.6665,4125.3335,4405.5757,4203.6367,4562.182,4434.94,4286.5757,4468.4243,3788.4246,4430.8184,4221.1514,4251.031,4178.394
338744.4796562195,4231.4546,4206.727,4124.303,4401.4546,4202.606,4559.0913,4431.3335,4281.9395,4465.8486,3788.9397,4428.2427,4221.6665,4256.1816,4173.758
338752.299785614,4224.2427,4219.091,4124.303,4404.546,4197.455,4557.546,4426.182,4277.303,4461.2124,3784.8184,4427.7275,4217.5454,4248.9697,4173.2427
338759.2930793762,4227.3335,4221.6665,4127.909,4410.7275,4191.788,4557.031,4423.6064,4279.364,4466.364,3791.0002,4431.8486,4225.273,4248.9697,4177.879
338767.33231544495,4235.5757,4218.576,4134.606,4412.273,4191.788,4557.546,4424.1216,4283.485,4477.182,3800.2727,4440.0913,4235.0605,4260.818,4186.121
338775.3303050995,4235.5757,4217.5454,4137.6973,4408.667,4199.5156,4558.0605,4424.6367,4288.121,4479.758,3801.8184,4447.819,4237.636,4269.0605,4190.758
338783.2832336426,4234.5454,4217.0303,4138.2124,4407.121,4198.485,4557.546,4423.0913,4288.636,4477.182,3800.7878,4443.6973,4237.636,4269.0605,4189.2124
338791.3353443146,4237.1216,4223.7275,4139.758,4413.303,4193.8486,4557.031,4422.576,4285.031,4478.2124,3796.1516,4431.8486,4236.6064,4263.9097,4185.0913
338799.3450164795,4237.636,4224.2427,4139.2427,4416.909,4200.031,4557.031,4426.182,4283.485,4476.152,3789.4548,4429.788,4235.5757,4260.303,4185.0913
338807.22284317017,4238.667,4212.3945,4139.2427,4411.758,4203.121,4557.546,4432.879,4290.182,4467.394,3788.9397,4433.9097,4238.667,4261.3335,4188.1816
338814.31436538696,4240.2124,4207.758,4139.2427,4405.5757,4195.394,4557.546,4432.364,4295.3335,4463.273,3788.4246,4431.3335,4239.697,4265.4546,4191.273
338822.2804069519,4239.182,4214.9697,4138.727,4407.6367,4197.97,4557.031,4431.3335,4291.2124,4465.3335,3785.8486,4431.8486,4238.667,4264.9395,4188.6973
338830.2946090698,4240.7275,4226.303,4142.3335,4410.2124,4204.152,4556.515,4433.9097,4288.636,4468.94,3791.0002,4437.0005,4241.7573,4265.97,4190.242
338838.3014202118,4241.7573,4224.758,4138.727,4404.0303,4195.909,4559.0913,4426.182,4287.606,4466.8794,3788.9397,4437.0005,4241.7573,4267.515,4189.2124
338846.3463783264,4230.4243,4206.727,4126.364,4399.394,4188.6973,4554.97,4414.8486,4282.4546,4460.182,3778.1213,4432.364,4235.0605,4257.2124,4176.8486
338854.2673587799,4221.1514,4198.485,4120.6973,4401.4546,4191.788,4548.273,4414.3335,4278.3335,4459.6665,3777.091,4429.788,4225.788,4248.9697,4169.1216
338862.26058006287,4221.6665,4206.2124,4124.8184,4405.0605,4197.455,4552.9097,4416.909,4280.9097,4464.303,3778.6367,4429.788,4220.121,4253.6064,4172.2124
338870.64003944397,4223.7275,4206.727,4126.879,4403.0,4200.5454,4556.0,4419.485,4282.4546,4463.788,3778.6367,4431.3335,4225.788,4254.121,4173.758
338878.28636169434,4226.303,4205.6973,4126.364,4405.0605,4195.909,4547.2427,4425.152,4287.606,4462.2427,3780.6973,4433.394,4235.0605,4250.515,4172.7275
338885.27369499207,4226.8184,4214.9697,4126.364,4405.0605,4189.2124,4542.6064,4430.8184,4290.6973,4464.819,3778.1213,4429.788,4235.5757,4251.546,4172.7275
338893.27692985535,4222.6973,4211.364,4126.364,4395.273,4189.7275,4545.182,4429.273,4286.0605,4461.2124,3769.879,4422.576,4230.4243,4253.0913,4171.6973
338901.31187438965,4223.7275,4202.606,4126.879,4395.788,4191.788,4545.182,4424.6367,4280.9097,4452.455,3764.7275,4423.6064,4227.3335,4251.031,4170.1514
338909.3465805054,4226.303,4205.6973,4126.879,4404.546,4188.6973,4543.1216,4423.6064,4272.152,4445.758,3762.1519,4424.1216,4221.6665,4248.9697,4166.0303
338917.39296913147,4220.121,4207.242,4122.2427,4402.4854,4192.8184,4543.636,4426.6973,4264.9395,4444.2124,3760.606,4421.031,4218.0605,4246.909,4155.727
338925.43029785156,4223.2124,4208.7876,4120.6973,4404.546,4201.0605,4550.3335,4431.3335,4273.1816,4447.303,3762.1519,4424.6367,4221.1514,4247.9395,4157.273
338933.3121776581,4237.636,4218.0605,4132.5454,4419.485,4203.6367,4558.5757,4436.485,4285.031,4449.8794,3763.1821,4432.364,4226.8184,4250.515,4169.636
338941.4517879486,4239.697,4223.2124,4140.7876,4426.182,4201.576,4558.0605,4441.6367,4283.485,4448.8486,3763.1821,4433.394,4230.4243,4253.0913,4173.2427
338963.38295936584,4233.515,4221.1514,4130.485,4420.515,4199.5156,4554.97,4440.0913,4281.4243,4450.3945,3760.606,4429.788,4230.4243,4250.515,4168.606
338964.33091163635,4234.5454,4221.1514,4125.8486,4414.8486,4201.0605,4557.031,4440.0913,4286.5757,4459.6665,3760.606,4430.8184,4233.515,4253.6064,4170.667
338965.3298854828,4236.091,4217.5454,4133.061,4411.2427,4203.121,4558.0605,4447.303,4287.606,4465.3335,3768.8486,4435.97,4238.667,4260.818,4175.303
338972.9382991791,4234.5454,4217.5454,4131.0005,4411.2427,4197.455,4555.4854,4447.819,4285.5454,4465.3335,3769.879,4437.5156,4240.2124,4259.273,4173.2427
338980.33905029297,4232.485,4219.091,4124.303,4410.2124,4189.2124,4554.4546,4442.152,4284.515,4464.303,3763.1821,4433.394,4238.667,4257.2124,4171.182
338988.3499145508,4226.303,4207.758,4123.788,4397.3335,4191.273,4557.031,4441.1216,4283.485,4462.7583,3761.1213,4430.303,4237.1216,4257.7275,4172.7275
338996.29521369934,4225.273,4201.0605,4123.788,4391.6665,4194.879,4556.515,4445.2427,4286.5757,4461.7275,3765.2427,4432.364,4236.091,4255.152,4171.182
339004.31203842163,4228.364,4205.1816,4123.273,4399.394,4189.7275,4552.9097,4455.0303,4295.3335,4463.273,3762.1519,4431.8486,4234.5454,4253.6064,4168.091
339012.30001449585,4229.909,4202.606,4123.273,4401.9697,4186.6367,4551.879,4464.303,4296.364,4462.7583,3755.4546,4429.788,4233.0,4254.636,4167.5757
339020.4005241394,4233.0,4203.6367,4126.364,4399.909,4190.758,4551.879,4466.364,4287.606,4461.2124,3753.9094,4430.8184,4235.0605,4252.5757,4168.606
339027.47416496277,4237.636,4216.5156,4136.6665,4408.667,4189.7275,4550.8486,4464.819,4284.515,4461.2124,3755.4546,4431.8486,4238.667,4256.1816,4169.1216
339035.38942337036,4237.1216,4222.1816,4142.3335,4420.0,4186.121,4548.273,4463.788,4282.4546,4461.2124,3757.0002,4431.8486,4239.697,4262.364,4170.667
339057.45673179626,4236.6064,4218.576,4141.8184,4420.515,4194.879,4544.667,4463.273,4271.121,4462.7583,3757.0002,4433.394,4237.636,4260.818,4172.7275
339059.38816070557,4240.7275,4223.2124,4143.364,4418.4546,4203.121,4545.697,4461.2124,4264.9395,4460.6978,3757.0002,4433.9097,4238.667,4263.9097,4173.758
339063.53187561035,4238.152,4225.788,4144.909,4418.9697,4195.909,4547.7573,4461.7275,4267.0,4455.0303,3759.0608,4437.0005,4237.636,4267.0,4173.2427
339067.4407482147,4238.667,4220.6367,4142.3335,4418.9697,4193.3335,4545.697,4467.909,4269.0605,4456.576,3761.6362,4444.727,4236.091,4266.485,4175.303
339075.4008293152,4249.4854,4221.1514,4142.848,4418.9697,4199.0,4551.364,4476.667,4275.242,4462.7583,3766.273,4450.909,4244.8486,4269.0605,4184.576
339083.25695991516,4254.121,4224.2427,4143.879,4418.9697,4197.455,4559.6064,4484.394,4284.515,4465.3335,3769.3638,4449.8794,4252.5757,4271.121,4191.273
339091.29524230957,4243.818,4220.6367,4141.8184,4415.364,4192.8184,4551.879,4493.667,4290.6973,4465.3335,3767.3032,4446.273,4243.818,4269.0605,4184.576
339098.3111858368,4235.5757,4217.0303,4139.758,4414.8486,4192.3027,4543.636,4500.364,4295.8486,4465.8486,3760.606,4440.606,4234.5454,4268.546,4175.8184
339106.3139438629,4237.1216,4216.5156,4136.152,4418.4546,4193.3335,4545.697,4497.788,4294.303,4464.819,3760.091,4433.9097,4236.091,4265.4546,4173.2427
339114.2899990082,4235.5757,4217.0303,4128.9395,4417.9395,4196.9395,4545.697,4496.242,4286.5757,4460.182,3757.5151,4431.8486,4235.0605,4255.667,4171.6973
339122.33448028564,4233.515,4218.0605,4128.9395,4421.031,4201.576,4542.6064,4497.788,4281.4243,4452.455,3750.8186,4433.9097,4232.485,4250.515,4170.667
339130.37967681885,4234.0303,4216.5156,4135.6367,4429.273,4203.6367,4544.667,4494.1816,4272.152,4447.819,3751.8489,4433.9097,4234.5454,4253.0913,4171.182
339138.3957862854,4234.0303,4216.0,4132.5454,4427.7275,4205.6973,4545.697,4492.6367,4265.4546,4452.455,3754.9397,4431.8486,4234.0303,4253.6064,4169.636
339146.3348865509,4233.515,4220.6367,4126.364,4425.667,4205.6973,4543.636,4497.788,4275.242,4458.1216,3757.0002,4432.879,4233.0,4251.546,4169.636
339162.47177124023,4235.0605,4220.121,4131.0005,4432.364,4203.6367,4544.667,4497.788,4286.5757,4462.2427,3762.1519,4437.0005,4235.5757,4257.2124,4172.2124
339163.36846351624,4234.5454,4218.576,4134.606,4433.394,4204.152,4544.667,4497.788,4287.0913,4465.8486,3766.273,4437.0005,4236.091,4263.9097,4174.273
339169.3727970123,4235.0605,4223.2124,4129.4546,4425.667,4206.2124,4543.1216,4505.5156,4286.5757,4462.7583,3763.6973,4434.4243,4237.636,4259.788,4175.303
339177.3273944855,4236.091,4216.5156,4125.3335,4419.485,4204.6665,4543.1216,4511.6973,4287.0913,4452.9697,3753.9094,4431.3335,4231.9697,4251.546,4171.6973
339185.39476394653,4234.0303,4203.6367,4124.303,4414.3335,4202.0913,4543.1216,4510.152,4282.97,4444.727,3743.6062,4430.303,4221.1514,4250.0,4165.515
339200.475692749,4231.9697,4206.2124,4123.273,4409.6973,4201.576,4543.1216,4512.2124,4281.4243,4445.758,3742.576,4432.364,4224.758,4252.0605,4167.5757
339206.26974105835,4233.515,4210.8486,4125.8486,4408.667,4201.576,4545.182,4515.8184,4283.485,4450.909,3751.8489,4432.879,4237.1216,4253.0913,4175.303
339209.29050445557,4234.0303,4208.7876,4127.394,4411.758,4200.5454,4544.667,4513.758,4283.485,4452.9697,3757.0002,4437.5156,4236.091,4258.7573,4175.8184
339217.3008918762,4234.0303,4216.5156,4126.879,4416.394,4200.5454,4543.636,4510.152,4281.4243,4452.455,3756.4849,4444.727,4230.9395,4259.788,4172.2124
339225.2297401428,4236.091,4223.2124,4128.9395,4417.9395,4202.606,4544.152,4512.2124,4282.97,4456.576,3758.0305,4440.606,4235.0605,4255.152,4172.2124
339236.3076210022,4236.091,4218.0605,4129.9697,4415.364,4201.0605,4545.182,4510.152,4281.4243,4460.6978,3760.091,4432.879,4231.9697,4253.0913,4172.7275
339244.46272850037,4234.0303,4216.0,4126.879,4413.303,4197.455,4543.636,4500.879,4270.6064,4452.9697,3752.8792,4431.3335,4221.1514,4251.031,4170.1514
339248.3232021332,4236.091,4220.121,4128.9395,4414.3335,4200.031,4543.636,4499.849,4266.485,4448.8486,3748.2424,4432.364,4219.606,4251.031,4169.1216
339261.25979423523,4238.667,4220.6367,4132.5454,4416.394,4203.121,4546.2124,4508.0913,4277.303,4458.1216,3753.394,4432.364,4221.6665,4251.546,4170.667
339272.30429649353,4235.0605,4221.6665,4127.909,4414.8486,4196.9395,4545.182,4511.6973,4282.4546,4459.6665,3752.3638,4428.758,4219.606,4249.4854,4165.0005
339273.26941490173,4232.485,4216.5156,4123.273,4410.7275,4188.6973,4542.6064,4510.152,4275.758,4447.303,3744.1213,4418.9697,4217.0303,4245.364,4158.303
339280.2383899689,4235.0605,4207.242,4125.3335,4409.6973,4187.152,4542.0913,4512.2124,4275.758,4447.303,3744.6365,4421.546,4218.0605,4246.909,4165.515
339288.2912158966,4237.636,4208.273,4128.9395,4410.2124,4192.3027,4543.1216,4515.303,4281.4243,4459.6665,3753.9094,4432.879,4225.788,4258.2427,4176.3335
339296.22769355774,4237.1216,4211.879,4132.031,4409.6973,4197.455,4543.636,4514.788,4282.4546,4464.819,3761.6362,4433.9097,4233.515,4267.0,4175.8184
339304.2347431183,4234.0303,4203.121,4131.5156,4407.121,4196.424,4544.152,4513.2427,4282.97,4462.2427,3760.091,4430.8184,4228.364,4264.4243,4174.273
339320.280790329,4233.515,4206.727,4127.394,4405.5757,4191.788,4542.6064,4512.727,4285.031,4462.7583,3754.9397,4432.879,4220.121,4260.818,4176.8486
339321.2287425995,4235.0605,4217.5454,4126.879,4404.0303,4188.6973,4540.546,4513.758,4286.0605,4465.8486,3755.97,4433.394,4222.1816,4263.394,4175.8184
339327.3923397064,4236.091,4207.758,4127.909,4402.4854,4189.2124,4542.0913,4513.2427,4284.515,4463.788,3754.4243,4432.364,4222.6973,4257.7275,4171.6973
339354.4166088104,4233.515,4196.9395,4124.303,4401.9697,4190.758,4544.667,4513.2427,4285.031,4460.182,3745.1516,4431.3335,4219.606,4250.0,4170.1514
339355.2956581116,4225.788,4202.606,4119.152,4399.394,4193.3335,4544.152,4515.8184,4284.0,4460.6978,3738.4548,4422.061,4216.0,4250.515,4166.0303
339357.2974205017,4224.2427,4205.6973,4118.6367,4398.3643,4191.273,4542.6064,4513.758,4282.4546,4459.6665,3739.485,4413.303,4211.364,4250.515,4159.3335
339368.41225624084,4233.515,4203.121,4120.6973,4399.909,4188.1816,4542.0913,4512.727,4282.4546,4458.6367,3743.6062,4420.0,4212.909,4249.4854,4161.394
339376.4216899872,4238.667,4206.727,4124.8184,4406.6064,4194.3633,4542.6064,4520.9697,4285.031,4462.2427,3746.697,4431.3335,4221.6665,4253.0913,4170.667
339377.5227069855,4234.5454,4210.334,4128.9395,4416.394,4197.97,4543.1216,4530.2427,4293.788,4465.3335,3749.273,4432.364,4223.2124,4261.3335,4173.2427
339395.4827785492,4236.091,4209.3027,4129.9697,4418.4546,4192.8184,4543.1216,4527.667,4299.9697,4465.3335,3754.4243,4433.9097,4222.6973,4268.546,4174.788
339396.57831192017,4234.0303,4205.1816,4126.364,4409.6973,4187.667,4541.061,4516.8486,4292.2427,4459.1514,3751.8489,4428.758,4223.2124,4260.818,4172.7275
339399.40643310547,4222.1816,4202.0913,4121.7275,4401.4546,4188.6973,4538.485,4510.152,4276.788,4448.334,3736.3943,4414.3335,4212.909,4241.2427,4160.8794
339407.2422981262,4220.121,4203.6367,4123.788,4402.4854,4188.1816,4539.515,4511.1816,4276.273,4443.6973,3732.7878,4411.758,4202.606,4234.0303,4153.1514
339414.23511505127,4224.758,4204.6665,4123.788,4405.5757,4188.6973,4541.061,4513.2427,4282.4546,4449.364,3740.5154,4417.9395,4204.6665,4241.2427,4156.758
339422.28388786316,4220.6367,4202.606,4117.091,4407.6367,4191.273,4541.061,4511.1816,4274.7275,4450.3945,3735.8792,4415.364,4206.2124,4239.697,4155.212
339435.289144516,4222.1816,4202.606,4116.5757,4411.758,4190.758,4541.061,4510.6665,4271.121,4445.2427,3728.6667,4412.788,4201.576,4233.0,4152.6367
339438.25793266296,4233.515,4208.7876,4125.3335,4415.364,4190.758,4542.6064,4510.6665,4280.394,4447.303,3734.8484,4415.879,4203.6367,4240.2124,4156.758
339446.2993144989,4239.182,4220.6367,4132.031,4417.4243,4191.273,4544.152,4513.2427,4287.0913,4456.061,3742.576,4422.061,4212.3945,4251.546,4160.364
339454.27417755127,4238.667,4223.2124,4134.606,4415.879,4193.3335,4545.697,4522.5156,4291.2124,4461.7275,3745.6667,4424.6367,4217.0303,4251.546,4163.4546
339466.3236141205,4239.182,4210.8486,4132.5454,4411.758,4192.8184,4545.697,4529.2124,4297.394,4461.7275,3747.7273,4420.0,4219.091,4248.9697,4170.1514
339477.3437976837,4238.152,4200.031,4129.4546,4407.6367,4190.758,4543.1216,4525.091,4298.4243,4460.182,3745.1516,4418.9697,4219.091,4249.4854,4171.182
339479.29215431213,4238.152,4208.7876,4134.0913,4409.182,4196.9395,4543.636,4525.091,4304.6064,4462.2427,3749.273,4430.8184,4219.606,4253.6064,4170.1514
339486.2983226776,4240.2124,4219.606,4137.6973,4410.7275,4201.576,4545.697,4527.667,4314.909,4466.364,3755.97,4434.4243,4219.606,4256.697,4173.2427
339512.35246658325,4237.1216,4212.3945,4127.394,4406.6064,4198.485,4545.182,4519.4243,4308.212,4462.2427,3752.3638,4422.061,4217.0303,4254.636,4172.2124
