Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
81063.06982040405,4263.9097,4211.364,4155.727,4415.879,4222.1816,4515.303,4359.727,4240.2124,4476.152,3718.3638,4417.4243,4227.3335,4244.3335,4122.2427
81071.1669921875,4268.031,4219.091,4156.758,4418.4546,4228.879,4517.364,4362.303,4249.4854,4478.7275,3728.1519,4423.6064,4237.1216,4253.0913,4132.031
81078.9794921875,4274.2124,4220.121,4156.2427,4417.9395,4224.758,4515.8184,4365.9087,4259.273,4480.788,3732.7878,4425.667,4234.5454,4253.6064,4138.2124
81088.67621421814,4279.364,4216.5156,4158.303,4413.8184,4219.091,4512.2124,4365.394,4257.7275,4481.303,3726.6062,4422.576,4233.0,4252.0605,4138.727
81094.97308731079,4280.394,4217.0303,4159.8486,4411.2427,4227.8486,4517.364,4364.879,4255.667,4480.788,3726.6062,4425.667,4237.636,4255.152,4138.727
81103.44791412354,4280.9097,4218.576,4158.819,4415.879,4232.485,4523.0303,4368.485,4263.394,4479.2427,3731.7576,4429.273,4238.152,4254.121,4140.273
81110.97526550293,4282.4546,4217.0303,4157.273,4418.9697,4227.8486,4521.485,4371.576,4267.515,4482.8486,3731.2427,4427.2124,4236.091,4253.6064,4139.2427
81119.1463470459,4284.0,4220.6367,4164.485,4420.0,4232.485,4523.5454,4374.6665,4267.515,4490.576,3734.3335,4430.8184,4246.394,4264.9395,4141.8184
81126.03712081909,4285.031,4225.273,4173.758,4426.6973,4238.152,4529.2124,4377.2427,4270.0913,4492.121,3737.4246,4438.031,4254.121,4270.6064,4146.455
81133.99696350098,4285.031,4223.2124,4168.606,4426.6973,4235.5757,4523.5454,4374.6665,4271.636,4485.4243,3731.7576,4431.8486,4242.788,4258.2427,4142.3335
81142.04049110413,4280.9097,4219.606,4158.303,4423.6064,4230.9395,4517.364,4371.576,4269.5757,4486.4546,3728.6667,4424.6367,4235.0605,4254.636,4137.6973
81149.95574951172,4274.7275,4220.6367,4156.2427,4424.1216,4233.515,4520.9697,4372.091,4270.6064,4492.121,3734.8484,4432.364,4243.303,4263.9097,4140.273
81158.06818008423,4268.546,4220.6367,4158.819,4423.0913,4234.5454,4518.3945,4373.6367,4269.5757,4490.576,3736.3943,4438.031,4244.3335,4261.3335,4138.727
81166.4047241211,4265.97,4217.5454,4157.788,4420.515,4228.879,4510.6665,4373.6367,4266.485,4483.879,3730.2124,4428.758,4235.0605,4251.546,4129.9697
81174.03769493103,4268.031,4219.091,4154.6973,4419.485,4224.758,4511.1816,4373.6367,4265.97,4481.8184,3727.1216,4421.031,4233.515,4251.546,4125.3335
81182.0616722107,4268.031,4216.0,4153.6665,4417.9395,4228.879,4518.3945,4377.2427,4271.636,4485.4243,3728.1519,4426.182,4233.0,4253.0913,4126.879
81196.28548622131,4265.97,4210.8486,4156.758,4417.9395,4236.6064,4519.9395,4380.848,4284.0,4490.0605,3730.2124,4430.8184,4224.758,4254.636,4127.394
81210.55364608765,4263.394,4210.334,4151.606,4418.4546,4233.0,4514.788,4377.2427,4286.0605,4491.0913,3728.6667,4425.152,4219.091,4252.0605,4123.788
81210.83045005798,4263.394,4210.8486,4144.909,4416.909,4224.758,4513.2427,4370.0303,4275.242,4484.394,3726.0913,4421.031,4218.0605,4243.818,4121.2124
81214.01572227478,4264.4243,4210.8486,4149.0303,4414.3335,4227.8486,4514.788,4367.4546,4265.4546,4478.2124,3725.061,4421.031,4214.9697,4242.273,4118.6367
81236.39416694641,4264.9395,4210.8486,4151.091,4416.909,4234.5454,4514.788,4366.4243,4266.485,4478.2124,3722.485,4419.485,4216.0,4243.818,4116.5757
81237.08271980286,4264.4243,4206.2124,4144.3945,4418.9697,4236.091,4514.788,4363.848,4265.97,4478.2124,3720.9395,4420.0,4218.0605,4243.303,4120.182
81238.0883693695,4263.394,4202.606,4141.303,4413.303,4232.485,4514.2734,4358.182,4256.697,4476.667,3725.061,4421.546,4210.334,4247.4243,4124.303
81245.76830863953,4262.364,4205.1816,4147.485,4409.6973,4231.4546,4509.6367,4354.5757,4252.5757,4474.0913,3729.1821,4420.515,4206.2124,4252.0605,4123.273
81260.02264022827,4264.9395,4207.758,4153.6665,4416.394,4233.0,4510.152,4358.182,4264.4243,4479.2427,3730.2124,4421.546,4215.485,4250.0,4123.273
81261.44289970398,4269.0605,4211.364,4156.758,4419.485,4233.0,4513.2427,4364.364,4278.849,4490.0605,3733.818,4425.667,4219.091,4250.0,4127.394
81273.01359176636,4270.0913,4216.5156,4156.758,4416.909,4233.515,4512.2124,4368.485,4285.031,4497.788,3737.4246,4427.2124,4217.0303,4253.0913,4128.9395
81275.96640586853,4268.031,4215.485,4154.6973,4418.4546,4234.0303,4511.6973,4364.879,4286.0605,4498.3027,3735.8792,4424.6367,4220.6367,4253.6064,4127.394
81289.01195526123,4267.0,4211.879,4154.182,4420.0,4234.5454,4512.727,4358.182,4279.879,4490.576,3731.2427,4422.061,4215.485,4252.5757,4125.3335
81292.00744628906,4268.546,4213.9395,4154.6973,4418.4546,4235.0605,4510.6665,4358.6973,4269.0605,4479.2427,3728.6667,4419.485,4208.7876,4251.031,4123.273
81299.99709129333,4268.546,4217.0303,4154.6973,4415.879,4234.5454,4508.0913,4356.1216,4264.9395,4474.0913,3729.1821,4417.4243,4214.9697,4251.031,4123.273
81308.03632736206,4268.031,4217.5454,4156.2427,4418.4546,4233.0,4508.606,4346.3335,4265.4546,4476.667,3729.697,4421.546,4221.6665,4254.121,4124.8184
81316.24984741211,4276.273,4222.6973,4166.5454,4428.2427,4235.0605,4510.152,4350.4546,4266.485,4477.182,3734.3335,4433.9097,4225.788,4261.3335,4133.061
