Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
480579.0886878967,4271.636,4204.6665,4139.758,4393.727,4252.0605,4542.0913,4357.6665,4275.242,4468.4243,3742.576,4412.273,4207.758,4251.031,4099.5757
480588.0823135376,4275.758,4205.1816,4141.303,4394.2427,4253.0913,4544.152,4357.6665,4277.303,4473.576,3748.758,4417.4243,4212.3945,4252.0605,4104.212
480595.1874256134,4280.9097,4205.1816,4143.364,4393.212,4251.546,4542.6064,4355.606,4276.273,4473.576,3751.8489,4421.031,4216.5156,4253.6064,4109.364
480603.75022888184,4281.9395,4204.6665,4144.909,4390.636,4250.0,4541.5757,4356.6367,4276.273,4469.9697,3748.758,4417.9395,4217.0303,4258.2427,4110.394
480611.0351085663,4282.4546,4203.6367,4142.848,4385.485,4251.031,4543.1216,4362.8184,4283.485,4471.0005,3746.182,4414.8486,4217.5454,4255.667,4110.394
480619.12989616394,4283.485,4202.0913,4141.303,4382.394,4252.0605,4547.2427,4369.0005,4290.182,4473.576,3747.2122,4414.8486,4214.9697,4252.5757,4109.364
480627.0399093628,4277.8184,4202.0913,4141.8184,4383.4243,4251.031,4547.2427,4367.4546,4287.606,4472.5454,3745.6667,4414.8486,4207.758,4254.636,4104.212
480634.0489387512,4270.0913,4198.485,4138.727,4381.364,4250.0,4543.636,4362.303,4284.0,4473.061,3742.576,4410.2124,4203.6367,4249.4854,4100.091
480642.058134079,4268.546,4196.9395,4135.1216,4378.2725,4251.031,4549.303,4364.879,4284.515,4476.152,3745.1516,4408.152,4204.152,4245.364,4100.091
480650.0668525696,4271.121,4199.0,4131.5156,4375.182,4253.6064,4554.4546,4366.9395,4284.515,4476.152,3747.2122,4408.667,4202.606,4245.879,4097.515
480658.03241729736,4265.4546,4194.879,4122.2427,4368.485,4253.6064,4551.364,4359.2124,4283.485,4473.061,3743.091,4406.6064,4201.576,4243.303,4095.4546
480666.63694381714,4258.2427,4186.6367,4117.6064,4363.848,4249.4854,4548.788,4350.9697,4280.394,4471.515,3739.485,4403.515,4201.576,4240.2124,4095.4546
480674.08299446106,4260.818,4185.6064,4121.2124,4363.3335,4249.4854,4547.2427,4352.0,4282.97,4471.515,3740.5154,4400.9395,4197.455,4240.2124,4094.9397
480682.115316391,4265.97,4192.8184,4124.303,4361.7876,4248.9697,4541.061,4355.606,4287.606,4474.6064,3741.0305,4400.425,4195.909,4241.2427,4095.4546
480689.0776157379,4269.5757,4193.8486,4123.788,4367.9697,4244.8486,4540.031,4358.182,4289.667,4478.2124,3742.576,4403.0,4204.152,4241.2427,4100.6064
480697.2517967224,4269.0605,4190.758,4125.8486,4372.091,4243.818,4543.1216,4362.8184,4290.6973,4477.6973,3744.1213,4404.0303,4207.242,4244.3335,4106.273
480705.0940990448,4267.0,4188.6973,4125.8486,4363.848,4243.303,4538.485,4365.9087,4293.788,4478.2124,3744.6365,4404.546,4204.152,4249.4854,4104.212
480713.09328079224,4267.0,4187.667,4124.303,4359.2124,4242.788,4535.394,4365.394,4295.3335,4480.273,3746.697,4407.121,4204.6665,4253.0913,4103.697
480721.2653160095,4268.546,4189.7275,4127.909,4365.394,4248.4546,4542.6064,4368.485,4295.3335,4481.8184,3747.2122,4406.6064,4206.2124,4251.031,4107.8184
480729.03847694397,4268.031,4189.2124,4127.909,4362.8184,4252.0605,4544.667,4370.5454,4297.909,4481.303,3744.1213,4399.394,4203.121,4245.364,4103.1816
480737.56980895996,4265.97,4186.121,4122.758,4355.606,4245.364,4541.5757,4367.4546,4296.879,4481.8184,3744.6365,4398.879,4200.5454,4247.4243,4098.546
480745.08357048035,4266.485,4186.6367,4120.182,4357.152,4242.273,4542.6064,4363.3335,4294.8184,4482.3335,3746.697,4406.091,4203.121,4252.0605,4106.788
480753.4589767456,4265.4546,4184.576,4117.091,4358.6973,4245.364,4540.031,4362.8184,4292.758,4483.879,3746.182,4409.182,4204.152,4250.0,4110.394
480760.07294654846,4259.273,4178.909,4111.4243,4354.5757,4244.8486,4536.4243,4364.364,4287.0913,4484.394,3746.182,4403.0,4194.3633,4245.364,4098.0303
480768.1736946106,4253.0913,4177.364,4106.273,4350.9697,4245.364,4540.031,4367.4546,4282.97,4481.303,3744.1213,4396.3037,4185.6064,4240.7275,4090.303
480777.20069885254,4251.031,4176.8486,4102.1514,4349.4243,4250.515,4546.7275,4369.0005,4286.0605,4484.394,3743.091,4395.788,4186.121,4240.7275,4092.364
