Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
58163,-9824.110123189052,-9827.376666301501,-9824.95240020059,-9827.882640471476,-9827.161608136857,-9828.971752455178,-9833.320536184547,-111691.64774350388,-20953.725982628297,-8013.180291959673,28552.50009065501,-7951.217778988935,-7971.797632028671,-83161.79225073126,332188.2498471089,-7906.607814572794
58164,-30135.76672200832,-30149.21102812888,-30136.560700619502,-30152.743576797668,-30146.384472315716,-30154.500474954708,-30168.144645473854,-349030.5922431534,-29494.61315624219,-8293.249425465623,108683.29488009456,-8218.877095847936,-8225.980298263228,-81181.2681665442,980324.4633635152,-8082.7509763371545
58165,-41183.1795266997,-41201.36670185556,-41183.164681086855,-41206.85085726384,-41197.63970752369,-41208.78065433129,-41227.507683694275,-479162.11109656014,-44079.56464918352,-12185.090873738307,146164.7346959519,-12069.34274438957,-12082.455301692242,-120110.03816483132,1342741.146422693,-11884.434094803875
58166,-40319.43101248694,-40335.70240223339,-40317.73906990871,-40341.526840671024,-40332.77459937458,-40343.23817447519,-40361.35830269722,-469797.46741378575,-51979.458284035245,-14856.172778259734,138291.62082123238,-14712.127422820111,-14736.448538362929,-148855.74705367972,1320966.288454286,-14532.666481724995
58167,-35025.31433674529,-35037.571359579364,-35021.679098464214,-35042.76131724975,-35035.569386971925,-35044.40731001072,-35059.714781382296,-407112.59772980073,-43682.55546418092,-11975.14162112866,121834.32435746449,-11855.49475794569,-11875.20956099102,-119239.28038390559,1142231.1858211886,-11701.030301643274
58168,-34079.21084909377,-34090.63589954621,-34074.28677228026,-34095.31143501652,-34088.835968995874,-34097.37729321733,-34112.236206175825,-395089.8186552455,-34103.31237842467,-8650.274137751148,123380.2956039647,-8564.02076911968,-8573.208002453244,-83802.92970659974,1101830.6714016797,-8413.754795551522
58169,-36318.29540542184,-36331.822498485744,-36313.038371761446,-36335.96724872109,-36330.327049426065,-36338.80237131992,-36355.41771781209,-421742.5594911782,-38913.331110434716,-10651.838997435168,128867.14687015793,-10552.50225621067,-10566.13467667266,-104576.5423849778,1178043.9505533348,-10390.892762102718
58170,-35457.251275176226,-35472.07756607712,-35452.19821607707,-35474.81232272829,-35471.57558647542,-35478.44327182467,-35495.78014562014,-412494.8757329737,-47318.92151900281,-13930.51008139288,119958.39837333426,-13802.235723971162,-13827.392538301516,-139734.85272702976,1158163.9199250147,-13643.336789920435
58171,-32375.152975875342,-32389.689578705173,-32370.73619599972,-32390.990574990625,-32390.1615421751,-32395.057751669417,-32411.750733442863,-375853.88583956263,-42645.46939542628,-12193.216450705775,110585.95030320786,-12078.016238184202,-12099.692681326946,-121709.2846715994,1053656.506252715,-11932.979844153087
58172,-32765.705645100483,-32780.23625391576,-32762.359023836834,-32782.1033877962,-32781.12269594201,-32785.88523009419,-32802.85500924893,-379198.63306669047,-33082.41595682615,-8571.296511757757,118269.22153538775,-8488.9889804046,-8497.596772019217,-82643.67102742493,1055641.0335248187,-8342.802438684523
58173,-35589.21680212648,-35603.67888596136,-35586.714368732006,-35607.76421073611,-35604.85453212355,-35610.591586688795,-35628.68685494305,-412215.7145315999,-35836.70415512603,-9690.226189788613,127767.81492930569,-9601.113517910275,-9610.630685921456,-93723.00935672919,1147898.630834534,-9442.581521261085
58174,-34797.62533656924,-34810.02719115928,-34795.25050979918,-34815.394447396306,-34811.60341730226,-34817.122650263686,-34835.031163708736,-403635.15217193915,-44911.926329515714,-13295.534579950367,118533.13404985363,-13174.63370072819,-13197.192358794862,-132302.48323158664,1129993.3352582864,-13019.922762170525
