Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
657024.2803096771,4227.8486,4155.212,4087.7275,4348.909,4221.6665,4537.4546,4304.6064,4252.5757,4479.758,3721.9697,4414.8486,4155.212,4222.6973,4080.5154
657032.3007106781,4218.576,4152.1216,4086.697,4342.7275,4219.091,4535.909,4304.091,4252.0605,4480.273,3721.4546,4414.3335,4155.212,4221.6665,4076.9092
657040.9343242645,4218.0605,4150.576,4087.212,4344.273,4216.0,4534.364,4309.2427,4255.152,4479.2427,3719.9092,4414.3335,4153.1514,4227.3335,4077.9392
657048.2807159424,4220.121,4152.1216,4087.7275,4345.8184,4220.121,4539.0,4306.667,4254.121,4480.788,3720.4243,4415.364,4153.6665,4227.3335,4077.9392
657055.3472042084,4219.091,4154.182,4089.2725,4344.788,4221.6665,4539.0,4301.515,4250.0,4482.3335,3719.9092,4414.3335,4155.212,4220.121,4072.2727
657063.4236335754,4219.091,4154.182,4089.788,4346.3335,4219.091,4534.364,4301.515,4247.9395,4478.7275,3717.8486,4413.303,4153.6665,4219.091,4071.2427
657071.3067054749,4220.6367,4155.212,4089.788,4354.5757,4220.6367,4537.4546,4299.4546,4245.364,4478.7275,3721.4546,4420.515,4158.303,4228.364,4080.0002
657079.2829990387,4224.758,4162.94,4090.303,4361.273,4223.7275,4542.0913,4296.364,4245.879,4487.4854,3730.7273,4431.8486,4168.606,4237.1216,4090.303
657087.2933864594,4231.9697,4169.1216,4093.394,4363.848,4224.2427,4539.0,4297.394,4249.4854,4495.2124,3732.273,4433.9097,4174.273,4238.667,4091.8486
657095.2906608582,4234.5454,4171.182,4098.0303,4370.0303,4223.7275,4539.0,4297.394,4251.546,4492.6367,3728.6667,4431.3335,4172.2124,4235.0605,4090.818
657103.3511161804,4235.0605,4170.667,4103.697,4373.1216,4221.6665,4542.0913,4296.364,4252.5757,4485.4243,3726.6062,4432.364,4171.182,4236.091,4096.4854
657111.5257740021,4238.152,4163.4546,4104.212,4370.0303,4220.6367,4540.546,4299.4546,4254.121,4481.8184,3720.9395,4431.3335,4174.273,4236.6064,4100.6064
657119.4634437561,4240.7275,4162.94,4103.1816,4370.5454,4221.6665,4538.485,4301.515,4253.0913,4481.303,3715.273,4425.152,4173.2427,4235.5757,4098.0303
657126.3928413391,4239.697,4167.5757,4104.212,4369.0005,4220.121,4536.4243,4299.4546,4251.031,4481.303,3713.2124,4423.0913,4169.1216,4235.0605,4093.9092
657134.3817710876,4236.6064,4162.94,4104.7275,4361.7876,4218.576,4534.879,4298.4243,4250.515,4482.3335,3711.667,4426.6973,4169.1216,4231.9697,4093.9092
657142.739534378,4234.0303,4155.212,4105.758,4359.2124,4221.1514,4537.9697,4301.0,4250.0,4482.3335,3711.667,4424.6367,4172.2124,4230.9395,4094.9397
657151.6525745392,4235.0605,4155.727,4102.667,4358.182,4221.1514,4537.9697,4300.485,4250.515,4480.273,3714.7578,4420.0,4172.7275,4233.0,4093.394
657158.5185527802,4236.6064,4162.4243,4102.667,4360.2427,4219.091,4533.3335,4298.4243,4248.9697,4478.7275,3716.3032,4426.182,4173.758,4235.5757,4093.9092
657166.5725708008,4237.1216,4169.1216,4108.8486,4371.061,4218.576,4531.273,4298.4243,4247.4243,4479.2427,3714.2427,4433.9097,4174.788,4236.091,4098.546
657174.4945049286,4237.1216,4174.273,4110.909,4378.7876,4220.121,4532.303,4298.9395,4249.4854,4479.758,3714.7578,4431.3335,4172.7275,4237.636,4098.0303
657182.3892593384,4236.6064,4169.636,4102.1514,4373.6367,4219.606,4531.788,4297.394,4251.031,4480.273,3716.3032,4429.788,4170.667,4237.1216,4093.9092
657189.4245147705,4233.0,4161.909,4094.4246,4366.4243,4216.5156,4529.7275,4295.3335,4250.0,4478.2124,3711.667,4426.182,4172.2124,4229.394,4091.8486
657197.336435318,4224.758,4158.303,4093.394,4363.848,4217.0303,4528.6973,4293.788,4248.9697,4476.152,3707.0303,4416.909,4169.1216,4220.121,4087.7275
657205.4400444031,4219.606,4156.2427,4091.8486,4361.273,4220.6367,4527.667,4288.121,4248.9697,4477.6973,3710.1216,4414.3335,4160.364,4217.5454,4083.6064
657214.3847942352,4221.1514,4159.3335,4090.818,4360.758,4220.6367,4531.273,4284.515,4250.0,4478.7275,3716.3032,4418.9697,4161.394,4224.2427,4087.212
657221.5151786804,4221.6665,4163.9697,4091.3335,4360.2427,4218.0605,4540.546,4289.667,4252.5757,4480.273,3723.5154,4424.6367,4172.2124,4231.9697,4093.394
657229.4144630432,4219.606,4160.364,4089.788,4355.0913,4217.5454,4542.0913,4295.8486,4253.6064,4484.909,3724.5457,4426.182,4173.2427,4235.0605,4092.8792
657237.3311519623,4223.2124,4153.6665,4092.364,4353.5454,4217.5454,4540.546,4296.879,4254.636,4484.909,3723.0005,4424.6367,4168.091,4233.515,4093.9092
657245.258808136,4230.9395,4161.909,4097.0,4358.182,4217.5454,4540.031,4298.4243,4260.818,4483.364,3726.6062,4426.6973,4174.788,4237.1216,4103.1816
657253.2482147217,4239.182,4171.6973,4104.212,4365.394,4219.091,4539.515,4301.0,4266.485,4487.4854,3733.818,4435.97,4186.6367,4248.9697,4112.4546
657260.3874206543,4248.9697,4172.7275,4115.546,4372.606,4220.6367,4539.515,4301.515,4269.5757,4489.546,3739.485,4440.0913,4190.242,4254.636,4118.1216
657268.33319664,4254.636,4180.9697,4121.2124,4375.182,4219.606,4537.4546,4299.4546,4264.9395,4481.303,3735.8792,4435.97,4190.242,4251.546,4119.667
657281.3730239868,4254.636,4188.1816,4119.152,4378.2725,4221.1514,4534.364,4296.879,4255.152,4477.6973,3729.697,4432.879,4188.6973,4247.4243,4117.6064
657285.3028774261,4255.152,4188.6973,4122.758,4387.0303,4229.909,4537.9697,4299.9697,4256.697,4485.9395,3732.7878,4438.031,4190.242,4251.031,4117.6064
657302.9990196228,4257.2124,4190.758,4126.879,4389.606,4236.091,4543.1216,4297.909,4261.8486,4488.0,3735.8792,4438.031,4190.758,4251.546,4116.0605
657309.0851306915,4250.0,4184.576,4114.0,4378.2725,4234.0303,4540.546,4288.121,4254.636,4477.6973,3725.061,4426.182,4182.515,4239.697,4106.273
657309.201002121,4239.182,4172.7275,4103.1816,4371.061,4233.515,4541.061,4286.5757,4247.9395,4475.1216,3719.394,4422.061,4172.7275,4231.4546,4098.546
657316.766500473,4235.0605,4171.6973,4103.697,4371.061,4234.5454,4543.1216,4290.6973,4254.121,4482.8486,3727.1216,4425.152,4171.6973,4234.5454,4098.546
657324.3496417999,4235.5757,4174.273,4100.6064,4369.0005,4231.4546,4539.515,4289.152,4260.818,4481.8184,3730.2124,4423.0913,4171.182,4235.5757,4093.9092
657331.2747478485,4236.6064,4170.667,4101.636,4370.5454,4231.4546,4539.515,4290.182,4263.394,4482.8486,3733.3032,4425.667,4169.1216,4231.9697,4094.4246
657341.0315513611,4237.1216,4171.182,4110.909,4377.2427,4236.6064,4542.6064,4295.3335,4268.031,4495.2124,3743.091,4434.94,4173.758,4236.6064,4104.7275
657350.8791923523,4237.1216,4173.2427,4111.9395,4378.2725,4235.5757,4541.5757,4294.303,4269.5757,4494.1816,3743.091,4435.455,4174.788,4240.7275,4105.758
657355.3559780121,4236.6064,4170.667,4107.303,4376.212,4231.9697,4539.515,4292.758,4265.97,4480.788,3730.7273,4426.6973,4168.091,4231.9697,4095.9697
657363.3046150208,4236.6064,4171.6973,4108.3335,4378.2725,4230.4243,4537.9697,4295.3335,4263.394,4476.667,3724.0308,4419.485,4167.061,4224.2427,4090.818
657371.2511062622,4235.5757,4172.7275,4109.879,4377.758,4231.9697,4538.485,4296.879,4266.485,4480.788,3726.0913,4422.061,4171.6973,4228.364,4092.364
657379.2335987091,4235.5757,4170.1514,4112.9697,4376.212,4231.4546,4542.6064,4299.4546,4269.0605,4479.758,3725.061,4429.273,4172.2124,4235.5757,4096.4854
657387.293100357,4236.6064,4170.1514,4118.1216,4381.364,4225.273,4537.9697,4298.9395,4266.485,4476.667,3724.5457,4430.8184,4172.7275,4236.6064,4103.1816
657395.2615261078,4237.1216,4173.2427,4118.6367,4386.515,4225.788,4533.3335,4294.303,4265.4546,4477.6973,3727.1216,4430.8184,4179.9395,4235.5757,4105.758
