Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1324619.4832324982,4281.4243,4192.8184,4200.5454,4376.727,4262.364,4555.4854,4360.758,4305.1216,4547.2427,3776.0608,4452.455,4238.152,4285.5454,4126.879
1324627.5165081024,4282.4546,4194.879,4197.455,4377.2427,4258.7573,4548.273,4352.0,4299.4546,4541.5757,3774.0,4450.909,4237.636,4286.0605,4124.303
1324628.569841385,4283.485,4194.3633,4196.424,4382.909,4263.394,4544.152,4353.0303,4299.4546,4543.1216,3771.4243,4447.819,4237.1216,4285.5454,4123.273
1324635.4401111603,4275.242,4190.242,4193.3335,4382.394,4262.364,4546.2124,4356.1216,4298.9395,4541.061,3763.6973,4440.0913,4234.0303,4280.394,4119.667
1324643.4988975525,4267.0,4187.152,4186.6367,4372.606,4253.6064,4547.2427,4358.182,4302.0303,4539.0,3760.606,4435.97,4230.9395,4274.7275,4116.0605
1324651.4859199524,4267.515,4187.667,4186.6367,4368.485,4251.546,4543.636,4363.848,4311.8184,4542.6064,3770.9092,4444.727,4235.0605,4281.9395,4122.758
1324659.4152450562,4269.0605,4187.667,4189.7275,4369.5156,4253.6064,4543.636,4365.9087,4317.4854,4546.2124,3782.2424,4454.5156,4239.182,4294.303,4128.9395
1324667.398929596,4267.0,4187.152,4188.1816,4368.485,4253.0913,4545.182,4361.273,4313.879,4546.2124,3779.667,4453.485,4236.6064,4292.2427,4126.364
1324674.4289398193,4266.485,4187.667,4188.1816,4370.5454,4252.0605,4543.636,4358.182,4312.8486,4545.697,3773.4849,4445.758,4234.0303,4284.0,4123.788
1324691.5559768677,4268.031,4188.1816,4192.3027,4376.212,4253.6064,4543.1216,4353.5454,4314.3936,4546.2124,3776.5762,4448.334,4237.1216,4286.0605,4125.8486
1324692.6267147064,4269.5757,4188.1816,4192.8184,4379.303,4254.121,4543.1216,4348.909,4310.2725,4546.7275,3781.2122,4462.2427,4240.7275,4297.394,4127.909
1324698.5275745392,4269.0605,4188.6973,4190.242,4376.212,4254.121,4542.0913,4347.364,4302.546,4546.7275,3780.6973,4463.273,4240.2124,4299.4546,4125.8486
1324706.5148353577,4263.9097,4187.667,4187.667,4374.1514,4252.5757,4540.031,4345.303,4299.4546,4545.697,3776.0608,4449.8794,4235.5757,4289.667,4120.182
1324714.5147323608,4263.394,4184.576,4188.1816,4377.2427,4251.031,4543.1216,4346.8486,4301.0,4543.636,3769.3638,4440.606,4229.909,4279.879,4112.9697
1324727.6449203491,4265.4546,4183.546,4188.6973,4375.182,4252.0605,4546.2124,4352.0,4299.4546,4541.061,3763.1821,4435.455,4222.1816,4271.636,4107.303
1324738.620042801,4262.879,4184.0605,4187.152,4367.9697,4253.0913,4544.152,4355.0913,4297.394,4539.0,3759.0608,4430.303,4219.091,4265.4546,4105.758
1324739.6311759949,4260.303,4185.6064,4186.6367,4367.9697,4252.5757,4542.0913,4354.5757,4298.4243,4538.485,3757.5151,4433.394,4225.273,4264.9395,4108.3335
1324747.4083900452,4260.818,4184.0605,4187.667,4374.6665,4252.5757,4544.152,4355.0913,4298.9395,4540.031,3758.0305,4435.455,4228.364,4268.031,4110.394
1324756.9415569305,4262.364,4180.9697,4187.152,4375.6973,4251.546,4545.697,4355.0913,4299.4546,4541.5757,3759.0608,4431.3335,4227.3335,4265.97,4108.3335
1324762.8512382507,4263.9097,4183.0303,4186.6367,4376.212,4251.031,4544.667,4353.5454,4300.485,4544.152,3764.2124,4438.5454,4231.4546,4267.515,4111.9395
1324770.4412937164,4265.97,4185.6064,4190.242,4381.8794,4252.0605,4545.182,4348.909,4298.9395,4546.7275,3771.4243,4449.8794,4238.152,4276.273,4121.7275
1324777.6761054993,4265.97,4184.576,4191.273,4387.5454,4253.6064,4546.2124,4343.758,4297.394,4545.697,3773.4849,4450.909,4242.273,4282.97,4125.3335
1324785.793542862,4265.4546,4185.0913,4191.273,4386.515,4254.121,4543.636,4341.1816,4297.394,4542.6064,3770.9092,4447.819,4247.4243,4282.4546,4124.303
1324799.3671894073,4267.0,4187.152,4195.909,4385.485,4254.121,4546.7275,4341.6973,4295.8486,4541.5757,3768.3335,4450.909,4249.4854,4280.9097,4127.909
1324801.5031814575,4267.515,4186.6367,4203.6367,4389.091,4255.152,4556.0,4347.879,4297.394,4542.0913,3767.8184,4452.9697,4247.9395,4282.4546,4129.9697
1324809.431552887,4267.0,4187.152,4204.152,4389.606,4261.8486,4559.0913,4355.606,4299.9697,4542.0913,3768.8486,4449.8794,4247.4243,4282.97,4126.364
1324841.4940834045,4265.97,4187.667,4195.909,4388.061,4267.0,4554.4546,4357.152,4298.9395,4541.5757,3767.8184,4448.334,4246.909,4281.9395,4126.879
1324843.448638916,4265.97,4184.576,4193.8486,4389.606,4264.9395,4555.4854,4358.6973,4305.1216,4547.2427,3770.394,4450.3945,4248.4546,4282.97,4128.4243
1324851.7558574677,4268.546,4186.121,4203.6367,4392.697,4267.515,4558.0605,4364.879,4315.94,4559.0913,3782.2424,4456.061,4251.031,4285.031,4128.9395
1324852.4720668793,4270.0913,4185.6064,4203.121,4390.636,4268.546,4552.394,4359.727,4312.8486,4562.697,3785.3333,4456.061,4243.303,4286.0605,4127.909
1324853.451013565,4266.485,4177.364,4190.242,4383.4243,4257.2124,4545.182,4346.8486,4301.515,4550.3335,3774.5151,4446.7876,4234.0303,4282.4546,4125.3335
1324870.5370426178,4264.4243,4175.8184,4187.152,4377.758,4249.4854,4542.6064,4343.2427,4298.4243,4543.1216,3767.3032,4435.97,4236.091,4274.2124,4124.8184
1324871.4454174042,4264.9395,4177.879,4190.758,4377.2427,4253.6064,4542.0913,4342.2124,4299.4546,4540.546,3763.6973,4431.8486,4235.5757,4265.4546,4121.7275
1324872.411251068,4263.394,4173.758,4187.152,4379.8184,4253.6064,4540.546,4339.636,4295.8486,4530.758,3754.9397,4430.8184,4223.2124,4263.394,4117.091
1324887.5014781952,4261.8486,4178.394,4186.121,4382.909,4250.515,4539.515,4343.2427,4294.8184,4527.667,3755.4546,4431.3335,4221.6665,4266.485,4120.182
1324888.4284496307,4264.9395,4187.667,4188.6973,4388.061,4252.5757,4541.5757,4352.0,4297.394,4535.909,3762.1519,4435.97,4229.394,4268.546,4125.3335
1324900.5072116852,4265.97,4180.4546,4188.6973,4386.0005,4254.121,4542.0913,4354.5757,4299.9697,4540.031,3762.1519,4439.576,4224.2427,4266.485,4121.7275
1324904.4864177704,4263.394,4172.2124,4188.1816,4380.333,4252.5757,4543.1216,4354.0605,4300.485,4540.546,3763.1821,4439.061,4221.1514,4267.515,4119.152
1324922.5885868073,4263.9097,4180.4546,4188.6973,4382.909,4251.546,4543.636,4355.0913,4301.0,4543.1216,3770.394,4441.1216,4230.9395,4277.8184,4123.788
