Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
654876,678.3137606090138,680.2716562100999,680.3745443136905,680.0996801300995,680.3635197649302,680.9656817593751,681.3267199554815,3072.4805322669354,-2275.290357827659,-2277.092246048026,-3634.62121590284,-2276.8592100018586,-2278.5770746627913,-2289.9815786028894,-10259.091072062174,-2278.982985595403
654877,-1939.2918472661704,-1935.3198283566173,-1938.4985585310885,-1941.3243467745144,-1937.2243970985764,-1936.6579444122117,-1961.9428995279839,-28570.763721305462,-6905.675632549967,-6910.033759852958,5888.815170460537,-6909.353504005344,-6914.291810060072,-6941.1409560614975,65724.2671595907,-6900.45593560506
654878,-2522.5276315995025,-2515.911992293285,-2521.208222039729,-2525.068402839871,-2519.426484372536,-2518.3321289722626,-2551.1975681241615,-36241.856339403465,-9465.871365713603,-9471.594273064136,7102.712057464698,-9470.019515644983,-9477.973615074206,-9512.42770530987,85318.07939351685,-9458.14404269991
654879,-1804.620134400179,-1795.771823144441,-1801.517017822355,-1805.296304462535,-1800.2378490559463,-1797.9872445606768,-1826.013769293306,-28017.44305990048,-9299.226636848849,-9304.753308346164,3813.6427202570685,-9302.507044420374,-9312.227997972765,-9344.280414196593,66403.72146470813,-9293.530745197308
654880,-1753.197997070348,-1743.579846875983,-1748.59086657624,-1752.698899204501,-1748.332300782519,-1745.0690306943136,-1772.5274878899054,-26929.058530301227,-8058.799165831431,-8063.249988174508,4250.842136800081,-8061.285901142283,-8071.765284510512,-8097.8108875565,62801.787752898475,-8053.710993015946
654881,-2388.9843269056023,-2379.4093489047546,-2383.6767249671493,-2388.641058964051,-2383.9413957091097,-2380.682769709155,-2412.670119221152,-34035.27255192222,-7799.37694001028,-7802.749322772863,7325.988664808983,-7801.435703660401,-7813.286334967292,-7837.549247711251,78580.82477007962,-7792.836588849927
654882,-2251.5901894393974,-2241.499999840376,-2246.087517866463,-2250.846230954032,-2245.545569939116,-2243.2237764325287,-2273.331991922913,-32677.392277338662,-8324.362943856795,-8326.744155460503,6364.868933352558,-8325.620095617272,-8339.14315905172,-8365.518623842556,75730.42963655361,-8318.241509175323
654883,-1402.9737318658113,-1391.890743557592,-1397.7700791784498,-1400.4980891254236,-1395.2569345950546,-1394.1825140055062,-1416.9412446655065,-22996.008414958542,-8160.093745186705,-8161.329226677724,2531.8494529669906,-8160.3796134318445,-8173.7260748731205,-8200.508529240262,53475.83737482772,-8156.248949625746
654884,-1379.3288242808708,-1368.4802723068178,-1375.004182003682,-1375.5707444907084,-1370.7454547798975,-1370.7081474500785,-1393.7182140976688,-22499.75419041586,-7432.459254358064,-7432.81613100922,2897.0646879586106,-7432.744971583242,-7444.11919873105,-7468.89458287619,51681.937933630055,-7428.448565167536
654885,-2248.4986187979407,-2239.870205534641,-2244.873494932377,-2245.0588508837923,-2240.7328087425603,-2240.798765249626,-2272.5645677095727,-32459.044076432263,-7470.098061566469,-7470.494703176094,6970.583364111111,-7471.287326359514,-7481.608438487605,-7506.0240031170115,74162.23943846313,-7463.123181251125
654886,-2381.884886224976,-2375.705494393017,-2377.5464011210656,-2378.590827913585,-2375.6879350675636,-2374.5785706771685,-2409.555411367981,-34272.13091376878,-8115.603693465848,-8116.431683287401,7253.0112000662375,-8117.0296826887525,-8128.377665476839,-8154.220349528251,78569.77677628267,-8107.350124065949
654887,-1469.7622131054031,-1464.4495255898607,-1463.4606448217555,-1465.072073894213,-1464.576564870889,-1462.1144435432398,-1490.5547994926392,-23864.633973719916,-7970.294258185386,-7970.617830930696,3125.249213635916,-7970.718886610613,-7982.971657247184,-8008.240858507214,54731.27878249647,-7963.571414056759
654888,-1150.1861453303968,-1144.5924186610373,-1142.6666062894112,-1144.3893784828108,-1145.4381668701546,-1142.9058707647378,-1167.9379026984557,-19910.607462539912,-7116.451482279907,-7115.581247615359,2146.509569781041,-7116.178242472847,-7127.301594591206,-7150.686562882896,45127.2843575331,-7110.235336718252
654889,-1996.5700785462839,-1990.4919896638648,-1989.8202266038577,-1991.3831837091498,-1991.9302430182868,-1990.5041060656724,-2021.1793231720371,-29525.280736939603,-7052.88398230774,-7051.931037817378,6089.920416983669,-7053.1828382604735,-7062.649376947187,-7087.53983318294,66894.66100536166,-7045.068158182322
654890,-2433.578339494813,-2426.6260554222945,-2428.4087273223176,-2428.8532849297,-2428.0681371283163,-2427.7588419350504,-2461.1545645435936,-34817.040396998564,-7844.249343435748,-7844.768801268769,7614.840757837615,-7844.882401309959,-7854.353473367656,-7883.366554990793,79374.93833806395,-7836.536610355622
654891,-1631.6243052427862,-1623.6344405455407,-1627.6310035742922,-1625.6805720582922,-1624.217956337065,-1624.6330842100278,-1650.779525113883,-25735.557202572156,-7893.204441377617,-7895.439048641576,3845.3310303184876,-7892.654116559682,-7902.922068940837,-7932.37623896582,58598.72531929904,-7888.391006973559
654892,-1037.6287874861118,-1029.7758977551498,-1035.0512381117762,-1030.4784737472175,-1028.8460595543825,-1029.7953033582598,-1050.7529695728965,-18620.617801788503,-6911.289163429051,-6914.840380377778,1681.9117057483697,-6909.528789256859,-6919.243682499744,-6944.542665349109,41495.85863666893,-6907.443543057363
654893,-1704.7080956210282,-1698.3401332223284,-1704.0963023241866,-1698.2400163062584,-1696.1710315576138,-1697.1421069278529,-1724.4523797589527,-26060.563567699082,-6547.418556837889,-6552.228874414736,5013.509364359201,-6546.173401513544,-6554.362469617676,-6577.375023882233,57904.8117582382,-6539.987424982968
654894,-2366.4674471244725,-2361.067988568345,-2366.7836689872083,-2361.663396303493,-2358.8491828055394,-2359.0075049602087,-2393.438114206919,-33861.07009878736,-7371.386241412595,-7376.893668250384,7591.630451937384,-7371.125193370885,-7378.89905169751,-7404.057024048586,76067.79291990476,-7360.22743016728
654895,-1800.6255620974375,-1794.5204954663536,-1799.7058439020564,-1796.7924294047707,-1793.305945995764,-1792.3303484948217,-1823.063583741679,-27519.173956010083,-7766.306172040986,-7770.870374896382,4683.03775452209,-7765.259135642156,-7773.908113596024,-7800.023374791222,61846.06253197357,-7755.426520092605
