Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
196394.03700828552,4142.3335,4095.9697,4031.0608,4310.788,4152.6367,4418.4546,4246.394,4133.061,4354.5757,3647.7878,4306.1514,4082.0608,4140.273,4022.818
196405.66325187683,4144.909,4095.9697,4029.0002,4305.1216,4152.6367,4415.879,4237.1216,4120.6973,4343.2427,3639.0303,4299.4546,4081.0303,4134.606,4020.7576
196408.0045223236,4142.848,4083.0908,4023.8486,4291.2124,4145.4243,4415.364,4235.5757,4117.6064,4338.091,3629.2422,4287.0913,4074.3333,4124.8184,4008.3943
196414.43252563477,4135.1216,4077.9392,4018.697,4284.0,4139.2427,4414.3335,4236.6064,4117.091,4342.2124,3624.6062,4279.364,4068.667,4120.6973,4005.818
196421.67592048645,4128.9395,4080.5154,4011.9998,4283.485,4138.2124,4406.6064,4224.758,4114.0,4345.8184,3630.788,4279.879,4068.1516,4121.7275,4009.9392
196429.15654182434,4134.606,4078.4548,4012.5154,4285.031,4136.6665,4403.0,4221.6665,4117.091,4344.788,3640.5757,4288.121,4074.8486,4126.364,4011.9998
196436.99526786804,4141.8184,4078.9697,4018.182,4287.606,4134.606,4407.6367,4235.5757,4123.788,4346.8486,3642.121,4296.364,4080.5154,4135.1216,4015.6064
196444.19360160828,4135.6367,4080.0002,4011.9998,4285.031,4135.1216,4410.7275,4239.182,4122.758,4348.909,3642.6362,4295.3335,4074.8486,4140.7876,4017.1519
196457.54599571228,4127.909,4072.2727,4004.2732,4277.303,4138.2124,4411.758,4235.5757,4123.273,4352.0,3649.3335,4292.2427,4069.697,4136.152,4014.0608
196465.838432312,4125.3335,4064.5454,4003.2427,4274.7275,4138.727,4414.3335,4238.667,4126.364,4355.606,3653.4546,4291.7275,4070.7275,4129.4546,4008.3943
196467.93460845947,4119.152,4065.576,3997.576,4277.8184,4137.6973,4416.394,4237.636,4127.394,4354.5757,3649.8486,4294.8184,4067.1216,4133.061,4002.2126
196476.04894638062,4114.515,4068.1516,3996.0305,4279.364,4142.3335,4417.9395,4238.152,4134.0913,4358.6973,3652.9395,4299.9697,4066.6064,4140.7876,4005.818
196484.02380943298,4115.546,4068.1516,4002.7275,4280.9097,4147.485,4419.485,4248.9697,4141.303,4372.606,3665.8184,4303.061,4075.8787,4143.879,4015.0913
196492.53177642822,4117.091,4070.2122,4007.3638,4282.97,4146.9697,4425.152,4254.121,4147.485,4380.848,3670.455,4304.6064,4080.0002,4142.3335,4014.0608
196504.02283668518,4119.667,4069.1821,4008.3943,4284.0,4148.0005,4428.758,4251.546,4152.6367,4378.7876,3666.8486,4308.7275,4077.9392,4141.303,4007.8787
196508.02421569824,4122.758,4066.6064,4008.3943,4286.0605,4146.455,4422.061,4251.031,4149.5454,4376.727,3662.2124,4308.7275,4075.8787,4138.727,4008.3943
196515.00725746155,4124.8184,4072.2727,4008.3943,4287.0913,4139.758,4415.364,4251.031,4139.2427,4371.576,3652.9395,4301.515,4072.788,4132.031,4009.4243
196524.6820449829,4123.788,4075.8787,4008.9092,4285.031,4139.2427,4414.8486,4251.031,4137.6973,4362.303,3649.3335,4291.2124,4070.2122,4127.394,4005.818
196530.9865474701,4121.2124,4070.2122,4003.7576,4280.394,4141.8184,4410.2124,4250.0,4138.2124,4356.1216,3648.8184,4282.4546,4064.0305,4121.7275,4000.667
196540.45629501343,4112.9697,4067.1216,3994.4849,4273.697,4141.303,4408.152,4251.546,4132.031,4352.515,3642.121,4277.303,4049.091,4117.091,3990.879
196547.03831672668,4102.1514,4060.4243,3983.1516,4264.4243,4139.2427,4412.273,4250.515,4125.3335,4346.8486,3631.8184,4270.0913,4034.6667,4110.394,3978.0
196555.46617507935,4096.4854,4049.091,3974.3943,4258.7573,4135.1216,4409.6973,4241.7573,4121.2124,4339.636,3625.121,4259.788,4031.0608,4102.667,3971.8184
196563.05074691772,4099.0605,4050.121,3975.9395,4257.7275,4133.576,4404.0303,4239.697,4118.6367,4335.515,3623.576,4256.697,4032.0913,4101.636,3970.273
196571.01106643677,4103.697,4062.4849,3987.2732,4262.879,4138.727,4403.515,4244.3335,4120.6973,4338.6064,3630.273,4270.6064,4039.8184,4110.394,3975.9395
196579.0286064148,4106.273,4070.2122,3997.576,4272.667,4141.303,4404.546,4238.152,4124.8184,4343.2427,3641.0908,4287.0913,4052.6973,4117.091,3986.2427
196586.01188659668,4116.0605,4072.2727,4003.7576,4281.4243,4141.303,4404.0303,4232.485,4127.909,4345.303,3648.8184,4295.3335,4064.5454,4125.8486,3997.0605
196599.01213645935,4126.879,4072.788,4008.9092,4285.031,4144.909,4404.546,4237.1216,4128.4243,4353.5454,3652.9395,4300.485,4074.3333,4139.2427,4004.2732
196603.01446914673,4121.7275,4069.1821,4007.8787,4285.031,4144.909,4404.546,4231.9697,4126.879,4360.2427,3652.9395,4306.1514,4075.8787,4139.2427,4000.667
196610.01658439636,4111.4243,4065.576,4003.2427,4282.4546,4141.303,4404.546,4224.758,4122.2427,4357.6665,3652.9395,4304.6064,4070.7275,4129.9697,3995.5154
196618.0033683777,4117.091,4066.091,4004.788,4282.97,4143.879,4411.2427,4230.9395,4127.394,4358.6973,3660.1519,4304.091,4072.788,4134.606,3999.6365
196629.97794151306,4128.4243,4061.97,4008.3943,4285.031,4146.455,4416.909,4239.697,4138.2124,4367.4546,3666.8486,4312.333,4080.5154,4142.848,4007.8787
196634.00030136108,4126.879,4055.2727,4004.788,4283.485,4141.303,4418.4546,4242.788,4142.848,4373.1216,3670.455,4315.425,4081.0303,4140.273,4008.9092
196650.0222682953,4124.8184,4055.7883,3997.0605,4278.3335,4138.2124,4416.394,4240.2124,4139.758,4371.061,3669.4243,4310.788,4076.9092,4137.182,4005.818
196651.92031860352,4135.6367,4064.0305,4001.697,4280.394,4143.364,4415.364,4240.2124,4139.2427,4375.6973,3667.3638,4312.8486,4083.0908,4142.3335,4009.9392
196658.01644325256,4145.94,4070.2122,4012.5154,4287.0913,4150.576,4424.6367,4249.4854,4143.879,4382.909,3671.4854,4318.515,4090.818,4145.94,4019.2124
196665.0092601776,4145.4243,4068.667,4008.9092,4286.0605,4152.1216,4428.758,4253.6064,4139.2427,4376.212,3669.4243,4308.7275,4082.0608,4138.2124,4012.5154
196674.81756210327,4139.758,4063.515,3995.0,4281.4243,4145.4243,4420.515,4241.7573,4124.8184,4361.7876,3650.3638,4290.182,4069.1821,4122.2427,3995.0
196681.0109615326,4138.727,4063.515,3993.4548,4279.364,4139.758,4414.8486,4235.0605,4116.0605,4353.0303,3634.9092,4281.9395,4068.1516,4113.485,3992.4243
196690.3247833252,4142.3335,4069.1821,3997.0605,4276.273,4140.273,4410.7275,4239.182,4115.546,4349.9395,3636.9697,4279.879,4066.6064,4111.9395,3998.606
196704.10060882568,4138.2124,4067.1216,3991.9094,4265.97,4137.6973,4400.425,4235.5757,4109.879,4336.546,3632.8486,4267.515,4054.7578,4109.364,3990.3638
196705.29508590698,4128.9395,4058.879,3985.7273,4262.879,4134.0913,4397.3335,4229.394,4103.697,4325.7275,3618.4246,4260.303,4050.121,4106.788,3982.6367
196713.47212791443,4130.485,4055.7883,3991.3943,4270.0913,4138.727,4401.4546,4233.0,4107.303,4333.9697,3619.9697,4271.636,4058.3638,4106.788,3988.8184
196721.11988067627,4138.727,4063.0,4001.1821,4275.758,4142.3335,4402.4854,4235.5757,4108.8486,4342.7275,3632.3335,4279.364,4064.5454,4107.303,3991.3943
196729.03847694397,4135.6367,4069.697,4001.697,4277.303,4141.8184,4405.0605,4233.0,4108.8486,4340.1514,3635.9395,4270.6064,4061.4543,4106.273,3984.6973
196736.04202270508,4124.8184,4066.091,3998.091,4274.2124,4141.303,4407.121,4235.0605,4107.8184,4340.667,3633.3638,4266.485,4055.7883,4102.1514,3983.1516
196744.03738975525,4127.394,4066.6064,4000.667,4275.242,4141.303,4405.0605,4236.091,4110.909,4348.909,3635.9395,4275.242,4061.97,4105.2427,3988.8184
196752.20489501953,4136.152,4073.818,4006.8486,4283.485,4141.8184,4406.6064,4231.9697,4120.6973,4354.5757,3645.2124,4282.97,4074.3333,4118.1216,3996.0305
196761.0957622528,4143.879,4072.2727,4011.9998,4287.606,4142.848,4407.6367,4231.4546,4126.364,4359.727,3651.9092,4290.182,4082.0608,4126.364,4003.7576
196768.11265945435,4152.1216,4068.667,4014.576,4283.485,4141.8184,4405.5757,4235.5757,4125.3335,4364.364,3650.3638,4296.879,4087.7275,4127.394,4013.546
196776.05175971985,4156.2427,4075.8787,4017.667,4285.5454,4140.7876,4404.0303,4237.1216,4124.303,4362.303,3648.8184,4298.4243,4093.394,4126.364,4017.1519
196789.49332237244,4157.273,4081.0303,4021.788,4290.182,4143.879,4404.0303,4237.1216,4124.8184,4360.758,3650.3638,4298.4243,4094.9397,4124.8184,4015.6064
196792.64330863953,4154.6973,4076.9092,4016.6365,4284.515,4143.364,4407.121,4238.667,4123.273,4358.6973,3643.1514,4291.7275,4090.818,4123.273,4009.9392
196800.04167556763,4149.0303,4073.818,4006.8486,4280.9097,4140.7876,4410.7275,4238.667,4121.2124,4353.5454,3634.9092,4284.515,4083.6064,4121.2124,4003.2427
196812.0141029358,4142.848,4070.7275,4005.3032,4282.97,4142.3335,4412.788,4238.667,4122.2427,4354.5757,3636.9697,4282.97,4079.4854,4118.1216,4005.3032
196814.98074531555,4140.7876,4067.1216,4005.3032,4280.9097,4143.364,4412.273,4237.636,4122.2427,4360.2427,3639.0303,4284.515,4078.9697,4113.485,4004.2732
196824.8269557953,4139.758,4066.6064,3999.6365,4271.636,4140.7876,4410.2124,4236.091,4115.546,4359.727,3638.5151,4284.0,4073.3032,4111.9395,3994.4849
196830.97100257874,4137.6973,4067.6365,3996.5454,4265.97,4139.758,4410.7275,4233.515,4108.3335,4356.6367,3641.606,4282.4546,4067.6365,4114.0,3988.3032
196839.22934532166,4138.727,4067.6365,3996.5454,4270.0913,4141.8184,4411.758,4234.0303,4106.788,4358.6973,3647.7878,4282.4546,4070.2122,4117.091,3990.3638
196847.02253341675,4139.2427,4069.1821,3992.9395,4275.758,4143.879,4413.303,4234.5454,4110.909,4363.848,3651.394,4288.636,4074.8486,4122.2427,3993.4548
196859.05504226685,4139.2427,4071.7576,3992.9395,4281.9395,4145.4243,4417.4243,4237.636,4118.6367,4371.061,3653.4546,4298.9395,4078.4548,4127.909,4000.152
196863.00086975098,4141.303,4069.1821,3995.0,4281.9395,4144.909,4418.9697,4242.273,4124.8184,4373.1216,3653.4546,4299.9697,4083.0908,4128.4243,4008.3943
196874.98831748962,4142.848,4068.667,3997.576,4275.242,4142.3335,4412.788,4242.788,4127.394,4371.576,3659.1213,4297.909,4088.7576,4125.8486,4008.3943
196878.95941734314,4139.758,4072.788,3996.5454,4274.2124,4140.273,4407.6367,4241.7573,4126.364,4373.1216,3662.2124,4298.4243,4086.697,4126.364,4006.8486
196886.01684570312,4136.6665,4070.2122,3992.4243,4277.303,4141.303,4409.6973,4240.2124,4124.8184,4374.1514,3658.091,4297.909,4080.0002,4126.879,4005.818
196894.03820037842,4138.727,4067.6365,3995.0,4276.273,4141.303,4411.758,4241.7573,4126.364,4372.606,3660.6667,4296.364,4079.4854,4127.909,4006.3337
196911.6017818451,4139.2427,4070.7275,4000.152,4272.667,4139.758,4410.7275,4248.4546,4126.364,4373.1216,3665.3032,4290.6973,4083.6064,4127.394,4008.3943
196920.05228996277,4139.758,4065.576,3996.0305,4268.031,4139.758,4405.0605,4253.6064,4117.6064,4368.485,3653.9697,4285.5454,4081.546,4120.6973,4000.667
196927.45685577393,4136.6665,4059.3938,3990.879,4264.4243,4138.2124,4394.758,4247.4243,4107.303,4355.0913,3636.9697,4281.4243,4072.788,4115.0303,3990.879
196927.54769325256,4127.909,4061.97,3989.3337,4265.4546,4134.0913,4386.0005,4238.152,4104.212,4346.8486,3632.8486,4273.697,4064.5454,4108.8486,3988.3032
196944.17667388916,4123.273,4063.0,3986.7578,4267.515,4135.1216,4386.0005,4236.6064,4100.091,4344.788,3634.394,4268.546,4060.9395,4102.667,3984.6973
196957.98921585083,4126.879,4060.9395,3988.3032,4266.485,4138.2124,4387.0303,4237.636,4098.546,4343.2427,3633.3638,4274.7275,4064.5454,4105.2427,3982.121
196959.0549468994,4129.4546,4067.6365,3993.97,4271.121,4140.7876,4386.0005,4238.667,4101.636,4343.2427,3634.394,4281.9395,4070.2122,4109.879,3987.7883
196960.54315567017,4129.9697,4072.2727,3995.0,4272.667,4140.7876,4385.485,4236.091,4102.667,4345.8184,3636.9697,4282.97,4070.2122,4112.9697,3991.9094
196968.66154670715,4131.5156,4067.1216,3992.9395,4269.5757,4138.727,4384.4546,4234.5454,4104.7275,4346.3335,3640.0605,4280.9097,4068.667,4118.6367,3988.8184
196978.00517082214,4129.4546,4066.091,3991.9094,4270.0913,4138.727,4383.4243,4236.6064,4107.303,4345.8184,3638.5151,4284.0,4071.7576,4117.6064,3989.8489
196980.9446334839,4126.879,4068.1516,3991.3943,4269.0605,4140.7876,4382.909,4235.5757,4106.788,4349.9395,3635.4243,4284.515,4070.2122,4107.8184,3989.8489
196994.10319328308,4126.879,4068.1516,3990.879,4268.031,4139.2427,4382.909,4234.5454,4106.273,4355.606,3641.0908,4281.9395,4065.061,4107.8184,3988.3032
196996.99568748474,4128.4243,4069.697,3989.3337,4273.697,4138.2124,4390.1216,4238.152,4113.485,4358.6973,3648.8184,4286.5757,4070.7275,4116.5757,3989.8489
197005.47409057617,4132.031,4073.3032,3991.3943,4276.273,4140.273,4399.394,4242.273,4124.303,4364.364,3650.879,4295.3335,4077.9392,4120.6973,3991.9094
197013.04507255554,4131.5156,4070.7275,3990.3638,4268.031,4138.2124,4400.425,4244.3335,4124.8184,4367.4546,3648.8184,4294.303,4073.3032,4119.152,3990.879
