Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
628194,687.972146641211,691.440139444224,689.1200873476363,690.6001004724474,689.7088981745336,689.494875167098,690.2226404515296,1936.446897167768,-2351.2058020083446,-2353.5876718639347,-4093.9866208251715,-2351.28819123027,-2355.2478310231845,-2363.2634381184403,-15652.507336191451,-2353.0159021869677
628195,-1643.4964980594436,-1641.379466227306,-1641.0148508041282,-1639.3152844349213,-1642.0250408080794,-1639.8063194106658,-1637.9585722510737,-25176.296350330183,-7112.519054170374,-7117.2042916286455,3262.33533741495,-7116.403472923252,-7125.63651622945,-7147.110855888621,52155.84510668031,-7106.545461832668
628196,-2039.9763630129282,-2038.7462108613445,-2037.2078664726741,-2035.1093518340422,-2038.998593287386,-2034.2534926112912,-2032.6898784298917,-30367.825727761912,-9668.78265878162,-9674.575162871246,3334.266478278955,-9673.734291653054,-9687.193856268776,-9715.492552230278,66744.22351570697,-9660.70547341181
628197,-1306.2237955322291,-1305.4626253071601,-1304.0247062541546,-1302.4073480296288,-1306.3620663901804,-1299.824945211026,-1298.7053624114678,-22380.290643168693,-9429.639551148925,-9435.172419286004,241.00327309582318,-9433.964079730422,-9448.480013807402,-9475.637236329669,47732.94715539903,-9423.269365260709
628198,-1339.7689352078753,-1339.0966118149236,-1337.7643109388482,-1338.2535849706019,-1341.2241142490427,-1334.7420168600588,-1332.3249953532693,-22596.069472293653,-8184.51729805248,-8190.024355190041,1383.694060145099,-8189.826374082713,-8202.034574034518,-8226.607333872254,46626.52887359766,-8178.976040889068
628199,-2003.6090473753602,-2002.3260046176135,-2000.7558037904773,-2003.6576914923119,-2005.3981512133305,-2000.659556546089,-1995.6103511753374,-29981.760171992202,-7965.324310248428,-7972.67523572511,4658.546238888236,-7973.7413968709925,-7983.312233283147,-8010.302025556033,63293.794841690906,-7960.108322153187
628200,-1812.3602222461657,-1809.9717407547041,-1808.488078377694,-1812.05530212157,-1813.4204515690208,-1810.4561688959366,-1803.4423025734827,-28074.949141633457,-8463.166476161234,-8473.417425112833,3490.756899152871,-8473.827672872621,-8482.302121308574,-8514.307114163475,59315.98766875667,-8460.568467636782
628201,-945.4514115905073,-942.7559377449619,-941.8166705711532,-944.0633542966353,-946.2632279101197,-943.7238518439403,-936.2363675906512,-18556.971917152543,-8227.883568726,-8239.962866669443,-230.0941870501834,-8238.356133414476,-8245.6538469935,-8278.951321581982,36956.44886674814,-8228.382038052725
628202,-971.2452438036522,-969.7884775253694,-969.4092870581724,-969.7359007024313,-973.2725649892292,-969.9790892538247,-962.6358941148035,-18835.594904646554,-7503.830147722149,-7516.221881844496,504.64034533662675,-7513.461848348396,-7518.631914464911,-7549.7257738875915,36658.39529138958,-7503.641753458135
628203,-1854.120341749299,-1854.1278816688873,-1854.5608359796006,-1853.2523598678513,-1857.7269764039852,-1853.3900727639525,-1846.1647393967487,-28801.131165453844,-7604.928498010026,-7617.383250563589,4568.73674068881,-7614.366183546284,-7618.808397092537,-7648.993786749279,59550.56598210774,-7601.255607511494
628204,-1933.5313213709137,-1933.425857792828,-1935.5728319412174,-1932.7355908924737,-1937.4081579985236,-1932.1947455884326,-1925.5806779632976,-29994.26629202337,-8243.630825846743,-8256.46824202545,4582.523284826155,-8252.434778714956,-8258.886844792567,-8289.109871294262,62717.79567186591,-8238.96500692513
628205,-1002.9288165560328,-1001.2161517082257,-1005.4761160286682,-1001.3147692145319,-1005.864624894951,-999.9944984856741,-994.6144155692953,-19788.55284182614,-8014.94278259231,-8027.594890876027,654.4756736409352,-8022.074488593458,-8030.83237212652,-8057.7837056373155,38678.34650977225,-8012.681324710654
628206,-739.0047449022945,-735.7760023483082,-740.958508402309,-736.5348145460538,-741.3305550924805,-735.2206306137973,-730.6171696732974,-16778.046795175927,-7134.099875063929,-7145.53123346376,298.20286186911903,-7139.851834964495,-7148.988184110758,-7170.95626630795,30624.37969560345,-7132.885779813403
628207,-1609.425255706596,-1605.698805069885,-1610.1349581972158,-1606.7121984922517,-1611.9721115091595,-1606.4313932414289,-1601.6283581496998,-26498.319667475687,-7129.144416104793,-7139.481080422101,4497.232955578717,-7134.617052383454,-7143.555851983803,-7165.158359535662,52932.48011955265,-7125.83802634982
628208,-1986.5185932830411,-1982.989501668183,-1986.3921412172367,-1984.1516945286662,-1989.2354843221203,-1985.030788441277,-1979.8591746193595,-30944.09510361591,-7937.239119590058,-7947.6668097792635,5823.5041622081335,-7942.449302111999,-7952.377866001849,-7978.1275652248705,63995.849419497055,-7932.972602308737
628209,-1145.5173930756237,-1142.767145486944,-1145.71431830647,-1144.0389593820455,-1148.1868181666723,-1145.3628571676559,-1140.2294059350918,-21733.225607425036,-7912.102142565738,-7922.972633867719,2168.239432810017,-7916.336710557247,-7927.162285129893,-7954.6262994445315,42740.85353761028,-7910.277083444527
628210,-600.6124443482157,-599.7094119965691,-601.9140083932896,-600.4926117798213,-603.842522023718,-601.7071239106907,-596.6908292754238,-15590.643258966935,-6884.018675101703,-6894.378237715389,584.7367210900551,-6887.857440031725,-6897.7797007369845,-6922.559574384064,27493.114083018605,-6884.098371179721
628211,-1303.042168872248,-1304.4235793728521,-1305.3254059840554,-1304.0055749797332,-1307.4735250921376,-1304.897799311687,-1299.967331579184,-23441.92679469183,-6569.208408115094,-6578.301123991381,4158.736907692579,-6574.201585628141,-6582.807052984374,-6606.178890881704,45184.29695995924,-6567.862564753319
628212,-1903.1423488446594,-1905.345279543183,-1905.671452134639,-1903.907130885088,-1908.2618825207524,-1904.0469158175083,-1899.9682163486857,-30452.97718406428,-7432.83712314437,-7440.517820111209,6363.00702298394,-7438.762096751296,-7447.670925727225,-7473.329052280356,62087.38387043211,-7429.995856110397
628213,-1275.133082594822,-1276.2909283235135,-1277.1019518203177,-1274.6655044645827,-1279.6652937728077,-1273.7801040422562,-1271.6676423659476,-23741.136318434223,-7779.225230769191,-7785.205144721294,3271.4491959461493,-7783.868104691662,-7793.575178966876,-7820.220297877856,46725.90289562017,-7777.772424486254
628214,-581.8313742361556,-582.1534609414299,-582.9655814592933,-580.8707322317963,-585.2049268260072,-579.6580274976682,-579.1684688409824,-15937.509834259925,-6833.092470889024,-6837.778103808851,761.7444783713079,-6835.5834756844615,-6844.561198292128,-6868.245063609405,27486.52193092299,-6833.268856780446
628215,-1072.4198385870018,-1073.602769309176,-1072.9506559269976,-1072.7724014212286,-1075.0073300334598,-1072.157758549141,-1071.4595550338383,-21188.654476406577,-6170.03604527153,-6175.564098948274,3428.1010989913366,-6172.16207983734,-6179.975163418335,-6201.659481631895,38841.00060183439,-6169.160176598809
628216,-1771.39323224288,-1773.833890729673,-1771.4070572347678,-1773.722075908233,-1773.2305556681658,-1773.3649671033036,-1771.3492929011607,-28956.24420299793,-6839.867452745274,-6848.235843012996,6106.87857812461,-6843.041594052546,-6851.500422209429,-6875.540736658297,57711.78544035979,-6837.680898736612
628217,-1347.3283908156052,-1349.5751387036166,-1346.6645351950324,-1350.8532843813546,-1347.9554757246647,-1349.4140174478598,-1346.452118047734,-24247.589464651144,-7465.057099506594,-7475.616160501912,3751.3434017714053,-7468.241417174991,-7478.127804849297,-7504.348538812337,47916.26582668165,-7464.462129702582
628218,-601.7921142182007,-602.776518054334,-600.5230908057989,-605.8628102912216,-601.4909602367801,-602.630190923813,-599.173821896008,-15698.87872228014,-6788.064327033895,-6798.350013847102,918.2770758037219,-6790.068722401431,-6799.143093507002,-6823.287622622063,27822.454313884777,-6789.5828684945745
628219,-920.9633656310928,-921.1525170894382,-919.5040582161432,-925.4714419244599,-920.7868350372933,-921.0132372919326,-917.1651402566241,-18937.385001962975,-5941.4401185796305,-5950.163608781359,3067.9445953664,-5943.24065904559,-5949.433157176381,-5970.957524892903,34672.31543136982,-5941.7347732912995
628220,-1654.845778389832,-1654.8870038120454,-1653.5317709025976,-1659.2080682732549,-1655.3503902434263,-1654.7470074424104,-1651.116684452976,-27091.66114772002,-6304.490973376025,-6312.504460470258,6186.398202492315,-6307.700154833245,-6312.232133790268,-6334.786192752494,54162.90611036015,-6302.177096209604
628221,-1366.2095068682102,-1365.9964702584682,-1364.9842372677492,-1369.2360395693672,-1366.9882950371807,-1365.809263653278,-1363.3446982885953,-24033.175947524025,-6992.382312198193,-7000.837924360642,4327.595028239322,-6997.054345675395,-7002.045671557808,-7026.306041674324,48099.11655544248,-6990.609869735241
628222,-564.6372560726782,-564.3227538625114,-563.2101516638018,-565.8113443435975,-565.2438157576439,-563.6455214118818,-562.4276748967577,-15031.945546968773,-6583.1692983223675,-6592.184827270561,847.794335569677,-6588.651336660503,-6593.727530381347,-6616.388848154314,27064.45678826258,-6584.165719622573
628223,-748.9869863785494,-749.4963084864017,-747.2262364966757,-749.0087620318953,-749.7490970209609,-747.5487983872418,-746.5634343629682,-16800.040936235448,-5754.398592330977,-5763.835862997804,2104.111382052695,-5760.966686855338,-5764.874047889313,-5785.468402137358,30392.69942259776,-5756.198904408412
628224,-1562.3732953883532,-1563.9311899140457,-1560.5167590882975,-1561.794251692579,-1563.7391072895712,-1560.4574395969346,-1558.919787591029,-25723.214620345017,-5931.866190753952,-5941.838452748968,5441.024104688715,-5939.799161011368,-5943.257554625892,-5965.753721449486,51313.9146798851,-5932.808372630647
628225,-1443.3029937061142,-1444.5827292407323,-1441.7338969530879,-1441.5492304194722,-1444.9470674803033,-1440.3898924934458,-1438.492190466065,-24430.617856523422,-6596.690918555974,-6606.803905040772,4156.081211444067,-6604.793261601872,-6609.059061441809,-6634.924665189189,49180.94491372993,-6598.242815407879
628226,-574.6979976933405,-574.6003904569818,-573.7562008632244,-571.4105878269388,-576.1576373389398,-571.1323682313814,-568.9886519078043,-14633.35496916578,-6321.696924234333,-6331.1560273015675,210.83711432822747,-6328.575108238118,-6332.991952612187,-6358.471991500065,26454.973442496455,-6324.187586741613
628227,-568.8051271915701,-568.261107537824,-568.8849772332918,-565.130965161195,-570.4795109797833,-566.3782626639879,-563.4755914830229,-14261.704762737967,-5502.247744447621,-5511.173387099252,725.7463341236506,-5508.338107901125,-5511.744954293172,-5534.691275963914,24986.601719891896,-5502.344340409178
628228,-1436.0797101891872,-1437.0737106849583,-1437.3567505056733,-1433.4956811823758,-1438.9189016768469,-1436.0253775084634,-1432.343819309227,-23777.472475659564,-5586.592473602386,-5596.1198385266325,4656.716046975302,-5593.220030838087,-5596.38427137257,-5619.951840045614,47334.29422738629,-5582.175897796893
628229,-1529.500428263797,-1532.999917994842,-1531.5551496399116,-1528.31966975867,-1534.4295357892156,-1531.1847427046032,-1527.6454522967833,-24923.819478152396,-6290.858612297387,-6301.482329945926,4628.211553968693,-6297.859855153489,-6302.368472222599,-6328.237660685327,50985.0611657688,-6284.777569923897
628230,-618.4074752357851,-623.9444234840787,-620.4879189361743,-618.3158890727236,-626.1553933442365,-620.7752376044028,-618.0887231775017,-14801.753811056435,-6116.957448451209,-6127.703742492058,643.9013205153605,-6122.907631404523,-6128.7214775577195,-6152.709702720042,27670.988941698888,-6112.585830100764
