Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
127516,-3759.3071064211167,-3761.801396903806,-3757.5624687178415,-3761.3031882337973,-3759.1309084329678,-3761.518038088074,-3770.659348298459,-46501.56921481372,-4065.7300129657397,-4059.973893323876,-4056.8879768064994,-4062.8269672623,-4060.3642003084033,-36216.94171440251,128943.38791108402,-4047.5093898067075
127517,-13387.706708093641,-13394.636418872298,-13389.272995555633,-13397.969433347962,-13394.123897096231,-13395.058767088904,-13427.47049887899,-152721.24228749046,-6235.190554745366,-6224.703000960205,-6232.5979009218945,-6250.34393221754,-6221.493595155675,-54768.24176496939,399641.4768104807,-6193.641246055269
127518,-18244.824031650103,-18253.716664410258,-18248.418780523753,-18259.252184142155,-18255.11487494684,-18253.94494529576,-18299.29700192016,-206934.22017640137,-8965.043657593904,-8950.198660264316,-8957.3681820877,-8981.63536235176,-8944.369587669993,-78600.63306236704,540850.5482752915,-8904.88907937401
127519,-17551.299890972223,-17559.20653018509,-17555.02071683757,-17565.192297469184,-17562.041672801086,-17558.820245327297,-17604.390925266853,-199683.9772512357,-9970.652010853606,-9953.994032900224,-9954.134694546296,-9979.254612555318,-9946.965873141362,-87491.12430311009,524568.557396453,-9904.929510216509
127520,-15292.011652887288,-15297.754312271225,-15294.288654586078,-15303.831045561763,-15301.503499781356,-15297.654869801412,-15338.312884254643,-174166.245440814,-8203.87318022398,-8188.864849820376,-8187.7267283401015,-8212.11343578247,-8181.830671739997,-71875.88406550243,457550.06606304843,-8145.369887812595
127521,-15141.012993641069,-15145.104000554238,-15141.014946987594,-15152.015021765288,-15149.508962265447,-15146.418784375215,-15185.412785077686,-171804.80219673953,-6685.039802856108,-6672.7486092964855,-6675.068305845677,-6699.6092015977865,-6666.147514750325,-58315.34236588265,449587.96841478,-6633.870564902334
127522,-15992.669649939931,-15995.55833560409,-15990.380096739744,-16003.463849974507,-16000.65630750548,-15998.142593467148,-16038.146641290523,-181400.80269920907,-7715.19940082805,-7704.395854276424,-7705.452748512538,-7729.3587048941645,-7698.200175066012,-67308.70385091222,476485.9701179254,-7664.248149244852
127523,-15259.413960806736,-15261.227856159729,-15255.848644278081,-15269.007915416201,-15266.69884072167,-15263.80494769004,-15302.512105800288,-173689.65607618855,-8983.556147791352,-8973.468895100788,-8969.70152659524,-8991.499663656503,-8968.08418436013,-78535.55912767969,460131.2234239474,-8932.986657711986
127524,-13952.424484430303,-13953.914167243638,-13948.969368357653,-13960.538673888928,-13958.66983258215,-13955.591812783356,-13991.553447472608,-158733.68601429503,-7939.589939565947,-7930.2793950800005,-7927.465732312697,-7948.813912054514,-7926.362668980293,-69312.79969346596,421374.6460309408,-7894.758009757281
127525,-14453.040932892884,-14455.383107051826,-14450.430274318198,-14460.999187458498,-14458.189773479558,-14456.479904577256,-14492.341324408519,-163379.4850057175,-6433.148360865145,-6423.759095441946,-6426.407202689157,-6450.607123108359,-6420.889862690069,-55904.69229194525,431541.2281777361,-6391.5981484492195
