Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
539979.6507358551,4301.515,4259.273,4189.7275,4445.758,4429.273,4540.546,4381.364,4268.031,4491.6064,3740.5154,4462.7583,4267.0,4287.606,4057.8489
539987.0285987854,4301.515,4264.4243,4191.273,4451.4243,4431.3335,4541.5757,4378.7876,4270.0913,4490.576,3744.6365,4467.394,4279.364,4292.2427,4067.1216
539994.6310520172,4307.182,4266.485,4200.5454,4451.94,4429.273,4540.031,4376.727,4272.152,4493.667,3755.97,4468.4243,4281.9395,4298.4243,4073.3032
540003.5653114319,4312.333,4268.546,4207.758,4455.0303,4428.2427,4537.9697,4376.212,4269.0605,4498.8184,3755.97,4464.819,4272.667,4301.0,4069.1821
540010.5710029602,4309.2427,4269.0605,4206.727,4458.6367,4429.273,4536.9395,4379.303,4268.546,4493.152,3744.1213,4461.2124,4268.546,4293.788,4062.4849
540017.6298618317,4310.2725,4265.97,4205.6973,4454.5156,4428.758,4537.4546,4381.8794,4269.5757,4489.546,3742.0608,4460.6978,4270.0913,4290.6973,4064.0305
540025.6361961365,4315.425,4264.9395,4205.6973,4451.94,4429.788,4541.061,4382.909,4267.515,4493.667,3750.8186,4463.788,4269.0605,4296.364,4064.5454
540033.609867096,4311.8184,4268.031,4206.727,4452.9697,4428.758,4541.061,4382.909,4267.0,4492.121,3748.2424,4464.819,4267.515,4293.788,4055.7883
540041.6564941406,4303.061,4264.4243,4204.152,4446.7876,4424.6367,4536.4243,4380.848,4264.4243,4483.364,3734.3335,4458.1216,4265.4546,4281.4243,4046.0
540054.6457767487,4297.394,4254.121,4193.3335,4436.485,4420.515,4532.8184,4376.212,4257.2124,4478.7275,3729.1821,4449.8794,4255.667,4276.788,4039.3035
540057.5611591339,4293.273,4248.9697,4180.9697,4431.3335,4417.4243,4532.303,4373.6367,4248.9697,4476.152,3727.1216,4447.819,4247.4243,4278.3335,4029.5151
540065.6094551086,4290.182,4250.515,4178.394,4430.8184,4418.9697,4532.303,4372.091,4250.515,4473.576,3721.4546,4449.8794,4251.546,4273.697,4023.3335
540073.9467144012,4292.758,4251.031,4182.0,4430.8184,4421.546,4530.758,4370.5454,4257.7275,4476.152,3719.394,4448.334,4250.515,4265.4546,4022.303
540081.5935134888,4295.3335,4251.031,4179.4243,4433.394,4424.1216,4530.758,4374.1514,4260.303,4477.182,3720.9395,4446.7876,4240.2124,4265.97,4022.818
540089.6496772766,4292.758,4250.515,4175.303,4435.455,4425.152,4530.758,4374.1514,4258.2427,4475.6367,3720.9395,4448.334,4238.152,4271.121,4021.273
540102.0319461823,4290.6973,4251.031,4174.273,4434.94,4424.1216,4529.7275,4372.091,4258.2427,4476.667,3721.9697,4449.8794,4241.7573,4273.1816,4018.182
540104.5753955841,4289.667,4248.4546,4171.6973,4431.3335,4425.152,4530.2427,4376.212,4261.3335,4478.7275,3724.0308,4447.303,4237.636,4267.515,4016.1213
540113.1765842438,4285.031,4241.2427,4168.091,4428.758,4425.152,4530.758,4379.303,4262.364,4480.788,3723.0005,4447.819,4233.0,4265.4546,4012.5154
540120.6085681915,4284.0,4239.697,4168.606,4427.7275,4424.6367,4531.788,4377.758,4262.364,4480.273,3724.0308,4451.4243,4240.2124,4270.6064,4013.0308
540128.6110877991,4288.636,4245.879,4174.788,4429.273,4423.6064,4532.303,4377.758,4267.515,4480.788,3728.1519,4454.0005,4251.546,4275.242,4020.7576
540136.7037296295,4290.182,4247.9395,4177.364,4429.788,4423.0913,4529.2124,4377.2427,4269.0605,4485.4243,3728.1519,4456.061,4254.121,4274.7275,4025.9097
540144.603729248,4285.031,4243.303,4173.2427,4430.8184,4422.576,4525.091,4371.061,4262.364,4486.97,3725.576,4456.061,4253.6064,4272.667,4023.8486
540152.9326438904,4281.9395,4243.303,4173.2427,4433.9097,4423.6064,4522.0,4364.879,4258.7573,4481.303,3724.0308,4456.061,4257.7275,4274.7275,4017.667
540159.6212387085,4286.5757,4249.4854,4183.546,4437.5156,4424.1216,4519.4243,4364.879,4260.818,4476.667,3721.4546,4456.061,4260.303,4273.1816,4011.4849
540169.0742969513,4292.758,4252.5757,4190.242,4442.6665,4423.0913,4518.909,4371.576,4260.818,4478.7275,3725.061,4454.5156,4258.2427,4273.1816,4006.8486
540175.5752563477,4297.394,4253.0913,4187.667,4448.334,4428.2427,4523.0303,4380.333,4265.4546,4480.788,3731.2427,4452.455,4261.8486,4276.788,4011.4849
540192.789554596,4301.515,4257.2124,4191.788,4450.909,4432.364,4527.152,4382.909,4270.6064,4482.8486,3732.273,4456.576,4269.0605,4280.394,4021.273
540204.9527168274,4303.576,4262.364,4201.0605,4449.364,4430.303,4523.5454,4376.727,4268.546,4480.273,3727.6365,4458.6367,4265.4546,4276.788,4020.7576
540205.2516937256,4304.091,4263.9097,4204.152,4451.4243,4429.273,4519.4243,4370.0303,4266.485,4473.576,3726.6062,4452.455,4260.818,4270.6064,4014.576
540207.680940628,4308.212,4265.97,4205.6973,4457.606,4433.9097,4524.576,4369.5156,4267.0,4476.152,3727.1216,4450.3945,4262.879,4273.1816,4015.6064
540215.8279418945,4310.788,4269.0605,4205.1816,4459.6665,4436.485,4531.273,4371.576,4266.485,4482.3335,3727.6365,4451.94,4260.818,4272.152,4018.697
540223.6797809601,4306.1514,4266.485,4196.9395,4452.9697,4433.394,4530.2427,4371.061,4268.031,4480.273,3729.697,4448.334,4257.7275,4265.97,4011.4849
540239.6941184998,4298.9395,4257.2124,4187.152,4446.273,4432.879,4529.2124,4369.0005,4270.0913,4480.273,3730.2124,4445.758,4255.667,4265.97,4005.3032
540239.7882938385,4298.4243,4250.515,4184.0605,4442.152,4431.8486,4527.667,4364.364,4265.4546,4484.909,3726.0913,4446.273,4252.0605,4268.546,4004.788
540247.397184372,4299.9697,4251.031,4185.0913,4439.576,4428.758,4522.0,4362.8184,4264.9395,4485.4243,3726.0913,4449.364,4248.9697,4267.515,3999.6365
540254.6491622925,4298.9395,4252.5757,4185.0913,4438.031,4429.273,4522.0,4364.364,4266.485,4481.8184,3731.2427,4452.455,4254.121,4270.6064,3997.0605
540262.8664970398,4296.364,4251.546,4179.9395,4438.031,4431.8486,4526.6367,4366.4243,4261.8486,4482.8486,3731.2427,4455.5454,4258.7573,4276.788,4000.152
540270.5898284912,4295.8486,4249.4854,4173.2427,4435.97,4429.273,4525.606,4370.0303,4260.303,4481.8184,3725.061,4453.485,4253.6064,4274.2124,3997.0605
540278.6235809326,4293.788,4248.9697,4172.2124,4433.394,4428.758,4526.6367,4377.758,4271.636,4479.758,3723.0005,4447.303,4249.4854,4270.0913,3989.8489
540286.6048812866,4291.7275,4248.9697,4172.2124,4431.3335,4431.8486,4530.2427,4382.909,4282.97,4487.4854,3726.0913,4444.727,4250.0,4269.0605,3989.8489
540294.6417331696,4293.273,4247.9395,4171.6973,4430.303,4427.7275,4529.7275,4382.909,4281.9395,4493.667,3727.6365,4448.334,4251.031,4270.0913,3990.879
540301.9626140594,4293.788,4246.909,4177.879,4434.4243,4422.576,4526.1216,4376.727,4276.273,4485.9395,3724.5457,4448.334,4250.0,4270.0913,3987.2732
540309.6191883087,4293.273,4250.0,4185.0913,4439.576,4428.2427,4526.6367,4372.606,4271.636,4479.758,3719.394,4445.758,4250.0,4266.485,3984.6973
540317.7919387817,4297.394,4253.6064,4185.6064,4441.6367,4433.9097,4528.182,4376.212,4268.031,4479.2427,3717.3335,4446.7876,4251.546,4263.9097,3984.1816
540326.6227245331,4302.546,4252.5757,4186.121,4442.6665,4431.3335,4525.606,4373.1216,4258.2427,4472.0303,3715.788,4448.334,4251.031,4264.4243,3980.5762
540333.610534668,4299.4546,4252.0605,4188.1816,4444.727,4428.758,4527.152,4367.4546,4252.0605,4468.4243,3714.2427,4448.334,4252.0605,4265.4546,3979.0305
540341.9530391693,4295.8486,4252.0605,4186.6367,4442.152,4432.364,4531.273,4375.182,4259.273,4476.667,3720.9395,4449.8794,4256.697,4266.485,3983.1516
540349.5967388153,4297.394,4250.515,4184.576,4437.5156,4434.4243,4533.8486,4384.4546,4269.0605,4483.364,3729.697,4450.909,4256.697,4270.6064,3985.2122
540357.6190471649,4296.879,4250.515,4184.576,4440.0913,4434.4243,4533.3335,4381.8794,4276.788,4488.5156,3734.3335,4455.5454,4256.1816,4276.273,3983.1516
540365.6013011932,4293.788,4252.5757,4187.667,4448.8486,4434.4243,4533.3335,4379.303,4285.031,4497.788,3744.6365,4462.7583,4263.394,4284.0,3986.2427
540372.6181983948,4296.364,4253.0913,4193.8486,4457.091,4434.4243,4533.8486,4377.758,4286.5757,4499.3335,3752.3638,4463.273,4273.1816,4285.5454,3990.3638
540380.601644516,4301.0,4253.0913,4202.606,4464.303,4433.9097,4531.273,4371.576,4278.3335,4490.0605,3746.182,4462.7583,4280.394,4284.515,3988.3032
540388.610124588,4302.546,4256.697,4212.3945,4469.4546,4431.8486,4526.6367,4362.8184,4268.031,4482.3335,3734.3335,4464.303,4288.636,4284.515,3987.7883
540396.6176509857,4301.515,4262.364,4218.576,4471.0005,4431.8486,4525.606,4357.152,4259.788,4479.758,3733.3032,4464.819,4298.9395,4287.606,3991.9094
540405.5171012878,4304.091,4264.9395,4224.758,4473.576,4433.394,4526.1216,4358.6973,4256.1816,4477.6973,3733.3032,4463.788,4299.9697,4289.152,3993.97
540413.1586551666,4308.7275,4265.4546,4234.0303,4479.758,4431.8486,4525.606,4362.8184,4257.7275,4478.2124,3732.7878,4465.8486,4301.515,4289.152,3998.606
540420.5768108368,4310.788,4265.97,4237.636,4481.303,4429.273,4524.0605,4361.273,4261.3335,4483.364,3737.4246,4465.8486,4308.7275,4292.2427,4006.3337
540428.6296367645,4311.303,4268.031,4237.1216,4480.788,4432.879,4526.1216,4363.3335,4267.515,4493.667,3744.1213,4464.303,4309.2427,4294.303,4008.9092
540436.7203712463,4310.788,4269.5757,4236.091,4488.0,4439.576,4528.182,4371.061,4272.152,4496.758,3748.758,4465.8486,4307.182,4293.788,4003.7576
540443.5558319092,4308.212,4268.031,4236.6064,4494.1816,4438.5454,4530.758,4372.091,4272.152,4495.7275,3754.9397,4471.0005,4309.2427,4297.909,4000.667
540453.070640564,4303.576,4267.0,4235.0605,4486.4546,4435.97,4528.182,4370.5454,4269.0605,4498.3027,3753.394,4471.0005,4306.667,4301.0,3996.0305
540459.5673084259,4299.9697,4266.485,4226.303,4476.152,4438.031,4526.1216,4371.061,4266.485,4496.242,3744.1213,4466.364,4295.8486,4291.7275,3982.121
