Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
389521.4259624481,4269.0605,4464.819,4142.848,4376.212,4250.515,4519.9395,4355.606,4268.031,4462.2427,3752.3638,4431.8486,4204.6665,4269.0605,4141.303
389529.0334224701,4268.031,4465.3335,4142.3335,4374.1514,4248.4546,4521.485,4355.0913,4265.97,4462.7583,3753.394,4432.364,4202.0913,4268.546,4138.727
389538.53726387024,4268.031,4467.909,4144.3945,4377.758,4250.0,4524.0605,4358.6973,4264.9395,4465.3335,3752.3638,4431.8486,4203.121,4269.0605,4138.2124
389550.0569343567,4270.0913,4469.9697,4145.4243,4383.4243,4252.0605,4529.2124,4365.9087,4267.515,4465.3335,3755.97,4430.8184,4204.6665,4269.5757,4139.2427
389553.56788635254,4268.546,4472.5454,4143.879,4381.8794,4251.031,4535.394,4366.4243,4273.697,4469.9697,3757.0002,4432.879,4205.1816,4271.636,4139.758
389561.1217021942,4267.0,4473.576,4151.606,4384.4546,4253.6064,4537.4546,4366.4243,4277.303,4479.758,3759.5757,4437.0005,4206.727,4275.758,4140.7876
389569.52810287476,4267.515,4463.788,4157.273,4389.606,4252.0605,4532.303,4365.394,4275.242,4480.788,3764.2124,4439.576,4208.273,4276.788,4141.303
389576.1823654175,4268.031,4452.455,4148.5156,4388.5757,4250.0,4527.667,4358.6973,4270.6064,4474.0913,3763.6973,4441.6367,4209.3027,4275.758,4141.303
389593.3165550232,4264.4243,4447.303,4144.3945,4385.485,4248.4546,4524.0605,4353.0303,4266.485,4471.515,3757.5151,4439.061,4207.242,4274.7275,4139.758
389594.08354759216,4263.394,4445.2427,4151.091,4384.4546,4243.303,4524.576,4355.606,4265.4546,4471.0005,3755.4546,4433.394,4205.6973,4273.1816,4137.6973
389599.9746322632,4267.0,4452.455,4153.6665,4383.4243,4242.273,4524.576,4358.6973,4267.515,4471.0005,3758.0305,4432.364,4205.6973,4274.7275,4139.2427
389608.08849334717,4268.546,4466.8794,4151.091,4384.9697,4243.303,4526.6367,4359.2124,4269.0605,4472.5454,3759.5757,4432.879,4205.1816,4274.7275,4140.7876
389616.0695552826,4271.121,4469.4546,4152.1216,4389.091,4242.273,4526.6367,4356.6367,4270.0913,4473.061,3758.0305,4431.3335,4203.6367,4269.5757,4139.2427
389624.15385246277,4277.303,4464.819,4152.6367,4386.515,4245.364,4526.1216,4354.0605,4271.121,4473.061,3754.4243,4429.273,4202.606,4267.0,4139.2427
389632.05456733704,4284.0,4463.788,4149.0303,4381.8794,4253.6064,4526.6367,4356.6367,4276.788,4477.182,3759.0608,4433.394,4204.152,4275.758,4143.879
389640.07091522217,4282.97,4463.788,4144.909,4382.909,4253.6064,4528.182,4359.2124,4281.9395,4477.182,3764.2124,4435.97,4207.242,4281.9395,4146.455
389647.62020111084,4277.303,4465.3335,4139.2427,4382.909,4249.4854,4529.2124,4354.5757,4274.2124,4472.0303,3757.5151,4429.788,4204.6665,4271.636,4142.3335
389655.2519798279,4273.697,4462.2427,4130.485,4378.7876,4251.031,4526.1216,4348.909,4263.9097,4466.8794,3749.7883,4425.667,4197.455,4262.879,4139.2427
389663.0470752716,4273.697,4450.909,4129.4546,4378.7876,4251.546,4526.1216,4351.485,4262.879,4466.364,3753.394,4428.2427,4196.9395,4269.5757,4140.7876
389671.42486572266,4277.303,4439.576,4134.606,4382.394,4251.546,4528.182,4356.1216,4264.9395,4471.0005,3754.9397,4431.8486,4202.606,4271.121,4142.848
389679.08453941345,4279.879,4436.485,4132.5454,4382.909,4251.546,4531.788,4360.758,4264.9395,4468.94,3749.7883,4432.364,4200.031,4264.4243,4141.8184
389695.0399875641,4279.879,4430.8184,4129.9697,4381.364,4250.0,4534.364,4364.879,4264.4243,4466.8794,3748.758,4428.2427,4188.1816,4260.818,4138.727
389697.1652507782,4281.9395,4419.485,4138.727,4382.394,4253.0913,4535.909,4367.9697,4269.5757,4477.182,3757.5151,4428.758,4190.242,4262.364,4138.2124
389703.39131355286,4282.4546,4411.758,4141.303,4380.848,4257.2124,4540.031,4371.576,4278.3335,4485.4243,3766.788,4431.8486,4202.0913,4264.9395,4141.303
389711.09914779663,4276.788,4408.152,4131.0005,4378.7876,4256.697,4544.667,4371.576,4278.3335,4481.8184,3763.6973,4429.273,4195.909,4263.394,4138.2124
389719.10095214844,4272.152,4404.0303,4122.758,4379.303,4255.667,4543.636,4365.9087,4268.031,4476.667,3752.3638,4422.061,4183.546,4253.0913,4128.4243
389727.2114753723,4273.1816,4403.0,4125.8486,4382.909,4257.2124,4542.6064,4364.364,4265.97,4475.6367,3751.3335,4422.061,4186.121,4248.4546,4121.7275
389740.5664920807,4275.758,4408.152,4129.4546,4382.394,4254.636,4543.636,4363.848,4269.5757,4476.152,3754.9397,4426.182,4192.8184,4252.0605,4128.9395
389742.0825958252,4278.849,4406.6064,4125.3335,4378.7876,4251.031,4539.515,4359.727,4268.546,4476.152,3755.97,4424.6367,4189.7275,4253.6064,4136.152
389751.0530948639,4281.4243,4405.0605,4125.8486,4381.8794,4253.6064,4537.4546,4358.6973,4265.4546,4473.061,3757.5151,4423.0913,4189.7275,4250.0,4133.061
389758.63432884216,4284.0,4417.9395,4137.182,4389.091,4255.667,4540.031,4361.7876,4267.0,4476.152,3757.5151,4426.6973,4194.3633,4250.0,4133.061
389774.0476131439,4284.515,4423.6064,4141.303,4388.5757,4251.546,4533.3335,4360.2427,4267.515,4479.758,3752.8792,4427.7275,4194.3633,4254.636,4138.727
389776.69763565063,4282.97,4416.909,4136.152,4384.9697,4248.4546,4524.576,4355.0913,4264.9395,4474.0913,3750.8186,4429.788,4199.0,4258.2427,4140.273
389783.0762863159,4282.97,4416.394,4136.152,4387.0303,4249.4854,4531.273,4358.6973,4269.0605,4472.0303,3756.4849,4434.4243,4204.6665,4261.3335,4141.8184
389790.04096984863,4284.0,4417.4243,4139.2427,4387.5454,4251.031,4537.9697,4367.4546,4278.3335,4477.182,3759.5757,4433.9097,4202.0913,4263.9097,4143.364
389797.1394062042,4280.394,4412.273,4137.182,4388.061,4251.031,4533.3335,4365.394,4282.97,4481.303,3757.5151,4431.3335,4202.0913,4263.9097,4141.8184
389810.02831459045,4285.031,4410.7275,4142.848,4395.273,4253.0913,4536.9395,4362.303,4281.9395,4483.879,3760.091,4437.0005,4209.3027,4262.364,4148.0005
389814.0273094177,4298.4243,4420.0,4154.182,4401.9697,4257.7275,4546.7275,4372.606,4285.031,4488.5156,3769.879,4443.6973,4213.9395,4270.6064,4158.819
389821.19822502136,4302.0303,4428.2427,4157.273,4399.394,4260.818,4545.697,4380.848,4290.6973,4491.6064,3774.0,4447.819,4217.0303,4279.879,4158.819
389829.06317710876,4301.0,4424.6367,4154.182,4398.3643,4258.7573,4544.152,4377.758,4291.7275,4491.6064,3770.9092,4450.909,4220.6367,4279.364,4157.788
389838.8235569,4301.0,4416.394,4153.1514,4398.879,4251.031,4541.5757,4369.5156,4288.121,4489.031,3768.3335,4448.334,4218.0605,4278.3335,4158.819
389845.09444236755,4299.4546,4416.909,4156.2427,4396.8184,4250.0,4534.364,4366.9395,4285.5454,4485.4243,3769.879,4446.7876,4219.091,4279.879,4157.788
389853.3170223236,4298.9395,4417.4243,4157.788,4395.273,4251.031,4532.303,4369.0005,4282.97,4481.8184,3771.4243,4451.4243,4220.121,4282.4546,4158.303
389861.02771759033,4300.485,4414.3335,4155.212,4393.212,4253.0913,4534.879,4367.4546,4281.4243,4481.303,3769.879,4450.3945,4211.364,4279.879,4156.758
389873.97384643555,4295.8486,4415.879,4152.6367,4393.727,4257.2124,4536.4243,4362.8184,4282.97,4482.8486,3768.3335,4443.182,4208.273,4276.273,4152.1216
389877.7048587799,4293.788,4414.8486,4157.273,4398.3643,4259.788,4541.061,4368.485,4288.121,4485.9395,3775.546,4447.303,4215.485,4284.0,4154.182
389890.00129699707,4296.879,4405.5757,4153.6665,4394.758,4257.7275,4545.182,4378.7876,4292.2427,4489.546,3779.1516,4452.9697,4214.455,4287.606,4158.303
389897.0561027527,4288.636,4397.3335,4143.364,4385.485,4256.1816,4543.1216,4377.758,4292.2427,4488.0,3771.4243,4445.758,4205.6973,4278.849,4152.6367
389899.98412132263,4280.9097,4396.8184,4142.3335,4384.4546,4254.636,4542.0913,4371.576,4285.031,4481.303,3765.2427,4440.0913,4201.576,4273.697,4148.0005
389913.6197566986,4285.5454,4399.394,4143.879,4389.091,4255.152,4544.667,4370.5454,4275.758,4478.2124,3766.273,4442.152,4201.576,4275.758,4149.5454
389916.12124443054,4284.515,4400.9395,4143.879,4389.091,4256.697,4544.152,4367.9697,4273.1816,4477.182,3764.2124,4441.6367,4202.0913,4275.242,4149.0303
389933.3851337433,4283.485,4400.9395,4149.5454,4389.091,4257.2124,4543.1216,4368.485,4274.7275,4477.182,3764.2124,4440.0913,4206.2124,4276.788,4150.576
389933.4671497345,4294.8184,4402.4854,4157.788,4393.212,4259.788,4547.2427,4374.6665,4273.697,4478.7275,3768.8486,4444.727,4209.8184,4280.9097,4157.788
389940.21344184875,4294.303,4401.4546,4151.606,4392.697,4260.818,4550.8486,4374.6665,4267.0,4474.0913,3765.2427,4443.182,4205.1816,4276.273,4153.6665
389946.994304657,4282.4546,4397.3335,4143.364,4389.606,4253.6064,4546.7275,4368.485,4267.0,4470.485,3760.091,4434.4243,4197.97,4270.0913,4140.273
389955.0292491913,4286.5757,4394.2427,4150.576,4386.515,4249.4854,4543.1216,4368.485,4275.242,4477.6973,3759.5757,4432.879,4199.0,4267.515,4140.7876
389963.07921409607,4298.4243,4394.2427,4159.3335,4386.515,4252.5757,4545.182,4372.091,4279.879,4482.3335,3762.667,4439.576,4205.6973,4272.152,4151.091
389971.11344337463,4295.3335,4393.212,4156.758,4390.1216,4255.667,4545.182,4371.576,4279.364,4478.2124,3764.2124,4439.576,4206.727,4277.8184,4149.5454
389979.03180122375,4288.121,4391.6665,4155.212,4394.758,4254.636,4542.0913,4368.485,4280.394,4478.7275,3763.1821,4433.9097,4205.6973,4273.697,4142.848
389988.52348327637,4287.606,4387.5454,4158.303,4393.727,4251.546,4541.5757,4364.364,4281.9395,4480.273,3764.2124,4437.0005,4204.152,4270.6064,4141.8184
389995.0737953186,4289.667,4389.091,4158.303,4393.212,4251.546,4543.636,4365.9087,4284.515,4483.364,3772.9697,4443.182,4204.152,4279.364,4145.4243
390003.2649040222,4295.3335,4397.3335,4162.94,4398.3643,4255.152,4543.636,4370.0303,4288.636,4493.152,3777.091,4446.273,4209.3027,4284.515,4152.6367
390015.0713920593,4299.4546,4398.879,4172.7275,4405.0605,4258.7573,4542.0913,4369.5156,4290.6973,4497.273,3771.9395,4450.3945,4213.4243,4279.879,4157.788
390019.09351348877,4299.4546,4395.273,4172.7275,4408.152,4259.273,4542.0913,4368.485,4283.485,4486.97,3766.273,4449.364,4211.879,4276.273,4155.727
390026.1559486389,4297.909,4396.3037,4171.182,4407.6367,4258.7573,4543.636,4372.606,4273.1816,4479.2427,3766.273,4444.2124,4209.3027,4275.242,4154.182
390034.0223312378,4299.9697,4396.8184,4170.667,4404.546,4260.303,4544.667,4375.182,4272.152,4479.758,3762.667,4442.6665,4206.727,4273.697,4153.6665
390042.1040058136,4299.9697,4391.1514,4160.8794,4403.515,4261.8486,4544.667,4375.182,4273.1816,4479.2427,3755.97,4439.061,4204.6665,4269.5757,4144.909
390050.08244514465,4296.364,4389.091,4156.758,4403.515,4263.394,4544.667,4374.6665,4272.667,4476.667,3757.5151,4435.455,4202.606,4268.546,4140.7876
390058.1398010254,4296.879,4393.212,4165.0005,4404.0303,4267.0,4545.697,4376.212,4278.3335,4478.7275,3768.3335,4444.2124,4204.6665,4278.849,4150.576
390066.0893917084,4299.4546,4393.212,4163.9697,4404.0303,4268.031,4537.9697,4377.758,4284.515,4487.4854,3772.4546,4452.455,4213.4243,4286.5757,4158.303
390074.0873813629,4296.879,4389.091,4157.788,4401.4546,4262.364,4522.0,4372.606,4283.485,4491.0913,3767.3032,4447.819,4216.5156,4282.4546,4156.758
390082.07058906555,4294.8184,4391.6665,4161.394,4400.9395,4253.6064,4510.6665,4365.9087,4282.4546,4482.8486,3765.2427,4443.6973,4213.4243,4279.364,4154.6973
390089.2643928528,4295.8486,4396.3037,4160.8794,4403.515,4252.5757,4504.485,4365.9087,4281.9395,4477.182,3765.7578,4446.273,4213.4243,4282.97,4155.727
390102.0383834839,4297.394,4395.788,4159.8486,4405.0605,4254.636,4503.97,4367.4546,4278.3335,4480.273,3762.667,4446.273,4213.9395,4281.9395,4154.6973
390105.4091453552,4296.364,4396.3037,4167.5757,4403.515,4253.6064,4502.9395,4366.4243,4276.273,4481.8184,3763.6973,4444.727,4212.909,4280.9097,4155.212
390118.0946826935,4296.879,4399.394,4167.5757,4403.0,4254.121,4502.9395,4371.061,4277.303,4480.788,3771.9395,4451.94,4219.606,4285.5454,4158.819
390121.22678756714,4298.4243,4399.394,4157.788,4404.0303,4256.697,4505.5156,4375.6973,4280.394,4481.8184,3773.4849,4459.1514,4222.1816,4285.5454,4159.8486
390128.99351119995,4291.7275,4392.182,4153.6665,4404.546,4255.152,4503.455,4373.1216,4277.303,4479.758,3766.788,4455.0303,4210.334,4283.485,4154.6973
390138.756275177,4280.9097,4385.485,4153.6665,4402.4854,4247.9395,4495.2124,4368.485,4265.97,4472.0303,3760.606,4445.2427,4200.5454,4279.879,4148.0005
