Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
577794,1323.3070474944334,1323.7762453814125,1322.4265137980817,1323.8642324165396,1322.2677984431673,1323.9409430576036,1323.4498002751895,1324.3757418432033,17710.12611751332,17721.572103086044,12649.134308080129,17714.344720253757,17743.41479053188,17810.43534443016,-41048.052128453724,17714.69620770192
577795,26617.24148682437,26629.720186160503,26616.3765867842,26636.190498755892,26628.768003881323,26636.911764487584,26628.888513667403,26630.843415517214,45992.34062308423,46018.72588123739,-99895.38235419604,46030.197265808834,46072.281889852275,46259.99239308033,-807512.5632088204,45920.58751407409
577796,35210.89502643542,35226.71805172951,35209.97406240948,35236.439113109824,35226.4348484637,35237.12298072374,35225.97954493787,35228.17111100082,63298.42311495126,63333.94932695255,-128731.02092753665,63347.92112045087,63406.31143839846,63668.35326782418,-1066529.2153335507,63202.69499076767
577797,30334.369683698053,30346.8110647889,30333.081871163056,30356.642609811046,30346.770793211148,30357.33200369872,30346.34865059722,30348.227376558214,63404.49595725874,63439.92281594191,-100616.13216874644,63447.0474809064,63511.2109982152,63774.88176580438,-918778.8490773297,63325.105108132644
577798,27447.220967204306,27457.757624319103,27444.911177077076,27466.871613088966,27456.843761667307,27468.633064620222,27456.686338436466,27458.774495931633,54404.672792404665,54435.11769067356,-95706.90832724146,54441.76163403438,54495.37422915277,54721.029155424694,-834718.7671499943,54332.96206205603
577799,30764.105088021388,30776.1923267411,30760.031747760513,30784.959818450778,30773.704170828612,30788.717562071968,30773.529019340498,30776.861878119733,51178.76658639051,51207.521921842206,-119880.11144785596,51218.90001755297,51264.33827009336,51474.2051973037,-939012.4239518128,51095.39781562742
577800,30879.225754683193,30891.2998236177,30873.353544506295,30899.23506954479,30887.96416020485,30904.73335398896,30887.20771637647,30892.03943343278,55202.273986183296,55232.94762693068,-116243.1630672424,55242.56640026823,55295.34228232043,55519.497725818415,-943642.2294795411,55118.38377116552
577801,25265.332747068867,25274.658820540448,25258.437723968942,25280.92972490695,25271.512786719504,25286.871481656337,25269.861465721588,25275.340746748327,55656.34483297462,55685.79386823138,-83471.19485069816,55689.26065207097,55749.653767956566,55975.13343920723,-773894.7539593207,55588.49568917682
577802,23649.113849162717,23657.936717599667,23641.629768610965,23662.942241798755,23654.529182103677,23668.100550606076,23652.416545751876,23657.443855997666,50399.069532044436,50423.58570321249,-81012.63286840949,50428.892541261535,50482.0310560213,50686.43603335325,-727216.7534305743,50332.74980316733
577803,29040.046577394543,29051.888562676017,29031.49071757567,29056.333590143313,29046.97135711818,29060.456087749466,29045.17878654639,29048.964972513924,48908.51945269297,48931.71398168507,-114784.95194536568,48945.20086046528,48988.977077552714,49187.16339192397,-893748.5929375261,48823.5274582757
577804,31046.620515085608,31059.647582471625,31036.750322885862,31062.69148404803,31053.309354495017,31066.404888324578,31051.871470710284,31054.089328276357,53232.28899279442,53259.71142534727,-121788.6326807093,53273.46684333976,53322.38049368679,53537.380714031606,-956504.671262976,53142.96718645774
577805,25016.37515448444,25026.5337013781,25006.23133087576,25026.85580140958,25020.051882748892,25031.144862825906,25018.10124678405,25019.68298348043,53837.333559483886,53867.5925802814,-86664.27211962739,53872.68509276716,53930.75811782849,54147.68842129222,-775265.1308602885,53769.10641618984
577806,21262.28050390283,21270.49291650884,21253.26467688642,21268.827955792694,21264.471871564736,21274.54608858087,21261.452769165,21264.673770035144,48130.20859379403,48158.5926920715,-72582.92935607088,48160.85330076489,48214.271629964336,48408.0644746426,-664365.6154581942,48072.70460475553
577807,26281.210446694746,26291.292328169795,26273.506686034834,26290.011970997053,26285.486304109254,26297.015125273672,26281.966838017335,26288.26474033148,45891.33225360689,45918.42571209734,-105260.58829393577,45927.91696958717,45970.88903702512,46155.891430286036,-819963.965166244,45815.47819506956
577808,30455.631654772562,30466.983640470055,30448.17614325811,30467.21170324811,30461.45465461978,30473.857101081732,30458.435636519378,30466.65791639567,50690.41031347041,50719.647055410285,-124211.73979436641,50733.15100188587,50778.12362415184,50983.16972795315,-948248.9323359466,50600.648650002564
577809,25527.79634269863,25536.471800070027,25519.534918047702,25537.538248583838,25531.52226828885,25542.186312669917,25529.50992758634,25537.328667158872,52551.20512772861,52580.736144662376,-93534.62756069584,52589.398880555236,52642.57833790664,52856.124638094785,-798782.159168375,52477.688266869096
577810,19881.618372697463,19887.94789814014,19872.465644725904,19889.673890792503,19883.09827851857,19892.849235798756,19882.128454004924,19888.435265434215,46537.44714945166,46562.568190279635,-68180.02245985568,46569.72940216905,46618.50002489159,46808.424137311784,-628052.9010596881,46481.925145984125
577811,23242.815301927287,23251.594546444187,23233.547389987238,23254.75554790584,23245.96768891651,23258.653311645146,23245.821207181503,23251.048362557616,42559.86291077966,42582.00727352305,-92741.69970709442,42597.389647221156,42633.65289275632,42807.474134014206,-731878.0317559118,42493.95576763229
577812,28880.977469160047,28893.25628433509,28872.436348166513,28897.542866973527,28887.371692125296,28903.36643484846,28887.223274835455,28892.075122424176,47240.1959097536,47265.01034310606,-119847.0992575566,47286.030439990194,47321.73514110519,47514.24619267502,-904194.5756305971,47158.121772578364
577813,26074.89720077205,26085.913340143838,26067.407527182324,26089.719240279264,26081.637846041795,26096.745696181104,26080.36108807316,26084.896541116344,51231.75416004461,51258.95044738607,-98433.82244465196,51274.092375416236,51319.64318471614,51528.64983304292,-818724.6396109834,51160.02050232358
