Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
209651,3652.029001670619,3657.0083387893596,3653.351742599637,3656.1925265289237,3657.326344791521,3656.4656821310973,3651.816977309887,36796.32470986274,-3905.4069068813906,-3908.4704814326456,-14009.519628117256,-3905.197555437611,-3902.4919017590937,-45940.36094495546,-91598.16230082886,-3918.493992708574
209652,2763.359631038409,2768.731167455979,2767.5864228633313,2768.099390957591,2768.291226847539,2766.994258400475,2765.0011193930804,21803.065430574192,-15027.165507080552,-15032.107647339217,-12470.908202309834,-15034.580344828144,-15007.798070723707,-158431.96265464276,-45943.27920445248,-15041.536354761789
209653,4280.7514417743805,4287.289592035062,4286.670986648028,4287.027495648359,4286.184973736044,4284.810683986349,4283.515576046137,35468.23338045538,-20205.00767754686,-20210.738105512537,-18407.00041679493,-20214.49297138842,-20178.287609111423,-212648.9953855018,-73904.36914372552,-20225.965743945235
209654,5721.279611254102,5728.733287628376,5727.872124423424,5728.2142626928335,5727.213782135398,5725.4114578922845,5725.047842928556,51102.02164511365,-19138.34059767552,-19143.694613120257,-19220.091449155134,-19146.90772178745,-19114.02556809398,-204689.38204296137,-113845.01553595928,-19164.45481807628
209655,4343.679455880951,4350.651120757136,4350.533452290193,4348.885859349489,4349.105246202386,4346.191824226638,4348.785441939139,36750.00570896405,-16969.354879646853,-16974.65457695771,-5739.640430451705,-16979.691188494195,-16949.7895307853,-184719.36549721606,-85871.61103904071,-16992.919820811007
209656,2466.050178580989,2472.268312364023,2472.7987668892415,2469.275511713473,2470.9321747513413,2467.566851612316,2471.70955605771,15799.047429828666,-17308.41401440947,-17314.95366551141,6837.279646782559,-17322.485619553547,-17290.14228993615,-189373.14998191939,-40293.55551178971,-17328.427814588467
209657,3327.7140084884495,3334.6356979616025,3334.223057254873,3331.36084725853,3333.550503117171,3331.5786789714575,3332.207072596471,24178.5567202693,-18138.53478384031,-18146.206679633146,3848.8021033302616,-18153.489137293116,-18119.65964392731,-199481.6651405148,-62343.86597060211,-18161.69754537509
209658,5099.183779307865,5107.627356370322,5105.950240913965,5104.692500707422,5106.893602468976,5106.970171247169,5101.875821629925,43308.462204598225,-16947.87900526989,-16955.21902203885,-2690.0278937888106,-16961.756769225904,-16929.612006206593,-189303.6037236388,-111153.3575367512,-16975.45537389128
209659,4280.527927383097,4289.560762392147,4288.172290928545,4287.063599224156,4289.372973566161,4290.065697299328,4282.284767548818,34484.56713466538,-15704.587511678455,-15711.349460812049,3854.225030751404,-15720.89342278498,-15686.717620863054,-177410.67146594945,-94762.27427414535,-15729.602765675185
209660,2214.8318387085037,2223.640795952463,2223.1582191202106,2221.88451675713,2223.759283368733,2223.8220388624577,2215.979736346356,11080.325064044055,-16812.176984789487,-16819.603622377064,14601.338181605905,-16833.95637206629,-16792.278828229617,-188414.14879657,-42065.090525165535,-16832.368861115327
209661,2575.250382382333,2584.2944840064865,2583.0908824942567,2583.622303273837,2583.828222321987,2583.8722274572033,2574.7731795096497,13744.369435021434,-18142.13184732538,-18150.216432042555,12366.740971139669,-18165.809465233397,-18119.842895806258,-202299.6212328992,-49873.68104407714,-18164.647562344253
209662,4515.333098064326,4524.71119900133,4521.61364205093,4524.873061384574,4523.302953543996,4523.908036634682,4512.922965769016,34685.70390001466,-16888.811876503078,-16895.69800400426,3474.659304749959,-16909.103161403087,-16866.571093510243,-190550.50223650108,-102651.82355988567,-16917.525861985043
209663,4265.342141580709,4273.748523932931,4270.117402598109,4274.152166481471,4272.530658538547,4272.393515780024,4262.578850511966,32327.399466735922,-15053.828887839307,-15058.99524235832,4808.017742291809,-15071.149936137313,-15032.608364716718,-171644.58053699776,-101286.39422033004,-15082.640899378304
