Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
262628.56817245483,4308.212,4241.2427,4186.6367,4415.879,3222.7883,4519.4243,4357.6665,4284.0,4489.031,3740.0002,4479.758,4243.818,4284.0,4099.0605
262636.5911960602,4313.879,4239.182,4186.121,4417.9395,3223.3032,4522.5156,4360.2427,4284.0,4493.667,3743.6062,4480.788,4243.303,4283.485,4102.1514
262644.59323883057,4313.879,4239.182,4187.152,4416.909,3222.7883,4527.667,4367.4546,4284.515,4496.242,3744.6365,4481.303,4252.5757,4284.515,4102.1514
262652.87613868713,4313.364,4238.667,4188.1816,4413.303,3218.1516,4528.182,4367.4546,4285.5454,4493.667,3744.1213,4480.788,4254.121,4284.0,4101.121
262660.5842113495,4314.3936,4241.2427,4190.242,4415.879,3216.6062,4526.6367,4364.364,4285.031,4494.6973,3743.6062,4481.303,4252.0605,4284.0,4105.2427
262668.8406467438,4313.879,4247.4243,4191.273,4422.061,3216.091,4526.6367,4366.4243,4284.0,4493.667,3742.576,4480.273,4252.0605,4284.0,4106.788
262675.49324035645,4312.8486,4246.909,4190.242,4421.031,3214.5457,4526.6367,4371.576,4280.394,4486.97,3740.0002,4479.758,4249.4854,4280.394,4101.636
262683.5124492645,4311.303,4238.667,4189.7275,4414.8486,3215.576,4524.576,4371.061,4273.1816,4479.2427,3732.273,4478.2124,4243.818,4273.697,4097.0
262691.54834747314,4306.667,4236.091,4187.667,4411.2427,3220.7273,4523.5454,4367.9697,4271.121,4477.6973,3725.061,4477.6973,4241.7573,4273.1816,4094.4246
262699.5232105255,4305.1216,4237.1216,4186.121,4412.273,3228.4546,4522.0,4368.485,4270.0913,4477.6973,3726.0913,4479.2427,4240.7275,4275.758,4089.788
262707.5483798981,4309.758,4237.636,4189.2124,4415.879,3236.6973,4524.0605,4371.576,4268.546,4478.7275,3729.697,4480.273,4240.7275,4273.1816,4089.788
262715.5783176422,4308.7275,4238.667,4189.7275,4420.0,3242.879,4526.6367,4373.1216,4272.152,4479.2427,3729.1821,4480.788,4239.182,4273.697,4092.8792
262723.6044406891,4302.0303,4237.636,4186.6367,4418.9697,3248.546,4526.1216,4370.0303,4274.2124,4479.758,3728.6667,4480.788,4238.152,4275.242,4089.788
262731.50086402893,4301.0,4235.0605,4186.121,4414.3335,3256.2727,4525.606,4370.0303,4272.667,4480.273,3729.1821,4479.2427,4238.152,4274.2124,4083.0908
262739.609003067,4303.576,4236.091,4181.485,4414.3335,3263.485,4522.0,4374.1514,4272.667,4481.303,3729.1821,4477.6973,4234.5454,4274.2124,4083.6064
262746.58465385437,4302.0303,4237.1216,4179.9395,4417.4243,3269.6667,4522.5156,4371.576,4271.636,4481.8184,3733.818,4480.788,4234.0303,4277.303,4090.303
262754.5533180237,4303.576,4235.5757,4186.6367,4416.909,3270.697,4523.0303,4359.727,4267.0,4478.7275,3736.9094,4482.8486,4239.182,4281.4243,4093.394
262762.61615753174,4310.788,4243.303,4192.3027,4423.0913,3275.3337,4524.0605,4359.2124,4267.515,4480.273,3738.4548,4483.879,4248.4546,4286.5757,4098.0303
262770.5397605896,4315.94,4252.0605,4192.3027,4430.8184,3283.576,4526.1216,4363.3335,4268.546,4483.879,3741.0305,4486.4546,4254.636,4287.0913,4102.667
262778.4903049469,4312.333,4243.303,4192.8184,4424.1216,3284.0908,4521.485,4356.6367,4261.3335,4480.788,3738.97,4486.97,4247.9395,4280.9097,4098.0303
262786.51571273804,4303.576,4232.485,4185.0913,4412.273,3279.9697,4513.758,4349.4243,4256.697,4472.5454,3730.2124,4477.6973,4237.1216,4274.7275,4088.7576
262802.86622047424,4299.4546,4235.5757,4174.273,4415.879,3282.5457,4513.758,4352.515,4256.1816,4469.9697,3726.0913,4469.4546,4235.5757,4273.1816,4081.0303
262821.5365409851,4303.061,4237.636,4176.8486,4421.546,3284.0908,4514.2734,4355.606,4257.2124,4474.6064,3726.0913,4470.485,4237.1216,4271.636,4081.0303
262822.46017456055,4302.546,4234.0303,4180.4546,4416.394,3282.5457,4512.2124,4354.5757,4263.394,4478.7275,3727.1216,4473.576,4237.636,4271.636,4083.6064
262823.72975349426,4299.9697,4233.515,4176.3335,4412.273,3284.0908,4515.303,4358.6973,4264.9395,4479.2427,3731.7576,4475.6367,4240.7275,4273.1816,4085.1514
262827.55732536316,4304.6064,4235.0605,4174.273,4415.364,3290.788,4521.485,4365.394,4267.515,4480.788,3736.3943,4477.6973,4241.7573,4274.7275,4085.1514
262833.5041999817,4305.6367,4235.0605,4175.8184,4416.909,3294.9092,4520.9697,4364.364,4277.8184,4484.394,3735.3638,4477.182,4236.091,4273.697,4085.667
262842.9055213928,4300.485,4234.0303,4173.2427,4411.758,3298.0,4518.3945,4359.2124,4279.879,4484.909,3733.818,4475.1216,4233.515,4271.636,4083.6064
262859.08818244934,4300.485,4233.515,4170.1514,4407.6367,3303.6667,4517.879,4359.2124,4272.667,4481.8184,3735.3638,4474.0913,4235.0605,4273.1816,4081.0303
