Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
147191,-5334.395823178342,-5337.999476820498,-5337.181350859802,-5338.127041498901,-5334.359537494929,-5338.80483209833,-5349.251765570156,-65198.66572922329,4330.115980065333,4335.03605751103,2581.919227317171,2571.220420399348,4333.760564361651,46295.63161006833,183108.63900728084,3761.7400026070404
147192,-7220.778409384177,-7223.394849023036,-7222.992568678948,-7224.06185083661,-7219.199512663217,-7223.614123376143,-7237.126912618308,-81869.88462463909,17811.285161041575,17826.900901207584,14315.652671117092,14304.585510137746,17830.13655283573,170058.1861832175,219218.43181429643,16669.498848354997
147193,-10497.721406024255,-10500.48144158043,-10499.694141655851,-10502.263546528982,-10495.885915051036,-10499.87398826341,-10520.013241254168,-116870.51189951246,23643.76720409023,23664.130630742133,18784.5725093007,18770.57896455087,23669.763094206945,222584.58309732145,315317.2191920284,22057.879032668337
147194,-11695.604092582795,-11698.13019656553,-11697.622290016712,-11700.74118198371,-11693.82419768509,-11696.228821195811,-11720.03262092491,-131046.77891246771,22221.842945381417,22241.040669775757,17123.404818914834,17108.222675098303,22247.402713657062,208327.9204072688,366304.8345292874,20559.92639892856
147195,-8705.236250845843,-8706.033151338972,-8707.29933641502,-8708.460845184132,-8702.818133693574,-8702.674631354379,-8722.176142314602,-98290.39268827107,20422.15396392805,20439.410578714094,16054.176402778092,16042.447175711597,20446.660215020158,191354.588704693,293747.1363882288,18997.562809391944
147196,-5761.971728171602,-5761.450890072649,-5763.72490634464,-5763.497965964783,-5759.1673438729995,-5757.442487892298,-5771.592450348664,-65039.83939202239,21834.77740219625,21852.67905257741,17884.141813286747,17875.045235767277,21861.0013042809,203716.9931056735,218499.9191330886,20544.120439527112
147197,-6575.536904636673,-6575.822214645636,-6576.505236934,-6578.068211361488,-6573.495611980458,-6572.466741789454,-6587.301385139164,-74241.60022725342,23114.877213059262,23134.147362414136,18732.28368898178,18720.400646769915,23141.98516730208,213530.38993109914,260109.38248225756,21683.922546194895
147198,-7914.080755092797,-7915.353423792178,-7913.810938471744,-7917.652097663583,-7912.713593433758,-7913.047284726665,-7929.611675511011,-90392.57383152246,21802.830408946757,21821.740068017454,17089.832146763914,17074.569280914624,21827.280841476495,198912.1236319263,324873.70527551754,20266.03773233055
147199,-5757.515038936444,-5757.465834711429,-5755.863135379351,-5759.039158538166,-5755.337028864211,-5755.457808892197,-5768.066726888307,-67069.7691560174,21217.402500990385,21235.4786596696,16892.794876791908,16878.982120400506,21239.075417639295,191656.49910344087,282401.0597933221,19806.230116856375
147200,-2728.5257718359626,-2726.2351984104293,-2726.309100060958,-2727.2294215522825,-2724.9401134137606,-2724.031547281727,-2731.684137320939,-32922.08397202408,23763.79392070257,23782.417493347282,19753.11170816492,19741.89827535379,23786.049210171266,213460.00486875448,206394.3140262294,22452.22469258786
147201,-3106.430080043892,-3103.667779871434,-3105.015911264552,-3105.174165245734,-3102.1010219876725,-3101.6285146731357,-3110.6250772755425,-37371.14797866728,25809.67353369019,25828.937047459003,21402.880909586645,21390.18682909375,25833.60379562391,229699.15924178192,233994.8579116274,24369.523536300534
147202,-4880.0166712293285,-4877.937274597719,-4879.915950160193,-4880.212566941967,-4874.892674729035,-4875.944920876671,-4888.55529173138,-58867.041877195756,24261.30234091832,24279.87843057922,19478.72402600698,19463.89722497219,24284.837550378106,212196.78203177638,309205.0960605418,22702.404834423454
147203,-3661.8475658550133,-3659.7069212324677,-3662.653464880437,-3661.493323951204,-3655.164238116549,-3656.5212009362785,-3667.0245386941847,-46815.84245598137,22563.565354956045,22582.136562854896,18124.917411673916,18112.94304108941,22586.521526394667,193883.12478443186,289262.02359456336,21118.687590766996
147204,-978.4290075106184,-976.1666984715984,-980.0606726408072,-976.4521744484715,-970.8797525722061,-971.3187720240279,-976.8204480686198,-17059.0481264938,24458.386254114397,24479.605050789105,20422.72363784131,20415.449670508853,24483.16241308323,209134.1505973336,211906.84104442236,23143.801399155353
147205,-1352.191906775279,-1351.1710996520885,-1355.0744310622083,-1350.5368629698528,-1346.1404536751245,-1346.387233479137,-1351.8883360787509,-21558.3153108404,26857.36333316374,26881.489055742095,22520.71396581108,22513.278832632648,26883.67358019046,228431.79482087353,222568.70587998943,25444.58230390064
147206,-3744.9186401456263,-3745.182281758999,-3748.757228163646,-3744.4819924242274,-3741.768375466895,-3742.4390182402744,-3750.8697233798616,-50171.59051496048,25339.935486473532,25363.78940492584,20599.113910197197,20588.348342489135,25364.190430787006,211152.0814828194,300355.7472083774,23797.421204491395
147207,-3508.162555611892,-3507.4548354633125,-3511.3461342503374,-3506.516787372864,-3506.65533454005,-3506.619282111397,-3513.2302843237335,-49683.01369547986,22371.463017728965,22392.87727865742,17965.724134539072,17955.158052868952,22393.066083662532,181231.75664951018,298132.5774534148,20938.533190800335
147208,-1163.2962727474614,-1160.340635148482,-1164.2226976510924,-1159.102482082127,-1161.4021725600105,-1159.887356031311,-1162.001112543564,-24163.058991657377,22925.630273073435,22945.69015444976,19060.468793939603,19053.15332451074,22948.749580330754,184735.46448737266,220242.34826678375,21666.238532665084
147209,-1444.31282264904,-1441.0500312718457,-1443.2112809008645,-1440.7876547080807,-1441.8391475043002,-1440.1029397151713,-1443.8106288405872,-27442.690280324157,25384.335965197402,25403.891230793968,21326.734930627103,21319.787346643712,25411.046161690127,205760.20946134202,214645.79911557864,24060.613260328682
