Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1067869.221687317,4474.6064,4441.1216,4355.0913,4617.303,4421.031,4694.061,4548.273,4430.8184,4614.212,3922.8792,4570.9395,4403.515,4431.3335,4307.6973
1067885.21194458,4483.879,4450.909,4358.182,4621.94,4417.4243,4695.606,4559.6064,4447.303,4629.1514,3933.182,4585.879,4415.364,4442.6665,4322.636
1067886.174917221,4480.273,4442.152,4356.6367,4615.2427,4421.546,4696.1216,4561.667,4449.8794,4633.273,3935.758,4588.97,4418.4546,4446.7876,4327.2725
1067892.2452926636,4478.2124,4442.152,4357.152,4617.8184,4429.788,4704.364,4571.4546,4447.819,4632.758,3937.8186,4587.4243,4416.909,4447.303,4326.2427
1067900.1429080963,4481.8184,4454.0005,4359.727,4628.1216,4428.758,4706.4243,4578.152,4456.576,4641.0,3945.5454,4591.5454,4418.9697,4450.3945,4327.788
1067908.1587791443,4479.2427,4452.455,4357.6665,4622.9697,4425.667,4700.758,4573.0,4461.2124,4648.7275,3947.6062,4593.0913,4418.9697,4449.364,4325.212
1067916.1901474,4465.8486,4437.5156,4349.4243,4608.546,4430.8184,4698.182,4563.7275,4450.909,4643.0605,3937.303,4582.273,4410.2124,4438.5454,4315.425
1067924.3566989899,4453.485,4428.2427,4338.091,4601.3335,4432.364,4700.2427,4559.6064,4442.6665,4635.3335,3928.0303,4574.546,4398.879,4430.8184,4310.2725
1067932.1098327637,4452.9697,4429.788,4336.546,4598.2427,4426.6973,4700.2427,4560.636,4448.334,4639.9697,3928.5454,4576.6064,4398.3643,4433.394,4305.6367
1067940.4187202454,4457.606,4435.455,4340.1514,4593.6064,4423.0913,4702.303,4560.121,4455.0303,4651.303,3933.6975,4578.667,4400.9395,4430.8184,4298.4243
1067948.1949806213,4455.0303,4433.394,4337.0605,4592.061,4422.061,4702.303,4560.121,4454.5156,4653.879,3933.6975,4574.546,4395.788,4423.6064,4299.4546
1067955.2080631256,4445.758,4417.9395,4327.788,4585.364,4415.364,4693.0303,4557.031,4449.364,4646.667,3927.5154,4562.182,4385.485,4416.394,4297.909
1067964.1885757446,4445.758,4416.909,4324.182,4580.7275,4406.091,4690.9697,4556.0,4446.7876,4644.6064,3929.576,4556.0,4379.8184,4413.303,4293.273
1067971.5604782104,4461.7275,4436.485,4337.5757,4589.485,4405.0605,4700.2427,4558.5757,4452.455,4656.4546,3940.9092,4568.364,4389.091,4423.0913,4307.182
1067980.135679245,4461.7275,4428.758,4339.121,4584.849,4409.6973,4699.2124,4553.425,4448.334,4654.909,3936.273,4572.4854,4393.212,4426.6973,4313.364
1067987.1020317078,4439.061,4396.8184,4320.061,4561.667,4405.0605,4681.6973,4535.909,4429.788,4631.7275,3914.6365,4553.9395,4378.2725,4407.6367,4291.7275
1067995.262145996,4433.394,4393.727,4313.364,4554.4546,4391.1514,4670.364,4525.606,4418.9697,4619.3643,3907.94,4543.1216,4368.485,4397.3335,4280.394
1068003.1516551971,4444.2124,4405.0605,4322.1216,4560.636,4384.4546,4668.303,4526.6367,4424.1216,4623.4854,3912.576,4547.2427,4372.091,4406.6064,4288.121
1068011.1482143402,4444.2124,4400.9395,4326.7573,4560.636,4384.4546,4667.7876,4535.394,4432.364,4624.515,3911.5454,4547.7573,4373.1216,4407.6367,4292.758
1068018.1181430817,4438.031,4397.3335,4322.1216,4558.5757,4381.8794,4665.2124,4541.061,4429.273,4621.425,3904.3333,4545.182,4370.5454,4399.909,4289.667
