Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3974833.6346149445,4264.9395,4215.485,4134.0913,4411.2427,4237.1216,4565.273,4393.212,4305.6367,4509.121,3782.7578,4441.6367,4257.2124,4264.9395,4134.606
3974839.994430542,4261.8486,4204.6665,4123.273,4398.879,4236.6064,4559.0913,4378.2725,4296.879,4501.9097,3775.0305,4430.8184,4249.4854,4256.1816,4127.909
3974848.2916355133,4264.4243,4204.152,4122.758,4402.4854,4236.6064,4557.546,4379.303,4294.8184,4505.5156,3774.5151,4438.5454,4262.364,4260.818,4133.576
3974856.018781662,4267.515,4211.879,4131.5156,4409.182,4237.636,4560.121,4385.485,4296.879,4512.727,3778.6367,4450.909,4272.152,4269.5757,4146.455
3974864.0010356903,4269.5757,4214.9697,4138.727,4410.2124,4237.636,4558.5757,4384.4546,4302.0303,4509.6367,3779.1516,4449.8794,4267.515,4268.546,4155.212
3974871.988773346,4276.273,4212.3945,4141.303,4408.152,4236.6064,4560.121,4389.091,4309.2427,4506.031,3778.6367,4448.8486,4274.2124,4268.031,4156.758
3974880.015850067,4282.4546,4214.455,4142.848,4408.152,4235.0605,4563.2124,4399.909,4316.9697,4508.0913,3777.6064,4450.3945,4283.485,4272.152,4160.8794
3974887.9659175873,4275.758,4212.3945,4143.879,4416.394,4234.5454,4560.636,4400.425,4313.879,4506.031,3770.9092,4442.6665,4276.273,4267.0,4158.303
3974896.038532257,4264.4243,4205.1816,4135.1216,4419.485,4233.515,4557.546,4387.0303,4299.9697,4494.6973,3758.0305,4430.303,4262.364,4254.121,4143.364
3974903.026819229,4264.9395,4204.152,4128.4243,4412.273,4233.515,4557.546,4378.7876,4295.3335,4485.9395,3749.273,4425.667,4256.1816,4250.0,4128.4243
3974911.0205173492,4265.97,4206.727,4133.576,4404.546,4234.0303,4558.0605,4380.333,4297.394,4483.364,3747.7273,4421.031,4250.515,4248.9697,4124.8184
3974919.1329479218,4257.2124,4206.727,4132.031,4405.5757,4233.515,4557.546,4379.8184,4290.6973,4481.8184,3747.7273,4416.394,4242.273,4242.273,4126.364
3974927.0498752594,4251.546,4206.727,4122.758,4406.091,4233.515,4558.5757,4375.182,4287.606,4486.4546,3752.3638,4419.485,4239.182,4240.2124,4121.7275
3974935.042619705,4251.546,4205.6973,4122.758,4403.0,4235.0605,4560.121,4374.1514,4289.152,4491.6064,3758.5454,4424.1216,4238.667,4246.394,4117.091
3974943.0491924286,4256.697,4209.3027,4127.394,4405.5757,4237.1216,4560.121,4372.606,4282.97,4495.2124,3764.7275,4425.152,4245.364,4251.546,4124.303
3974952.0621299744,4264.4243,4213.4243,4125.3335,4409.6973,4238.152,4560.121,4373.6367,4279.364,4502.4243,3772.4546,4430.8184,4259.273,4256.1816,4135.6367
3974959.07664299,4267.0,4210.8486,4128.4243,4406.091,4238.667,4561.152,4381.8794,4289.152,4511.1816,3781.2122,4441.1216,4269.0605,4263.394,4142.3335
3974967.0536518097,4269.0605,4209.3027,4138.2124,4404.0303,4238.152,4561.152,4391.6665,4304.6064,4515.303,3785.8486,4445.758,4269.5757,4268.546,4150.576
3974974.0574359894,4273.1816,4207.758,4142.3335,4406.6064,4235.5757,4559.6064,4396.3037,4311.8184,4514.788,3785.3333,4444.2124,4270.6064,4271.121,4157.273
3974982.0218086243,4277.303,4203.6367,4141.303,4405.0605,4236.091,4564.7573,4400.9395,4307.6973,4515.303,3784.8184,4446.273,4276.273,4271.121,4158.303
3974990.072965622,4280.394,4208.7876,4141.8184,4404.546,4238.152,4574.031,4404.546,4303.061,4514.788,3781.7275,4448.334,4281.4243,4270.0913,4156.758
3974998.0597496033,4281.4243,4213.4243,4143.879,4412.788,4236.6064,4572.4854,4403.515,4306.1514,4511.1816,3776.0608,4448.8486,4283.485,4270.6064,4158.303
3975006.0336589813,4278.849,4209.3027,4144.3945,4417.4243,4234.5454,4562.697,4400.425,4303.576,4506.031,3771.4243,4453.485,4280.394,4268.546,4156.758
3975014.0569210052,4277.303,4213.4243,4141.303,4418.4546,4235.0605,4560.121,4399.394,4296.364,4500.879,3768.3335,4459.6665,4277.303,4269.0605,4154.6973
3975030.074596405,4280.394,4220.6367,4145.4243,4416.909,4235.5757,4562.182,4397.3335,4298.4243,4502.4243,3767.3032,4460.6978,4281.4243,4268.546,4156.2427
3975031.028032303,4284.0,4220.6367,4153.1514,4420.0,4235.5757,4559.0913,4389.091,4295.8486,4504.485,3768.8486,4461.2124,4283.485,4267.0,4157.273
3975038.081884384,4278.849,4220.6367,4150.576,4431.8486,4238.667,4558.0605,4381.364,4287.0913,4499.849,3772.9697,4466.364,4277.303,4274.2124,4158.303
3975045.033454895,4267.515,4219.606,4142.848,4429.273,4238.152,4557.546,4374.6665,4280.9097,4494.6973,3770.9092,4468.4243,4272.152,4280.9097,4155.212
3975052.9499053955,4264.4243,4219.091,4140.7876,4411.758,4236.091,4554.4546,4369.0005,4275.758,4495.7275,3766.788,4463.273,4271.121,4274.2124,4149.0303
3975060.8978271484,4264.9395,4217.5454,4134.606,4400.9395,4241.7573,4555.4854,4371.061,4274.2124,4494.1816,3763.1821,4451.94,4262.879,4262.364,4140.273
3975068.986415863,4255.152,4211.364,4123.788,4401.9697,4250.515,4560.636,4381.364,4280.9097,4492.6367,3761.1213,4443.182,4252.5757,4260.303,4134.0913
3975076.9822597504,4248.9697,4209.3027,4121.2124,4407.6367,4252.0605,4562.697,4388.5757,4285.5454,4503.97,3766.788,4443.6973,4251.031,4265.4546,4136.6665
3975084.9714279175,4253.6064,4211.364,4124.303,4413.303,4250.515,4560.636,4387.5454,4282.97,4510.6665,3775.0305,4449.364,4256.1816,4269.0605,4141.303
3975093.0047035217,4254.121,4208.7876,4126.879,4410.7275,4248.9697,4557.031,4383.4243,4280.9097,4503.455,3772.9697,4456.061,4260.818,4267.0,4140.7876
3975101.861715317,4253.6064,4207.758,4129.9697,4403.0,4250.0,4557.031,4385.485,4282.97,4501.9097,3770.394,4458.1216,4262.364,4265.97,4141.303
3975108.047246933,4253.6064,4207.758,4127.394,4404.546,4247.9395,4556.0,4386.0005,4282.97,4504.485,3770.9092,4451.94,4258.7573,4267.0,4143.879
3975116.03975296,4249.4854,4203.121,4123.273,4406.6064,4241.7573,4554.97,4381.364,4281.9395,4498.3027,3764.2124,4444.727,4255.152,4261.3335,4142.3335
3975124.025583267,4247.9395,4201.0605,4122.2427,4395.273,4238.667,4556.515,4379.8184,4280.9097,4494.1816,3757.5151,4443.182,4253.6064,4254.636,4140.273
3975132.029056549,4252.5757,4204.152,4124.303,4385.485,4241.2427,4559.0913,4384.4546,4280.9097,4497.273,3760.091,4445.758,4254.636,4256.1816,4142.848
3975140.18535614,4254.636,4204.6665,4125.8486,4396.3037,4245.364,4559.0913,4382.394,4279.879,4497.273,3759.0608,4447.303,4254.121,4254.121,4140.7876
3975148.0329036713,4252.5757,4205.1816,4125.8486,4415.364,4246.909,4558.0605,4377.758,4278.849,4495.7275,3757.0002,4445.758,4252.0605,4250.0,4137.6973
3975156.012535095,4254.121,4211.364,4127.394,4420.515,4248.9697,4560.636,4378.7876,4281.4243,4494.6973,3760.606,4448.334,4254.121,4258.2427,4141.8184
3975164.0441417694,4255.667,4215.485,4126.364,4412.273,4247.9395,4556.515,4376.727,4277.303,4492.6367,3760.606,4450.3945,4256.1816,4265.4546,4140.273
3975171.9851493835,4251.546,4208.7876,4121.2124,4401.4546,4244.3335,4548.788,4375.182,4272.152,4492.121,3758.0305,4445.2427,4244.3335,4257.2124,4129.4546
3975179.017305374,4247.9395,4203.121,4119.152,4398.879,4246.394,4549.303,4379.303,4275.242,4494.6973,3759.5757,4443.6973,4234.5454,4252.0605,4125.3335
3975187.0501041412,4250.0,4206.727,4119.667,4403.0,4247.4243,4553.9395,4381.364,4280.9097,4498.3027,3763.6973,4449.8794,4237.1216,4255.152,4126.879
3975195.0414180756,4248.4546,4210.334,4116.0605,4403.515,4248.9697,4553.425,4378.7876,4279.364,4499.3335,3766.788,4445.2427,4237.636,4254.636,4123.788
3975210.5469703674,4240.7275,4209.8184,4114.515,4398.879,4252.5757,4554.97,4380.333,4274.7275,4498.8184,3768.3335,4438.5454,4235.5757,4252.5757,4123.273
3975216.246366501,4235.0605,4208.273,4115.546,4394.758,4254.636,4557.546,4377.2427,4270.6064,4498.3027,3767.3032,4440.0913,4236.091,4253.0913,4124.303
3975218.9626693726,4234.5454,4205.1816,4111.4243,4397.8486,4251.546,4551.364,4365.394,4261.3335,4496.242,3762.667,4440.606,4237.1216,4251.031,4118.6367
3975227.0727157593,4239.697,4205.1816,4108.8486,4408.152,4251.031,4548.788,4360.2427,4256.697,4493.152,3757.5151,4435.455,4236.091,4248.4546,4117.6064
3975235.5115413666,4246.909,4206.727,4116.0605,4410.7275,4254.121,4554.97,4366.4243,4264.9395,4494.6973,3759.5757,4432.879,4238.667,4249.4854,4123.273
