Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3327199.9151706696,4301.0,4304.6064,4173.758,4440.0913,4346.3335,4594.1216,4447.303,4353.0303,4475.6367,3787.3938,4466.364,4274.7275,4321.091,4122.2427
3327206.919193268,4310.2725,4308.212,4178.909,4443.6973,4348.909,4595.152,4450.3945,4354.5757,4473.061,3786.3635,4467.909,4279.364,4321.6064,4123.273
3327215.861558914,4317.4854,4312.333,4181.485,4445.758,4349.9395,4594.6367,4447.819,4354.5757,4471.515,3785.3333,4467.909,4282.97,4322.1216,4127.909
3327218.9128398895,4315.94,4310.788,4178.394,4450.909,4344.788,4593.0913,4441.6367,4352.0,4466.8794,3777.091,4464.819,4278.849,4316.9697,4129.9697
3327226.973295212,4315.94,4308.212,4179.4243,4457.091,4343.2427,4592.061,4439.576,4354.0605,4462.7583,3771.9395,4463.788,4278.849,4315.94,4132.031
3327234.919309616,4319.546,4313.364,4181.485,4459.1514,4347.879,4594.1216,4438.031,4353.0303,4458.6367,3771.9395,4465.3335,4284.0,4322.1216,4137.182
3327242.850780487,4319.546,4315.94,4179.9395,4460.6978,4352.515,4595.152,4440.0913,4348.394,4460.6978,3772.4546,4467.394,4285.031,4325.212,4141.8184
3327251.0924339294,4310.788,4306.667,4178.909,4454.5156,4347.364,4591.031,4442.152,4346.3335,4464.303,3772.9697,4466.8794,4281.4243,4320.5757,4139.758
3327257.9691410065,4302.546,4302.546,4179.9395,4445.2427,4343.2427,4587.9395,4440.606,4343.758,4463.273,3775.546,4465.8486,4281.9395,4319.546,4138.2124
3327265.941619873,4298.9395,4305.1216,4175.8184,4439.576,4345.8184,4591.031,4439.576,4339.636,4462.7583,3774.5151,4468.4243,4282.97,4323.1514,4137.182
3327273.914575577,4303.576,4306.1514,4174.788,4434.94,4348.394,4596.182,4443.6973,4342.2124,4466.8794,3775.546,4473.576,4276.788,4322.1216,4133.061
3327281.8791866302,4309.2427,4305.1216,4183.0303,4426.6973,4344.788,4595.152,4445.2427,4345.8184,4466.364,3775.546,4468.94,4270.0913,4315.94,4130.485
3327290.241956711,4304.6064,4302.546,4184.0605,4431.3335,4340.667,4591.5454,4445.758,4345.8184,4462.2427,3771.9395,4461.2124,4270.0913,4313.364,4129.9697
3327301.905155182,4295.8486,4298.4243,4173.758,4449.8794,4337.5757,4588.97,4446.7876,4339.636,4459.1514,3765.2427,4460.182,4266.485,4311.8184,4126.879
3327309.97467041,4297.394,4297.909,4170.667,4454.0005,4336.0303,4588.4546,4442.152,4332.425,4457.091,3759.5757,4461.2124,4262.364,4305.6367,4123.788
3327314.8679733276,4304.6064,4299.4546,4178.394,4439.576,4335.515,4586.394,4438.5454,4331.394,4454.5156,3760.091,4459.6665,4267.515,4304.6064,4126.879
3327321.8083381653,4306.667,4299.9697,4183.0303,4437.5156,4331.909,4584.849,4441.6367,4337.0605,4454.0005,3764.7275,4460.182,4274.7275,4314.3936,4136.152
3327328.88007164,4306.667,4301.515,4183.546,4442.152,4329.3335,4586.394,4442.6665,4342.2124,4459.1514,3767.3032,4467.909,4282.4546,4323.1514,4146.9697
3327336.822986603,4308.7275,4299.4546,4186.121,4431.8486,4332.425,4587.9395,4447.303,4347.879,4469.4546,3773.4849,4475.1216,4292.2427,4327.788,4154.6973
3327344.8724746704,4307.6973,4299.4546,4187.152,4428.758,4336.0303,4590.515,4454.0005,4353.5454,4475.6367,3785.8486,4476.152,4296.879,4332.9395,4161.909
3327352.851629257,4306.667,4300.485,4184.576,4436.485,4334.4854,4593.0913,4448.334,4350.9697,4474.0913,3791.5154,4474.0913,4294.303,4338.091,4166.0303
3327364.935398102,4311.8184,4301.0,4182.515,4440.606,4332.425,4593.6064,4442.152,4345.303,4473.576,3788.4246,4475.6367,4294.8184,4338.091,4161.394
3327368.8991069794,4314.3936,4301.515,4182.0,4439.061,4331.394,4589.485,4440.606,4339.636,4469.9697,3781.7275,4475.6367,4290.6973,4328.303,4156.2427
3327376.903772354,4310.788,4301.0,4180.4546,4439.061,4332.9395,4586.9097,4438.031,4333.4546,4460.6978,3776.0608,4467.909,4279.364,4318.515,4153.6665
3327384.913921356,4305.1216,4298.9395,4175.8184,4441.6367,4330.3643,4585.879,4435.97,4329.3335,4454.5156,3772.4546,4459.6665,4273.697,4317.4854,4149.5454
3327391.8917179108,4307.6973,4298.9395,4176.8486,4438.031,4326.7573,4585.364,4437.0005,4334.4854,4460.6978,3776.5762,4464.303,4281.4243,4320.061,4148.0005
3327404.819011688,4314.3936,4297.909,4184.576,4424.1216,4327.788,4585.879,4439.576,4344.273,4469.9697,3786.3635,4472.0303,4288.636,4323.667,4154.6973
3327408.8752269745,4316.4546,4298.4243,4184.576,4427.7275,4330.3643,4585.879,4446.7876,4354.0605,4476.667,3795.6365,4473.061,4289.152,4333.9697,4164.485
3327417.1512126923,4309.758,4299.4546,4178.909,4444.727,4328.8184,4588.4546,4451.4243,4356.6367,4479.2427,3797.182,4473.576,4290.182,4338.091,4169.636
3327423.8228797913,4303.061,4296.879,4177.879,4441.1216,4327.2725,4593.6064,4447.819,4350.4546,4475.6367,3795.1213,4475.6367,4294.8184,4332.425,4174.788
3327431.915998459,4303.061,4293.788,4177.879,4430.303,4327.788,4591.031,4443.6973,4341.1816,4466.8794,3786.879,4472.0303,4293.273,4326.7573,4176.8486
3327439.8815631866,4304.091,4295.8486,4178.394,4431.8486,4327.2725,4589.485,4444.727,4336.546,4461.2124,3777.091,4466.364,4285.031,4320.5757,4166.5454
3327447.8759765625,4304.091,4293.788,4180.4546,4423.6064,4324.182,4594.1216,4447.819,4338.6064,4464.303,3776.0608,4463.273,4277.303,4314.3936,4157.273
3327455.871105194,4302.546,4290.182,4178.394,4416.394,4322.1216,4594.6367,4450.3945,4343.758,4470.485,3785.3333,4462.2427,4275.242,4314.3936,4165.0005
3327462.8636837006,4305.6367,4294.8184,4176.3335,4432.879,4322.636,4591.5454,4451.94,4346.3335,4472.0303,3792.5457,4467.909,4279.879,4322.636,4173.758
3327471.190214157,4313.879,4304.091,4183.0303,4450.909,4323.1514,4593.0913,4452.455,4343.2427,4471.515,3791.5154,4474.0913,4285.031,4328.303,4172.2124
3327480.5629253387,4314.909,4304.091,4186.6367,4446.7876,4322.636,4595.152,4447.819,4339.121,4471.515,3787.3938,4473.576,4281.9395,4325.212,4171.182
3327487.914800644,4310.2725,4297.909,4180.4546,4434.4243,4323.1514,4595.667,4445.2427,4337.5757,4470.485,3790.485,4474.0913,4281.4243,4323.1514,4177.364
3327494.8835372925,4309.758,4299.9697,4178.909,4438.031,4325.7275,4598.2427,4449.364,4338.6064,4470.485,3796.6667,4477.182,4291.7275,4331.394,4188.6973
3327502.8653144836,4312.333,4305.1216,4184.0605,4443.6973,4327.2725,4599.273,4451.4243,4341.6973,4473.576,3797.182,4480.273,4301.515,4340.1514,4201.576
3327510.8666419983,4314.3936,4306.667,4192.3027,4434.4243,4326.2427,4599.273,4450.3945,4347.364,4477.182,3798.2122,4484.394,4303.061,4340.667,4209.3027
3327520.483016968,4314.3936,4304.6064,4194.879,4426.6973,4323.1514,4596.6973,4448.8486,4346.8486,4476.152,3797.182,4482.8486,4299.4546,4338.6064,4209.3027
3327530.414581299,4309.758,4301.515,4188.6973,4438.5454,4321.091,4588.97,4448.8486,4343.758,4473.576,3792.0305,4473.061,4289.667,4332.9395,4204.6665
3327534.8768234253,4301.515,4298.4243,4179.4243,4443.182,4318.515,4583.303,4446.273,4340.667,4467.909,3785.8486,4466.364,4277.303,4323.1514,4200.5454
3327541.834831238,4303.061,4298.4243,4177.364,4431.8486,4320.061,4586.9097,4441.6367,4332.9395,4463.788,3786.879,4469.4546,4271.121,4320.5757,4202.0913
3327549.938440323,4304.6064,4298.9395,4177.879,4425.667,4319.0303,4589.485,4436.485,4325.7275,4463.273,3784.303,4471.515,4269.5757,4321.091,4204.6665
3327562.9036426544,4299.4546,4296.364,4176.3335,4437.5156,4318.515,4587.4243,4435.97,4330.3643,4464.303,3780.182,4469.4546,4270.6064,4320.5757,4209.3027
3327567.8396224976,4298.9395,4294.8184,4173.2427,4443.6973,4320.061,4584.3335,4439.061,4337.5757,4466.8794,3783.2727,4466.8794,4273.697,4322.1216,4218.0605
3327573.8337039948,4301.515,4293.788,4174.273,4430.8184,4318.515,4583.8184,4438.5454,4338.091,4470.485,3787.3938,4467.909,4275.242,4324.182,4223.7275
3327581.897497177,4297.394,4291.2124,4178.909,4424.1216,4313.879,4582.788,4437.0005,4337.0605,4471.0005,3786.879,4472.0303,4276.273,4324.182,4226.8184
3327593.8198566437,4296.879,4292.2427,4179.9395,4430.8184,4314.909,4583.303,4439.576,4338.091,4473.576,3790.485,4472.0303,4284.0,4329.8486,4235.5757
3327597.7687835693,4304.091,4294.8184,4178.909,4430.8184,4318.0005,4586.394,4442.6665,4341.6973,4477.6973,3796.6667,4471.515,4289.152,4335.0,4246.909
3327606.5509319305,4305.6367,4292.758,4178.909,4428.758,4315.425,4592.061,4445.758,4348.394,4479.758,3796.1516,4472.0303,4281.4243,4331.394,4246.394
3327618.729829788,4303.576,4291.2124,4175.8184,4432.879,4312.333,4594.1216,4450.909,4352.515,4476.667,3794.091,4470.485,4273.1816,4325.212,4238.152
3327625.7882118225,4304.091,4293.788,4170.1514,4430.8184,4313.879,4590.0,4455.5454,4353.0303,4473.061,3789.97,4465.8486,4274.2124,4322.1216,4236.091
3327628.8228034973,4302.546,4292.2427,4165.0005,4422.061,4316.9697,4591.5454,4454.0005,4354.0605,4471.515,3785.3333,4459.1514,4268.546,4319.0303,4236.091
3327637.592315674,4298.4243,4288.121,4165.515,4422.061,4314.909,4592.576,4451.94,4352.0,4472.0303,3785.8486,4460.182,4262.364,4316.9697,4235.0605
