Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1102898.2071876526,4379.8184,4340.667,4278.3335,4522.0,4371.576,4664.182,4493.152,4412.273,4595.667,3879.606,4537.9697,4356.6367,4365.9087,4252.5757
1102911.188840866,4369.5156,4329.3335,4268.031,4516.8486,4367.9697,4656.9697,4491.0913,4403.0,4591.031,3874.97,4531.788,4345.303,4359.2124,4241.7573
1102915.1573181152,4369.0005,4327.788,4267.0,4512.727,4358.182,4653.879,4483.364,4399.909,4585.364,3866.7273,4525.606,4340.667,4355.0913,4234.0303
1102929.1625022888,4371.061,4332.425,4265.97,4511.6973,4352.0,4652.3335,4482.3335,4401.4546,4583.303,3860.0305,4522.5156,4337.0605,4351.485,4232.485
1102930.0973415375,4369.0005,4335.515,4264.9395,4517.364,4353.0303,4653.879,4492.6367,4401.9697,4587.4243,3865.697,4525.606,4336.546,4353.0303,4232.485
1102938.1012916565,4374.1514,4344.273,4274.7275,4527.152,4352.0,4654.394,4496.242,4404.0303,4592.576,3878.5757,4531.273,4342.2124,4360.758,4235.5757
1102945.151090622,4376.727,4347.879,4276.788,4527.667,4352.0,4651.303,4492.121,4405.5757,4593.0913,3878.0608,4533.8486,4346.8486,4361.7876,4237.636
1102953.108072281,4367.4546,4335.0,4265.97,4518.909,4356.6367,4647.182,4488.0,4401.9697,4587.9395,3866.7273,4528.182,4341.6973,4354.5757,4232.485
1102961.1809253693,4366.4243,4330.3643,4272.667,4514.2734,4356.1216,4649.758,4489.031,4398.879,4584.3335,3863.6365,4522.0,4335.0,4351.485,4228.879
1102969.15268898,4375.182,4339.636,4286.0605,4515.8184,4355.0913,4654.909,4495.2124,4406.6064,4586.9097,3872.394,4526.1216,4339.636,4356.6367,4233.0
1102977.1966934204,4377.758,4341.6973,4282.97,4512.727,4360.2427,4652.8486,4497.273,4414.8486,4590.515,3880.1213,4534.364,4350.9697,4363.848,4235.5757
1102985.2373600006,4377.758,4338.091,4285.5454,4512.727,4361.7876,4649.758,4495.2124,4416.394,4590.515,3879.606,4540.031,4356.1216,4370.0303,4241.2427
1102993.1757450104,4385.485,4343.758,4299.4546,4524.0605,4356.1216,4654.909,4497.788,4415.879,4591.031,3881.1519,4542.6064,4358.6973,4376.212,4251.031
1103001.6136169434,4388.061,4349.9395,4304.091,4529.7275,4360.758,4658.0005,4499.849,4416.394,4594.6367,3890.4243,4543.1216,4359.727,4379.303,4256.1816
1103009.1743469238,4379.303,4342.2124,4296.879,4517.364,4365.394,4654.394,4498.8184,4417.4243,4593.0913,3892.4849,4541.5757,4354.5757,4375.182,4249.4854
1103021.1291313171,4373.1216,4331.394,4289.152,4508.0913,4357.152,4652.3335,4495.7275,4413.8184,4590.0,3881.667,4540.546,4352.515,4370.0303,4240.7275
1103024.5153903961,4375.6973,4329.3335,4285.5454,4511.1816,4353.5454,4652.3335,4492.121,4411.758,4589.485,3878.0608,4542.6064,4353.5454,4372.091,4244.3335
1103033.1454277039,4378.7876,4332.425,4285.5454,4514.2734,4361.7876,4652.8486,4492.6367,4414.8486,4593.0913,3883.7275,4543.1216,4351.485,4377.758,4251.031
1103040.4987335205,4376.212,4333.4546,4288.121,4511.1816,4364.364,4653.879,4495.2124,4418.9697,4595.667,3883.7275,4540.546,4350.4546,4377.758,4250.0
1103049.2095947266,4376.212,4335.515,4293.788,4513.2427,4360.758,4653.364,4493.667,4417.4243,4595.152,3882.1821,4541.061,4352.0,4378.2725,4247.9395
1103056.738615036,4380.848,4341.6973,4297.909,4522.0,4360.2427,4653.879,4490.576,4410.7275,4597.2124,3882.6973,4543.1216,4350.9697,4382.394,4251.031
1103064.2385482788,4384.9697,4347.364,4296.879,4526.1216,4362.8184,4656.4546,4491.0913,4408.667,4602.879,3882.6973,4544.667,4353.0303,4387.5454,4254.636
1103072.9336738586,4386.515,4344.273,4296.879,4525.606,4367.4546,4655.9395,4492.6367,4410.2124,4603.394,3885.788,4545.697,4358.182,4387.5454,4255.667
1103080.2807807922,4386.515,4336.0303,4299.9697,4521.485,4366.9395,4652.3335,4490.576,4407.6367,4596.182,3880.6367,4541.5757,4358.182,4378.7876,4256.1816
1103087.1782302856,4387.5454,4341.1816,4298.9395,4515.303,4353.0303,4650.273,4484.394,4403.515,4590.0,3867.2427,4532.8184,4350.9697,4373.1216,4252.5757
1103095.1828956604,4385.485,4346.3335,4295.8486,4511.1816,4352.515,4651.8184,4480.788,4401.9697,4588.97,3863.1213,4526.1216,4345.303,4373.1216,4248.9697
1103103.1866073608,4382.394,4336.546,4293.273,4510.6665,4366.9395,4652.3335,4482.3335,4404.546,4588.97,3867.2427,4526.1216,4347.879,4370.0303,4248.4546
1103116.2028312683,4384.4546,4335.0,4296.364,4511.1816,4369.5156,4650.788,4483.364,4407.6367,4588.97,3866.7273,4526.6367,4353.5454,4368.485,4247.9395
1103120.1632022858,4391.1514,4344.788,4301.515,4515.303,4366.9395,4651.8184,4480.788,4404.546,4588.97,3868.273,4528.6973,4354.5757,4374.1514,4247.9395
1103127.2706985474,4394.2427,4346.3335,4304.091,4522.5156,4367.9697,4653.879,4480.273,4398.879,4589.485,3877.5454,4535.909,4352.515,4376.727,4248.4546
1103135.2047920227,4393.212,4346.3335,4304.091,4526.6367,4367.4546,4653.364,4486.4546,4403.515,4590.515,3881.667,4543.636,4354.5757,4379.8184,4251.031
1103143.1589126587,4393.212,4347.879,4302.546,4524.576,4367.4546,4652.3335,4486.97,4408.667,4591.031,3877.5454,4543.636,4358.182,4384.4546,4251.546
1103152.000427246,4394.2427,4345.303,4303.576,4525.606,4373.1216,4654.394,4482.8486,4409.6973,4594.6367,3877.0305,4543.636,4360.758,4386.515,4251.546
1103158.233165741,4400.425,4350.4546,4312.8486,4535.394,4379.303,4661.0913,4488.5156,4413.303,4603.394,3891.9697,4553.9395,4364.879,4395.273,4261.3335
1103171.1604595184,4404.0303,4358.182,4313.364,4537.4546,4379.8184,4670.364,4499.3335,4421.031,4610.091,3901.7578,4564.7573,4368.485,4403.0,4269.5757
1103174.4730472565,4394.758,4349.4243,4299.9697,4526.6367,4373.1216,4669.848,4498.3027,4425.667,4605.455,3886.8184,4554.97,4363.848,4393.727,4257.7275
1103183.9709281921,4391.6665,4345.303,4296.879,4524.0605,4372.091,4666.758,4497.788,4426.6973,4604.4243,3882.1821,4548.273,4359.727,4390.636,4250.515
1103191.281080246,4400.9395,4353.0303,4304.6064,4532.303,4379.8184,4672.4243,4505.0,4430.8184,4616.2725,3898.1516,4555.4854,4363.848,4400.425,4259.788
1103198.152065277,4396.3037,4352.0,4301.0,4529.2124,4380.848,4674.485,4503.455,4430.303,4618.3335,3896.6064,4551.364,4360.758,4395.273,4258.7573
1103206.655740738,4387.0303,4344.273,4294.8184,4522.0,4378.2725,4670.364,4497.273,4420.515,4607.5156,3881.1519,4541.061,4353.5454,4383.4243,4250.515
1103219.250679016,4386.515,4340.667,4296.879,4526.6367,4374.6665,4666.2427,4497.273,4415.879,4604.4243,3880.6367,4539.515,4352.515,4380.333,4247.4243
1103223.0463027954,4381.8794,4333.9697,4296.364,4525.606,4366.9395,4663.6665,4494.1816,4416.394,4603.909,3881.1519,4535.909,4347.879,4377.2427,4239.182
1103230.195760727,4378.7876,4328.8184,4293.788,4513.758,4364.879,4661.0913,4491.6064,4410.7275,4597.2124,3876.5151,4535.394,4345.303,4377.758,4237.1216
