Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3028917.732000351,4301.515,4261.3335,4185.6064,4446.7876,4367.9697,4598.2427,4451.4243,4344.788,4576.0913,3808.0002,4461.2124,4261.8486,4316.9697,4202.606
3028925.7690906525,4292.758,4258.2427,4175.303,4441.6367,4365.394,4595.667,4449.364,4346.8486,4574.031,3799.2424,4457.606,4254.121,4310.2725,4196.9395
3028927.7544021606,4289.152,4253.0913,4175.303,4435.455,4362.303,4596.182,4448.334,4344.273,4567.849,3790.485,4456.061,4246.394,4301.0,4187.152
3028939.870595932,4295.8486,4251.031,4174.273,4435.455,4362.303,4595.152,4448.334,4341.1816,4565.7886,3787.9092,4451.94,4244.8486,4299.4546,4185.6064
3028941.7147636414,4295.3335,4251.546,4170.667,4445.2427,4361.7876,4591.031,4439.061,4330.3643,4563.2124,3781.7275,4447.819,4242.788,4298.9395,4183.546
3028947.8104114532,4291.7275,4254.636,4173.2427,4450.909,4363.3335,4592.061,4434.4243,4327.2725,4564.7573,3782.7578,4451.94,4243.303,4298.4243,4182.515
3028954.7374248505,4297.394,4258.7573,4178.909,4447.303,4367.4546,4594.6367,4439.576,4335.0,4570.4243,3791.5154,4456.576,4250.0,4301.515,4189.2124
3028967.8390026093,4301.0,4259.273,4178.909,4437.5156,4366.9395,4592.576,4440.0913,4334.4854,4569.394,3789.97,4453.485,4245.364,4302.0303,4188.6973
3028975.914478302,4295.3335,4257.7275,4177.879,4434.94,4364.364,4593.0913,4435.97,4330.879,4566.303,3783.788,4451.94,4235.5757,4295.3335,4178.909
3028979.8843860626,4294.303,4259.273,4179.4243,4440.606,4365.9087,4597.7275,4440.606,4336.546,4567.3335,3785.3333,4451.4243,4235.5757,4290.182,4173.2427
3028993.891477585,4294.8184,4259.273,4176.3335,4437.5156,4365.394,4597.2124,4441.1216,4338.091,4564.7573,3785.8486,4449.8794,4235.5757,4293.273,4173.2427
